"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
43.40363,"AB451AA","AB45","1AA",-2.520701,57.664668,1
130.6036,"AB451AB","AB45","1AB",-2.521285,57.663319,1
106.3441,"AB451AD","AB45","1AD",-2.522513,57.664787,1
189.6431,"AB451AE","AB45","1AE",-2.523019,57.663832,1
31.44506,"AB451AF","AB45","1AF",-2.520871,57.664775,1
387.2462,"AB451AG","AB45","1AG",-2.531747,57.657796,1
184.2714,"AB451AH","AB45","1AH",-2.523085,57.663724,1
140.3858,"AB451AJ","AB45","1AJ",-2.523135,57.664883,1
135.0469,"AB451AL","AB45","1AL",-2.523051,57.66491,1
206.7034,"AB451AN","AB45","1AN",-2.523508,57.663841,1
141.0146,"AB451AP","AB45","1AP",-2.523863,57.662906,1
219.3044,"AB451AQ","AB45","1AQ",-2.524409,57.663728,1
132.8588,"AB451AR","AB45","1AR",-2.522175,57.663378,1
141.5342,"AB451AS","AB45","1AS",-2.52132,57.663426,1
256.246,"AB451AT","AB45","1AT",-2.525839,57.667557,1
145.0332,"AB451AU","AB45","1AU",-2.521863,57.663882,1
137.8371,"AB451AW","AB45","1AW",-2.526544,57.661869,1
135.1926,"AB451AX","AB45","1AX",-2.521949,57.664007,1
73.81749,"AB451AY","AB45","1AY",-2.521436,57.664486,1
70.36656,"AB451AZ","AB45","1AZ",-2.520006,57.662929,1
110.3233,"AB451BA","AB45","1BA",-2.521299,57.66313,1
25.30421,"AB451BB","AB45","1BB",-2.52449,57.66123,1
99.0815,"AB451BD","AB45","1BD",-2.525336,57.661784,1
145.9821,"AB451BE","AB45","1BE",-2.527485,57.659709,1
321.86,"AB451BF","AB45","1BF",-2.533086,57.657682,1
307.8096,"AB451BG","AB45","1BG",-2.530328,57.659302,1
46.28067,"AB451BH","AB45","1BH",-2.526609,57.660602,1
222.0152,"AB451BJ","AB45","1BJ",-2.528973,57.661778,1
122.9514,"AB451BL","AB45","1BL",-2.527678,57.662663,1
163.2097,"AB451BN","AB45","1BN",-2.529317,57.662378,1
60.22066,"AB451BP","AB45","1BP",-2.5276,57.664218,1
47.25933,"AB451BQ","AB45","1BQ",-2.528745,57.663395,1
96.31882,"AB451BR","AB45","1BR",-2.529259,57.662989,1
60.38477,"AB451BS","AB45","1BS",-2.52971,57.664056,1
117.8357,"AB451BT","AB45","1BT",-2.531808,57.663122,1
135.213,"AB451BU","AB45","1BU",-2.531065,57.663898,1
121.9575,"AB451BW","AB45","1BW",-2.534968,57.663746,1
87.32547,"AB451BX","AB45","1BX",-2.534094,57.663544,1
27.92783,"AB451BY","AB45","1BY",-2.533143,57.662739,1
153.9536,"AB451BZ","AB45","1BZ",-2.536345,57.66392,1
145.3747,"AB451DA","AB45","1DA",-2.53108,57.662631,1
32.84818,"AB451DB","AB45","1DB",-2.521196,57.665259,1
61.25827,"AB451DD","AB45","1DD",-2.521704,57.665643,1
120.4599,"AB451DE","AB45","1DE",-2.522804,57.665199,1
112.0473,"AB451DF","AB45","1DF",-2.537066,57.658222,1
403.0859,"AB451DG","AB45","1DG",-2.537034,57.66628,1
216.2666,"AB451DH","AB45","1DH",-2.524243,57.665958,1
207.5632,"AB451DJ","AB45","1DJ",-2.523925,57.666236,1
149.5102,"AB451DL","AB45","1DL",-2.523148,57.665826,1
151.3936,"AB451DN","AB45","1DN",-2.522454,57.666511,1
221.3773,"AB451DP","AB45","1DP",-2.535714,57.657492,1
281.471,"AB451DQ","AB45","1DQ",-2.524011,57.667333,1
293.509,"AB451DR","AB45","1DR",-2.524962,57.666988,1
282.7117,"AB451DS","AB45","1DS",-2.524888,57.666726,1
308.8866,"AB451DT","AB45","1DT",-2.524796,57.667328,1
276.6769,"AB451DU","AB45","1DU",-2.525384,57.667398,1
217.8298,"AB451DW","AB45","1DW",-2.534485,57.65826,1
260.1786,"AB451DX","AB45","1DX",-2.525072,57.665557,1
212.1541,"AB451DY","AB45","1DY",-2.52436,57.664968,1
258.6338,"AB451DZ","AB45","1DZ",-2.533438,57.658804,1
257.0313,"AB451EA","AB45","1EA",-2.525865,57.665896,1
139.5795,"AB451EB","AB45","1EB",-2.527567,57.666535,1
