"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
150.1617,"AL71AA","AL7","1AA",-0.195898,51.804482,1
149.0089,"AL71AB","AL7","1AB",-0.195874,51.804489,1
407.6358,"AL71AD","AL7","1AD",-0.191133,51.803222,1
150.1617,"AL71AE","AL7","1AE",-0.195898,51.804482,1
479.9622,"AL71AF","AL7","1AF",-0.192918,51.801748,1
257.9506,"AL71AG","AL7","1AG",-0.194296,51.803567,1
144.7597,"AL71AH","AL7","1AH",-0.193916,51.804845,1
511.2353,"AL71AJ","AL7","1AJ",-0.188303,51.804347,1
150.1617,"AL71AL","AL7","1AL",-0.195898,51.804482,1
473.7445,"AL71AN","AL7","1AN",-0.189237,51.80384,1
593.3582,"AL71AP","AL7","1AP",-0.185928,51.801011,1
257.9506,"AL71AQ","AL7","1AQ",-0.194296,51.803567,1
371.3981,"AL71AR","AL7","1AR",-0.191397,51.803523,1
153.1357,"AL71AS","AL7","1AS",-0.194152,51.804635,1
655.7837,"AL71AT","AL7","1AT",-0.187761,51.801947,1
360.5469,"AL71AU","AL7","1AU",-0.192399,51.803116,1
150.1617,"AL71AW","AL7","1AW",-0.195898,51.804482,1
378.7977,"AL71AX","AL7","1AX",-0.190576,51.804104,1
301.5986,"AL71AY","AL7","1AY",-0.191624,51.804372,1
435.7881,"AL71AZ","AL7","1AZ",-0.189354,51.804543,1
446.0434,"AL71BA","AL7","1BA",-0.189131,51.804675,1
335.3193,"AL71BB","AL7","1BB",-0.188326,51.809932,1
253.357,"AL71BD","AL7","1BD",-0.193914,51.803696,1
330.2131,"AL71BE","AL7","1BE",-0.191642,51.803913,1
335.3193,"AL71BF","AL7","1BF",-0.188326,51.809932,1
293.8101,"AL71BG","AL7","1BG",-0.189672,51.798784,1
452.5084,"AL71BH","AL7","1BH",-0.195448,51.801722,1
342.4927,"AL71BJ","AL7","1BJ",-0.190794,51.804563,1
137.0309,"AL71BL","AL7","1BL",-0.197351,51.805871,1
354.3202,"AL71BN","AL7","1BN",-0.194332,51.802669,1
360.5116,"AL71BP","AL7","1BP",-0.193984,51.802663,1
623.3402,"AL71BQ","AL7","1BQ",-0.186951,51.80153,1
580.0327,"AL71BS","AL7","1BS",-0.19463,51.800281,1
335.3193,"AL71BT","AL7","1BT",-0.188326,51.809932,1
150.1617,"AL71BU","AL7","1BU",-0.195898,51.804482,1
404.8424,"AL71BW","AL7","1BW",-0.194122,51.802232,1
242.4676,"AL71BX","AL7","1BX",-0.190404,51.816006,1
212.7212,"AL71BY","AL7","1BY",-0.190269,51.815393,1
372.8637,"AL71BZ","AL7","1BZ",-0.188518,51.809494,1
192.6012,"AL71DA","AL7","1DA",-0.192556,51.810797,1
127.1133,"AL71DB","AL7","1DB",-0.19237,51.81146,1
41.06892,"AL71DD","AL7","1DD",-0.190147,51.812404,1
38.80183,"AL71DE","AL7","1DE",-0.190379,51.812283,1
111.773,"AL71DF","AL7","1DF",-0.189271,51.81313,1
170.3458,"AL71DG","AL7","1DG",-0.18876,51.813589,1
93.57513,"AL71DH","AL7","1DH",-0.191885,51.812107,1
83.9226,"AL71DJ","AL7","1DJ",-0.193835,51.811842,1
122.2783,"AL71DL","AL7","1DL",-0.193884,51.813497,1
40.48602,"AL71DN","AL7","1DN",-0.192613,51.814808,1
225.1359,"AL71DP","AL7","1DP",-0.191349,51.8163,1
115.3234,"AL71DQ","AL7","1DQ",-0.189865,51.813516,1
213.616,"AL71DR","AL7","1DR",-0.192388,51.816451,1
199.1284,"AL71DS","AL7","1DS",-0.190229,51.814934,1
150.1617,"AL71DT","AL7","1DT",-0.195898,51.804482,1
175.224,"AL71DU","AL7","1DU",-0.190528,51.814713,1
204.5648,"AL71DW","AL7","1DW",-0.192926,51.816414,1
165.512,"AL71DX","AL7","1DX",-0.190769,51.814133,1
372.8637,"AL71DY","AL7","1DY",-0.188518,51.809494,1
65.84151,"AL71DZ","AL7","1DZ",-0.191685,51.812618,1
55.52032,"AL71EA","AL7","1EA",-0.192425,51.812639,1
134.571,"AL71EB","AL7","1EB",-0.19134,51.814007,1
58.4901,"AL71ED","AL7","1ED",-0.192273,51.814388,1
112.3578,"AL71EE","AL7","1EE",-0.191971,51.813827,1
77.7488,"AL71EF","AL7","1EF",-0.193536,51.81315,1
95.43987,"AL71EG","AL7","1EG",-0.192545,51.813243,1
376.7169,"AL71EH","AL7","1EH",-0.189931,51.805344,1
335.3193,"AL71EJ","AL7","1EJ",-0.188326,51.809932,1
374.4652,"AL71EL","AL7","1EL",-0.191379,51.808088,1
410.1153,"AL71EN","AL7","1EN",-0.188503,51.809134,1
316.5905,"AL71EP","AL7","1EP",-0.190816,51.805339,1
75.40426,"AL71EQ","AL7","1EQ",-0.193227,51.811806,1
150.1617,"AL71ER","AL7","1ER",-0.195898,51.804482,1
150.1617,"AL71ES","AL7","1ES",-0.195898,51.804482,1
273.5567,"AL71ET","AL7","1ET",-0.190901,51.810097,1
354.7208,"AL71EU","AL7","1EU",-0.189359,51.80948,1
