"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
359.7924,"B31AA","B3","1AA",-1.903535,52.47666,1
144.9056,"B31AB","B3","1AB",-1.904035,52.483771,1
222.4694,"B31AD","B3","1AD",-1.902769,52.483581,1
222.4694,"B31AE","B3","1AE",-1.902769,52.483581,1
166.5447,"B31AF","B3","1AF",-1.902767,52.48448,1
142.4623,"B31AG","B3","1AG",-1.901508,52.485573,1
223.2805,"B31AH","B3","1AH",-1.894214,52.495953,1
223.2805,"B31AJ","B3","1AJ",-1.894214,52.495953,1
359.7924,"B31AL","B3","1AL",-1.903535,52.47666,1
147.9697,"B31AN","B3","1AN",-1.904242,52.483583,1
158.0047,"B31AP","B3","1AP",-1.90377,52.483798,1
169.045,"B31AQ","B3","1AQ",-1.902467,52.484765,1
71.01002,"B31AR","B3","1AR",-1.90695,52.484286,1
147.9697,"B31AS","B3","1AS",-1.904242,52.483583,1
162.3,"B31AT","B3","1AT",-1.903077,52.484265,1
359.7924,"B31AU","B3","1AU",-1.903535,52.47666,1
147.9697,"B31AW","B3","1AW",-1.904242,52.483583,1
147.9697,"B31AX","B3","1AX",-1.904242,52.483583,1
147.9697,"B31AY","B3","1AY",-1.904242,52.483583,1
147.9697,"B31AZ","B3","1AZ",-1.904242,52.483583,1
154.587,"B31BA","B3","1BA",-1.904841,52.483265,1
249.0952,"B31BB","B3","1BB",-1.905718,52.481786,1
129.0007,"B31BD","B3","1BD",-1.905347,52.483404,1
205.7894,"B31BE","B3","1BE",-1.905716,52.482685,1
80.91524,"B31BF","B3","1BF",-1.906259,52.483872,1
70.05185,"B31BG","B3","1BG",-1.903825,52.485596,1
233.6684,"B31BH","B3","1BH",-1.904686,52.48254,1
73.25211,"B31BJ","B3","1BJ",-1.905213,52.48397,1
359.7924,"B31BL","B3","1BL",-1.903535,52.47666,1
359.7924,"B31BN","B3","1BN",-1.903535,52.47666,1
359.7924,"B31BQ","B3","1BQ",-1.903535,52.47666,1
359.7924,"B31BS","B3","1BS",-1.903535,52.47666,1
