"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
156.0665,"BD11AA","BD1","1AA",-1.750599,53.796019,1
169.388,"BD11AE","BD1","1AE",-1.750965,53.79575,1
127.7855,"BD11AF","BD1","1AF",-1.750301,53.794994,1
375.7247,"BD11AG","BD1","1AG",-1.753319,53.793514,1
99.23911,"BD11AH","BD1","1AH",-1.749184,53.794476,1
162.3881,"BD11AJ","BD1","1AJ",-1.755843,53.802636,1
115.8086,"BD11AN","BD1","1AN",-1.75016,53.795668,1
171.314,"BD11AW","BD1","1AW",-1.750995,53.79575,1
333.9005,"BD11BA","BD1","1BA",-1.752118,53.793191,1
176.8033,"BD11BG","BD1","1BG",-1.749792,53.793878,1
294.1841,"BD11BL","BD1","1BL",-1.752492,53.794163,1
171.314,"BD11BX","BD1","1BX",-1.750995,53.79575,1
220.7627,"BD11BZ","BD1","1BZ",-1.751172,53.796658,1
256.1925,"BD11DA","BD1","1DA",-1.751658,53.793972,1
222.9775,"BD11DB","BD1","1DB",-1.751005,53.793953,1
147.8011,"BD11DD","BD1","1DD",-1.750364,53.79459,1
166.3037,"BD11DE","BD1","1DE",-1.750487,53.794392,1
184.0947,"BD11DF","BD1","1DF",-1.750549,53.794176,1
184.0947,"BD11DG","BD1","1DG",-1.750549,53.794176,1
114.2319,"BD11DH","BD1","1DH",-1.749257,53.794345,1
118.8977,"BD11DJ","BD1","1DJ",-1.749576,53.794426,1
362.2215,"BD11DL","BD1","1DL",-1.753585,53.794129,1
118.8977,"BD11DN","BD1","1DN",-1.749576,53.794426,1
162.5714,"BD11DP","BD1","1DP",-1.74926,53.793868,1
222.9775,"BD11DQ","BD1","1DQ",-1.751005,53.793953,1
120.6932,"BD11DR","BD1","1DR",-1.748348,53.794154,1
176.8033,"BD11DT","BD1","1DT",-1.749792,53.793878,1
173.8303,"BD11DU","BD1","1DU",-1.749458,53.793806,1
114.2319,"BD11DW","BD1","1DW",-1.749257,53.794345,1
206.4049,"BD11DX","BD1","1DX",-1.749493,53.793051,1
206.4049,"BD11DY","BD1","1DY",-1.749493,53.793051,1
296.0138,"BD11DZ","BD1","1DZ",-1.751756,53.792849,1
256.1925,"BD11EA","BD1","1EA",-1.751658,53.793972,1
277.1565,"BD11EB","BD1","1EB",-1.751011,53.793054,1
231.445,"BD11ED","BD1","1ED",-1.750431,53.793538,1
260.223,"BD11EE","BD1","1EE",-1.751023,53.793485,1
350.1814,"BD11EF","BD1","1EF",-1.752529,53.793057,1
208.3601,"BD11EG","BD1","1EG",-1.751366,53.794574,1
220.8919,"BD11EH","BD1","1EH",-1.751458,53.794412,1
242.4312,"BD11EJ","BD1","1EJ",-1.75157,53.794122,1
306.1313,"BD11EL","BD1","1EL",-1.752524,53.793956,1
306.1313,"BD11EP","BD1","1EP",-1.752524,53.793956,1
162.3881,"BD11EQ","BD1","1EQ",-1.755843,53.802636,1
256.1925,"BD11ER","BD1","1ER",-1.751658,53.793972,1
306.1313,"BD11ES","BD1","1ES",-1.752524,53.793956,1
306.1313,"BD11ET","BD1","1ET",-1.752524,53.793956,1
306.1313,"BD11EU","BD1","1EU",-1.752524,53.793956,1
306.1313,"BD11EW","BD1","1EW",-1.752524,53.793956,1
306.1313,"BD11EX","BD1","1EX",-1.752524,53.793956,1
228.9352,"BD11EY","BD1","1EY",-1.750873,53.793788,1
258.2044,"BD11EZ","BD1","1EZ",-1.75119,53.793603,1
145.4213,"BD11FB","BD1","1FB",-1.755861,53.802205,1
220.7627,"BD11FD","BD1","1FD",-1.751172,53.796658,1
145.4213,"BD11FF","BD1","1FF",-1.755861,53.802205,1
362.2215,"BD11FG","BD1","1FG",-1.753585,53.794129,1
220.7627,"BD11FH","BD1","1FH",-1.751172,53.796658,1
220.7627,"BD11FN","BD1","1FN",-1.751172,53.796658,1
145.4213,"BD11FW","BD1","1FW",-1.755861,53.802205,1
238.1391,"BD11HA","BD1","1HA",-1.751373,53.794013,1
206.4049,"BD11HB","BD1","1HB",-1.749493,53.793051,1
302.1722,"BD11HD","BD1","1HD",-1.754052,53.792161,1
300.7665,"BD11HE","BD1","1HE",-1.752534,53.792158,1
288.7595,"BD11HH","BD1","1HH",-1.751086,53.793153,1
308.3358,"BD11HJ","BD1","1HJ",-1.752101,53.793533,1
350.1814,"BD11HL","BD1","1HL",-1.752529,53.793057,1
314.7393,"BD11HN","BD1","1HN",-1.752313,53.793605,1
381.3087,"BD11HP","BD1","1HP",-1.754047,53.79306,1
350.1814,"BD11HQ","BD1","1HQ",-1.752529,53.793057,1
300.7665,"BD11HR","BD1","1HR",-1.752534,53.792158,1
300.7665,"BD11HS","BD1","1HS",-1.752534,53.792158,1
300.7665,"BD11HT","BD1","1HT",-1.752534,53.792158,1
300.7665,"BD11HU","BD1","1HU",-1.752534,53.792158,1
314.7393,"BD11HW","BD1","1HW",-1.752313,53.793605,1
296.0138,"BD11HX","BD1","1HX",-1.751756,53.792849,1
349.5894,"BD11HY","BD1","1HY",-1.753292,53.792313,1
359.7419,"BD11HZ","BD1","1HZ",-1.753077,53.792717,1
173.159,"BD11JA","BD1","1JA",-1.749359,53.792574,1
333.9005,"BD11JB","BD1","1JB",-1.752118,53.793191,1
340.0521,"BD11JD","BD1","1JD",-1.752209,53.793146,1
217.5208,"BD11JE","BD1","1JE",-1.751459,53.791707,1
307.3283,"BD11JF","BD1","1JF",-1.751603,53.7931,1
350.1814,"BD11JG","BD1","1JG",-1.752529,53.793057,1
396.9548,"BD11JJ","BD1","1JJ",-1.754042,53.793959,1
162.3881,"BD11JL","BD1","1JL",-1.755843,53.802636,1
283.3916,"BD11JN","BD1","1JN",-1.751681,53.792723,1
162.3881,"BD11JP","BD1","1JP",-1.755843,53.802636,1
300.7665,"BD11JQ","BD1","1JQ",-1.752534,53.792158,1
147.96,"BD11JR","BD1","1JR",-1.748671,53.793918,1
246.8515,"BD11JS","BD1","1JS",-1.669358,53.752411,1
235.4472,"BD11JT","BD1","1JT",-1.751014,53.792524,1
205.5872,"BD11JU","BD1","1JU",-1.751093,53.791967,1
300.7665,"BD11JW","BD1","1JW",-1.752534,53.792158,1
187.6587,"BD11JX","BD1","1JX",-1.7505,53.792217,1
70.3172,"BD11JY","BD1","1JY",-1.749352,53.79119,1
211.3041,"BD11JZ","BD1","1JZ",-1.751016,53.792155,1
266.6902,"BD11LA","BD1","1LA",-1.754179,53.791781,1
240.1212,"BD11LB","BD1","1LB",-1.75451,53.791641,1
302.2619,"BD11LD","BD1","1LD",-1.752613,53.794145,1
302.2619,"BD11LE","BD1","1LE",-1.752613,53.794145,1
302.2619,"BD11LF","BD1","1LF",-1.752613,53.794145,1
292.5725,"BD11LH","BD1","1LH",-1.75239,53.794069,1
306.1313,"BD11LJ","BD1","1LJ",-1.752524,53.793956,1
306.1313,"BD11LL","BD1","1LL",-1.752524,53.793956,1
255.702,"BD11LN","BD1","1LN",-1.751839,53.794161,1
381.3087,"BD11LP","BD1","1LP",-1.754047,53.79306,1
302.8638,"BD11LQ","BD1","1LQ",-1.752538,53.794037,1
306.1313,"BD11LS","BD1","1LS",-1.752524,53.793956,1
381.3087,"BD11LT","BD1","1LT",-1.754047,53.79306,1
381.3087,"BD11LU","BD1","1LU",-1.754047,53.79306,1
162.9324,"BD11LW","BD1","1LW",-1.755847,53.802651,1
158.3929,"BD11LX","BD1","1LX",-1.747955,53.793839,1
350.1814,"BD11LZ","BD1","1LZ",-1.752529,53.793057,1
335.9906,"BD11NA","BD1","1NA",-1.752421,53.793371,1
381.3087,"BD11ND","BD1","1ND",-1.754047,53.79306,1
339.6053,"BD11NE","BD1","1NE",-1.752527,53.793399,1
375.7316,"BD11NF","BD1","1NF",-1.753149,53.793355,1
381.3087,"BD11NG","BD1","1NG",-1.754047,53.79306,1
371.9256,"BD11NH","BD1","1NH",-1.754426,53.793097,1
239.2328,"BD11NJ","BD1","1NJ",-1.754057,53.791263,1
362.2215,"BD11NL","BD1","1NL",-1.753585,53.794129,1
140.3899,"BD11NN","BD1","1NN",-1.755124,53.790465,1
245.1768,"BD11NP","BD1","1NP",-1.75557,53.792165,1
89.79189,"BD11NQ","BD1","1NQ",-1.75611,53.790665,1
162.3881,"BD11NR","BD1","1NR",-1.755843,53.802636,1
279.6414,"BD11NS","BD1","1NS",-1.75249,53.79454,1
258.6915,"BD11NT","BD1","1NT",-1.752201,53.794629,1
306.1313,"BD11NU","BD1","1NU",-1.752524,53.793956,1
245.1768,"BD11NW","BD1","1NW",-1.75557,53.792165,1
245.1768,"BD11NX","BD1","1NX",-1.75557,53.792165,1
243.3255,"BD11PA","BD1","1PA",-1.751958,53.794629,1
396.9548,"BD11PB","BD1","1PB",-1.754042,53.793959,1
306.1313,"BD11PE","BD1","1PE",-1.752524,53.793956,1
243.3255,"BD11PG","BD1","1PG",-1.751958,53.794629,1
243.3255,"BD11PH","BD1","1PH",-1.751958,53.794629,1
287.6555,"BD11PJ","BD1","1PJ",-1.752671,53.794666,1
162.3881,"BD11PL","BD1","1PL",-1.755843,53.802636,1
396.9548,"BD11PN","BD1","1PN",-1.754042,53.793959,1
308.7634,"BD11PP","BD1","1PP",-1.75287,53.794379,1
308.8332,"BD11PR","BD1","1PR",-1.752735,53.794163,1
306.1313,"BD11PS","BD1","1PS",-1.752524,53.793956,1
316.6652,"BD11PT","BD1","1PT",-1.753082,53.794559,1
329.1868,"BD11PU","BD1","1PU",-1.752903,53.793939,1
350.1814,"BD11PX","BD1","1PX",-1.752529,53.793057,1
413.8818,"BD11PZ","BD1","1PZ",-1.754525,53.794364,1
320.3455,"BD11QA","BD1","1QA",-1.753202,53.79473,1
268.2089,"BD11QB","BD1","1QB",-1.752442,53.794881,1
277.8108,"BD11QD","BD1","1QD",-1.752597,53.794906,1
268.2089,"BD11QE","BD1","1QE",-1.752442,53.794881,1
273.6239,"BD11QF","BD1","1QF",-1.752518,53.794855,1
273.6239,"BD11QH","BD1","1QH",-1.752518,53.794855,1
273.6239,"BD11QJ","BD1","1QJ",-1.752518,53.794855,1
271.2225,"BD11QL","BD1","1QL",-1.752532,53.795079,1
305.8116,"BD11QN","BD1","1QN",-1.753049,53.795009,1
417.4301,"BD11QP","BD1","1QP",-1.754779,53.79512,1
162.3881,"BD11QQ","BD1","1QQ",-1.755843,53.802636,1
472.3396,"BD11QR","BD1","1QR",-1.755555,53.794771,1
390.0629,"BD11QS","BD1","1QS",-1.754101,53.794256,1
410.3169,"BD11QT","BD1","1QT",-1.754554,53.794598,1
456.1576,"BD11QU","BD1","1QU",-1.755356,53.795022,1
419.3872,"BD11QX","BD1","1QX",-1.754735,53.794742,1
439.9434,"BD11QY","BD1","1QY",-1.755069,53.794824,1
273.6239,"BD11QZ","BD1","1QZ",-1.752518,53.794855,1
343.9449,"BD11RA","BD1","1RA",-1.75354,53.794647,1
356.7811,"BD11RB","BD1","1RB",-1.753543,53.794206,1
343.2667,"BD11RD","BD1","1RD",-1.753402,53.794344,1
