"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
32.76948,"BN140AA","BN14","0AA",-0.393779,50.839075,1
61.10522,"BN140AB","BN14","0AB",-0.393165,50.840397,1
126.8688,"BN140AD","BN14","0AD",-0.392412,50.839991,1
139.7873,"BN140AE","BN14","0AE",-0.393367,50.841965,1
82.29922,"BN140AF","BN14","0AF",-0.392185,50.839178,1
232.058,"BN140AG","BN14","0AG",-0.392351,50.842607,1
331.2814,"BN140AH","BN14","0AH",-0.39336,50.845076,1
371.4038,"BN140AJ","BN14","0AJ",-0.391347,50.84414,1
299.9965,"BN140AL","BN14","0AL",-0.392007,50.845597,1
253.0507,"BN140AN","BN14","0AN",-0.39097,50.846006,1
237.1017,"BN140AP","BN14","0AP",-0.393711,50.846016,1
270.6189,"BN140AQ","BN14","0AQ",-0.39384,50.843905,1
140.6233,"BN140AR","BN14","0AR",-0.394641,50.846659,1
184.9204,"BN140AS","BN14","0AS",-0.393331,50.847144,1
241.9736,"BN140AT","BN14","0AT",-0.394868,50.845412,1
124.9109,"BN140AU","BN14","0AU",-0.395603,50.846357,1
158.9184,"BN140AW","BN14","0AW",-0.391807,50.846862,1
126.9435,"BN140AX","BN14","0AX",-0.392054,50.840921,1
232.1714,"BN140AY","BN14","0AY",-0.39953,50.850397,1
100.0343,"BN140AZ","BN14","0AZ",-0.394389,50.841574,1
142.2557,"BN140BA","BN14","0BA",-0.3953,50.843187,1
212.223,"BN140BB","BN14","0BB",-0.394933,50.843947,1
220.7035,"BN140BD","BN14","0BD",-0.396304,50.84455,1
189.1082,"BN140BE","BN14","0BE",-0.395625,50.844046,1
223.1897,"BN140BF","BN14","0BF",-0.398645,50.849187,1
183.5739,"BN140BG","BN14","0BG",-0.396363,50.84572,1
116.2628,"BN140BH","BN14","0BH",-0.395891,50.84333,1
141.0079,"BN140BJ","BN14","0BJ",-0.396881,50.843893,1
241.0253,"BN140BL","BN14","0BL",-0.398074,50.844718,1
59.89067,"BN140BN","BN14","0BN",-0.397232,50.843169,1
262.19,"BN140BP","BN14","0BP",-0.398875,50.84546,1
94.69578,"BN140BQ","BN14","0BQ",-0.397818,50.848042,1
173.6912,"BN140BS","BN14","0BS",-0.399056,50.846728,1
168.8332,"BN140BT","BN14","0BT",-0.39759,50.845998,1
83.55426,"BN140BU","BN14","0BU",-0.397907,50.84709,1
72.08951,"BN140BW","BN14","0BW",-0.396163,50.842857,1
187.4719,"BN140BX","BN14","0BX",-0.399056,50.848401,1
288.0254,"BN140BY","BN14","0BY",-0.40054,50.850679,1
198.8981,"BN140BZ","BN14","0BZ",-0.402035,50.850582,1
145.5003,"BN140DA","BN14","0DA",-0.401948,50.849385,1
227.4297,"BN140DB","BN14","0DB",-0.40089,50.848768,1
262.637,"BN140DD","BN14","0DD",-0.400277,50.849236,1
192.8287,"BN140DE","BN14","0DE",-0.394384,50.842554,1
549.9751,"BN140DF","BN14","0DF",-0.399568,50.855027,0
549.9751,"BN140DG","BN14","0DG",-0.399568,50.855027,0
35.08299,"BN140DH","BN14","0DH",-0.396088,50.84711,1
126.8679,"BN140DJ","BN14","0DJ",-0.396377,50.848625,1
148.4418,"BN140DL","BN14","0DL",-0.395859,50.848816,1
113.471,"BN140DN","BN14","0DN",-0.397722,50.850103,1
135.2674,"BN140DP","BN14","0DP",-0.397678,50.851296,1
188.3584,"BN140DQ","BN14","0DQ",-0.370957,50.814126,1
235.6345,"BN140DR","BN14","0DR",-0.398649,50.851975,1
258.659,"BN140DS","BN14","0DS",-0.396259,50.852913,1
95.10173,"BN140DT","BN14","0DT",-0.396241,50.85144,1
55.92896,"BN140DU","BN14","0DU",-0.39501,50.850065,1
141.4242,"BN140DW","BN14","0DW",-0.398067,50.849973,1
184.7787,"BN140DX","BN14","0DX",-0.394108,50.848927,1
99.77782,"BN140DY","BN14","0DY",-0.394243,50.850808,1
187.8487,"BN140DZ","BN14","0DZ",-0.39481,50.852066,1
336.2327,"BN140EA","BN14","0EA",-0.394099,50.853333,1
243.7226,"BN140EB","BN14","0EB",-0.393303,50.852117,1
163.2358,"BN140ED","BN14","0ED",-0.393553,50.847732,1
170.9668,"BN140EE","BN14","0EE",-0.393114,50.850577,1
107.5772,"BN140EF","BN14","0EF",-0.392459,50.848958,1
204.0134,"BN140EG","BN14","0EG",-0.370715,50.81414,1
188.3584,"BN140EH","BN14","0EH",-0.370957,50.814126,1
174.8489,"BN140EJ","BN14","0EJ",-0.397904,50.849267,1
115.7626,"BN140EL","BN14","0EL",-0.397378,50.848432,1
70.57568,"BN140EN","BN14","0EN",-0.397107,50.848059,1
237.0888,"BN140EP","BN14","0EP",-0.399525,50.850946,1
549.9751,"BN140EQ","BN14","0EQ",-0.399568,50.855027,0
188.3584,"BN140ER","BN14","0ER",-0.370957,50.814126,1
348.9546,"BN140ES","BN14","0ES",-0.402263,50.85224,1
447.5171,"BN140ET","BN14","0ET",-0.400718,50.85337,1
455.8736,"BN140EU","BN14","0EU",-0.402356,50.853267,1
307.0655,"BN140EW","BN14","0EW",-0.404665,50.868856,1
493.2776,"BN140EX","BN14","0EX",-0.403661,50.853734,1
616.0487,"BN140EY","BN14","0EY",-0.402037,50.854701,1
489.9063,"BN140EZ","BN14","0EZ",-0.402996,50.853662,1
377.9188,"BN140GF","BN14","0GF",-0.404776,50.867698,1
188.3584,"BN140GY","BN14","0GY",-0.370957,50.814126,1
667.6746,"BN140HA","BN14","0HA",-0.401728,50.855434,0
597.4089,"BN140HB","BN14","0HB",-0.400543,50.855175,0
409.0303,"BN140HD","BN14","0HD",-0.399778,50.853447,1
203.5698,"BN140HE","BN14","0HE",-0.398858,50.851258,1
143.859,"BN140HF","BN14","0HF",-0.398275,50.850468,1
300.1793,"BN140HG","BN14","0HG",-0.396047,50.853288,1
549.9751,"BN140HH","BN14","0HH",-0.399568,50.855027,0
375.6916,"BN140HJ","BN14","0HJ",-0.39881,50.853506,1
588.3972,"BN140HL","BN14","0HL",-0.399813,50.855336,0
409.0171,"BN140HN","BN14","0HN",-0.397124,50.854211,1
757.1783,"BN140HP","BN14","0HP",-0.401032,50.856648,0
549.9751,"BN140HQ","BN14","0HQ",-0.399568,50.855027,0
387.2177,"BN140HR","BN14","0HR",-0.395921,50.854069,1
605.0062,"BN140HS","BN14","0HS",-0.397832,50.85592,0
767.2297,"BN140HT","BN14","0HT",-0.399152,50.857216,0
604.0726,"BN140HU","BN14","0HU",-0.396906,50.855998,0
365.4712,"BN140HW","BN14","0HW",-0.397394,50.853774,1
431.0736,"BN140HX","BN14","0HX",-0.394378,50.854308,1
549.9751,"BN140HY","BN14","0HY",-0.399568,50.855027,0
319.0327,"BN140HZ","BN14","0HZ",-0.391798,50.852069,1
181.5089,"BN140JA","BN14","0JA",-0.391746,50.849883,1
188.3584,"BN140JB","BN14","0JB",-0.370957,50.814126,1
188.3584,"BN140JD","BN14","0JD",-0.370957,50.814126,1
549.9751,"BN140JE","BN14","0JE",-0.399568,50.855027,0
204.0134,"BN140JF","BN14","0JF",-0.370715,50.81414,1
188.3584,"BN140JG","BN14","0JG",-0.370957,50.814126,1
308.7191,"BN140JJ","BN14","0JJ",-0.393147,50.843814,1
188.3584,"BN140JX","BN14","0JX",-0.370957,50.814126,1
188.3584,"BN140NA","BN14","0NA",-0.370957,50.814126,1
150.7,"BN140QZ","BN14","0QZ",-0.407912,50.868253,1
