"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
231.7002,"BR31AA","BR3","1AA",-0.032385,51.407682,1
115.5085,"BR31AB","BR3","1AB",-0.032098,51.406652,1
77.24254,"BR31AD","BR3","1AD",-0.030264,51.406162,1
123.346,"BR31AE","BR3","1AE",-0.028992,51.406321,1
147.5883,"BR31AF","BR3","1AF",-0.028489,51.406312,1
235.7791,"BR31AG","BR3","1AG",-0.027712,51.407001,1
103.8247,"BR31AH","BR3","1AH",-0.030225,51.406404,1
112.5023,"BR31AJ","BR3","1AJ",-0.028803,51.406048,1
211.1782,"BR31AL","BR3","1AL",-0.048051,51.396361,1
168.9448,"BR31AN","BR3","1AN",-0.025979,51.407502,1
77.24254,"BR31AP","BR3","1AP",-0.030264,51.406162,1
218.5153,"BR31AQ","BR3","1AQ",-0.027807,51.406795,1
77.24254,"BR31AR","BR3","1AR",-0.030264,51.406162,1
211.1782,"BR31AS","BR3","1AS",-0.048051,51.396361,1
68.49412,"BR31AT","BR3","1AT",-0.031369,51.406208,1
251.2475,"BR31AU","BR3","1AU",-0.034079,51.414778,1
96.63646,"BR31AW","BR3","1AW",-0.025081,51.407991,1
32.4094,"BR31AX","BR3","1AX",-0.024642,51.409179,1
33.06594,"BR31AY","BR3","1AY",-0.025472,51.409598,1
63.47276,"BR31AZ","BR3","1AZ",-0.025154,51.410627,1
109.9364,"BR31BA","BR3","1BA",-0.03054,51.406428,1
109.6589,"BR31BB","BR3","1BB",-0.029878,51.415149,1
33.06594,"BR31BD","BR3","1BD",-0.025472,51.409598,1
86.84454,"BR31BE","BR3","1BE",-0.02576,51.410583,1
64.93138,"BR31BF","BR3","1BF",-0.025583,51.418709,1
34.01153,"BR31BG","BR3","1BG",-0.024613,51.409188,1
98.74025,"BR31BH","BR3","1BH",-0.025233,51.41847,1
122.6689,"BR31BJ","BR3","1BJ",-0.025026,51.418277,1
34.69632,"BR31BL","BR3","1BL",-0.025262,51.410125,1
111.4175,"BR31BN","BR3","1BN",-0.031825,51.406638,1
211.1782,"BR31BP","BR3","1BP",-0.048051,51.396361,1
49.80376,"BR31BQ","BR3","1BQ",-0.025634,51.409852,1
132.3716,"BR31BS","BR3","1BS",-0.025224,51.41802,1
34.69632,"BR31BT","BR3","1BT",-0.025262,51.410125,1
83.42364,"BR31BU","BR3","1BU",-0.025875,51.418274,1
87.2132,"BR31BW","BR3","1BW",-0.037505,51.422417,1
186.2027,"BR31BX","BR3","1BX",-0.028118,51.406576,1
119.923,"BR31BY","BR3","1BY",-0.034191,51.41853,1
59.23425,"BR31BZ","BR3","1BZ",-0.038754,51.413076,1
30.25211,"BR31DA","BR3","1DA",-0.024941,51.408582,1
55.5964,"BR31DB","BR3","1DB",-0.025799,51.409684,1
137.2944,"BR31DD","BR3","1DD",-0.031007,51.414655,1
122.1146,"BR31DE","BR3","1DE",-0.026127,51.40808,1
227.5537,"BR31DF","BR3","1DF",-0.027811,51.417065,1
193.6467,"BR31DG","BR3","1DG",-0.028397,51.417471,1
169.3682,"BR31DH","BR3","1DH",-0.029471,51.417264,1
206.5108,"BR31DJ","BR3","1DJ",-0.029323,51.417684,1
101.547,"BR31DL","BR3","1DL",-0.049249,51.399286,1
170.9694,"BR31DN","BR3","1DN",-0.028075,51.417618,1
86.84454,"BR31DP","BR3","1DP",-0.02576,51.410583,1
31.96167,"BR31DQ","BR3","1DQ",-0.030216,51.419992,1
24.49176,"BR31DR","BR3","1DR",-0.027283,51.419305,1
74.11014,"BR31DS","BR3","1DS",-0.029437,51.419727,1
143.164,"BR31DT","BR3","1DT",-0.027058,51.408842,1
117.3304,"BR31DU","BR3","1DU",-0.026692,51.409645,1
74.22685,"BR31DW","BR3","1DW",-0.030737,51.419578,1
141.8333,"BR31DX","BR3","1DX",-0.029252,51.406622,1
143.9392,"BR31DY","BR3","1DY",-0.031154,51.406879,1
144.6583,"BR31DZ","BR3","1DZ",-0.03044,51.406759,1
192.7243,"BR31EA","BR3","1EA",-0.027063,51.407763,1
149.1853,"BR31EB","BR3","1EB",-0.026196,51.407802,1
72.46441,"BR31ED","BR3","1ED",-0.025483,51.40833,1
283.0526,"BR31EE","BR3","1EE",-0.029467,51.407983,1
237.1024,"BR31EF","BR3","1EF",-0.028358,51.410042,1
203.7437,"BR31EG","BR3","1EG",-0.027902,51.409927,1
29.60344,"BR31EH","BR3","1EH",-0.041463,51.41394,1
218.1076,"BR31EJ","BR3","1EJ",-0.028482,51.40714,1
66.60994,"BR31EL","BR3","1EL",-0.034754,51.417532,1
162.332,"BR31EN","BR3","1EN",-0.028861,51.406696,1
85.99462,"BR31EP","BR3","1EP",-0.043589,51.409974,1
285.8745,"BR31EQ","BR3","1EQ",-0.028888,51.408073,1
163.7662,"BR31ER","BR3","1ER",-0.025477,51.421828,1
404.3667,"BR31ES","BR3","1ES",-0.030321,51.411208,1
34.63111,"BR31ET","BR3","1ET",-0.025394,51.408733,1
117.1915,"BR31EU","BR3","1EU",-0.028827,51.406138,1
260.393,"BR31EW","BR3","1EW",-0.028053,51.40742,1
196.054,"BR31EX","BR3","1EX",-0.027313,51.407911,1
117.1915,"BR31EY","BR3","1EY",-0.028827,51.406138,1
137.2547,"BR31EZ","BR3","1EZ",-0.030992,51.414655,1
211.1782,"BR31FA","BR3","1FA",-0.048051,51.396361,1
66.64929,"BR31FB","BR3","1FB",-0.035079,51.419004,1
66.64929,"BR31FD","BR3","1FD",-0.035079,51.419004,1
203.5981,"BR31FZ","BR3","1FZ",-0.033008,51.414599,1
197.5345,"BR31GA","BR3","1GA",-0.028789,51.407037,1
211.1782,"BR31GB","BR3","1GB",-0.048051,51.396361,1
214.399,"BR31GD","BR3","1GD",-0.048151,51.396363,1
211.1782,"BR31GE","BR3","1GE",-0.048051,51.396361,1
214.399,"BR31GF","BR3","1GF",-0.048151,51.396363,1
211.1782,"BR31GJ","BR3","1GJ",-0.048051,51.396361,1
101.547,"BR31GL","BR3","1GL",-0.049249,51.399286,1
137.2944,"BR31GN","BR3","1GN",-0.031007,51.414655,1
214.399,"BR31GP","BR3","1GP",-0.048151,51.396363,1
137.2944,"BR31GQ","BR3","1GQ",-0.031007,51.414655,1
211.1782,"BR31GR","BR3","1GR",-0.048051,51.396361,1
211.1782,"BR31GS","BR3","1GS",-0.048051,51.396361,1
211.1782,"BR31GT","BR3","1GT",-0.048051,51.396361,1
101.547,"BR31GU","BR3","1GU",-0.049249,51.399286,1
137.2547,"BR31GW","BR3","1GW",-0.030992,51.414655,1
197.5345,"BR31GX","BR3","1GX",-0.028789,51.407037,1
211.1782,"BR31GY","BR3","1GY",-0.048051,51.396361,1
234.9045,"BR31GZ","BR3","1GZ",-0.030732,51.407654,1
350.6118,"BR31HA","BR3","1HA",-0.031673,51.410862,1
390.7063,"BR31HB","BR3","1HB",-0.030951,51.410922,1
101.6284,"BR31HD","BR3","1HD",-0.034592,51.412197,1
262.7049,"BR31HE","BR3","1HE",-0.032942,51.411108,1
