"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
95.36659,"BS231AA","BS23","1AA",-2.977175,51.346997,1
42.04631,"BS231AB","BS23","1AB",-2.97962,51.34917,1
154.9817,"BS231AD","BS23","1AD",-2.97638,51.34471,1
90.39286,"BS231AE","BS23","1AE",-2.960068,51.344638,1
237.3778,"BS231AF","BS23","1AF",-2.957023,51.343881,1
135.5652,"BS231AG","BS23","1AG",-2.982108,51.349356,1
66.25609,"BS231AH","BS23","1AH",-2.980949,51.348607,1
24.45219,"BS231AJ","BS23","1AJ",-2.981335,51.347876,1
126.5425,"BS231AL","BS23","1AL",-2.981704,51.346965,1
40.81253,"BS231AN","BS23","1AN",-2.981356,51.348454,1
45.51571,"BS231AP","BS23","1AP",-2.980876,51.347862,1
98.30723,"BS231AQ","BS23","1AQ",-2.981551,51.349496,1
56.32512,"BS231AR","BS23","1AR",-2.980824,51.348432,1
121.2351,"BS231AS","BS23","1AS",-2.980112,51.347368,1
211.1917,"BS231AT","BS23","1AT",-2.980912,51.34618,1
177.8678,"BS231AU","BS23","1AU",-2.98039,51.346625,1
34.3624,"BS231AW","BS23","1AW",-2.981,51.347927,1
161.0225,"BS231AX","BS23","1AX",-2.980153,51.346294,1
168.9743,"BS231AY","BS23","1AY",-2.980318,51.345933,1
88.68733,"BS231AZ","BS23","1AZ",-2.978668,51.346693,1
62.62202,"BS231BA","BS23","1BA",-2.980084,51.343358,1
23.54048,"BS231BB","BS23","1BB",-2.980538,51.343075,1
26.23799,"BS231BD","BS23","1BD",-2.980048,51.342989,1
83.01739,"BS231BE","BS23","1BE",-2.982501,51.342597,1
18.53787,"BS231BF","BS23","1BF",-2.981507,51.340711,1
94.37969,"BS231BG","BS23","1BG",-2.980537,51.341025,1
52.80493,"BS231BH","BS23","1BH",-2.981019,51.339375,1
125.7572,"BS231BJ","BS23","1BJ",-2.979663,51.339764,1
119.4632,"BS231BL","BS23","1BL",-2.979807,51.33949,1
151.2252,"BS231BN","BS23","1BN",-2.977405,51.339267,1
273.6476,"BS231BP","BS23","1BP",-2.973651,51.338948,1
57.65965,"BS231BQ","BS23","1BQ",-2.980847,51.340096,1
204.0344,"BS231BS","BS23","1BS",-2.974781,51.338741,1
46.27418,"BS231BT","BS23","1BT",-2.980196,51.343222,1
112.0106,"BS231BU","BS23","1BU",-2.980414,51.341305,1
214.5314,"BS231BW","BS23","1BW",-2.975304,51.339051,1
90.39286,"BS231BX","BS23","1BX",-2.960068,51.344638,1
133.6365,"BS231DA","BS23","1DA",-2.979036,51.340678,1
191.367,"BS231DB","BS23","1DB",-2.977026,51.340376,1
193.9465,"BS231DD","BS23","1DD",-2.974848,51.340173,1
266.9288,"BS231DE","BS23","1DE",-2.973227,51.339967,1
217.51,"BS231DF","BS23","1DF",-2.975064,51.339925,1
150.1347,"BS231DG","BS23","1DG",-2.979547,51.340368,1
166.7863,"BS231DH","BS23","1DH",-2.97866,51.343909,1
90.39286,"BS231DJ","BS23","1DJ",-2.960068,51.344638,1
90.39286,"BS231DL","BS23","1DL",-2.960068,51.344638,1
111.5749,"BS231DN","BS23","1DN",-2.979969,51.33862,1
56.40052,"BS231DP","BS23","1DP",-2.977443,51.338377,1
213.3925,"BS231DQ","BS23","1DQ",-2.977044,51.340155,1
151.8546,"BS231DR","BS23","1DR",-2.975443,51.338451,1
262.6459,"BS231DS","BS23","1DS",-2.973165,51.338349,1
120.274,"BS231DT","BS23","1DT",-2.975616,51.338185,1
253.614,"BS231DU","BS23","1DU",-2.973131,51.338107,1
139.4539,"BS231DW","BS23","1DW",-2.979774,51.338891,1
90.39286,"BS231DX","BS23","1DX",-2.960068,51.344638,1
237.3778,"BS231DY","BS23","1DY",-2.957023,51.343881,1
238.4115,"BS231DZ","BS23","1DZ",-2.957008,51.343872,1
119.8589,"BS231EA","BS23","1EA",-2.978281,51.340927,1
143.1023,"BS231EB","BS23","1EB",-2.977632,51.340788,1
224.416,"BS231ED","BS23","1ED",-2.977787,51.339978,1
124.5796,"BS231EE","BS23","1EE",-2.977998,51.339086,1
35.8051,"BS231EF","BS23","1EF",-2.978626,51.338271,1
90.39286,"BS231EG","BS23","1EG",-2.960068,51.344638,1
84.00626,"BS231EH","BS23","1EH",-2.976496,51.338019,1
145.0067,"BS231EJ","BS23","1EJ",-2.976283,51.338813,1
237.3778,"BS231EL","BS23","1EL",-2.957023,51.343881,1
229.0447,"BS231EN","BS23","1EN",-2.976101,51.339686,1
145.8701,"BS231EP","BS23","1EP",-2.975939,51.340556,1
173.7361,"BS231EQ","BS23","1EQ",-2.97759,51.339503,1
151.7024,"BS231ER","BS23","1ER",-2.975077,51.340528,1
151.1973,"BS231ES","BS23","1ES",-2.976702,51.340676,1
75.68332,"BS231ET","BS23","1ET",-2.976308,51.34133,1
103.4445,"BS231EU","BS23","1EU",-2.976279,51.341021,1
162.2066,"BS231EW","BS23","1EW",-2.976657,51.339193,1
90.39286,"BS231EX","BS23","1EX",-2.960068,51.344638,1
90.39286,"BS231EY","BS23","1EY",-2.960068,51.344638,1
200.6766,"BS231EZ","BS23","1EZ",-2.978344,51.34794,1
182.7893,"BS231FD","BS23","1FD",-2.978053,51.343716,1
150.4227,"BS231FE","BS23","1FE",-2.980016,51.346236,1
46.25823,"BS231FF","BS23","1FF",-2.978518,51.345705,1
174.9814,"BS231FG","BS23","1FG",-2.975767,51.338844,1
88.74311,"BS231HA","BS23","1HA",-2.978662,51.346697,1
90.39286,"BS231HB","BS23","1HB",-2.960068,51.344638,1
167.5629,"BS231HD","BS23","1HD",-2.978927,51.348049,1
79.93354,"BS231HE","BS23","1HE",-2.979289,51.348873,1
68.0376,"BS231HF","BS23","1HF",-2.980653,51.348469,1
227.3886,"BS231HG","BS23","1HG",-2.974637,51.347527,1
108.9671,"BS231HH","BS23","1HH",-2.980691,51.350267,1
55.6588,"BS231HJ","BS23","1HJ",-2.979396,51.349187,1
92.81462,"BS231HL","BS23","1HL",-2.980266,51.348509,1
55.75465,"BS231HN","BS23","1HN",-2.979388,51.350833,1
74.43501,"BS231HP","BS23","1HP",-2.979155,51.350664,1
111.9616,"BS231HQ","BS23","1HQ",-2.979543,51.350277,1
95.53347,"BS231HR","BS23","1HR",-2.978987,51.350489,1
72.4568,"BS231HS","BS23","1HS",-2.979113,51.34936,1
89.64918,"BS231HT","BS23","1HT",-2.978895,51.349518,1
71.91257,"BS231HU","BS23","1HU",-2.979128,51.349423,1
108.9243,"BS231HW","BS23","1HW",-2.978628,51.349125,1
128.1323,"BS231HX","BS23","1HX",-2.978507,51.348829,1
164.3773,"BS231HY","BS23","1HY",-2.979198,51.347582,1
55.61017,"BS231HZ","BS23","1HZ",-2.977913,51.346595,1
170.3015,"BS231JA","BS23","1JA",-2.978642,51.348141,1
131.0028,"BS231JB","BS23","1JB",-2.978709,51.34859,1
116.1861,"BS231JD","BS23","1JD",-2.979217,51.348481,1
191.1027,"BS231JE","BS23","1JE",-2.97847,51.347768,1
116.4262,"BS231JF","BS23","1JF",-2.978346,51.347092,1
60.8281,"BS231JG","BS23","1JG",-2.9798,51.350886,1
83.57511,"BS231JH","BS23","1JH",-2.977982,51.346843,1
64.01063,"BS231JJ","BS23","1JJ",-2.979236,51.34938,1
111.9616,"BS231JL","BS23","1JL",-2.979543,51.350277,1
100.0168,"BS231JN","BS23","1JN",-2.980188,51.350245,1
128.2237,"BS231JP","BS23","1JP",-2.981195,51.350299,1
90.39286,"BS231JQ","BS23","1JQ",-2.960068,51.344638,1
112.8154,"BS231JR","BS23","1JR",-2.979975,51.350354,1
108.9671,"BS231JS","BS23","1JS",-2.980691,51.350267,1
97.69791,"BS231JT","BS23","1JT",-2.979798,51.350514,1
102.1644,"BS231JU","BS23","1JU",-2.980503,51.350562,1
115.3081,"BS231JW","BS23","1JW",-2.980435,51.350368,1
35.9169,"BS231JX","BS23","1JX",-2.980672,51.349368,1
76.32847,"BS231JY","BS23","1JY",-2.980004,51.350738,1
58.12548,"BS231JZ","BS23","1JZ",-2.980281,51.350933,1
131.6839,"BS231LA","BS23","1LA",-2.978614,51.350219,1
125.8243,"BS231LB","BS23","1LB",-2.978924,51.350219,1
129.6204,"BS231LD","BS23","1LD",-2.978609,51.35024,1
153.363,"BS231LE","BS23","1LE",-2.97782,51.350291,1
152.8364,"BS231LF","BS23","1LF",-2.977854,51.350279,1
144.5199,"BS231LG","BS23","1LG",-2.978307,51.349942,1
90.39286,"BS231LH","BS23","1LH",-2.960068,51.344638,1
160.9567,"BS231LJ","BS23","1LJ",-2.977983,51.349849,1
238.4115,"BS231LL","BS23","1LL",-2.957008,51.343872,1
178.6882,"BS231LN","BS23","1LN",-2.977706,51.350055,1
137.6011,"BS231LP","BS23","1LP",-2.977296,51.344568,1
113.4877,"BS231LQ","BS23","1LQ",-2.978729,51.349843,1
90.39286,"BS231LR","BS23","1LR",-2.960068,51.344638,1
143.1097,"BS231LS","BS23","1LS",-2.977322,51.350895,1
154.6624,"BS231LT","BS23","1LT",-2.976832,51.351127,1
111.3179,"BS231LU","BS23","1LU",-2.978912,51.350354,1
202.1994,"BS231LW","BS23","1LW",-2.977161,51.350078,1
90.39286,"BS231LX","BS23","1LX",-2.960068,51.344638,1
146.7235,"BS231LY","BS23","1LY",-2.977488,51.350624,1
158.9165,"BS231LZ","BS23","1LZ",-2.976495,51.350779,1
198.0572,"BS231NA","BS23","1NA",-2.976442,51.350021,1
187.8353,"BS231NB","BS23","1NB",-2.97622,51.350008,1
187.8353,"BS231ND","BS23","1ND",-2.97622,51.350008,1
245.8308,"BS231NE","BS23","1NE",-2.976365,51.349404,1
118.8229,"BS231NF","BS23","1NF",-2.974175,51.350139,1
204.7672,"BS231NG","BS23","1NG",-2.973079,51.349531,1
203.4336,"BS231NH","BS23","1NH",-2.974929,51.349416,1
185.7589,"BS231NJ","BS23","1NJ",-2.980058,51.344806,1
89.57787,"BS231NL","BS23","1NL",-2.97695,51.345182,1
183.0208,"BS231NN","BS23","1NN",-2.976607,51.350397,1
169.0913,"BS231NP","BS23","1NP",-2.97643,51.350456,1
156.7484,"BS231NQ","BS23","1NQ",-2.975473,51.349996,1
148.8874,"BS231NR","BS23","1NR",-2.976048,51.35042,1
161.1726,"BS231NS","BS23","1NS",-2.976316,51.350475,1
161.1726,"BS231NT","BS23","1NT",-2.976316,51.350475,1
112.166,"BS231NU","BS23","1NU",-2.973513,51.350327,1
153.363,"BS231NW","BS23","1NW",-2.97782,51.350291,1
109.2838,"BS231NX","BS23","1NX",-2.975403,51.350497,1
65.39633,"BS231NY","BS23","1NY",-2.974697,51.350668,1
78.44268,"BS231NZ","BS23","1NZ",-2.97532,51.350888,1
