"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
126400.1,"BT790AA","BT79","0AA",-7.296663,54.600629,1
126342.6,"BT790AB","BT79","0AB",-7.296637,54.601212,1
126345.9,"BT790AD","BT79","0AD",-7.29793,54.601597,1
126379.9,"BT790AE","BT79","0AE",-7.295721,54.600533,1
126315.6,"BT790AF","BT79","0AF",-7.295786,54.601216,1
126274.9,"BT790AG","BT79","0AG",-7.29384,54.601007,1
126293.5,"BT790AH","BT79","0AH",-7.293797,54.600801,1
126217.9,"BT790AJ","BT79","0AJ",-7.292045,54.601015,1
126123.8,"BT790AL","BT79","0AL",-7.28912,54.601043,1
126099.3,"BT790AN","BT79","0AN",-7.285685,54.600196,1
125973.1,"BT790AP","BT79","0AP",-7.284246,54.601032,1
126342.6,"BT790AQ","BT79","0AQ",-7.293914,54.600334,1
126226.8,"BT790AR","BT79","0AR",-7.285246,54.598747,1
126250,"BT790AS","BT79","0AS",-7.279465,54.596674,1
126242.3,"BT790AT","BT79","0AT",-7.273279,54.594804,1
125980.5,"BT790AU","BT79","0AU",-7.281324,54.600026,1
126138.3,"BT790AW","BT79","0AW",-7.287876,54.600496,1
125904.5,"BT790AX","BT79","0AX",-7.287035,54.602629,1
125929.2,"BT790AY","BT79","0AY",-7.288101,54.602717,1
125925.5,"BT790AZ","BT79","0AZ",-7.288177,54.60278,1
126282.8,"BT790BA","BT79","0BA",-7.285994,54.59841,1
126318.2,"BT790BB","BT79","0BB",-7.293802,54.600549,1
126370.9,"BT790BD","BT79","0BD",-7.294011,54.600074,1
127871.2,"BT790BE","BT79","0BE",-7.280156,54.58031,1
127929.1,"BT790BF","BT79","0BF",-7.283412,54.580734,1
127931.4,"BT790BG","BT79","0BG",-7.283458,54.580725,1
127997.8,"BT790BH","BT79","0BH",-7.280624,54.579163,1
128431.8,"BT790BJ","BT79","0BJ",-7.278195,54.573983,0
128221.4,"BT790BL","BT79","0BL",-7.272913,54.574499,0
128507.8,"BT790BN","BT79","0BN",-7.269274,54.570471,0
134144.6,"BT790BP","BT79","0BP",-7.220631,54.497581,0
128181.8,"BT790BQ","BT79","0BQ",-7.279504,54.576937,1
134514,"BT790BR","BT79","0BR",-7.209986,54.486129,0
127644.7,"BT790BS","BT79","0BS",-7.164689,54.548692,1
126397.4,"BT790BT","BT79","0BT",-7.296124,54.600482,1
125922.1,"BT790BU","BT79","0BU",-7.269436,54.596874,1
128545.4,"BT790BW","BT79","0BW",-7.270942,54.570598,0
124942.4,"BT790BX","BT79","0BX",-7.265164,54.605553,1
126165.2,"BT790BY","BT79","0BY",-7.283973,54.598973,1
126259.5,"BT790BZ","BT79","0BZ",-7.285944,54.598634,1
126077.6,"BT790DA","BT79","0DA",-7.274833,54.596978,1
125930.2,"BT790DB","BT79","0DB",-7.275068,54.598561,1
126155.6,"BT790DD","BT79","0DD",-7.275878,54.596508,1
126157.3,"BT790DE","BT79","0DE",-7.279125,54.597516,1
126025.4,"BT790DF","BT79","0DF",-7.27784,54.598461,1
125942.1,"BT790DG","BT79","0DG",-7.275809,54.598673,1
125928.4,"BT790DH","BT79","0DH",-7.277037,54.599201,1
125825.5,"BT790DJ","BT79","0DJ",-7.276188,54.599987,1
125825,"BT790DL","BT79","0DL",-7.277388,54.600371,1
125735.1,"BT790DN","BT79","0DN",-7.276156,54.600903,1
126116.9,"BT790DP","BT79","0DP",-7.282472,54.598991,1
125926.3,"BT790DQ","BT79","0DQ",-7.275375,54.598697,1
126018.3,"BT790DR","BT79","0DR",-7.2809,54.599503,1
125949,"BT790DS","BT79","0DS",-7.279134,54.599654,1
126041.5,"BT790DT","BT79","0DT",-7.280797,54.599233,1
126038.1,"BT790DU","BT79","0DU",-7.279704,54.598921,1
125833.7,"BT790DW","BT79","0DW",-7.279205,54.600858,1
126131.5,"BT790DX","BT79","0DX",-7.281336,54.598481,1
126282.2,"BT790DY","BT79","0DY",-7.282348,54.597257,1
126260.4,"BT790DZ","BT79","0DZ",-7.280097,54.596767,1
125879,"BT790EA","BT79","0EA",-7.278736,54.600245,1
126251.9,"BT790EB","BT79","0EB",-7.27645,54.595703,1
125708.1,"BT790ED","BT79","0ED",-7.274166,54.60055,1
126174.5,"BT790EE","BT79","0EE",-7.280851,54.597886,1
126316.8,"BT790EF","BT79","0EF",-7.282246,54.59687,1
126322.1,"BT790EG","BT79","0EG",-7.285417,54.597823,1
126612.6,"BT790EH","BT79","0EH",-7.287453,54.59549,1
126220.2,"BT790EJ","BT79","0EJ",-7.283044,54.598114,1
126449.4,"BT790EL","BT79","0EL",-7.282455,54.595577,1
126651.1,"BT790EN","BT79","0EN",-7.284137,54.594042,1
126388.6,"BT790EP","BT79","0EP",-7.276767,54.594403,1
126278.5,"BT790EQ","BT79","0EQ",-7.288548,54.59927,1
126970.7,"BT790ER","BT79","0ER",-7.283517,54.590571,1
125932.6,"BT790ES","BT79","0ES",-7.261191,54.594201,1
126356.3,"BT790ET","BT79","0ET",-7.276653,54.594698,1
127318.5,"BT790EU","BT79","0EU",-7.276565,54.584834,1
126659,"BT790EW","BT79","0EW",-7.2822,54.593348,1
127611.7,"BT790EX","BT79","0EX",-7.267312,54.578984,0
127844.9,"BT790EY","BT79","0EY",-7.2692,54.57719,0
128128,"BT790EZ","BT79","0EZ",-7.256719,54.57052,0
126083.4,"BT790FB","BT79","0FB",-7.280589,54.598737,1
126376.8,"BT790FD","BT79","0FD",-7.295197,54.600395,1
126376.8,"BT790FF","BT79","0FF",-7.295197,54.600395,1
126376.8,"BT790FG","BT79","0FG",-7.295197,54.600395,1
126169.4,"BT790FH","BT79","0FH",-7.279989,54.597665,1
127113.8,"BT790FJ","BT79","0FJ",-7.155866,54.550149,1
127113.8,"BT790FL","BT79","0FL",-7.155866,54.550149,1
125219.8,"BT790FN","BT79","0FN",-7.272631,54.605068,1
125249.4,"BT790FP","BT79","0FP",-7.272683,54.604781,1
126130.4,"BT790FQ","BT79","0FQ",-7.279828,54.598014,1
126078.9,"BT790FU","BT79","0FU",-7.279896,54.598563,1
124879,"BT790GD","BT79","0GD",-7.264429,54.605971,1
125986.2,"BT790GE","BT79","0GE",-7.286449,54.601602,1
125431.2,"BT790GW","BT79","0GW",-7.269962,54.60206,1
125417.8,"BT790GY","BT79","0GY",-7.269898,54.602177,1
124734.1,"BT790GZ","BT79","0GZ",-7.253539,54.604053,0
127522.3,"BT790HA","BT79","0HA",-7.239814,54.571601,0
128473.6,"BT790HB","BT79","0HB",-7.235334,54.560694,0
129050.5,"BT790HD","BT79","0HD",-7.251153,54.559526,0
129265.7,"BT790HE","BT79","0HE",-7.25582,54.558737,0
129584.7,"BT790HF","BT79","0HF",-7.246348,54.552723,0
129561,"BT790HG","BT79","0HG",-7.239687,54.551019,0
125262.9,"BT790HH","BT79","0HH",-7.270839,54.60406,1
125302.9,"BT790HJ","BT79","0HJ",-7.272046,54.604031,1
125247.8,"BT790HL","BT79","0HL",-7.274391,54.605339,1
126515.1,"BT790HN","BT79","0HN",-7.276682,54.593082,1
126485.1,"BT790HP","BT79","0HP",-7.275215,54.592929,1
129561,"BT790HQ","BT79","0HQ",-7.239687,54.551019,0
125450.5,"BT790HR","BT79","0HR",-7.276305,54.603868,1
123410.2,"BT790HS","BT79","0HS",-7.226223,54.609155,0
124116.9,"BT790HT","BT79","0HT",-7.244006,54.607399,0
121565.6,"BT790HU","BT79","0HU",-7.20058,54.620146,0
125585.7,"BT790HW","BT79","0HW",-7.279314,54.603437,1
120837.9,"BT790HX","BT79","0HX",-7.189523,54.624223,0
122307.6,"BT790HY","BT79","0HY",-7.206389,54.614372,0
122282.9,"BT790HZ","BT79","0HZ",-7.200536,54.612887,0
122383.6,"BT790JA","BT79","0JA",-7.195186,54.6103,0
123185.8,"BT790JB","BT79","0JB",-7.219455,54.60939,0
122446.9,"BT790JD","BT79","0JD",-7.214465,54.615377,0
126486.4,"BT790JE","BT79","0JE",-7.275784,54.593094,1
126475.9,"BT790JF","BT79","0JF",-7.277013,54.593587,1
126275.6,"BT790JG","BT79","0JG",-7.275346,54.595113,1
126569.2,"BT790JH","BT79","0JH",-7.276553,54.592488,1
125841.2,"BT790JJ","BT79","0JJ",-7.262559,54.595557,1
117019.3,"BT790JL","BT79","0JL",-7.045741,54.614945,0
125835.6,"BT790JN","BT79","0JN",-7.267958,54.597296,1
124715,"BT790JP","BT79","0JP",-7.245673,54.601822,0
126135.7,"BT790JQ","BT79","0JQ",-7.273413,54.595937,1
123505.3,"BT790JR","BT79","0JR",-7.213362,54.604338,0
122822.6,"BT790JS","BT79","0JS",-7.198719,54.60691,0
