"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
432.5527,"CA93AA","CA9","3AA",-2.448099,54.810419,0
419.653,"CA93AB","CA9","3AB",-2.448192,54.808981,0
311.1654,"CA93AE","CA9","3AE",-2.3405,54.792092,0
675.8836,"CA93AP","CA9","3AP",-2.452057,54.809577,0
606.3653,"CA93AR","CA9","3AR",-2.450867,54.810256,0
626.8565,"CA93AS","CA9","3AS",-2.451507,54.80904,0
966.8062,"CA93AT","CA9","3AT",-2.456845,54.809218,0
827.7687,"CA93AU","CA9","3AU",-2.454452,54.810312,0
994.0035,"CA93BD","CA9","3BD",-2.455137,54.818631,0
1619.283,"CA93BE","CA9","3BE",-2.459965,54.824968,0
443.5094,"CA93BG","CA9","3BG",-2.476057,54.838054,0
962.4202,"CA93BJ","CA9","3BJ",-2.447858,54.799887,0
1460.363,"CA93BL","CA9","3BL",-2.454466,54.79687,0
3022.705,"CA93BN","CA9","3BN",-2.474083,54.787385,0
1941.579,"CA93BP","CA9","3BP",-2.457725,54.792938,0
1297.739,"CA93BS","CA9","3BS",-2.456693,54.799845,0
681.5656,"CA93BT","CA9","3BT",-2.450017,54.803851,0
2741.791,"CA93BU","CA9","3BU",-2.468702,54.780558,0
4354.502,"CA93BW","CA9","3BW",-2.555672,54.772399,0
687.3303,"CA93DA","CA9","3DA",-2.430478,54.803815,0
53.15808,"CA93DB","CA9","3DB",-2.424766,54.789616,0
21.18821,"CA93DD","CA9","3DD",-2.427052,54.785818,0
523.2558,"CA93DE","CA9","3DE",-2.435157,54.786157,0
917.2761,"CA93DF","CA9","3DF",-2.41745,54.777494,0
287.8497,"CA93DG","CA9","3DG",-2.401151,54.77213,0
232.3194,"CA93DH","CA9","3DH",-2.401592,54.772676,0
290.5776,"CA93DJ","CA9","3DJ",-2.402558,54.771352,0
356.3535,"CA93DP","CA9","3DP",-2.40283,54.770623,0
305.9845,"CA93DQ","CA9","3DQ",-2.402061,54.771372,0
141.377,"CA93DR","CA9","3DR",-2.397023,54.768978,0
47.64468,"CA93DS","CA9","3DS",-2.397808,54.768256,0
63.27612,"CA93DT","CA9","3DT",-2.398827,54.768183,0
68.35469,"CA93DU","CA9","3DU",-2.398828,54.768255,0
220.8691,"CA93DX","CA9","3DX",-2.399789,54.769555,0
129.76,"CA93DY","CA9","3DY",-2.398896,54.768902,0
98.92144,"CA93DZ","CA9","3DZ",-2.397123,54.767128,0
292.5968,"CA93EA","CA9","3EA",-2.396754,54.765321,0
196.1024,"CA93EB","CA9","3EB",-2.397206,54.766149,0
691.691,"CA93EH","CA9","3EH",-2.414711,54.771122,0
1196.4,"CA93EJ","CA9","3EJ",-2.437845,54.777251,0
1934.93,"CA93EL","CA9","3EL",-2.45695,54.788144,0
1874.262,"CA93EN","CA9","3EN",-2.456109,54.787552,0
820.6223,"CA93EU","CA9","3EU",-2.406981,54.780888,0
503.2691,"CA93EW","CA9","3EW",-2.393482,54.771535,0
352.6099,"CA93EX","CA9","3EX",-2.399779,54.774866,0
341.1795,"CA93EY","CA9","3EY",-2.394141,54.76994,0
429.2338,"CA93EZ","CA9","3EZ",-2.39139,54.768322,0
517.6123,"CA93GA","CA9","3GA",-2.390097,54.768697,0
517.6123,"CA93GB","CA9","3GB",-2.390097,54.768697,0
250.068,"CA93GD","CA9","3GD",-2.944755,54.890462,1
118.808,"CA93GE","CA9","3GE",-2.438207,54.812153,1
555.8513,"CA93HA","CA9","3HA",-2.390962,54.764956,0
1858.74,"CA93HB","CA9","3HB",-2.375265,54.757508,0
2239.695,"CA93HD","CA9","3HD",-2.36811,54.75747,0
890.5591,"CA93HE","CA9","3HE",-2.392954,54.760393,0
2436.089,"CA93HF","CA9","3HF",-2.381169,54.748218,0
1150.085,"CA93HG","CA9","3HG",-2.393101,54.757903,0
201.8603,"CA93HN","CA9","3HN",-2.441929,54.815339,1
118.808,"CA93HP","CA9","3HP",-2.438207,54.812153,1
114.0526,"CA93HR","CA9","3HR",-2.438254,54.812198,1
54.18437,"CA93HS","CA9","3HS",-2.439068,54.812689,1
95.41753,"CA93HT","CA9","3HT",-2.438413,54.812521,1
67.66563,"CA93HU","CA9","3HU",-2.44095,54.812638,1
126.7099,"CA93HW","CA9","3HW",-2.438746,54.811666,1
50.01684,"CA93HX","CA9","3HX",-2.441693,54.812266,1
99.4999,"CA93HY","CA9","3HY",-2.441265,54.810981,1
12.39355,"CA93HZ","CA9","3HZ",-2.441702,54.813075,1
33.86373,"CA93JA","CA9","3JA",-2.441877,54.813452,1
117.1492,"CA93JB","CA9","3JB",-2.44174,54.814529,1
59.76226,"CA93JD","CA9","3JD",-2.440866,54.813483,1
91.05265,"CA93JE","CA9","3JE",-2.440526,54.813691,1
55.68722,"CA93JF","CA9","3JF",-2.440688,54.8128,1
81.95241,"CA93JG","CA9","3JG",-2.440055,54.813324,1
108.2996,"CA93JH","CA9","3JH",-2.439076,54.813444,1
102.9004,"CA93JJ","CA9","3JJ",-2.438779,54.813257,1
79.83322,"CA93JL","CA9","3JL",-2.440279,54.813276,1
95.07336,"CA93JQ","CA9","3JQ",-2.439137,54.813327,1
203.7435,"CA93JR","CA9","3JR",-2.440525,54.81503,0
178.5185,"CA93JS","CA9","3JS",-2.437756,54.81362,1
585.6361,"CA93JT","CA9","3JT",-2.428936,54.815386,0
92.8927,"CA93JU","CA9","3JU",-2.438736,54.813093,1
404.0116,"CA93JW","CA9","3JW",-2.440921,54.817077,1
212.16,"CA93JX","CA9","3JX",-2.44,54.814868,1
762.7701,"CA93JY","CA9","3JY",-2.445002,54.820234,0
766.5097,"CA93JZ","CA9","3JZ",-2.439586,54.820245,0
90.73243,"CA93LA","CA9","3LA",-2.468023,54.838058,0
755.0122,"CA93LB","CA9","3LB",-2.42144,54.812184,0
1567.335,"CA93LD","CA9","3LD",-2.408236,54.809793,0
2746.434,"CA93LE","CA9","3LE",-2.390739,54.815234,0
2748.605,"CA93LF","CA9","3LF",-2.378033,54.815052,0
2728.511,"CA93LG","CA9","3LG",-2.390107,54.810134,0
1149.126,"CA93LH","CA9","3LH",-2.368386,54.800737,0
776.4606,"CA93LJ","CA9","3LJ",-2.36422,54.798316,0
830.3667,"CA93LL","CA9","3LL",-2.365123,54.798394,0
328.363,"CA93LN","CA9","3LN",-2.358213,54.796249,0
147.6263,"CA93LP","CA9","3LP",-2.352033,54.793877,0
2004.101,"CA93LQ","CA9","3LQ",-2.37829,54.805921,0
479.192,"CA93LR","CA9","3LR",-2.351289,54.789761,0
209.9551,"CA93LS","CA9","3LS",-2.347068,54.789766,0
258.681,"CA93LT","CA9","3LT",-2.347058,54.788607,0
198.6648,"CA93LU","CA9","3LU",-2.346817,54.790538,0
1329.936,"CA93LW","CA9","3LW",-2.373662,54.798368,0
2482.07,"CA93LX","CA9","3LX",-2.37974,54.811254,0
2686.341,"CA93LY","CA9","3LY",-2.3914,54.805466,0
1653.208,"CA93LZ","CA9","3LZ",-2.371912,54.805273,0
553.4362,"CA93NA","CA9","3NA",-2.35524,54.799511,0
1986.074,"CA93NB","CA9","3NB",-2.407185,54.820313,0
1085.607,"CA93ND","CA9","3ND",-2.430862,54.820852,0
1534.827,"CA93NE","CA9","3NE",-2.439896,54.827271,0
2598.392,"CA93NF","CA9","3NF",-2.428615,54.837961,0
3900.073,"CA93NG","CA9","3NG",-2.408439,54.842784,0
1775.87,"CA93NH","CA9","3NH",-2.441454,54.838876,0
692.2195,"CA93NJ","CA9","3NJ",-2.46771,54.846837,0
2185.6,"CA93NL","CA9","3NL",-2.43547,54.835456,0
169.0388,"CA93NP","CA9","3NP",-2.344463,54.787024,0
3618.25,"CA93NQ","CA9","3NQ",-2.414155,54.845937,0
120.056,"CA93NR","CA9","3NR",-2.343062,54.78683,0
163.8051,"CA93NS","CA9","3NS",-2.343479,54.786514,0
162.1325,"CA93NT","CA9","3NT",-2.344166,54.786881,0
247.9945,"CA93PA","CA9","3PA",-2.345298,54.786464,0
406.4542,"CA93PB","CA9","3PB",-2.337251,54.785481,0
310.5876,"CA93PD","CA9","3PD",-2.337666,54.786764,0
109.7735,"CA93PE","CA9","3PE",-2.340601,54.788167,0
114.933,"CA93PF","CA9","3PF",-2.343449,54.78851,0
95.22331,"CA93PG","CA9","3PG",-2.343392,54.78913,0
89.1023,"CA93PH","CA9","3PH",-2.342725,54.788518,0
66.20692,"CA93PJ","CA9","3PJ",-2.342422,54.78836,0
97.66271,"CA93PL","CA9","3PL",-2.3423,54.788657,0
129.7359,"CA93PN","CA9","3PN",-2.340416,54.788356,0
262.9888,"CA93PP","CA9","3PP",-2.339649,54.789644,0
54.33277,"CA93PQ","CA9","3PQ",-2.342963,54.789814,0
269.3366,"CA93PR","CA9","3PR",-2.339573,54.789904,0
230.3431,"CA93PS","CA9","3PS",-2.340268,54.790413,0
181.1335,"CA93PT","CA9","3PT",-2.34103,54.790348,0
150.4094,"CA93PU","CA9","3PU",-2.341732,54.79066,0
77.18593,"CA93PW","CA9","3PW",-2.342598,54.790109,0
211.6641,"CA93PX","CA9","3PX",-2.342067,54.791666,0
415.6882,"CA93PY","CA9","3PY",-2.34508,54.793726,0
47.16398,"CA93PZ","CA9","3PZ",-2.344181,54.790431,0
133.8392,"CA93QA","CA9","3QA",-2.34398,54.78876,0
79.42309,"CA93QH","CA9","3QH",-2.43882,54.812239,1
79.75237,"CA93QJ","CA9","3QJ",-2.43903,54.812078,1
64.49436,"CA93QL","CA9","3QL",-2.43911,54.812231,1
50.80554,"CA93QN","CA9","3QN",-2.439288,54.8123,1
30.51119,"CA93QP","CA9","3QP",-2.439486,54.812454,1
52.23779,"CA93QR","CA9","3QR",-2.439685,54.812139,1
75.83195,"CA93QS","CA9","3QS",-2.439418,54.811969,1
179.3253,"CA93QT","CA9","3QT",-2.439377,54.811008,1
146.4083,"CA93QU","CA9","3QU",-2.439937,54.81106,1
19.71805,"CA93QW","CA9","3QW",-2.439673,54.812471,1
191.1621,"CA93QX","CA9","3QX",-2.439835,54.810206,1
34.76517,"CA93RE","CA9","3RE",-2.440153,54.812317,1
58.89213,"CA93RF","CA9","3RF",-2.440698,54.812333,1
53.09389,"CA93RG","CA9","3RG",-2.440652,54.812396,1
52.43584,"CA93RL","CA9","3RL",-2.440989,54.811874,1
41.8712,"CA93RN","CA9","3RN",-2.441451,54.811503,1
161.7966,"CA93RP","CA9","3RP",-2.443624,54.809599,0
225.8437,"CA93RR","CA9","3RR",-2.445286,54.812128,0
109.4666,"CA93RW","CA9","3RW",-2.439916,54.809119,1
116.9971,"CA93SE","CA9","3SE",-2.438552,54.811881,1
151.7298,"CA93SF","CA9","3SF",-2.438263,54.811605,1
134.6806,"CA93SG","CA9","3SG",-2.438078,54.811199,1
138.8851,"CA93SH","CA9","3SH",-2.437179,54.811553,1
85.42233,"CA93SJ","CA9","3SJ",-2.437245,54.811015,1
61.31434,"CA93SL","CA9","3SL",-2.437304,54.81071,1
31.78282,"CA93SN","CA9","3SN",-2.435052,54.81105,1
40.61579,"CA93SP","CA9","3SP",-2.435603,54.811064,1
137.1237,"CA93SQ","CA9","3SQ",-2.4377,54.8114,1
54.73012,"CA93SR","CA9","3SR",-2.43741,54.810467,1
35.93033,"CA93SS","CA9","3SS",-2.433853,54.811019,1
31.85019,"CA93SW","CA9","3SW",-2.43512,54.811048,1
78.42649,"CA93TG","CA9","3TG",-2.434355,54.811385,1
67.50355,"CA93TH","CA9","3TH",-2.432175,54.81069,0
151.8799,"CA93TJ","CA9","3TJ",-2.430489,54.810671,0
48.23902,"CA93TL","CA9","3TL",-2.434804,54.811195,1
141.6477,"CA93TN","CA9","3TN",-2.435653,54.812019,1
81.32575,"CA93TP","CA9","3TP",-2.431692,54.809705,0
54.32523,"CA93TQ","CA9","3TQ",-2.431901,54.810343,0
253.909,"CA93TR","CA9","3TR",-2.428726,54.810228,0
1175.163,"CA93TS","CA9","3TS",-2.422992,54.800534,0
117.9482,"CA93TW","CA9","3TW",-2.436008,54.81173,1
198.9844,"CA93UA","CA9","3UA",-2.436796,54.812689,1
36.31696,"CA93UB","CA9","3UB",-2.436224,54.810085,1
41.35151,"CA93UD","CA9","3UD",-2.434785,54.809362,1
49.21757,"CA93UE","CA9","3UE",-2.436378,54.809922,1
79.39262,"CA93UF","CA9","3UF",-2.43548,54.80891,1
35.9497,"CA93UG","CA9","3UG",-2.437711,54.808057,1
923.412,"CA93UH","CA9","3UH",-2.437761,54.799762,0
1139.078,"CA93UJ","CA9","3UJ",-2.441857,54.791624,0
959.7313,"CA93UL","CA9","3UL",-2.441839,54.78714,0
378.7035,"CA93UQ","CA9","3UQ",-2.437457,54.804688,0
129.9359,"CA93UX","CA9","3UX",-2.4371,54.80912,1
129.9359,"CA93WA","CA9","3WA",-2.4371,54.80912,1
118.808,"CA93WB","CA9","3WB",-2.438207,54.812153,1
118.808,"CA93WW","CA9","3WW",-2.438207,54.812153,1
118.808,"CA93WX","CA9","3WX",-2.438207,54.812153,1
118.808,"CA93WY","CA9","3WY",-2.438207,54.812153,1
118.808,"CA93WZ","CA9","3WZ",-2.438207,54.812153,1
118.808,"CA93YA","CA9","3YA",-2.438207,54.812153,1
118.808,"CA93YD","CA9","3YD",-2.438207,54.812153,1
