"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
150.9679,"CB20AA","CB2","0AA",0.132982,52.173991,0
202.0058,"CB20AB","CB2","0AB",0.138345,52.177522,1
208.2944,"CB20AD","CB2","0AD",0.137937,52.177557,1
223.366,"CB20AE","CB2","0AE",0.13737,52.177612,1
238.0248,"CB20AF","CB2","0AF",0.136932,52.177647,1
128.1545,"CB20AG","CB2","0AG",0.139999,52.176314,1
299.503,"CB20AH","CB2","0AH",0.14265,52.176392,1
343.3537,"CB20AJ","CB2","0AJ",0.134412,52.170566,0
160.543,"CB20AL","CB2","0AL",0.145552,52.172612,0
46.58681,"CB20AN","CB2","0AN",0.1436,52.171865,0
312.6731,"CB20AP","CB2","0AP",0.147843,52.172507,0
145.4003,"CB20AQ","CB2","0AQ",0.145071,52.172944,0
48.96945,"CB20AR","CB2","0AR",0.142455,52.17238,0
82.06575,"CB20AS","CB2","0AS",0.142224,52.171836,0
312.3449,"CB20AT","CB2","0AT",0.13631,52.173207,0
133.8967,"CB20AU","CB2","0AU",0.138199,52.174508,1
166.6559,"CB20AW","CB2","0AW",0.145722,52.172186,0
310.1884,"CB20AX","CB2","0AX",0.136338,52.17322,0
304.3821,"CB20AY","CB2","0AY",0.136211,52.173321,0
157.2274,"CB20AZ","CB2","0AZ",0.132577,52.175577,0
310.8547,"CB20BA","CB2","0BA",0.132592,52.171948,0
237.5193,"CB20DA","CB2","0DA",0.141723,52.17506,1
145.7725,"CB20DH","CB2","0DH",0.139712,52.176742,1
142.6033,"CB20GG","CB2","0GG",0.138812,52.174448,1
301.743,"CB20NT","CB2","0NT",0.135097,52.190048,1
234.1204,"CB20NU","CB2","0NU",0.134824,52.189244,1
250.2926,"CB20PT","CB2","0PT",0.140925,52.177341,1
128.174,"CB20PY","CB2","0PY",0.14231,52.173327,1
85.86202,"CB20PZ","CB2","0PZ",0.142259,52.172838,1
245.0323,"CB20QD","CB2","0QD",0.141982,52.175901,1
365.6034,"CB20QG","CB2","0QG",0.14285,52.177858,1
243.9001,"CB20QH","CB2","0QH",0.14172,52.176526,1
201.4701,"CB20QJ","CB2","0QJ",0.14532,52.175651,1
227.3451,"CB20QN","CB2","0QN",0.142959,52.17434,1
305.6292,"CB20QP","CB2","0QP",0.141951,52.177385,1
223.7799,"CB20QQ","CB2","0QQ",0.139114,52.173741,1
247.752,"CB20QR","CB2","0QR",0.142003,52.175406,1
348.0571,"CB20QS","CB2","0QS",0.144067,52.17758,1
67.17632,"CB20QT","CB2","0QT",0.147334,52.175601,1
276.23,"CB20QU","CB2","0QU",0.144494,52.174645,1
223.7799,"CB20QW","CB2","0QW",0.139114,52.173741,1
209.4332,"CB20QX","CB2","0QX",0.14687,52.174121,1
218.8255,"CB20QY","CB2","0QY",0.144859,52.173969,1
192.4971,"CB20QZ","CB2","0QZ",0.145647,52.175151,1
323.3812,"CB20RA","CB2","0RA",0.14905,52.172931,1
461.739,"CB20RB","CB2","0RB",0.151335,52.172098,1
234.909,"CB20RE","CB2","0RE",0.13555,52.17689,1
41.98584,"CB20SA","CB2","0SA",0.138898,52.17593,1
53.22332,"CB20SB","CB2","0SB",0.139129,52.175881,1
56.23792,"CB20SD","CB2","0SD",0.138878,52.176119,1
85.54531,"CB20SE","CB2","0SE",0.139364,52.1762,1
75.63072,"CB20SF","CB2","0SF",0.139002,52.176278,1
103.1781,"CB20SG","CB2","0SG",0.13916,52.176509,1
143.7329,"CB20SJ","CB2","0SJ",0.139193,52.176904,1
200.5187,"CB20SL","CB2","0SL",0.138099,52.173912,1
45.75409,"CB20SN","CB2","0SN",0.137732,52.175717,1
245.0323,"CB20SP","CB2","0SP",0.141982,52.175901,1
101.0411,"CB20SQ","CB2","0SQ",0.138812,52.176579,1
104.5993,"CB20SR","CB2","0SR",0.143695,52.173181,1
223.7799,"CB20SS","CB2","0SS",0.139114,52.173741,1
292.3885,"CB20ST","CB2","0ST",0.142637,52.174909,1
213.1245,"CB20SW","CB2","0SW",0.139119,52.17384,1
230.2256,"CB20SZ","CB2","0SZ",0.136151,52.178443,1
177.2419,"CB20XX","CB2","0XX",0.140511,52.176638,1
299.503,"CB20XY","CB2","0XY",0.14265,52.176392,1
294.176,"CB20XZ","CB2","0XZ",0.142195,52.176967,1
88.08084,"CB21AA","CB2","1AA",0.125956,52.201148,1
120.9363,"CB21AB","CB2","1AB",0.126088,52.200858,1
32.55587,"CB21AD","CB2","1AD",0.125376,52.202183,1
95.0188,"CB21AE","CB2","1AE",0.124696,52.201085,1
101.8834,"CB21AF","CB2","1AF",0.125951,52.201008,1
275.9912,"CB21AG","CB2","1AG",0.1218,52.199905,1
330.8221,"CB21AH","CB2","1AH",0.137179,52.192254,1
190.0274,"CB21AJ","CB2","1AJ",0.124653,52.200187,1
123.4366,"CB21AL","CB2","1AL",0.125203,52.198522,1
332.1045,"CB21AN","CB2","1AN",0.137208,52.192267,1
77.54932,"CB21AP","CB2","1AP",0.126072,52.199262,1
115.1804,"CB21AQ","CB2","1AQ",0.126063,52.200908,1
53.28031,"CB21AR","CB2","1AR",0.131182,52.194728,1
60.75654,"CB21AW","CB2","1AW",0.126732,52.200244,1
78.14317,"CB21AX","CB2","1AX",0.124276,52.202109,1
101.6322,"CB21AY","CB2","1AY",0.126115,52.20016,1
77.54932,"CB21AZ","CB2","1AZ",0.126072,52.199262,1
68.46891,"CB21BA","CB2","1BA",0.125055,52.202472,1
33.43992,"CB21BB","CB2","1BB",0.124943,52.201665,1
190.0274,"CB21BD","CB2","1BD",0.124653,52.200187,1
81.90891,"CB21BE","CB2","1BE",0.12654,52.200476,1
101.6322,"CB21BG","CB2","1BG",0.126115,52.20016,1
123.4366,"CB21BH","CB2","1BH",0.125203,52.198522,1
56.13277,"CB21BN","CB2","1BN",0.127248,52.199672,1
56.13277,"CB21BQ","CB2","1BQ",0.127248,52.199672,1
80.87088,"CB21BS","CB2","1BS",0.128606,52.197463,1
141.7195,"CB21BU","CB2","1BU",0.123276,52.20201,1
123.4366,"CB21BW","CB2","1BW",0.125203,52.198522,1
78.14317,"CB21BY","CB2","1BY",0.124276,52.202109,1
113.9594,"CB21BZ","CB2","1BZ",0.125336,52.198547,1
141.7195,"CB21DA","CB2","1DA",0.123276,52.20201,1
37.86354,"CB21DB","CB2","1DB",0.124814,52.20173,1
102.6901,"CB21DD","CB2","1DD",0.148231,52.209345,1
141.7195,"CB21DE","CB2","1DE",0.123276,52.20201,1
123.4366,"CB21DF","CB2","1DF",0.125203,52.198522,1
232.9813,"CB21DG","CB2","1DG",0.123191,52.200213,1
185.455,"CB21DH","CB2","1DH",0.124141,52.197121,1
95.0188,"CB21DJ","CB2","1DJ",0.124696,52.201085,1
95.0188,"CB21DL","CB2","1DL",0.124696,52.201085,1
95.0188,"CB21DN","CB2","1DN",0.124696,52.201085,1
81.89593,"CB21DP","CB2","1DP",0.126407,52.200187,1
46.91593,"CB21DQ","CB2","1DQ",0.125194,52.201431,1
104.427,"CB21DS","CB2","1DS",0.116556,52.203479,1
190.0274,"CB21DT","CB2","1DT",0.124653,52.200187,1
77.54932,"CB21DU","CB2","1DU",0.126072,52.199262,1
77.54932,"CB21DW","CB2","1DW",0.126072,52.199262,1
101.6322,"CB21DZ","CB2","1DZ",0.126115,52.20016,1
77.54932,"CB21EA","CB2","1EA",0.126072,52.199262,1
190.0274,"CB21EB","CB2","1EB",0.124653,52.200187,1
