"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
124.6048,"CF401AA","CF40","1AA",-3.453054,51.619619,1
207.1734,"CF401AB","CF40","1AB",-3.454555,51.621399,1
221.2511,"CF401AD","CF40","1AD",-3.453794,51.621094,1
207.1734,"CF401AE","CF40","1AE",-3.454555,51.621399,1
283.315,"CF401AF","CF40","1AF",-3.454362,51.622139,1
468.1467,"CF401AG","CF40","1AG",-3.436068,51.599186,1
124.6048,"CF401AH","CF40","1AH",-3.453054,51.619619,1
238.844,"CF401AJ","CF40","1AJ",-3.450504,51.619399,1
262.6198,"CF401AL","CF40","1AL",-3.453871,51.621695,1
237.3662,"CF401AN","CF40","1AN",-3.452183,51.620515,1
212.5938,"CF401AP","CF40","1AP",-3.451806,51.619887,1
143.4563,"CF401AQ","CF40","1AQ",-3.454526,51.6205,1
229.9478,"CF401AR","CF40","1AR",-3.453336,51.620861,1
248.863,"CF401AS","CF40","1AS",-3.454394,51.621788,1
249.2462,"CF401AT","CF40","1AT",-3.452893,51.620934,1
250.3006,"CF401AU","CF40","1AU",-3.451032,51.619653,1
213.8835,"CF401AW","CF40","1AW",-3.450691,51.619032,1
212.3341,"CF401AX","CF40","1AX",-3.45161,51.619637,1
199.0459,"CF401AY","CF40","1AY",-3.451857,51.619688,1
25.58525,"CF401BA","CF40","1BA",-3.459234,51.624057,1
187.1939,"CF401BB","CF40","1BB",-3.452417,51.620023,1
158.7981,"CF401BD","CF40","1BD",-3.457472,51.622262,1
210.0848,"CF401BE","CF40","1BE",-3.455657,51.621961,1
81.63032,"CF401BF","CF40","1BF",-3.457406,51.618415,1
147.7889,"CF401BG","CF40","1BG",-3.455164,51.621014,1
119.4525,"CF401BH","CF40","1BH",-3.459889,51.621063,1
104.8761,"CF401BJ","CF40","1BJ",-3.453027,51.619233,1
117.9087,"CF401BL","CF40","1BL",-3.455808,51.62092,1
159.1862,"CF401BN","CF40","1BN",-3.456771,51.622037,1
150.0323,"CF401BP","CF40","1BP",-3.457732,51.623158,1
144.4298,"CF401BQ","CF40","1BQ",-3.453978,51.620178,1
222.6593,"CF401BS","CF40","1BS",-3.4567,51.622955,1
74.26386,"CF401BT","CF40","1BT",-3.458894,51.623378,1
76.9593,"CF401BU","CF40","1BU",-3.459409,51.623218,1
181.7079,"CF401BW","CF40","1BW",-3.456618,51.622219,1
147.7627,"CF401BX","CF40","1BX",-3.45923,51.622591,1
41.07943,"CF401BY","CF40","1BY",-3.457754,51.621162,1
