"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
210.4504,"CH490AB","CH49","0AB",-3.100479,53.377069,1
69.4282,"CH490BR","CH49","0BR",-3.097373,53.384882,1
67.54843,"CH490TA","CH49","0TA",-3.097355,53.384854,1
115.2742,"CH490TB","CH49","0TB",-3.088801,53.384808,1
50.07668,"CH490TD","CH49","0TD",-3.091202,53.384057,1
44.2606,"CH490TE","CH49","0TE",-3.095844,53.384473,1
150.3753,"CH490TF","CH49","0TF",-3.089591,53.385151,1
145.0392,"CH490TG","CH49","0TG",-3.094163,53.384597,1
95.78843,"CH490TH","CH49","0TH",-3.098015,53.384732,1
75.38446,"CH490TJ","CH49","0TJ",-3.097289,53.385116,1
27.41169,"CH490TL","CH49","0TL",-3.097191,53.384236,1
147.1519,"CH490TN","CH49","0TN",-3.094049,53.38369,1
29.76739,"CH490TP","CH49","0TP",-3.096367,53.384379,1
97.77503,"CH490TQ","CH49","0TQ",-3.097793,53.384931,1
107.4517,"CH490TR","CH49","0TR",-3.095216,53.384039,1
76.22373,"CH490TS","CH49","0TS",-3.092424,53.383615,1
183.985,"CH490TT","CH49","0TT",-3.087402,53.38713,1
166.5186,"CH490TU","CH49","0TU",-3.089037,53.384068,1
43.70427,"CH490TW","CH49","0TW",-3.09279,53.382641,1
97.89145,"CH490TX","CH49","0TX",-3.091174,53.383554,1
146.2082,"CH490TY","CH49","0TY",-3.095402,53.382509,1
180.7636,"CH490TZ","CH49","0TZ",-3.095318,53.382168,1
54.58245,"CH490UA","CH49","0UA",-3.091621,53.385132,1
63.80663,"CH490UB","CH49","0UB",-3.098576,53.383782,1
115.3122,"CH490UD","CH49","0UD",-3.099353,53.384729,1
214.147,"CH490UE","CH49","0UE",-3.098991,53.380039,1
261.8986,"CH490UF","CH49","0UF",-3.097744,53.379502,1
330.1786,"CH490UG","CH49","0UG",-3.09689,53.377803,1
175.8219,"CH490UH","CH49","0UH",-3.100495,53.382929,1
127.3942,"CH490UJ","CH49","0UJ",-3.099858,53.383286,1
183.4003,"CH490UL","CH49","0UL",-3.101096,53.384101,1
387.232,"CH490UN","CH49","0UN",-3.095901,53.377963,1
153.3936,"CH490UP","CH49","0UP",-3.099613,53.384304,1
250.409,"CH490UQ","CH49","0UQ",-3.098684,53.38033,1
95.81897,"CH490UR","CH49","0UR",-3.098175,53.384515,1
67.15203,"CH490US","CH49","0US",-3.098085,53.383949,1
155.1363,"CH490UT","CH49","0UT",-3.098155,53.381962,1
142.4741,"CH490UU","CH49","0UU",-3.094437,53.384154,1
358.9424,"CH490UW","CH49","0UW",-3.096367,53.377916,1
127.2405,"CH490UX","CH49","0UX",-3.093891,53.383943,1
86.68923,"CH490UY","CH49","0UY",-3.093291,53.38402,1
126.9304,"CH490UZ","CH49","0UZ",-3.09397,53.382944,1
205.8909,"CH490WA","CH49","0WA",-3.098456,53.379056,1
29.12367,"CH490WB","CH49","0WB",-3.098121,53.38359,1
121.7951,"CH490WD","CH49","0WD",-3.101938,53.377728,1
205.8909,"CH490WE","CH49","0WE",-3.098456,53.379056,1
103.0314,"CH490WF","CH49","0WF",-3.102184,53.377933,1
144.7404,"CH490WG","CH49","0WG",-3.099467,53.379261,1
205.8909,"CH490WH","CH49","0WH",-3.098456,53.379056,1
23.63224,"CH490WJ","CH49","0WJ",-3.101279,53.379002,1
256.8905,"CH490WL","CH49","0WL",-3.104434,53.377175,1
97.10582,"CH490WN","CH49","0WN",-3.102625,53.378135,1
205.8909,"CH490WQ","CH49","0WQ",-3.098456,53.379056,1
103.9485,"CH490XA","CH49","0XA",-3.099431,53.38364,1
35.91972,"CH490XB","CH49","0XB",-3.097079,53.384552,1
114.3361,"CH490XD","CH49","0XD",-3.097145,53.382439,1
51.33733,"CH490XE","CH49","0XE",-3.097908,53.38289,1
174.6923,"CH490XF","CH49","0XF",-3.099557,53.382111,1
148.5017,"CH490XG","CH49","0XG",-3.100342,53.381663,1
157.5276,"CH490XH","CH49","0XH",-3.100425,53.381968,1
55.26347,"CH490XP","CH49","0XP",-3.097465,53.383793,1
142.2355,"CH490XT","CH49","0XT",-3.094084,53.382098,1
55.26347,"CH490XU","CH49","0XU",-3.097465,53.383793,1
61.1964,"CH490XW","CH49","0XW",-3.095931,53.383833,1
78.60501,"CH490XZ","CH49","0XZ",-3.096359,53.382887,1
103.6806,"CH490YY","CH49","0YY",-3.099416,53.383659,1
289.2051,"CH491AB","CH49","1AB",-3.102576,53.376266,1
88.42037,"CH491BR","CH49","1BR",-3.105473,53.374892,1
156.8961,"CH491QZ","CH49","1QZ",-3.10427,53.375425,1
72.46771,"CH491RA","CH49","1RA",-3.117247,53.37676,1
76.91557,"CH491RB","CH49","1RB",-3.116938,53.377024,1
334.1061,"CH491RD","CH49","1RD",-3.115835,53.374499,1
341.4914,"CH491RE","CH49","1RE",-3.119674,53.373007,1
333.0133,"CH491RF","CH49","1RF",-3.117031,53.374263,1
175.6506,"CH491RG","CH49","1RG",-3.116236,53.37605,1
150.5312,"CH491RH","CH49","1RH",-3.121394,53.376092,1
138.2831,"CH491RJ","CH49","1RJ",-3.120116,53.376679,1
408.0555,"CH491RL","CH49","1RL",-3.118146,53.373192,1
86.95197,"CH491RN","CH49","1RN",-3.122017,53.375223,1
217.9595,"CH491RP","CH49","1RP",-3.119981,53.375557,1
115.3807,"CH491RQ","CH49","1RQ",-3.118782,53.376233,1
221.3262,"CH491RR","CH49","1RR",-3.116685,53.375381,1
260.6158,"CH491RS","CH49","1RS",-3.117438,53.37488,1
219.868,"CH491RT","CH49","1RT",-3.12004,53.374909,1
236.5866,"CH491RU","CH49","1RU",-3.119896,53.374587,1
213.2042,"CH491RW","CH49","1RW",-3.12059,53.374165,1
277.1582,"CH491RX","CH49","1RX",-3.118803,53.374741,1
320.5195,"CH491RY","CH49","1RY",-3.112827,53.37564,1
222.4256,"CH491RZ","CH49","1RZ",-3.109763,53.374538,1
310.0189,"CH491SA","CH49","1SA",-3.118087,53.374406,1
202.3853,"CH491SB","CH49","1SB",-3.115023,53.377356,1
219.8924,"CH491SD","CH49","1SD",-3.112331,53.376752,1
245.7793,"CH491SE","CH49","1SE",-3.113813,53.37708,1
109.3239,"CH491SF","CH49","1SF",-3.111196,53.377608,1
291.4323,"CH491SG","CH49","1SG",-3.112977,53.376153,1
175.5072,"CH491SH","CH49","1SH",-3.111596,53.376795,1
162.1883,"CH491SJ","CH49","1SJ",-3.108367,53.37634,1
151.0386,"CH491SL","CH49","1SL",-3.109028,53.376324,1
161.8035,"CH491SN","CH49","1SN",-3.110715,53.376444,1
174.8105,"CH491SP","CH49","1SP",-3.107145,53.37849,1
245.9856,"CH491SQ","CH49","1SQ",-3.109805,53.374996,1
192.0631,"CH491SR","CH49","1SR",-3.107087,53.37565,1
231.2404,"CH491SS","CH49","1SS",-3.10741,53.375953,1
98.77872,"CH491ST","CH49","1ST",-3.107821,53.374394,1
299.5192,"CH491SU","CH49","1SU",-3.111162,53.375188,1
73.34047,"CH491SW","CH49","1SW",-3.108294,53.377572,1
16.25569,"CH491SX","CH49","1SX",-3.106088,53.373682,1
133.2328,"CH491SZ","CH49","1SZ",-3.116058,53.377275,1
135.1,"CH491TB","CH49","1TB",-3.12194,53.376312,1
57.06751,"CH491TD","CH49","1TD",-3.11754,53.377602,1
12.10129,"CH491TH","CH49","1TH",-3.118344,53.377307,1
12.10129,"CH491TN","CH49","1TN",-3.118344,53.377307,1
12.10129,"CH491TP","CH49","1TP",-3.118344,53.377307,1
12.10129,"CH491TS","CH49","1TS",-3.118344,53.377307,1
12.10129,"CH491TW","CH49","1TW",-3.118344,53.377307,1
205.8909,"CH491WA","CH49","1WA",-3.098456,53.379056,1
205.8909,"CH491WB","CH49","1WB",-3.098456,53.379056,1
205.8909,"CH491WD","CH49","1WD",-3.098456,53.379056,1
205.8909,"CH491WE","CH49","1WE",-3.098456,53.379056,1
205.8909,"CH491XA","CH49","1XA",-3.098456,53.379056,1
205.8909,"CH491XD","CH49","1XD",-3.098456,53.379056,1
205.8909,"CH491YS","CH49","1YS",-3.098456,53.379056,1
205.8909,"CH491YY","CH49","1YY",-3.098456,53.379056,1
205.8909,"CH491YZ","CH49","1YZ",-3.098456,53.379056,1
205.8909,"CH491ZX","CH49","1ZX",-3.098456,53.379056,1
38.86551,"CH492BR","CH49","2BR",-3.111524,53.385012,1
37.83101,"CH492NA","CH49","2NA",-3.111539,53.385002,1
127.1853,"CH492NB","CH49","2NB",-3.10942,53.38389,1
159.0957,"CH492ND","CH49","2ND",-3.11141,53.38352,1
170.246,"CH492NE","CH49","2NE",-3.114586,53.385397,1
191.6836,"CH492NF","CH49","2NF",-3.114759,53.385683,1
159.9761,"CH492NG","CH49","2NG",-3.113253,53.382101,1
61.53228,"CH492NH","CH49","2NH",-3.112034,53.385546,1
136.1254,"CH492NJ","CH49","2NJ",-3.115392,53.384589,1
62.46418,"CH492NL","CH49","2NL",-3.113704,53.384425,1
89.38755,"CH492NN","CH49","2NN",-3.112399,53.383952,1
129.0608,"CH492NP","CH49","2NP",-3.114025,53.381752,1
32.6321,"CH492NQ","CH49","2NQ",-3.114071,53.38408,1
70.32164,"CH492NR","CH49","2NR",-3.113742,53.381251,1
197.7006,"CH492NS","CH49","2NS",-3.110988,53.382895,1
186.3255,"CH492NT","CH49","2NT",-3.110726,53.382637,1
69.64964,"CH492NU","CH49","2NU",-3.109319,53.380565,1
109.758,"CH492NW","CH49","2NW",-3.11212,53.383658,1
400.4731,"CH492NX","CH49","2NX",-3.121562,53.380225,1
468.093,"CH492NY","CH49","2NY",-3.121639,53.380907,1
143.2226,"CH492PB","CH49","2PB",-3.108427,53.380968,1
89.41265,"CH492PD","CH49","2PD",-3.110535,53.381075,1
265.5309,"CH492PE","CH49","2PE",-3.117727,53.379587,1
175.2366,"CH492PF","CH49","2PF",-3.115888,53.380052,1
37.17266,"CH492PG","CH49","2PG",-3.113881,53.380828,1
93.36947,"CH492PH","CH49","2PH",-3.114207,53.379494,1
262.3393,"CH492PJ","CH49","2PJ",-3.117374,53.380453,1
190.1074,"CH492PL","CH49","2PL",-3.116296,53.380643,1
184.9208,"CH492PN","CH49","2PN",-3.115591,53.379526,1
123.9754,"CH492PP","CH49","2PP",-3.108832,53.382097,1
171.0755,"CH492PQ","CH49","2PQ",-3.110391,53.382487,1
212.6761,"CH492PR","CH49","2PR",-3.116491,53.381199,1
346.552,"CH492PS","CH49","2PS",-3.119084,53.380294,1
142.0788,"CH492PT","CH49","2PT",-3.115479,53.381002,1
173.6238,"CH492PU","CH49","2PU",-3.115769,53.382878,1
80.20361,"CH492PW","CH49","2PW",-3.112292,53.381013,1
192.3568,"CH492PX","CH49","2PX",-3.116209,53.38477,1
138.5584,"CH492PY","CH49","2PY",-3.115215,53.382982,1
100.9519,"CH492PZ","CH49","2PZ",-3.11445,53.383061,1
13.64946,"CH492QA","CH49","2QA",-3.110064,53.380324,1
155.0493,"CH492QB","CH49","2QB",-3.107953,53.380065,1
339.9244,"CH492QD","CH49","2QD",-3.118001,53.382012,1
313.6623,"CH492QE","CH49","2QE",-3.11797,53.381419,1
