"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
43.69722,"CO100AA","CO10","0AA",0.741986,52.051422,1
1204.741,"CO100AB","CO10","0AB",0.748026,52.061182,0
1185.002,"CO100AD","CO10","0AD",0.738094,52.061728,0
1246.853,"CO100AE","CO10","0AE",0.742152,52.066274,0
261.7846,"CO100AF","CO10","0AF",0.759919,52.066405,0
460.7456,"CO100AG","CO10","0AG",0.770421,52.066104,0
299.493,"CO100AH","CO10","0AH",0.768542,52.067357,1
187.9808,"CO100AJ","CO10","0AJ",0.764856,52.069332,1
111.855,"CO100AL","CO10","0AL",0.762809,52.069974,1
116.3055,"CO100AN","CO10","0AN",0.762309,52.070399,1
99.94456,"CO100AP","CO10","0AP",0.761204,52.070439,1
544.0654,"CO100AQ","CO10","0AQ",0.772083,52.06704,1
205.2196,"CO100AR","CO10","0AR",0.763127,52.071819,1
197.072,"CO100AS","CO10","0AS",0.76313,52.070928,1
63.22831,"CO100AT","CO10","0AT",0.760525,52.071043,1
101.419,"CO100AU","CO10","0AU",0.760028,52.07056,1
18.79807,"CO100AW","CO10","0AW",0.76111,52.069645,1
104.9458,"CO100AX","CO10","0AX",0.759001,52.07071,1
85.83004,"CO100AY","CO10","0AY",0.759142,52.07086,1
97.19352,"CO100AZ","CO10","0AZ",0.759392,52.070656,1
50.02238,"CO100BA","CO10","0BA",0.758723,52.071868,1
823.758,"CO100BB","CO10","0BB",0.749256,52.076937,0
1093.961,"CO100BD","CO10","0BD",0.746063,52.078393,0
1371.189,"CO100BE","CO10","0BE",0.740687,52.080715,0
851.4555,"CO100BG","CO10","0BG",0.733602,52.078956,0
1584.391,"CO100BH","CO10","0BH",0.752717,52.086685,0
1847.399,"CO100BJ","CO10","0BJ",0.768884,52.089859,0
1281.722,"CO100BL","CO10","0BL",0.780419,52.093838,0
1445.919,"CO100BN","CO10","0BN",0.772174,52.085911,0
183.3167,"CO100BP","CO10","0BP",0.758683,52.069809,1
690.1248,"CO100BQ","CO10","0BQ",0.731136,52.078959,0
857.5335,"CO100BS","CO10","0BS",0.751749,52.064306,0
427.7755,"CO100BT","CO10","0BT",0.77038,52.067107,1
254.5766,"CO100BU","CO10","0BU",0.767287,52.066415,0
234.1177,"CO100BW","CO10","0BW",0.76936,52.074889,0
267.4625,"CO100BX","CO10","0BX",0.767952,52.06702,1
321.9566,"CO100BY","CO10","0BY",0.768457,52.066459,0
192.1161,"CO100BZ","CO10","0BZ",0.767004,52.067735,1
155.3888,"CO100DA","CO10","0DA",0.746644,52.030818,1
180.3991,"CO100DB","CO10","0DB",0.745928,52.031743,1
113.9723,"CO100DD","CO10","0DD",0.746225,52.032554,1
83.57845,"CO100DE","CO10","0DE",0.745978,52.032794,1
188.663,"CO100DF","CO10","0DF",0.746862,52.032,1
143.2662,"CO100DG","CO10","0DG",0.747987,52.031326,1
131.1382,"CO100DH","CO10","0DH",0.75179,52.032226,1
222.8817,"CO100DJ","CO10","0DJ",0.763778,52.071722,1
235.9973,"CO100DL","CO10","0DL",0.749892,52.032433,1
132.6804,"CO100DN","CO10","0DN",0.746963,52.033167,1
213.4163,"CO100DP","CO10","0DP",0.748869,52.033095,1
169.3327,"CO100DQ","CO10","0DQ",0.74961,52.03185,1
460.798,"CO100DR","CO10","0DR",0.762831,52.030129,0
166.5835,"CO100DS","CO10","0DS",0.748251,52.033721,1
107.3314,"CO100DT","CO10","0DT",0.750373,52.034094,1
169.8067,"CO100DU","CO10","0DU",0.751031,52.033647,1
227.6094,"CO100DW","CO10","0DW",0.747944,52.03228,1
140.8368,"CO100DX","CO10","0DX",0.754304,52.033993,1
260.8317,"CO100DY","CO10","0DY",0.757133,52.033999,1
220.8704,"CO100DZ","CO10","0DZ",0.753932,52.034811,1
141.3482,"CO100EA","CO10","0EA",0.752451,52.033974,1
279.2946,"CO100EB","CO10","0EB",0.762936,52.028292,0
382.0394,"CO100ED","CO10","0ED",0.760614,52.029641,1
56.45415,"CO100EE","CO10","0EE",0.748089,52.03037,1
92.55374,"CO100EF","CO10","0EF",0.795147,52.031165,1
62.96919,"CO100EG","CO10","0EG",0.781101,52.056485,0
113.907,"CO100EH","CO10","0EH",0.743612,52.032732,1
93.17118,"CO100EJ","CO10","0EJ",0.743568,52.031069,1
40.31945,"CO100EL","CO10","0EL",0.745014,52.030154,1
92.76195,"CO100EN","CO10","0EN",0.745006,52.029309,1
180.7209,"CO100EP","CO10","0EP",0.752693,52.028185,1
820.8476,"CO100EQ","CO10","0EQ",0.73235,52.059151,0
243.6307,"CO100ER","CO10","0ER",0.754912,52.029154,1
195.4105,"CO100ES","CO10","0ES",0.756815,52.02978,1
115.3356,"CO100ET","CO10","0ET",0.756799,52.030706,1
165.9312,"CO100EU","CO10","0EU",0.754694,52.029901,1
261.3586,"CO100EW","CO10","0EW",0.757868,52.033136,1
103.8908,"CO100EX","CO10","0EX",0.754459,52.030581,1
122.9767,"CO100EY","CO10","0EY",0.752695,52.031765,1
175.6689,"CO100EZ","CO10","0EZ",0.752442,52.031213,1
112.7785,"CO100FA","CO10","0FA",0.756111,52.030394,1
183.6748,"CO100FB","CO10","0FB",0.750036,52.033324,1
1097.289,"CO100FD","CO10","0FD",0.747459,52.079281,0
201.9923,"CO100FE","CO10","0FE",0.75796,52.030373,1
31.63661,"CO100FF","CO10","0FF",0.780933,52.056822,0
153.6672,"CO100FG","CO10","0FG",0.782772,52.057075,0
209.6216,"CO100FH","CO10","0FH",0.779214,52.053805,1
383.5296,"CO100FJ","CO10","0FJ",0.762253,52.029513,0
88.51087,"CO100FL","CO10","0FL",0.749883,52.020409,1
232.4365,"CO100FN","CO10","0FN",0.761806,52.028174,0
163.2949,"CO100FP","CO10","0FP",0.746467,52.027913,1
164.9542,"CO100FQ","CO10","0FQ",0.794779,52.033246,1
378.5229,"CO100FR","CO10","0FR",0.76176,52.029542,0
57.60487,"CO100FS","CO10","0FS",0.748768,52.022899,1
31.04088,"CO100FT","CO10","0FT",0.748666,52.021957,1
243.506,"CO100FU","CO10","0FU",0.786584,52.028283,0
166.1239,"CO100FW","CO10","0FW",0.780078,52.054333,1
161.0023,"CO100FX","CO10","0FX",0.747916,52.033963,1
135.8061,"CO100FY","CO10","0FY",0.754967,52.045012,1
150.3064,"CO100FZ","CO10","0FZ",0.751235,52.032689,1
1512.917,"CO100GA","CO10","0GA",0.820933,52.056086,0
36.25326,"CO100GB","CO10","0GB",0.750644,52.021398,1
135.8061,"CO100GD","CO10","0GD",0.754967,52.045012,1
204.7621,"CO100GE","CO10","0GE",0.746211,52.027532,1
67.52866,"CO100GF","CO10","0GF",0.742653,52.027305,1
56.85908,"CO100GG","CO10","0GG",0.742168,52.026291,1
169.2342,"CO100GH","CO10","0GH",0.746023,52.028274,1
659.4054,"CO100GJ","CO10","0GJ",0.775078,52.066151,0
147.9659,"CO100GL","CO10","0GL",0.747495,52.035178,1
240.6594,"CO100GN","CO10","0GN",0.748,52.04888,1
33.99245,"CO100GP","CO10","0GP",0.795789,52.029571,0
161.3156,"CO100GQ","CO10","0GQ",0.754851,52.044772,1
1168.362,"CO100GR","CO10","0GR",0.744493,52.07828,0
135.8061,"CO100GS","CO10","0GS",0.754967,52.045012,1
750.2589,"CO100GT","CO10","0GT",0.773366,52.011184,0
135.8061,"CO100GU","CO10","0GU",0.754967,52.045012,1
95.08118,"CO100GW","CO10","0GW",0.742205,52.025948,1
135.8061,"CO100GX","CO10","0GX",0.754967,52.045012,1
88.48489,"CO100GY","CO10","0GY",0.757949,52.023809,1
135.8061,"CO100GZ","CO10","0GZ",0.754967,52.045012,1
193.0463,"CO100HA","CO10","0HA",0.752943,52.030347,1
152.5801,"CO100HB","CO10","0HB",0.754129,52.030193,1
208.9868,"CO100HD","CO10","0HD",0.753297,52.029475,1
183.5612,"CO100HE","CO10","0HE",0.752028,52.030638,1
178.3079,"CO100HF","CO10","0HF",0.751569,52.031719,1
103.413,"CO100HG","CO10","0HG",0.751822,52.029195,1
42.04049,"CO100HH","CO10","0HH",0.750724,52.028645,1
147.9966,"CO100HJ","CO10","0HJ",0.744786,52.031661,1
95.86457,"CO100HL","CO10","0HL",0.745217,52.031085,1
54.32793,"CO100HN","CO10","0HN",0.745044,52.03278,1
243.3227,"CO100HP","CO10","0HP",0.741694,52.034027,1
108.9785,"CO100HQ","CO10","0HQ",0.750986,52.03006,1
160.1842,"CO100HR","CO10","0HR",0.746048,52.029186,1
59.00471,"CO100HS","CO10","0HS",0.744192,52.033393,1
75.94924,"CO100HT","CO10","0HT",0.747211,52.028866,1
106.5301,"CO100HU","CO10","0HU",0.743921,52.028741,1
135.8061,"CO100HW","CO10","0HW",0.754967,52.045012,1
174.9743,"CO100HX","CO10","0HX",0.745635,52.028597,1
106.0957,"CO100HY","CO10","0HY",0.746929,52.02926,1
58.26402,"CO100HZ","CO10","0HZ",0.747795,52.028426,1
119.2166,"CO100JA","CO10","0JA",0.74335,52.026052,1
194.7658,"CO100JB","CO10","0JB",0.743535,52.025287,1
243.6641,"CO100JD","CO10","0JD",0.74548,52.026105,1
157.2538,"CO100JE","CO10","0JE",0.744372,52.027026,1
155.438,"CO100JF","CO10","0JF",0.74433,52.027077,1
219.6861,"CO100JG","CO10","0JG",0.745422,52.024209,1
251.5113,"CO100JH","CO10","0JH",0.745994,52.027087,1
165.8979,"CO100JJ","CO10","0JJ",0.747117,52.024745,1
119.593,"CO100JL","CO10","0JL",0.747849,52.025511,1
231.6614,"CO100JN","CO10","0JN",0.746126,52.024741,1
126.2178,"CO100JP","CO10","0JP",0.746996,52.023957,1
198.0974,"CO100JQ","CO10","0JQ",0.745468,52.021852,1
48.77693,"CO100JR","CO10","0JR",0.748782,52.02432,1
189.6474,"CO100JS","CO10","0JS",0.748471,52.026854,1
10.73536,"CO100JT","CO10","0JT",0.748322,52.028935,1
64.28108,"CO100JU","CO10","0JU",0.752018,52.024316,0
101.3317,"CO100JW","CO10","0JW",0.748102,52.025118,1
244.2346,"CO100JX","CO10","0JX",0.757098,52.026311,1
