"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
229.2617,"CR00AA","CR0","0AA",-0.005061,51.34034,1
319.3998,"CR00AB","CR0","0AB",-0.002108,51.337592,1
275.2451,"CR00AD","CR0","0AD",-0.001331,51.335321,1
265.0047,"CR00AE","CR0","0AE",-0.004528,51.340719,1
417.4014,"CR00AF","CR0","0AF",-0.001272,51.338315,1
358.3365,"CR00AG","CR0","0AG",-5e-04,51.336594,1
218.5166,"CR00AH","CR0","0AH",-0.002455,51.33455,1
267.2818,"CR00AJ","CR0","0AJ",-5.5e-05,51.334616,1
125.2841,"CR00AL","CR0","0AL",-0.005163,51.334029,1
203.9304,"CR00AN","CR0","0AN",-0.009142,51.334303,1
251.4215,"CR00AP","CR0","0AP",-0.011521,51.33473,1
119.9075,"CR00AQ","CR0","0AQ",-0.007781,51.3349,1
80.59193,"CR00AR","CR0","0AR",-0.006371,51.33431,1
417.8518,"CR00AS","CR0","0AS",-0.00239,51.340025,1
453.7809,"CR00AT","CR0","0AT",-0.001879,51.341203,1
26.13617,"CR00AU","CR0","0AU",-0.005963,51.33478,1
168.4847,"CR00AW","CR0","0AW",-0.008913,51.334605,1
389.1642,"CR00AX","CR0","0AX",-0.002806,51.340033,1
424.5943,"CR00AY","CR0","0AY",-0.002239,51.340849,1
470.612,"CR00AZ","CR0","0AZ",-0.001682,51.339797,1
57.42347,"CR00BA","CR0","0BA",-0.01024,51.338801,1
37.4946,"CR00BB","CR0","0BB",-0.009239,51.338352,1
208.3889,"CR00BD","CR0","0BD",-0.015034,51.337137,1
61.73997,"CR00BE","CR0","0BE",-0.007536,51.337244,1
50.3344,"CR00BF","CR0","0BF",-0.005148,51.336016,1
207.2013,"CR00BG","CR0","0BG",-0.002324,51.33559,1
164.691,"CR00BH","CR0","0BH",-0.003044,51.335872,1
75.91846,"CR00BJ","CR0","0BJ",-0.0042,51.335361,1
131.9824,"CR00BL","CR0","0BL",-0.004859,51.33673,1
176.5849,"CR00BN","CR0","0BN",-0.004414,51.337055,1
94.87355,"CR00BP","CR0","0BP",-0.007219,51.337913,1
260.3717,"CR00BQ","CR0","0BQ",-0.003683,51.337672,1
197.7815,"CR00BR","CR0","0BR",-0.002661,51.336081,1
108.4197,"CR00BS","CR0","0BS",-0.007435,51.338231,1
99.00526,"CR00BT","CR0","0BT",-0.006939,51.337413,1
308.2758,"CR00BU","CR0","0BU",-0.004118,51.338255,1
252.9752,"CR00BW","CR0","0BW",-0.002301,51.336777,1
185.3678,"CR00BX","CR0","0BX",-0.002642,51.3352,1
94.84148,"CR00BY","CR0","0BY",-0.004653,51.334532,1
67.44382,"CR00BZ","CR0","0BZ",-0.012085,51.337618,1
123.3982,"CR00DA","CR0","0DA",-0.017684,51.341283,1
55.27442,"CR00DB","CR0","0DB",-0.015534,51.33987,1
54.24115,"CR00DD","CR0","0DD",-0.017995,51.342052,1
67.83248,"CR00DE","CR0","0DE",-0.017359,51.342149,1
101.2838,"CR00DF","CR0","0DF",-0.017172,51.34184,1
59.25099,"CR00DG","CR0","0DG",-0.013857,51.339788,1
57.71219,"CR00DH","CR0","0DH",-0.015088,51.340213,1
72.15983,"CR00DJ","CR0","0DJ",-0.01417,51.339523,1
29.87453,"CR00DL","CR0","0DL",-0.013738,51.338554,1
78.83295,"CR00DN","CR0","0DN",-0.011653,51.337637,1
18.93127,"CR00DP","CR0","0DP",-0.008783,51.335961,1
72.01182,"CR00DQ","CR0","0DQ",-0.010192,51.336245,1
106.7562,"CR00DR","CR0","0DR",-0.010433,51.335971,1
153.014,"CR00DS","CR0","0DS",-0.010864,51.335645,1
183.8104,"CR00DT","CR0","0DT",-0.011907,51.335744,1
76.33346,"CR00DU","CR0","0DU",-0.014536,51.338361,1
100.0314,"CR00DW","CR0","0DW",-0.013154,51.337465,1
41.42838,"CR00DX","CR0","0DX",-0.016915,51.34046,1
181.9115,"CR00DY","CR0","0DY",-0.012961,51.336616,1
113.1968,"CR00DZ","CR0","0DZ",-0.014554,51.337947,1
41.37553,"CR00EA","CR0","0EA",-0.009891,51.339218,1
147.4008,"CR00EB","CR0","0EB",-0.007489,51.338655,1
44.78867,"CR00ED","CR0","0ED",-0.012212,51.339994,1
125.1665,"CR00EE","CR0","0EE",-0.00784,51.339155,1
301.9448,"CR00EF","CR0","0EF",-0.004803,51.339005,1
137.1164,"CR00EG","CR0","0EG",-0.008241,51.341824,1
163.6358,"CR00EH","CR0","0EH",-0.006318,51.339831,1
212.8875,"CR00EJ","CR0","0EJ",-0.007512,51.343745,1
41.2142,"CR00EL","CR0","0EL",-0.012468,51.339054,1
408.339,"CR00EN","CR0","0EN",-0.01851,51.353077,1
148.7903,"CR00EP","CR0","0EP",-0.008408,51.343607,1
297.0631,"CR00EQ","CR0","0EQ",-0.006607,51.344413,1
92.23436,"CR00ER","CR0","0ER",-0.007845,51.339713,1
222.5458,"CR00ES","CR0","0ES",-0.008287,51.344747,1
70.63526,"CR00ET","CR0","0ET",-0.009447,51.34117,1
145.4657,"CR00EU","CR0","0EU",-0.006264,51.340405,1
192.9682,"CR00EW","CR0","0EW",-0.00561,51.340259,1
341.246,"CR00EX","CR0","0EX",-0.003829,51.338628,1
208.0582,"CR00EY","CR0","0EY",-0.006169,51.339298,1
91.53364,"CR00EZ","CR0","0EZ",-0.008633,51.341408,1
57.54142,"CR00FB","CR0","0FB",-0.009834,51.351483,1
179.4117,"CR00FD","CR0","0FD",-0.011321,51.350626,1
97.83672,"CR00HA","CR0","0HA",-0.012472,51.34195,1
96.42634,"CR00HB","CR0","0HB",-0.0114,51.346473,1
134.1664,"CR00HD","CR0","0HD",-0.007303,51.347563,1
176.405,"CR00HE","CR0","0HE",-0.012141,51.344615,1
39.94698,"CR00HF","CR0","0HF",-0.011595,51.341305,1
48.01439,"CR00HG","CR0","0HG",-0.011095,51.34788,1
112.8124,"CR00HH","CR0","0HH",-0.012767,51.343744,1
213.7464,"CR00HJ","CR0","0HJ",-0.00747,51.34637,1
30.17056,"CR00HL","CR0","0HL",-0.006919,51.348798,1
336.3793,"CR00HN","CR0","0HN",-0.006716,51.345206,1
308.8813,"CR00HP","CR0","0HP",-0.006342,51.345883,1
336.5987,"CR00HQ","CR0","0HQ",-0.005723,51.345918,1
165.7585,"CR00HR","CR0","0HR",-0.009369,51.345953,1
23.0787,"CR00HS","CR0","0HS",-0.010465,51.342536,1
68.48741,"CR00HT","CR0","0HT",-0.011807,51.340752,1
208.2656,"CR00HU","CR0","0HU",-0.008806,51.345682,1
50.36328,"CR00HW","CR0","0HW",-0.009774,51.343226,1
83.50344,"CR00HX","CR0","0HX",-0.010214,51.344025,1
243.9231,"CR00HY","CR0","0HY",-0.008283,51.345494,1
85.97239,"CR00HZ","CR0","0HZ",-0.009323,51.343038,1
163.9404,"CR00JA","CR0","0JA",-0.018543,51.344337,1
136.5264,"CR00JB","CR0","0JB",-0.015754,51.342086,1
126.8825,"CR00JD","CR0","0JD",-0.014091,51.341033,1
250.8055,"CR00JE","CR0","0JE",-0.018468,51.345127,1
184.7901,"CR00JF","CR0","0JF",-0.017062,51.344375,1
111.4237,"CR00JG","CR0","0JG",-0.01646,51.343016,1
198.6792,"CR00JH","CR0","0JH",-0.01476,51.342501,1
202.9749,"CR00JJ","CR0","0JJ",-0.014572,51.342849,1
120.1024,"CR00JL","CR0","0JL",-0.014977,51.341776,1
113.1249,"CR00JN","CR0","0JN",-0.012787,51.341659,1
109.8477,"CR00JP","CR0","0JP",-0.012513,51.340655,1
91.79079,"CR00JQ","CR0","0JQ",-0.012735,51.342503,1
153.2783,"CR00JR","CR0","0JR",-0.013364,51.341578,1
303.8062,"CR00JS","CR0","0JS",-0.011857,51.33425,1
299.7814,"CR00JT","CR0","0JT",-0.013908,51.335616,1
471.9086,"CR00JU","CR0","0JU",-0.001259,51.338953,1
92.71217,"CR00JW","CR0","0JW",-0.016714,51.342453,1
158.7789,"CR00LA","CR0","0LA",-0.019829,51.344143,1
143.6814,"CR00LB","CR0","0LB",-0.020957,51.343964,1
50.73841,"CR00LD","CR0","0LD",-0.019977,51.341708,1
151.4255,"CR00LE","CR0","0LE",-0.020504,51.344136,1
21.49055,"CR00LF","CR0","0LF",-0.019566,51.342259,1
89.26222,"CR00LG","CR0","0LG",-0.02172,51.344256,1
53.1141,"CR00LH","CR0","0LH",-0.021728,51.345389,1
79.24771,"CR00LJ","CR0","0LJ",-0.020762,51.34316,1
82.26293,"CR00LL","CR0","0LL",-0.018735,51.341867,1
109.9382,"CR00LN","CR0","0LN",-0.017514,51.339895,1
109.1204,"CR00LP","CR0","0LP",-0.015237,51.339083,1
43.34602,"CR00LQ","CR0","0LQ",-0.013649,51.33929,1
123.8264,"CR00LR","CR0","0LR",-0.01803,51.340911,1
82.16653,"CR00LS","CR0","0LS",-0.015963,51.339572,1
171.242,"CR00LT","CR0","0LT",-0.016669,51.338846,1
215.3081,"CR00LU","CR0","0LU",-0.016438,51.337889,1
202.4464,"CR00LW","CR0","0LW",-0.018625,51.339428,1
159.5148,"CR00LX","CR0","0LX",-0.019473,51.340737,1
192.536,"CR00NA","CR0","0NA",-0.014331,51.343438,1
207.9029,"CR00NB","CR0","0NB",-0.013042,51.344693,1
212.6494,"CR00ND","CR0","0ND",-0.015137,51.343407,1
180.5966,"CR00NE","CR0","0NE",-0.012398,51.345986,1
64.93127,"CR00NF","CR0","0NF",-0.011668,51.347242,1
211.7849,"CR00NG","CR0","0NG",-0.012932,51.345914,1
229.6005,"CR00NH","CR0","0NH",-0.013852,51.344554,1
83.90148,"CR00NJ","CR0","0NJ",-0.011951,51.347669,1
331.5397,"CR00NL","CR0","0NL",-0.017222,51.346329,1
249.4207,"CR00NN","CR0","0NN",-0.014232,51.346728,1
310.0778,"CR00NP","CR0","0NP",-0.017452,51.346665,1
245.3465,"CR00NQ","CR0","0NQ",-0.014259,51.347097,1
276.4151,"CR00NR","CR0","0NR",-0.015246,51.344533,1
373.6914,"CR00NU","CR0","0NU",-0.015689,51.345925,1
363.7033,"CR00NW","CR0","0NW",-0.015732,51.346259,1
231.7707,"CR00NX","CR0","0NX",-0.015148,51.343803,1
324.8262,"CR00NY","CR0","0NY",-0.01546,51.345238,1
358.4861,"CR00NZ","CR0","0NZ",-0.015374,51.345569,1
194.997,"CR00PA","CR0","0PA",-0.017811,51.347706,1
217.7303,"CR00PB","CR0","0PB",-0.013694,51.348211,1
133.7475,"CR00PD","CR0","0PD",-0.017541,51.34825,1
268.7362,"CR00PE","CR0","0PE",-0.017536,51.347036,1
231.9581,"CR00PF","CR0","0PF",-0.014114,51.347463,1
233.6895,"CR00PG","CR0","0PG",-0.017738,51.347354,1
242.3374,"CR00PH","CR0","0PH",-0.013733,51.348653,1
227.3857,"CR00PJ","CR0","0PJ",-0.014014,51.347794,1
100.9562,"CR00PL","CR0","0PL",-0.010501,51.34965,1
122.1614,"CR00PN","CR0","0PN",-0.008757,51.352453,1
120.6831,"CR00PP","CR0","0PP",-0.009781,51.352345,1
198.1757,"CR00PQ","CR0","0PQ",-0.011879,51.351319,1
160.4946,"CR00PR","CR0","0PR",-0.011325,51.351517,1
172.8228,"CR00PS","CR0","0PS",-0.020122,51.347349,1
70.60581,"CR00QA","CR0","0QA",-0.023605,51.351158,1
97.50357,"CR00QB","CR0","0QB",-0.022978,51.350392,1
165.4395,"CR00QD","CR0","0QD",-0.022534,51.349692,1
207.8529,"CR00QE","CR0","0QE",-0.021343,51.350994,1
301.3821,"CR00QF","CR0","0QF",-0.018077,51.352144,1
405.819,"CR00QG","CR0","0QG",-0.014021,51.353262,1
276.9471,"CR00QH","CR0","0QH",-0.020506,51.351466,1
148.0986,"CR00QJ","CR0","0QJ",-0.010842,51.352066,1
438.8318,"CR00QL","CR0","0QL",-0.015946,51.353268,1
143.2738,"CR00QN","CR0","0QN",-0.010385,51.352337,1
183.8796,"CR00QP","CR0","0QP",-0.0217,51.35037,1
150.7728,"CR00QQ","CR0","0QQ",-0.022598,51.351537,1
401.556,"CR00QR","CR0","0QR",-0.014328,51.352809,1
99.49568,"CR00QS","CR0","0QS",-0.016271,51.349065,1
224.6484,"CR00QT","CR0","0QT",-0.012132,51.350802,1
143.3584,"CR00QU","CR0","0QU",-0.016649,51.350609,1
72.41236,"CR00QW","CR0","0QW",-0.016851,51.349929,1
308.1876,"CR00QX","CR0","0QX",-0.015374,51.351864,1
279.0868,"CR00QY","CR0","0QY",-0.015869,51.351729,1
185.9903,"CR00QZ","CR0","0QZ",-0.015924,51.350776,1
405.5561,"CR00RA","CR0","0RA",-0.012117,51.354462,1
326.6341,"CR00RB","CR0","0RB",-0.014773,51.351818,1
293.4682,"CR00RD","CR0","0RD",-0.014356,51.351172,1
518.4267,"CR00RE","CR0","0RE",-0.012913,51.355348,1
330.5013,"CR00RF","CR0","0RF",-0.010086,51.354265,1
352.7884,"CR00RG","CR0","0RG",-0.02056,51.352842,1
318.2825,"CR00RH","CR0","0RH",-0.013744,51.351036,1
491.0899,"CR00RJ","CR0","0RJ",-0.016978,51.354634,1
332.6975,"CR00RL","CR0","0RL",-0.019482,51.352194,1
423.7996,"CR00RN","CR0","0RN",-0.018086,51.35325,1
485.2316,"CR00RP","CR0","0RP",-0.016885,51.353796,1
505.7133,"CR00RQ","CR0","0RQ",-0.016376,51.35394,1
522.3723,"CR00RR","CR0","0RR",-0.015074,51.354161,1
468.3548,"CR00RS","CR0","0RS",-0.014009,51.354206,1
443.1911,"CR00RT","CR0","0RT",-0.012625,51.354659,1
559.3744,"CR00RU","CR0","0RU",-0.012995,51.355745,1
352.0666,"CR00RW","CR0","0RW",-0.009544,51.354517,1
280.9354,"CR00RX","CR0","0RX",-0.012831,51.352226,1
374.3163,"CR00RY","CR0","0RY",-0.019977,51.352706,1
540.3596,"CR00RZ","CR0","0RZ",-0.016269,51.354433,1
167.3011,"CR00SA","CR0","0SA",-0.021552,51.347805,1
139.3779,"CR00SB","CR0","0SB",-0.021094,51.347446,1
315.3194,"CR00SD","CR0","0SD",-0.010584,51.354031,1
322.4909,"CR00SE","CR0","0SE",-0.011411,51.353856,1
209.1382,"CR00SF","CR0","0SF",-0.012826,51.336074,1
247.2018,"CR00SG","CR0","0SG",-0.0135,51.336104,1
427.3188,"CR00SH","CR0","0SH",-0.019072,51.354364,1
209.0021,"CR00SJ","CR0","0SJ",-0.020286,51.347873,1
507.5076,"CR00SL","CR0","0SL",-0.013326,51.355058,1
251.2657,"CR00TA","CR0","0TA",-0.022109,51.348893,1
203.5963,"CR00TB","CR0","0TB",-0.019906,51.348353,1
93.70656,"CR00TD","CR0","0TD",-0.017798,51.348623,1
72.86208,"CR00TE","CR0","0TE",-0.016565,51.349249,1
206.435,"CR00TF","CR0","0TF",-0.014632,51.349765,1
154.6599,"CR00TG","CR0","0TG",-0.019555,51.348832,1
230.8509,"CR00TH","CR0","0TH",-0.021313,51.348358,1
135.8028,"CR00TJ","CR0","0TJ",-0.015706,51.349837,1
223.1904,"CR00TL","CR0","0TL",-0.020718,51.349832,1
178.951,"CR00TN","CR0","0TN",-0.018082,51.351029,1
242.2003,"CR00TP","CR0","0TP",-0.021677,51.349255,1
232.0867,"CR00TQ","CR0","0TQ",-0.0204,51.350555,1
226.1783,"CR00TR","CR0","0TR",-0.018482,51.351404,1
287.4691,"CR00TS","CR0","0TS",-0.017048,51.352018,1
161.3079,"CR00TT","CR0","0TT",-0.019031,51.348329,1
150.0697,"CR00TU","CR0","0TU",-0.019708,51.349294,1
79.35833,"CR00TW","CR0","0TW",-0.017602,51.350166,1
185.8591,"CR00TX","CR0","0TX",-0.020678,51.347781,1
190.3559,"CR00TY","CR0","0TY",-0.020302,51.349501,1
116.058,"CR00TZ","CR0","0TZ",-0.018194,51.350419,1
180.3164,"CR00WZ","CR0","0WZ",-0.091863,51.375716,1
554.5007,"CR00XA","CR0","0XA",-0.015365,51.3544,1
332.0954,"CR00XB","CR0","0XB",-0.0996,51.375212,1
336.6131,"CR00XD","CR0","0XD",-0.09814,51.375081,1
135.814,"CR00XF","CR0","0XF",-0.098989,51.378521,1
320.6556,"CR00XH","CR0","0XH",-0.094416,51.375838,1
131.267,"CR00XJ","CR0","0XJ",-0.099602,51.369978,1
174.1921,"CR00XL","CR0","0XL",-0.107494,51.381356,1
91.45381,"CR00XT","CR0","0XT",-0.091115,51.375065,1
234.5965,"CR00XZ","CR0","0XZ",-0.117739,51.356521,1
133.5027,"CR00YA","CR0","0YA",-0.100243,51.3715,1
103.939,"CR00YD","CR0","0YD",-0.099622,51.372605,1
286.8654,"CR00YE","CR0","0YE",-0.098489,51.374637,1
313.1135,"CR00YF","CR0","0YF",-0.096709,51.374949,1
215.8544,"CR00YG","CR0","0YG",-0.118579,51.356355,1
215.8544,"CR00YH","CR0","0YH",-0.118579,51.356355,1
215.8544,"CR00YJ","CR0","0YJ",-0.118579,51.356355,1
215.8544,"CR00YL","CR0","0YL",-0.118579,51.356355,1
209.7633,"CR00YN","CR0","0YN",-0.096278,51.373971,1
215.8544,"CR00YP","CR0","0YP",-0.118579,51.356355,1
215.8544,"CR00YQ","CR0","0YQ",-0.118579,51.356355,1
320.0775,"CR00ZW","CR0","0ZW",-0.113266,51.378068,1
253.8952,"CR01AA","CR0","1AA",-0.100591,51.367674,1
283.0015,"CR01AB","CR0","1AB",-0.101043,51.367502,1
358.5097,"CR01AD","CR0","1AD",-0.102614,51.366952,1
316.1827,"CR01AE","CR0","1AE",-0.102441,51.367318,1
290.0337,"CR01AF","CR0","1AF",-0.100354,51.365764,1
310.7176,"CR01AG","CR0","1AG",-0.101953,51.367319,1
255.8501,"CR01AH","CR0","1AH",-0.100652,51.367163,1
265.9447,"CR01AJ","CR0","1AJ",-0.100157,51.365995,1
308.6939,"CR01AL","CR0","1AL",-0.10363,51.366788,1
326.6637,"CR01AN","CR0","1AN",-0.103304,51.366945,1
290.2602,"CR01AP","CR0","1AP",-0.103238,51.366189,1
203.3361,"CR01AQ","CR0","1AQ",-0.10438,51.369777,1
255.0866,"CR01AR","CR0","1AR",-0.105199,51.369071,1
113.479,"CR01AS","CR0","1AS",-0.106515,51.370594,1
113.479,"CR01AT","CR0","1AT",-0.106515,51.370594,1
91.1001,"CR01AU","CR0","1AU",-0.105847,51.370772,1
220.5706,"CR01AW","CR0","1AW",-0.104745,51.369621,1
46.54431,"CR01AX","CR0","1AX",-0.104514,51.372783,1
