"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
861.6549,"CT187AA","CT18","7AA",1.165072,51.100905,0
871.5872,"CT187AB","CT18","7AB",1.157378,51.100956,0
778.4417,"CT187AD","CT18","7AD",1.145354,51.104217,0
318.2801,"CT187AE","CT18","7AE",1.157668,51.106719,0
308.0258,"CT187AF","CT18","7AF",1.147957,51.111415,1
67.27089,"CT187AG","CT18","7AG",1.152831,51.114338,1
264.3507,"CT187AH","CT18","7AH",1.146561,51.113783,0
744.3818,"CT187AJ","CT18","7AJ",1.171639,51.106849,0
517.7613,"CT187AL","CT18","7AL",1.170905,51.109508,0
33.86158,"CT187AN","CT18","7AN",1.172612,51.122532,1
37.90632,"CT187AP","CT18","7AP",1.175668,51.122494,1
124.4443,"CT187AQ","CT18","7AQ",1.151553,51.115114,1
182.3375,"CT187AR","CT18","7AR",1.176052,51.120594,1
709.9358,"CT187AS","CT18","7AS",1.186626,51.11911,0
282.9709,"CT187AT","CT18","7AT",1.149032,51.111872,1
170.4401,"CT187AU","CT18","7AU",1.163204,51.117048,1
391.697,"CT187AW","CT18","7AW",1.177775,51.126115,0
222.1647,"CT187AX","CT18","7AX",1.163162,51.118524,0
358.2076,"CT187AY","CT18","7AY",1.161268,51.124278,1
566.8491,"CT187AZ","CT18","7AZ",1.221287,51.102724,0
415.5841,"CT187BA","CT18","7BA",1.163627,51.128892,0
515.6291,"CT187BB","CT18","7BB",1.15943,51.127067,1
431.1361,"CT187BD","CT18","7BD",1.158117,51.127953,1
247.1329,"CT187BE","CT18","7BE",1.15901,51.129521,1
183.9573,"CT187BF","CT18","7BF",1.150643,51.112656,1
60.91836,"CT187BG","CT18","7BG",1.158829,51.131653,1
243.1514,"CT187BH","CT18","7BH",1.159322,51.133875,1
439.4644,"CT187BJ","CT18","7BJ",1.164672,51.134126,0
207.772,"CT187BL","CT18","7BL",1.161311,51.133272,1
153.9325,"CT187BN","CT18","7BN",1.164367,51.116513,1
181.0924,"CT187BP","CT18","7BP",1.16691,51.113566,1
34.53343,"CT187BQ","CT18","7BQ",1.159949,51.131969,1
103.826,"CT187BS","CT18","7BS",1.164233,51.115797,1
92.53331,"CT187BT","CT18","7BT",1.161971,51.116371,1
251.4648,"CT187BU","CT18","7BU",1.16544,51.117149,1
275.9554,"CT187BW","CT18","7BW",1.169772,51.111959,1
205.8235,"CT187BX","CT18","7BX",1.16695,51.115831,1
252.8013,"CT187BY","CT18","7BY",1.16616,51.116392,1
248.5202,"CT187BZ","CT18","7BZ",1.171871,51.112981,1
289.2385,"CT187DA","CT18","7DA",1.171435,51.112246,1
116.8805,"CT187DB","CT18","7DB",1.167798,51.119442,0
237.9659,"CT187DD","CT18","7DD",1.16507,51.118005,1
134.4182,"CT187DE","CT18","7DE",1.169253,51.121283,1
123.5529,"CT187DF","CT18","7DF",1.171634,51.12183,1
108.0385,"CT187DG","CT18","7DG",1.172139,51.120854,1
99.82411,"CT187DH","CT18","7DH",1.169552,51.120438,1
289.6576,"CT187DJ","CT18","7DJ",1.164042,51.118231,1
427.8419,"CT187DL","CT18","7DL",1.158967,51.123657,1
269.0279,"CT187DN","CT18","7DN",1.157314,51.1298,1
309.3394,"CT187DP","CT18","7DP",1.157535,51.129273,1
14.67915,"CT187DQ","CT18","7DQ",1.170788,51.120323,1
414.3993,"CT187DR","CT18","7DR",1.15567,51.128963,1
516.9372,"CT187DS","CT18","7DS",1.156332,51.12756,1
565.9328,"CT187DT","CT18","7DT",1.157396,51.126821,1
554.0544,"CT187DU","CT18","7DU",1.158111,51.126819,1
338.076,"CT187DW","CT18","7DW",1.157586,51.128965,1
451.4941,"CT187DX","CT18","7DX",1.15646,51.128186,1
514.1128,"CT187DY","CT18","7DY",1.154682,51.128315,1
777.9513,"CT187DZ","CT18","7DZ",1.152657,51.126076,0
814.7083,"CT187EA","CT18","7EA",1.149735,51.127882,0
89.01047,"CT187EB","CT18","7EB",1.173873,51.120923,1
85.4315,"CT187ED","CT18","7ED",1.172574,51.121768,1
59.88046,"CT187EE","CT18","7EE",1.150218,51.113765,1
14.66894,"CT187EF","CT18","7EF",1.150047,51.114399,1
220.6231,"CT187EG","CT18","7EG",1.180421,51.099733,0
806.7165,"CT187EH","CT18","7EH",1.176302,51.10633,0
303.1873,"CT187EJ","CT18","7EJ",1.184855,51.110811,0
69.58914,"CT187EL","CT18","7EL",1.16492,51.113727,1
1261.297,"CT187EN","CT18","7EN",1.198125,51.118598,0
1777.489,"CT187EP","CT18","7EP",1.201133,51.124074,0
708.8969,"CT187EQ","CT18","7EQ",1.172989,51.103196,0
1778.882,"CT187ER","CT18","7ER",1.200888,51.125445,0
1544.552,"CT187ES","CT18","7ES",1.204145,51.126906,0
1254.442,"CT187ET","CT18","7ET",1.205268,51.115677,0
811.9077,"CT187EU","CT18","7EU",1.212803,51.11779,0
1479.162,"CT187EW","CT18","7EW",1.200508,51.119951,0
91.03508,"CT187EX","CT18","7EX",1.222526,51.115391,0
604.6848,"CT187EY","CT18","7EY",1.214221,51.111041,1
703.4879,"CT187EZ","CT18","7EZ",1.20959,51.111429,0
45.94803,"CT187FA","CT18","7FA",1.16126,51.115796,1
21.54182,"CT187FB","CT18","7FB",1.162036,51.115434,1
49.85793,"CT187FD","CT18","7FD",1.157982,51.115084,1
31.33739,"CT187FE","CT18","7FE",1.164022,51.111674,1
24.25359,"CT187FF","CT18","7FF",1.16252,51.115411,1
133.1647,"CT187FG","CT18","7FG",1.165733,51.112662,1
96.4328,"CT187FH","CT18","7FH",1.162694,51.112519,1
62.06096,"CT187FJ","CT18","7FJ",1.158399,51.115748,1
37.68233,"CT187FL","CT18","7FL",1.159016,51.114958,1
74.14167,"CT187FN","CT18","7FN",1.163373,51.11179,1
66.9924,"CT187FP","CT18","7FP",1.164271,51.112378,1
121.495,"CT187FQ","CT18","7FQ",1.165573,51.113035,1
879.1691,"CT187FR","CT18","7FR",1.207467,51.112558,0
67.83284,"CT187FS","CT18","7FS",1.149303,51.114185,1
75.26072,"CT187FT","CT18","7FT",1.151278,51.114623,1
352.5768,"CT187FU","CT18","7FU",1.160868,51.109183,0
210.3244,"CT187FW","CT18","7FW",1.177256,51.078582,1
143.234,"CT187FX","CT18","7FX",1.166458,51.118876,0
183.3159,"CT187FY","CT18","7FY",1.166873,51.112397,1
47.00646,"CT187FZ","CT18","7FZ",1.150835,51.114018,1
172.3944,"CT187GA","CT18","7GA",1.199993,51.096014,0
210.3244,"CT187GB","CT18","7GB",1.177256,51.078582,1
210.3244,"CT187GD","CT18","7GD",1.177256,51.078582,1
114.7766,"CT187GE","CT18","7GE",1.157061,51.109757,1
140.6127,"CT187GF","CT18","7GF",1.157578,51.109375,1
215.6341,"CT187GG","CT18","7GG",1.177176,51.078616,1
359.1151,"CT187GH","CT18","7GH",1.173949,51.113276,1
210.3244,"CT187GJ","CT18","7GJ",1.177256,51.078582,1
215.9287,"CT187GL","CT18","7GL",1.177144,51.078612,1
358.8311,"CT187GN","CT18","7GN",1.17395,51.113285,1
210.3244,"CT187GP","CT18","7GP",1.177256,51.078582,1
210.3244,"CT187GQ","CT18","7GQ",1.177256,51.078582,1
210.3244,"CT187GR","CT18","7GR",1.177256,51.078582,1
192.4639,"CT187GS","CT18","7GS",1.175044,51.120073,1
210.3244,"CT187GT","CT18","7GT",1.177256,51.078582,1
210.3244,"CT187GU","CT18","7GU",1.177256,51.078582,1
167.6872,"CT187GW","CT18","7GW",1.156611,51.107971,1
358.8311,"CT187GX","CT18","7GX",1.17395,51.113285,1
117.2012,"CT187GY","CT18","7GY",1.157135,51.108955,1
219.1692,"CT187GZ","CT18","7GZ",1.158581,51.108781,1
374.6761,"CT187HA","CT18","7HA",1.213679,51.108987,1
179.5155,"CT187HB","CT18","7HB",1.212167,51.106969,1
234.0187,"CT187HD","CT18","7HD",1.210884,51.106974,1
120.5045,"CT187HE","CT18","7HE",1.212082,51.106162,1
109.1359,"CT187HF","CT18","7HF",1.211043,51.105803,1
349.6206,"CT187HG","CT18","7HG",1.207559,51.102337,1
506.8599,"CT187HH","CT18","7HH",1.206293,51.101167,1
535.6143,"CT187HJ","CT18","7HJ",1.208372,51.100255,1
581.1681,"CT187HL","CT18","7HL",1.209901,51.099382,1
507.8794,"CT187HN","CT18","7HN",1.209679,51.100345,1
421.5982,"CT187HP","CT18","7HP",1.214661,51.100712,1
365.2566,"CT187HQ","CT18","7HQ",1.205288,51.104573,0
424.632,"CT187HR","CT18","7HR",1.216288,51.10109,1
447.4816,"CT187HS","CT18","7HS",1.217331,51.101295,1
496.6543,"CT187HT","CT18","7HT",1.218629,51.101475,1
678.4062,"CT187HU","CT18","7HU",1.222764,51.102339,0
447.9537,"CT187HW","CT18","7HW",1.211958,51.100453,1
931.6183,"CT187HX","CT18","7HX",1.226535,51.102126,0
1256.291,"CT187HY","CT18","7HY",1.23185,51.102942,0
1312.215,"CT187HZ","CT18","7HZ",1.235674,51.102467,0
328.4987,"CT187JA","CT18","7JA",1.170359,51.111556,1
917.6846,"CT187JB","CT18","7JB",1.226515,51.10249,0
533.7504,"CT187JD","CT18","7JD",1.22134,51.103685,0
535.4439,"CT187JE","CT18","7JE",1.221561,51.104342,0
657.8544,"CT187JF","CT18","7JF",1.222009,51.108935,0
336.9301,"CT187JG","CT18","7JG",1.219261,51.113232,0
274.2923,"CT187JH","CT18","7JH",1.198522,51.096423,0
317.464,"CT187JJ","CT18","7JJ",1.201443,51.097774,0
520.349,"CT187JL","CT18","7JL",1.207244,51.100673,1
518.2993,"CT187JN","CT18","7JN",1.208017,51.10049,1
474.1318,"CT187JP","CT18","7JP",1.20909,51.100712,1
116.833,"CT187JQ","CT18","7JQ",1.172616,51.120301,1
368.5952,"CT187JR","CT18","7JR",1.21074,51.101431,1
453.2341,"CT187JS","CT18","7JS",1.209983,51.100813,1
408.0256,"CT187JT","CT18","7JT",1.211616,51.100876,1
330.0501,"CT187JU","CT18","7JU",1.211665,51.101595,1
433.9002,"CT187JW","CT18","7JW",1.20937,51.101046,1
289.2822,"CT187JX","CT18","7JX",1.212596,51.10183,1
293.3424,"CT187JY","CT18","7JY",1.21312,51.101762,1
266.1407,"CT187JZ","CT18","7JZ",1.214145,51.102072,1
377.4061,"CT187LA","CT18","7LA",1.213984,51.101036,1
376.4823,"CT187LB","CT18","7LB",1.21546,51.10131,1
305.7312,"CT187LD","CT18","7LD",1.214854,51.10184,1
347.3128,"CT187LE","CT18","7LE",1.216274,51.101918,1
241.3822,"CT187LF","CT18","7LF",1.215846,51.102964,1
375.9497,"CT187LG","CT18","7LG",1.217381,51.102229,1
96.16425,"CT187LH","CT18","7LH",1.214717,51.104182,1
178.1486,"CT187LJ","CT18","7LJ",1.214521,51.103009,1
143.9356,"CT187LL","CT18","7LL",1.21386,51.103162,1
201.7552,"CT187LN","CT18","7LN",1.213564,51.102595,1
147.8766,"CT187LP","CT18","7LP",1.212502,51.103155,1
205.017,"CT187LQ","CT18","7LQ",1.216154,51.103684,1
262.9702,"CT187LR","CT18","7LR",1.210938,51.102433,1
154.3098,"CT187LS","CT18","7LS",1.211201,51.10355,1
65.28301,"CT187LT","CT18","7LT",1.212485,51.103929,1
72.60488,"CT187LU","CT18","7LU",1.213229,51.103746,1
230.1187,"CT187LW","CT18","7LW",1.212266,51.102424,1
36.97738,"CT187LX","CT18","7LX",1.211786,51.104776,1
56.01695,"CT187LY","CT18","7LY",1.210473,51.10438,1
265.1876,"CT187LZ","CT18","7LZ",1.210143,51.102509,1
82.86096,"CT187NA","CT18","7NA",1.212396,51.105532,1
139.7936,"CT187NB","CT18","7NB",1.15553,51.114962,1
590.5663,"CT187ND","CT18","7ND",1.205815,51.10046,1
167.1437,"CT187NE","CT18","7NE",1.155909,51.114439,1
573.3164,"CT187NF","CT18","7NF",1.205233,51.100926,1
87.02618,"CT187NG","CT18","7NG",1.169509,51.121689,1
52.00446,"CT187NH","CT18","7NH",1.17038,51.122511,1
79.48686,"CT187NJ","CT18","7NJ",1.151164,51.113811,1
98.69124,"CT187NL","CT18","7NL",1.152287,51.114348,1
86.99631,"CT187NN","CT18","7NN",1.157543,51.115564,1
158.3698,"CT187NP","CT18","7NP",1.174777,51.120341,1
87.02618,"CT187NQ","CT18","7NQ",1.169509,51.121689,1
112.1842,"CT187NR","CT18","7NR",1.150298,51.115355,1
88.11354,"CT187NS","CT18","7NS",1.172136,51.119972,1
54.90706,"CT187NT","CT18","7NT",1.172058,51.122799,1
164.6413,"CT187NU","CT18","7NU",1.159118,51.113723,1
102.8112,"CT187NW","CT18","7NW",1.159306,51.114383,1
210.3244,"CT187NX","CT18","7NX",1.177256,51.078582,1
105.3763,"CT187NY","CT18","7NY",1.1587,51.113248,1
104.3631,"CT187NZ","CT18","7NZ",1.158075,51.114353,1
156.3314,"CT187PA","CT18","7PA",1.156506,51.113766,1
149.7612,"CT187PB","CT18","7PB",1.157242,51.113872,1
101.344,"CT187PD","CT18","7PD",1.171149,51.119333,1
55.52522,"CT187PE","CT18","7PE",1.169321,51.113923,1
130.5286,"CT187PF","CT18","7PF",1.170028,51.11904,1
208.2171,"CT187PG","CT18","7PG",1.167311,51.111288,1
159.6458,"CT187PH","CT18","7PH",1.15614,51.113641,1
131.6919,"CT187PJ","CT18","7PJ",1.155883,51.113009,1
73.04159,"CT187PL","CT18","7PL",1.156793,51.112949,1
61.3502,"CT187PN","CT18","7PN",1.168873,51.115113,1
245.0744,"CT187PP","CT18","7PP",1.16794,51.11191,1
110.5416,"CT187PQ","CT18","7PQ",1.164793,51.110816,1
185.7822,"CT187PR","CT18","7PR",1.166638,51.110847,1
139.6893,"CT187PS","CT18","7PS",1.168995,51.115839,1
116.9313,"CT187PT","CT18","7PT",1.169323,51.119973,1
87.01531,"CT187PU","CT18","7PU",1.169716,51.118446,1
179.1828,"CT187PW","CT18","7PW",1.165589,51.110345,1
178.2066,"CT187PX","CT18","7PX",1.171273,51.118646,1
207.8961,"CT187PY","CT18","7PY",1.168898,51.116516,1
116.5349,"CT187PZ","CT18","7PZ",1.167839,51.115249,1
109.4314,"CT187QA","CT18","7QA",1.170602,51.114068,1
99.36748,"CT187QB","CT18","7QB",1.169524,51.113549,1
114.7828,"CT187QD","CT18","7QD",1.162228,51.113234,1
138.6922,"CT187QE","CT18","7QE",1.153639,51.110282,1
74.03443,"CT187QF","CT18","7QF",1.15328,51.111937,1
179.8996,"CT187QG","CT18","7QG",1.167395,51.116898,1
59.77818,"CT187QH","CT18","7QH",1.16283,51.114719,1
