"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
154.3133,"CV11AA","CV1","1AA",-1.510776,52.412218,1
167.3807,"CV11AB","CV1","1AB",-1.513361,52.409802,1
215.831,"CV11AD","CV1","1AD",-1.510731,52.406977,1
230.6878,"CV11AE","CV1","1AE",-1.511871,52.411594,1
154.3133,"CV11AF","CV1","1AF",-1.510776,52.412218,1
92.9392,"CV11AH","CV1","1AH",-1.509392,52.410296,1
157.336,"CV11AJ","CV1","1AJ",-1.510812,52.412154,1
158.1032,"CV11BA","CV1","1BA",-1.510431,52.408891,1
158.1032,"CV11BB","CV1","1BB",-1.510431,52.408891,1
232.8803,"CV11BD","CV1","1BD",-1.511821,52.416088,1
232.8803,"CV11BE","CV1","1BE",-1.511821,52.416088,1
198.7082,"CV11DA","CV1","1DA",-1.510868,52.409216,1
245.1458,"CV11DD","CV1","1DD",-1.51186,52.407753,1
226.9521,"CV11DE","CV1","1DE",-1.511686,52.408338,1
266.3752,"CV11DF","CV1","1DF",-1.512937,52.406932,1
171.9323,"CV11DG","CV1","1DG",-1.513695,52.40618,1
215.828,"CV11DJ","CV1","1DJ",-1.51486,52.407111,1
246.6462,"CV11DL","CV1","1DL",-1.513434,52.407177,1
176.9006,"CV11DN","CV1","1DN",-1.514164,52.407638,1
174.7395,"CV11DP","CV1","1DP",-1.51372,52.407861,1
180.7658,"CV11DQ","CV1","1DQ",-1.513381,52.408004,1
127.0496,"CV11DR","CV1","1DR",-1.515116,52.407894,1
139.9205,"CV11DS","CV1","1DS",-1.514387,52.407944,1
205.5725,"CV11DT","CV1","1DT",-1.513591,52.407564,1
203.3321,"CV11DU","CV1","1DU",-1.511322,52.408058,1
162.5984,"CV11DW","CV1","1DW",-1.513273,52.408426,1
129.4487,"CV11DX","CV1","1DX",-1.513838,52.408409,1
45.02905,"CV11DY","CV1","1DY",-1.515303,52.404299,1
48.44203,"CV11DZ","CV1","1DZ",-1.515273,52.404326,1
284.2434,"CV11EA","CV1","1EA",-1.51264,52.407129,1
284.2434,"CV11EB","CV1","1EB",-1.51264,52.407129,1
61.12357,"CV11ED","CV1","1ED",-1.513867,52.405174,1
107.5441,"CV11EE","CV1","1EE",-1.513423,52.405505,1
190.78,"CV11EG","CV1","1EG",-1.515358,52.407302,1
145.5542,"CV11EH","CV1","1EH",-1.515236,52.407715,1
27.52145,"CV11EJ","CV1","1EJ",-1.514105,52.404905,1
23.72136,"CV11EL","CV1","1EL",-1.514548,52.404727,1
53.83705,"CV11EN","CV1","1EN",-1.51489,52.404414,1
53.83705,"CV11EP","CV1","1EP",-1.51489,52.404414,1
63.4501,"CV11EQ","CV1","1EQ",-1.513706,52.405146,1
44.04478,"CV11ER","CV1","1ER",-1.514841,52.408909,1
198.9934,"CV11ES","CV1","1ES",-1.510898,52.409171,1
23.72136,"CV11ET","CV1","1ET",-1.514548,52.404727,1
