"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
122.0119,"DA26AA","DA2","6AA",0.239593,51.440498,1
144.0674,"DA26AB","DA2","6AB",0.244631,51.440833,1
106.6418,"DA26AD","DA2","6AD",0.243223,51.445869,0
125.0199,"DA26AE","DA2","6AE",0.239799,51.44089,1
152.6422,"DA26AF","DA2","6AF",0.243967,51.440189,1
69.84854,"DA26AG","DA2","6AG",0.24248,51.445686,0
133.0304,"DA26AH","DA2","6AH",0.241296,51.441482,1
183.6206,"DA26AJ","DA2","6AJ",0.242206,51.441842,1
134.5015,"DA26AL","DA2","6AL",0.242815,51.441057,1
290.6758,"DA26AN","DA2","6AN",0.242283,51.44283,1
182.5188,"DA26AP","DA2","6AP",0.24087,51.441903,1
231.4782,"DA26AQ","DA2","6AQ",0.24167,51.442356,1
173.6083,"DA26AR","DA2","6AR",0.239892,51.441895,1
262.2296,"DA26AS","DA2","6AS",0.243293,51.442298,1
157.1121,"DA26AT","DA2","6AT",0.20962,51.4447,1
85.13768,"DA26AU","DA2","6AU",0.245329,51.444786,1
226.5344,"DA26AW","DA2","6AW",0.243907,51.443374,1
290.9726,"DA26AX","DA2","6AX",0.243407,51.442853,1
174.33,"DA26AY","DA2","6AY",0.242776,51.444098,1
155.4136,"DA26AZ","DA2","6AZ",0.243202,51.444251,1
238.9937,"DA26BA","DA2","6BA",0.245859,51.443265,1
73.57198,"DA26BB","DA2","6BB",0.248232,51.441484,1
66.68157,"DA26BD","DA2","6BD",0.248199,51.442572,1
123.2779,"DA26BE","DA2","6BE",0.247243,51.441278,1
207.9269,"DA26BF","DA2","6BF",0.244647,51.443504,1
115.5525,"DA26BG","DA2","6BG",0.247759,51.441223,1
225.3574,"DA26BH","DA2","6BH",0.246763,51.443796,1
208.0881,"DA26BJ","DA2","6BJ",0.24943,51.443889,1
229.4618,"DA26BL","DA2","6BL",0.250997,51.443571,1
158.0876,"DA26BN","DA2","6BN",0.252582,51.443316,1
255.8175,"DA26BP","DA2","6BP",0.251769,51.444069,1
170.3043,"DA26BQ","DA2","6BQ",0.246871,51.443075,1
164.4805,"DA26BS","DA2","6BS",0.250962,51.442564,1
208.6725,"DA26BT","DA2","6BT",0.253038,51.44382,1
118.308,"DA26BU","DA2","6BU",0.248741,51.441006,1
96.21466,"DA26BW","DA2","6BW",0.252872,51.442788,1
85.53127,"DA26BX","DA2","6BX",0.246223,51.441019,1
46.98419,"DA26BY","DA2","6BY",0.248246,51.441771,1
86.46249,"DA26BZ","DA2","6BZ",0.247505,51.440733,1
287.8964,"DA26DA","DA2","6DA",0.237764,51.443995,1
218.6591,"DA26DB","DA2","6DB",0.239335,51.444055,1
265.7366,"DA26DD","DA2","6DD",0.239789,51.443336,1
190.9821,"DA26DE","DA2","6DE",0.239172,51.442781,1
174.8755,"DA26DF","DA2","6DF",0.238967,51.442695,1
189.7623,"DA26DG","DA2","6DG",0.239729,51.442411,1
207.8179,"DA26DH","DA2","6DH",0.239189,51.444301,1
270.6343,"DA26DJ","DA2","6DJ",0.24074,51.442779,1
229.3466,"DA26DL","DA2","6DL",0.240392,51.442425,1
159.3709,"DA26DN","DA2","6DN",0.241853,51.444043,1
128.2864,"DA26DP","DA2","6DP",0.240763,51.444415,1
155.3115,"DA26DQ","DA2","6DQ",0.239053,51.442424,1
137.3328,"DA26DR","DA2","6DR",0.209755,51.4445,1
442.1837,"DA26DS","DA2","6DS",0.256259,51.455431,0
702.6157,"DA26DT","DA2","6DT",0.250714,51.455384,0
70.68327,"DA26DU","DA2","6DU",0.251534,51.439577,1
197.8193,"DA26DW","DA2","6DW",0.241203,51.443696,1
186.4662,"DA26DX","DA2","6DX",0.247372,51.438038,1
119.1361,"DA26DY","DA2","6DY",0.246542,51.438422,1
116.9062,"DA26DZ","DA2","6DZ",0.243821,51.438385,1
140.3768,"DA26EA","DA2","6EA",0.244482,51.438372,1
195.9295,"DA26EB","DA2","6EB",0.248829,51.438999,1
229.6493,"DA26ED","DA2","6ED",0.248991,51.438483,1
261.3862,"DA26EE","DA2","6EE",0.24881,51.43801,1
143.1533,"DA26EF","DA2","6EF",0.247132,51.438421,1
111.3225,"DA26EG","DA2","6EG",0.247334,51.439316,1
104.8577,"DA26EH","DA2","6EH",0.243674,51.439206,1
209.7438,"DA26EJ","DA2","6EJ",0.248988,51.438717,1
390.7665,"DA26EL","DA2","6EL",0.257595,51.43759,1
98.61597,"DA26EN","DA2","6EN",0.247405,51.439584,1
200.5681,"DA26EP","DA2","6EP",0.251344,51.43833,1
195.436,"DA26EQ","DA2","6EQ",0.251621,51.438406,1
116.7077,"DA26ER","DA2","6ER",0.253218,51.439571,1
222.0268,"DA26ES","DA2","6ES",0.254833,51.438767,1
137.2034,"DA26ET","DA2","6ET",0.249151,51.439694,1
60.90593,"DA26EU","DA2","6EU",0.250419,51.439715,1
160.7186,"DA26EW","DA2","6EW",0.252074,51.438838,1
133.8886,"DA26EX","DA2","6EX",0.249572,51.440927,1
123.3321,"DA26EY","DA2","6EY",0.253978,51.439521,1
152.8982,"DA26EZ","DA2","6EZ",0.254385,51.439324,1
234.0996,"DA26FA","DA2","6FA",0.238335,51.444794,1
87.66742,"DA26FB","DA2","6FB",0.244974,51.446357,0
100.3755,"DA26FD","DA2","6FD",0.245533,51.446608,0
80.45648,"DA26FE","DA2","6FE",0.246056,51.4464,0
43.62233,"DA26FF","DA2","6FF",0.245059,51.445151,1
79.62619,"DA26FG","DA2","6FG",0.244673,51.446084,0
88.22935,"DA26FH","DA2","6FH",0.244341,51.444589,1
77.9828,"DA26FJ","DA2","6FJ",0.245304,51.444858,1
