"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
15.29575,"DL166AA","DL16","6AA",-1.602581,54.698876,1
97.55607,"DL166AB","DL16","6AB",-1.601977,54.699773,1
108.8889,"DL166AD","DL16","6AD",-1.601762,54.700059,1
64.99965,"DL166AE","DL16","6AE",-1.602235,54.699306,1
127.8364,"DL166AF","DL16","6AF",-1.601604,54.700319,1
39.90984,"DL166AG","DL16","6AG",-1.601287,54.69942,1
132.1349,"DL166AH","DL16","6AH",-1.602483,54.700395,1
110.5167,"DL166AJ","DL16","6AJ",-1.605293,54.699145,1
40.50568,"DL166AL","DL16","6AL",-1.603804,54.70074,1
68.20863,"DL166AN","DL16","6AN",-1.604614,54.700374,1
83.3594,"DL166AP","DL16","6AP",-1.605633,54.699308,1
119.6846,"DL166AQ","DL16","6AQ",-1.603018,54.700189,1
48.55092,"DL166AR","DL16","6AR",-1.60538,54.699846,1
101.9728,"DL166AS","DL16","6AS",-1.60438,54.6989,1
151.5669,"DL166AT","DL16","6AT",-1.60564,54.698643,1
108.521,"DL166AU","DL16","6AU",-1.603877,54.699572,1
85.89568,"DL166AW","DL16","6AW",-1.604649,54.700015,1
164.8895,"DL166AX","DL16","6AX",-1.606265,54.698187,1
156.1481,"DL166AY","DL16","6AY",-1.604715,54.697957,1
159.544,"DL166AZ","DL16","6AZ",-1.605207,54.698471,1
83.13614,"DL166BA","DL16","6BA",-1.603802,54.699293,1
81.26822,"DL166BB","DL16","6BB",-1.603765,54.698349,1
38.31718,"DL166BD","DL16","6BD",-1.603387,54.698878,1
26.92319,"DL166BE","DL16","6BE",-1.602754,54.69858,1
96.61535,"DL166BF","DL16","6BF",-1.601047,54.700183,1
34.29396,"DL166BG","DL16","6BG",-1.574332,54.706626,1
9.38731,"DL166BH","DL16","6BH",-1.602823,54.698904,1
26.92319,"DL166BJ","DL16","6BJ",-1.602754,54.69858,1
31.26708,"DL166BL","DL16","6BL",-1.589275,54.702759,1
260.7727,"DL166BN","DL16","6BN",-1.596521,54.701255,1
221.6651,"DL166BP","DL16","6BP",-1.578148,54.705812,1
91.82596,"DL166BQ","DL16","6BQ",-1.603365,54.699579,1
291.2322,"DL166BW","DL16","6BW",-1.577134,54.703319,1
118.425,"DL166DA","DL16","6DA",-1.59988,54.700565,1
31.79505,"DL166DB","DL16","6DB",-1.601821,54.69881,1
95.42371,"DL166DD","DL16","6DD",-1.603597,54.698097,1
81.19147,"DL166DE","DL16","6DE",-1.602807,54.697969,1
75.7493,"DL166DF","DL16","6DF",-1.601907,54.697894,1
36.74076,"DL166DG","DL16","6DG",-1.6026,54.698426,1
113.888,"DL166DH","DL16","6DH",-1.601211,54.697676,1
77.41088,"DL166DJ","DL16","6DJ",-1.599448,54.700231,1
141.7056,"DL166DL","DL16","6DL",-1.593823,54.702648,1
239.8715,"DL166DN","DL16","6DN",-1.595708,54.701899,1
239.0129,"DL166DP","DL16","6DP",-1.597782,54.701916,1
125.6504,"DL166DQ","DL16","6DQ",-1.600655,54.697423,1
166.0369,"DL166DR","DL16","6DR",-1.59848,54.702466,1
161.261,"DL166DS","DL16","6DS",-1.598137,54.702591,1
136.9806,"DL166DT","DL16","6DT",-1.597573,54.703128,1
140.0859,"DL166DU","DL16","6DU",-1.596481,54.70378,1
246.7039,"DL166DW","DL16","6DW",-1.596036,54.702674,1
209.6287,"DL166DX","DL16","6DX",-1.595148,54.70356,1
214.7118,"DL166DY","DL16","6DY",-1.596334,54.702944,1
