"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
104.4137,"DN40AA","DN4","0AA",-1.138791,53.519857,1
112.2343,"DN40AB","DN4","0AB",-1.15413,53.50636,1
211.9255,"DN40AD","DN4","0AD",-1.141569,53.518187,1
230.2128,"DN40AE","DN4","0AE",-1.141851,53.519178,1
257.4852,"DN40AF","DN4","0AF",-1.125721,53.512922,1
216.7828,"DN40AG","DN4","0AG",-1.141716,53.518395,1
46.97785,"DN40AH","DN4","0AH",-1.146884,53.517911,1
32.3628,"DN40AJ","DN4","0AJ",-1.147075,53.518137,1
237.5925,"DN40AL","DN4","0AL",-1.141831,53.517919,1
83.13444,"DN40AN","DN4","0AN",-1.153682,53.510552,1
257.4852,"DN40AP","DN4","0AP",-1.125721,53.512922,1
225.4464,"DN40AQ","DN4","0AQ",-1.141865,53.518477,1
242.0505,"DN40AR","DN4","0AR",-1.142133,53.518677,1
253.1494,"DN40AS","DN4","0AS",-1.143867,53.518689,1
288.2311,"DN40AT","DN4","0AT",-1.142788,53.518313,1
281.0411,"DN40AU","DN4","0AU",-1.143093,53.518162,1
177.9134,"DN40AW","DN4","0AW",-1.155477,53.506082,1
263.5765,"DN40AX","DN4","0AX",-1.143443,53.518039,1
222.6637,"DN40AY","DN4","0AY",-1.144201,53.517838,1
199.986,"DN40AZ","DN4","0AZ",-1.14458,53.517714,1
177.5296,"DN40BA","DN4","0BA",-1.145163,53.517251,1
194.2919,"DN40BB","DN4","0BB",-1.144813,53.517366,1
70.1026,"DN40BD","DN4","0BD",-1.146604,53.518349,1
109.9624,"DN40BE","DN4","0BE",-1.145926,53.518281,1
381.9886,"DN40BF","DN4","0BF",-1.142504,53.521315,1
194.5286,"DN40BG","DN4","0BG",-1.144819,53.518716,1
193.2338,"DN40BH","DN4","0BH",-1.145305,53.519176,1
131.1932,"DN40BJ","DN4","0BJ",-1.145701,53.516862,1
113.0506,"DN40BL","DN4","0BL",-1.146383,53.518806,1
85.05646,"DN40BN","DN4","0BN",-1.148453,53.518614,1
43.73544,"DN40BP","DN4","0BP",-1.147552,53.518455,1
247.3457,"DN40BQ","DN4","0BQ",-1.144576,53.519413,1
72.19401,"DN40BS","DN4","0BS",-1.147444,53.518708,1
40.4244,"DN40BT","DN4","0BT",-1.148781,53.51805,1
59.59925,"DN40BU","DN4","0BU",-1.149162,53.517891,1
74.17522,"DN40BW","DN4","0BW",-1.147245,53.518704,1
160.8565,"DN40BX","DN4","0BX",-1.151048,53.517832,1
121.5828,"DN40BY","DN4","0BY",-1.150057,53.517619,1
109.7925,"DN40BZ","DN4","0BZ",-1.150831,53.51739,1
211.8655,"DN40DA","DN4","0DA",-1.152879,53.51754,1
251.6347,"DN40DB","DN4","0DB",-1.12563,53.51293,1
216.2118,"DN40DD","DN4","0DD",-1.153696,53.516037,1
19.76076,"DN40DE","DN4","0DE",-1.147331,53.518184,1
84.7122,"DN40DF","DN4","0DF",-1.149285,53.517002,1
206.3262,"DN40DG","DN4","0DG",-1.153876,53.515956,1
200.4407,"DN40DH","DN4","0DH",-1.153108,53.515888,1
161.5398,"DN40DJ","DN4","0DJ",-1.152299,53.515621,1
101.5538,"DN40DL","DN4","0DL",-1.151537,53.515993,1
91.88331,"DN40DN","DN4","0DN",-1.149718,53.517239,1
117.1952,"DN40DP","DN4","0DP",-1.155572,53.515563,1
154.6609,"DN40DQ","DN4","0DQ",-1.152517,53.516755,1
170.2195,"DN40DR","DN4","0DR",-1.156932,53.514683,1
189.8897,"DN40DS","DN4","0DS",-1.154108,53.51638,1
137.0454,"DN40DT","DN4","0DT",-1.157799,53.515085,1
179.5462,"DN40DU","DN4","0DU",-1.156726,53.514439,1
56.2805,"DN40DW","DN4","0DW",-1.1509,53.51616,1
90.08532,"DN40DX","DN4","0DX",-1.155675,53.516472,1
102.0073,"DN40DY","DN4","0DY",-1.155424,53.516192,1
76.41926,"DN40DZ","DN4","0DZ",-1.15359,53.510588,1
23.11528,"DN40EA","DN4","0EA",-1.147849,53.517936,1
23.11528,"DN40EB","DN4","0EB",-1.147849,53.517936,1
83.31761,"DN40ED","DN4","0ED",-1.146821,53.517299,1
46.71686,"DN40EE","DN4","0EE",-1.148932,53.516705,1
28.75538,"DN40EF","DN4","0EF",-1.147227,53.51661,1
39.36641,"DN40EG","DN4","0EG",-1.149393,53.516149,1
14.52435,"DN40EH","DN4","0EH",-1.147805,53.516481,1
52.05806,"DN40EJ","DN4","0EJ",-1.148244,53.515639,1
257.4852,"DN40EL","DN4","0EL",-1.125721,53.512922,1
130.2305,"DN40EP","DN4","0EP",-1.151505,53.515319,1
145.48,"DN40ER","DN4","0ER",-1.152802,53.515346,1
164.8091,"DN40ES","DN4","0ES",-1.151142,53.514642,1
179.5571,"DN40ET","DN4","0ET",-1.150814,53.51446,1
157.2034,"DN40EU","DN4","0EU",-1.151144,53.513779,1
104.3148,"DN40EW","DN4","0EW",-1.150888,53.515288,1
109.968,"DN40EX","DN4","0EX",-1.151828,53.514287,1
105.3738,"DN40EY","DN4","0EY",-1.152123,53.514613,1
27.32914,"DN40EZ","DN4","0EZ",-1.153561,53.514336,1
22.41154,"DN40FB","DN4","0FB",-1.147675,53.517557,1
95.50637,"DN40FD","DN4","0FD",-1.155478,53.513495,1
94.94452,"DN40FE","DN4","0FE",-1.157173,53.506361,1
212.4671,"DN40FF","DN4","0FF",-1.161552,53.506797,1
90.08247,"DN40GA","DN4","0GA",-1.153773,53.510508,1
257.4852,"DN40GB","DN4","0GB",-1.125721,53.512922,1
257.4852,"DN40GD","DN4","0GD",-1.125721,53.512922,1
257.4852,"DN40GE","DN4","0GE",-1.125721,53.512922,1
257.4852,"DN40GG","DN4","0GG",-1.125721,53.512922,1
257.4852,"DN40GH","DN4","0GH",-1.125721,53.512922,1
257.4852,"DN40GJ","DN4","0GJ",-1.125721,53.512922,1
92.33909,"DN40HA","DN4","0HA",-1.153474,53.514928,1
137.1832,"DN40HB","DN4","0HB",-1.154586,53.515134,1
145.6596,"DN40HD","DN4","0HD",-1.155591,53.514629,1
129.0796,"DN40HE","DN4","0HE",-1.156902,53.513928,1
128.0726,"DN40HF","DN4","0HF",-1.155786,53.513911,1
94.31039,"DN40HG","DN4","0HG",-1.155025,53.514274,1
12.02041,"DN40HH","DN4","0HH",-1.153523,53.513949,1
102.9667,"DN40HJ","DN4","0HJ",-1.155372,53.513531,1
75.11757,"DN40HL","DN4","0HL",-1.156519,53.513476,1
256.7065,"DN40HN","DN4","0HN",-1.125723,53.512942,1
222.0332,"DN40HP","DN4","0HP",-1.140182,53.51371,1
76.49714,"DN40HQ","DN4","0HQ",-1.154249,53.514601,1
103.4715,"DN40HT","DN4","0HT",-1.152876,53.513162,1
11.49265,"DN40HU","DN4","0HU",-1.157003,53.512607,1
58.274,"DN40HW","DN4","0HW",-1.160595,53.514026,1
85.45359,"DN40HX","DN4","0HX",-1.157197,53.513507,1
38.05761,"DN40HY","DN4","0HY",-1.15792,53.512894,1
70.823,"DN40HZ","DN4","0HZ",-1.158928,53.513663,1
100.1627,"DN40JA","DN4","0JA",-1.159843,53.51314,1
112.4511,"DN40JB","DN4","0JB",-1.158141,53.515339,1
57.82062,"DN40JD","DN4","0JD",-1.157892,53.513586,1
165.1238,"DN40JE","DN4","0JE",-1.153115,53.512508,1
76.92949,"DN40JF","DN4","0JF",-1.142892,53.515446,1
67.48853,"DN40JG","DN4","0JG",-1.143181,53.515313,1
78.42956,"DN40JH","DN4","0JH",-1.159518,53.514469,1
199.2895,"DN40JL","DN4","0JL",-1.140896,53.513454,1
238.0667,"DN40JN","DN4","0JN",-1.140842,53.514641,1
66.85556,"DN40JP","DN4","0JP",-1.143379,53.515207,1
102.1138,"DN40JT","DN4","0JT",-1.144773,53.514902,1
79.67971,"DN40JU","DN4","0JU",-1.144887,53.515218,1
206.1594,"DN40JW","DN4","0JW",-1.141078,53.515013,1
79.67971,"DN40JY","DN4","0JY",-1.144887,53.515218,1
146.4041,"DN40JZ","DN4","0JZ",-1.142316,53.514822,1
177.9562,"DN40LA","DN4","0LA",-1.142187,53.514497,1
113.7574,"DN40LB","DN4","0LB",-1.143627,53.514139,1
136.2279,"DN40LD","DN4","0LD",-1.14365,53.514481,1
168.5345,"DN40LE","DN4","0LE",-1.141935,53.513671,1
123.6687,"DN40LF","DN4","0LF",-1.143056,53.514009,1
104.4657,"DN40LG","DN4","0LG",-1.142786,53.513207,1
78.58453,"DN40LH","DN4","0LH",-1.143227,53.513013,1
81.78859,"DN40LJ","DN4","0LJ",-1.144929,53.51387,1
59.29095,"DN40LL","DN4","0LL",-1.14521,53.513395,1
41.17001,"DN40LN","DN4","0LN",-1.14683,53.512319,1
118.8349,"DN40LP","DN4","0LP",-1.147957,53.512543,1
22.25235,"DN40LQ","DN4","0LQ",-1.1447,53.513239,1
91.50371,"DN40LR","DN4","0LR",-1.149482,53.511655,1
122.4615,"DN40LS","DN4","0LS",-1.146549,53.513558,1
125.9407,"DN40LT","DN4","0LT",-1.149131,53.511904,1
149.8509,"DN40LU","DN4","0LU",-1.148518,53.511639,1
130.5824,"DN40LX","DN4","0LX",-1.147943,53.511734,1
113.6759,"DN40LY","DN4","0LY",-1.146553,53.511122,1
175.3228,"DN40LZ","DN4","0LZ",-1.146911,53.510549,1
235.7377,"DN40NA","DN4","0NA",-1.147919,53.509918,1
219.5935,"DN40NB","DN4","0NB",-1.14848,53.509778,1
211.0087,"DN40ND","DN4","0ND",-1.148844,53.509628,1
253.69,"DN40NE","DN4","0NE",-1.146571,53.509459,1
36.55014,"DN40NF","DN4","0NF",-1.15108,53.507172,1
175.7922,"DN40NG","DN4","0NG",-1.154149,53.504497,1
84.15654,"DN40NJ","DN4","0NJ",-1.144949,53.510643,1
105.873,"DN40NL","DN4","0NL",-1.157355,53.509329,1
127.1477,"DN40NN","DN4","0NN",-1.154904,53.50444,1
175.7922,"DN40NP","DN4","0NP",-1.154149,53.504497,1
127.4501,"DN40NR","DN4","0NR",-1.155189,53.505278,1
109.1895,"DN40NS","DN4","0NS",-1.155684,53.505371,1
74.19872,"DN40NT","DN4","0NT",-1.157799,53.505188,1
104.5583,"DN40NU","DN4","0NU",-1.158005,53.505432,1
139.2458,"DN40NW","DN4","0NW",-1.154904,53.505195,1
148.1441,"DN40NX","DN4","0NX",-1.156021,53.505895,1
43.7195,"DN40NY","DN4","0NY",-1.158029,53.506511,1
134.0246,"DN40PA","DN4","0PA",-1.156317,53.506922,1
169.551,"DN40PB","DN4","0PB",-1.154631,53.509822,1
47.35763,"DN40PE","DN4","0PE",-1.155585,53.508103,1
154.0575,"DN40PF","DN4","0PF",-1.154258,53.509631,1
85.44545,"DN40PG","DN4","0PG",-1.155498,53.507176,1
51.55135,"DN40PH","DN4","0PH",-1.155101,53.507398,1
82.129,"DN40PJ","DN4","0PJ",-1.15385,53.506616,1
66.28815,"DN40PL","DN4","0PL",-1.151343,53.506814,1
35.74742,"DN40PN","DN4","0PN",-1.152705,53.506599,1
30.44896,"DN40PP","DN4","0PP",-1.152588,53.507183,1
109.2843,"DN40PQ","DN4","0PQ",-1.154635,53.506568,1
63.14097,"DN40PR","DN4","0PR",-1.154077,53.508092,1
