"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
226.9027,"E151AA","E15","1AA",-0.002063,51.544029,1
86.14642,"E151AB","E15","1AB",-0.003519,51.549962,1
184.246,"E151AD","E15","1AD",0.009818,51.548538,1
246.4788,"E151AE","E15","1AE",-0.003062,51.539666,1
221.1249,"E151AF","E15","1AF",-0.003071,51.538785,1
62.19698,"E151AG","E15","1AG",0.000619,51.544019,1
242.5704,"E151AH","E15","1AH",-0.003236,51.539301,1
130.6541,"E151AJ","E15","1AJ",-0.001757,51.53854,1
151.9454,"E151AL","E15","1AL",-0.001271,51.539726,1
151.9454,"E151AN","E15","1AN",-0.001271,51.539726,1
192.2917,"E151AP","E15","1AP",-0.001486,51.54008,1
24.3718,"E151AQ","E15","1AQ",0.00115,51.54428,1
191.4759,"E151AR","E15","1AR",-0.001486,51.540071,1
110.6293,"E151AS","E15","1AS",-0.001471,51.538767,1
151.5966,"E151AT","E15","1AT",-0.001419,51.539639,1
230.2948,"E151AU","E15","1AU",-0.003871,51.538961,1
151.5966,"E151AW","E15","1AW",-0.001419,51.539639,1
20.00574,"E151AX","E15","1AX",0.001486,51.544373,1
34.31682,"E151AY","E15","1AY",0.001749,51.54445,1
185.4149,"E151AZ","E15","1AZ",-0.001432,51.540028,1
60.23116,"E151BA","E15","1BA",0.001608,51.543211,1
14.18505,"E151BB","E15","1BB",0.002001,51.543627,1
68.95062,"E151BD","E15","1BD",0.003336,51.544135,1
61.64055,"E151BE","E15","1BE",0.002129,51.544569,1
88.32244,"E151BF","E15","1BF",0.002494,51.544671,1
170.4741,"E151BG","E15","1BG",0.000225,51.542587,1
60.23116,"E151BH","E15","1BH",0.001608,51.543211,1
79.30327,"E151BJ","E15","1BJ",0.002733,51.544199,1
62.19698,"E151BL","E15","1BL",0.000619,51.544019,1
139.499,"E151BN","E15","1BN",0.000957,51.542512,1
92.68207,"E151BP","E15","1BP",0.001568,51.542312,1
170.4741,"E151BQ","E15","1BQ",0.000225,51.542587,1
79.70042,"E151BS","E15","1BS",0.003688,51.544929,1
79.70042,"E151BT","E15","1BT",0.003688,51.544929,1
90.78574,"E151BU","E15","1BU",-0.005181,51.532095,1
180.7262,"E151BW","E15","1BW",0.000127,51.542337,1
93.08456,"E151BX","E15","1BX",0.001437,51.542935,1
103.228,"E151BY","E15","1BY",0.00535,51.547976,1
154.7835,"E151BZ","E15","1BZ",-0.002027,51.546834,1
186.363,"E151DA","E15","1DA",-0.00146,51.540026,1
92.50504,"E151DB","E15","1DB",0.000118,51.54508,1
41.74868,"E151DD","E15","1DD",0.00127,51.543738,1
255.3632,"E151DE","E15","1DE",-0.001457,51.542735,1
236.5672,"E151DF","E15","1DF",-0.002676,51.544183,1
150.1393,"E151DG","E15","1DG",-0.001455,51.547031,1
128.1635,"E151DH","E15","1DH",-0.001968,51.546518,1
255.3632,"E151DJ","E15","1DJ",-0.001457,51.542735,1
171.7399,"E151DL","E15","1DL",-0.00056,51.540154,1
202.0448,"E151DN","E15","1DN",-0.002396,51.547281,1
237.491,"E151DP","E15","1DP",-0.001012,51.547932,1
200.9182,"E151DQ","E15","1DQ",-0.001406,51.547536,1
193.9155,"E151DR","E15","1DR",-0.002983,51.548408,1
171.4337,"E151DS","E15","1DS",-0.000532,51.540156,1
144.8915,"E151DT","E15","1DT",-0.003878,51.549377,1
171.4337,"E151DU","E15","1DU",-0.000532,51.540156,1
90.78574,"E151DW","E15","1DW",-0.005181,51.532095,1
146.2128,"E151DX","E15","1DX",-0.000252,51.539963,1
35.7721,"E151DY","E15","1DY",-0.003523,51.550546,1
90.62926,"E151DZ","E15","1DZ",-0.001834,51.551237,1
159.3596,"E151EA","E15","1EA",0.000781,51.55166,1
115.8561,"E151EB","E15","1EB",0.000308,51.551389,1
69.82303,"E151ED","E15","1ED",-0.001787,51.550993,1
194.0308,"E151EE","E15","1EE",-0.001605,51.548886,1
214.5141,"E151EF","E15","1EF",-0.002099,51.548825,1
167.2714,"E151EG","E15","1EG",0.004607,51.546145,1
102.9208,"E151EH","E15","1EH",-0.002806,51.550121,1
196.6213,"E151EJ","E15","1EJ",-0.002519,51.547778,1
132.2395,"E151EL","E15","1EL",0.004469,51.543038,1
47.32879,"E151EN","E15","1EN",0.004714,51.544651,1
104.3084,"E151EP","E15","1EP",-0.001166,51.539158,1
150.1479,"E151EQ","E15","1EQ",0.005791,51.545523,1
33.08583,"E151ER","E15","1ER",0.004529,51.54406,1
65.02149,"E151ES","E15","1ES",0.005143,51.544562,1
47.06715,"E151ET","E15","1ET",0.00579,51.544524,1
64.26737,"E151EU","E15","1EU",0.007001,51.544522,1
146.2695,"E151EW","E15","1EW",0.004889,51.543056,1
112.4832,"E151EX","E15","1EX",0.006223,51.545212,1
170.5903,"E151EY","E15","1EY",0.006117,51.545733,1
292.8836,"E151EZ","E15","1EZ",0.00753,51.546707,1
55.21443,"E151FA","E15","1FA",0.006502,51.544667,1
77.35253,"E151FB","E15","1FB",0.005233,51.548257,1
292.8836,"E151FD","E15","1FD",0.00753,51.546707,1
286.5138,"E151FE","E15","1FE",0.006852,51.550668,1
141.645,"E151FF","E15","1FF",5e-06,51.543205,1
90.78574,"E151FG","E15","1FG",-0.005181,51.532095,1
77.35253,"E151FH","E15","1FH",0.005233,51.548257,1
90.78574,"E151FJ","E15","1FJ",-0.005181,51.532095,1
92.47415,"E151FL","E15","1FL",-0.005138,51.532076,1
90.78574,"E151FN","E15","1FN",-0.005181,51.532095,1
90.78574,"E151FP","E15","1FP",-0.005181,51.532095,1
141.645,"E151FQ","E15","1FQ",5e-06,51.543205,1
90.78574,"E151FR","E15","1FR",-0.005181,51.532095,1
90.78574,"E151FS","E15","1FS",-0.005181,51.532095,1
172.1029,"E151FT","E15","1FT",-0.003907,51.548712,1
174.2954,"E151FU","E15","1FU",-0.003807,51.548692,1
90.78574,"E151FW","E15","1FW",-0.005181,51.532095,1
119.0847,"E151FX","E15","1FX",-0.003592,51.54734,1
143.5502,"E151FY","E15","1FY",-0.004119,51.548491,1
193.1856,"E151FZ","E15","1FZ",-0.002845,51.548253,1
193.2388,"E151GA","E15","1GA",-0.00315,51.548537,1
192.6186,"E151GB","E15","1GB",-0.003516,51.548759,1
164.1234,"E151GD","E15","1GD",-0.003489,51.548381,1
165.0522,"E151GE","E15","1GE",-0.003211,51.548142,1
56.634,"E151GF","E15","1GF",-0.001008,51.545425,1
44.68044,"E151GG","E15","1GG",-0.0011,51.545957,1
105.9276,"E151GH","E15","1GH",-0.001778,51.545303,1
175.9527,"E151GJ","E15","1GJ",-0.002902,51.545313,1
133.5115,"E151GL","E15","1GL",-0.002395,51.546024,1
99.73665,"E151GN","E15","1GN",-0.001906,51.545998,1
91.52368,"E151GP","E15","1GP",-0.001666,51.546201,1
90.78574,"E151GQ","E15","1GQ",-0.005181,51.532095,1
223.787,"E151GR","E15","1GR",-0.001089,51.542917,1
134.0191,"E151GS","E15","1GS",0.005466,51.547671,1
140.2641,"E151GZ","E15","1GZ",0.009778,51.553235,1
326.4257,"E151HA","E15","1HA",0.01006,51.547167,1
255.196,"E151HB","E15","1HB",0.007523,51.547525,1
115.4831,"E151HD","E15","1HD",0.005955,51.548595,1
240.4989,"E151HE","E15","1HE",0.008517,51.54847,1
267.7167,"E151HF","E15","1HF",0.008179,51.548332,1
310.4942,"E151HG","E15","1HG",0.008219,51.54728,1
235.6393,"E151HH","E15","1HH",0.009141,51.548235,1
214.7369,"E151HJ","E15","1HJ",0.009562,51.548309,1
214.508,"E151HL","E15","1HL",0.010564,51.548139,1
40.57092,"E151HP","E15","1HP",0.004853,51.544217,1
355.3392,"E151HQ","E15","1HQ",0.009246,51.547028,1
277.6179,"E151HR","E15","1HR",0.00698,51.546653,1
277.6179,"E151HS","E15","1HS",0.00698,51.546653,1
95.99154,"E151HT","E15","1HT",0.005663,51.548519,1
291.4723,"E151HU","E15","1HU",0.007721,51.547108,1
129.2236,"E151HX","E15","1HX",0.00449,51.543162,1
129.2236,"E151HY","E15","1HY",0.00449,51.543162,1
129.2236,"E151HZ","E15","1HZ",0.00449,51.543162,1
211.2545,"E151JA","E15","1JA",0.005475,51.546877,1
113.9439,"E151JB","E15","1JB",0.002686,51.548381,1
109.9887,"E151JD","E15","1JD",0.003837,51.547678,1
108.4408,"E151JE","E15","1JE",0.002383,51.547074,1
118.6623,"E151JF","E15","1JF",0.004366,51.547561,1
193.2169,"E151JG","E15","1JG",0.004901,51.546932,1
162.5982,"E151JH","E15","1JH",0.002607,51.547603,1
87.13852,"E151JJ","E15","1JJ",0.003534,51.547998,1
190.8817,"E151JL","E15","1JL",0.00123,51.547741,1
174.7491,"E151JN","E15","1JN",-0.000387,51.547391,1
201.6466,"E151JP","E15","1JP",0.000499,51.548841,1
185.7845,"E151JQ","E15","1JQ",0.001926,51.547828,1
160.2842,"E151JR","E15","1JR",0.005206,51.547304,1
240.1752,"E151JS","E15","1JS",-0.002209,51.5486,1
242.161,"E151JT","E15","1JT",0,51.547977,1
264.2212,"E151JU","E15","1JU",-0.001189,51.548169,1
63.19313,"E151JW","E15","1JW",0.003396,51.548497,1
101.8419,"E151JX","E15","1JX",-0.00396,51.547802,1
