"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
270.3344,"E1W1AA","E1W","1AA",-0.072803,51.506796,1
92.0791,"E1W1AB","E1W","1AB",-0.06922,51.508041,1
92.0791,"E1W1AD","E1W","1AD",-0.06922,51.508041,1
61.49624,"E1W1AE","E1W","1AE",-0.069513,51.508271,1
61.49624,"E1W1AF","E1W","1AF",-0.069513,51.508271,1
74.13594,"E1W1AG","E1W","1AG",-0.07015,51.5082,1
104.5876,"E1W1AH","E1W","1AH",-0.070759,51.508129,1
104.5876,"E1W1AJ","E1W","1AJ",-0.070759,51.508129,1
257.4035,"E1W1AL","E1W","1AL",-0.058075,51.519026,1
61.86544,"E1W1AN","E1W","1AN",-0.07359,51.508643,1
37.6789,"E1W1AP","E1W","1AP",-0.070189,51.508642,1
74.13594,"E1W1AQ","E1W","1AQ",-0.07015,51.5082,1
123.8459,"E1W1AR","E1W","1AR",-0.068752,51.507871,1
153.4499,"E1W1AS","E1W","1AS",-0.068648,51.5076,1
221.3695,"E1W1AT","E1W","1AT",-0.071732,51.507264,1
164.3279,"E1W1AU","E1W","1AU",-0.068755,51.507458,1
24.98304,"E1W1AW","E1W","1AW",-0.069359,51.508844,1
158.3564,"E1W1AX","E1W","1AX",-0.072251,51.50828,1
122.6013,"E1W1AY","E1W","1AY",-0.073732,51.508007,1
165.0353,"E1W1AZ","E1W","1AZ",-0.071812,51.508102,1
84.63674,"E1W1BA","E1W","1BA",-0.073324,51.508515,1
181.5451,"E1W1BB","E1W","1BB",-0.067912,51.507624,1
224.3342,"E1W1BD","E1W","1BD",-0.070119,51.506268,1
155.1286,"E1W1BE","E1W","1BE",-0.070005,51.505158,1
165.0353,"E1W1BF","E1W","1BF",-0.071812,51.508102,1
96.48711,"E1W1BG","E1W","1BG",-0.06329,51.503465,1
35.63203,"E1W1BH","E1W","1BH",-0.067347,51.504971,1
37.3361,"E1W1BJ","E1W","1BJ",-0.067321,51.504972,1
195.9037,"E1W1BL","E1W","1BL",-0.071225,51.507319,1
195.9037,"E1W1BN","E1W","1BN",-0.071225,51.507319,1
195.9037,"E1W1BP","E1W","1BP",-0.071225,51.507319,1
102.2858,"E1W1BQ","E1W","1BQ",-0.067662,51.50576,1
79.47934,"E1W1BS","E1W","1BS",-0.069682,51.508095,1
158.3564,"E1W1BT","E1W","1BT",-0.072251,51.50828,1
195.9037,"E1W1BW","E1W","1BW",-0.071225,51.507319,1
102.6238,"E1W1BX","E1W","1BX",-0.068297,51.509078,1
61.86544,"E1W1DD","E1W","1DD",-0.07359,51.508643,1
257.4035,"E1W1DS","E1W","1DS",-0.058075,51.519026,1
257.4035,"E1W1DT","E1W","1DT",-0.058075,51.519026,1
94.80601,"E1W1FR","E1W","1FR",-0.067806,51.505698,1
257.4035,"E1W1FY","E1W","1FY",-0.058075,51.519026,1
257.4035,"E1W1GE","E1W","1GE",-0.058075,51.519026,1
257.4035,"E1W1GL","E1W","1GL",-0.058075,51.519026,1
257.4035,"E1W1GN","E1W","1GN",-0.058075,51.519026,1
257.4035,"E1W1GP","E1W","1GP",-0.058075,51.519026,1
167.2497,"E1W1GR","E1W","1GR",-0.068313,51.506318,1
257.4035,"E1W1GS","E1W","1GS",-0.058075,51.519026,1
89.1173,"E1W1GT","E1W","1GT",-0.067909,51.505645,1
257.4035,"E1W1GU","E1W","1GU",-0.058075,51.519026,1
257.4035,"E1W1GW","E1W","1GW",-0.058075,51.519026,1
257.4035,"E1W1GX","E1W","1GX",-0.058075,51.519026,1
279.9452,"E1W1JP","E1W","1JP",-0.071352,51.506073,1
297.9771,"E1W1JR","E1W","1JR",-0.071592,51.506138,1
89.1173,"E1W1JS","E1W","1JS",-0.067909,51.505645,1
297.9771,"E1W1JT","E1W","1JT",-0.071592,51.506138,1
297.9771,"E1W1JU","E1W","1JU",-0.071592,51.506138,1
280.5626,"E1W1JX","E1W","1JX",-0.071364,51.506071,1
297.9771,"E1W1JZ","E1W","1JZ",-0.071592,51.506138,1
311.2859,"E1W1LA","E1W","1LA",-0.071942,51.506377,1
279.0453,"E1W1LB","E1W","1LB",-0.071338,51.506072,1
291.1387,"E1W1LD","E1W","1LD",-0.073421,51.5065,1
291.2349,"E1W1LE","E1W","1LE",-0.073395,51.506502,1
85.67816,"E1W1LF","E1W","1LF",-0.068787,51.505327,1
85.67816,"E1W1LG","E1W","1LG",-0.068787,51.505327,1
43.95833,"E1W1LH","E1W","1LH",-0.067178,51.504887,1
257.4035,"E1W1LJ","E1W","1LJ",-0.058075,51.519026,1
270.3344,"E1W1LL","E1W","1LL",-0.072803,51.506796,1
58.82238,"E1W1LN","E1W","1LN",-0.067041,51.505056,1
232.7975,"E1W1LP","E1W","1LP",-0.070543,51.506075,1
85.67816,"E1W1LQ","E1W","1LQ",-0.068787,51.505327,1
297.9771,"E1W1LR","E1W","1LR",-0.071592,51.506138,1
19.21378,"E1W1LS","E1W","1LS",-0.066844,51.504658,1
185.3529,"E1W1LT","E1W","1LT",-0.068104,51.506503,1
176.4126,"E1W1LU","E1W","1LU",-0.06911,51.506214,1
79.38392,"E1W1LW","E1W","1LW",-0.065942,51.504804,1
129.2474,"E1W1LX","E1W","1LX",-0.063783,51.504058,1
137.1766,"E1W1LY","E1W","1LY",-0.063871,51.503681,1
191.4036,"E1W1LZ","E1W","1LZ",-0.069943,51.505949,1
159.9283,"E1W1NA","E1W","1NA",-0.064246,51.504371,1
204.0688,"E1W1NB","E1W","1NB",-0.070128,51.505988,1
180.3252,"E1W1ND","E1W","1ND",-0.069123,51.50625,1
135.2538,"E1W1NG","E1W","1NG",-0.065019,51.503799,1
167.6778,"E1W1NH","E1W","1NH",-0.064357,51.50413,1
33.47999,"E1W1NJ","E1W","1NJ",-0.066342,51.504199,1
105.9344,"E1W1NP","E1W","1NP",-0.063438,51.504052,1
81.66135,"E1W1NQ","E1W","1NQ",-0.065686,51.504053,1
105.9344,"E1W1NR","E1W","1NR",-0.063438,51.504052,1
146.157,"E1W1NS","E1W","1NS",-0.064704,51.5041,1
133.7864,"E1W1NT","E1W","1NT",-0.064875,51.504139,1
109.1186,"E1W1NU","E1W","1NU",-0.065217,51.504225,1
60.7215,"E1W1NX","E1W","1NX",-0.065969,51.504516,1
25.42784,"E1W1NY","E1W","1NY",-0.066643,51.50459,1
121.5043,"E1W1NZ","E1W","1NZ",-0.065061,51.504519,1
88.00793,"E1W1PH","E1W","1PH",-0.063214,51.504237,1
30.68881,"E1W1PN","E1W","1PN",-0.062338,51.503494,1
105.9344,"E1W1PW","E1W","1PW",-0.063438,51.504052,1
198.3842,"E1W1TW","E1W","1TW",-0.073718,51.507315,1
225.9456,"E1W1UA","E1W","1UA",-0.068285,51.506983,1
225.9456,"E1W1UB","E1W","1UB",-0.068285,51.506983,1
164.4588,"E1W1UE","E1W","1UE",-0.070102,51.505259,1
227.3171,"E1W1UF","E1W","1UF",-0.070974,51.505417,1
221.2279,"E1W1UG","E1W","1UG",-0.069485,51.506544,1
245.2129,"E1W1UH","E1W","1UH",-0.070268,51.50644,1
27.66434,"E1W1UJ","E1W","1UJ",-0.068215,51.504886,1
156.0979,"E1W1UL","E1W","1UL",-0.070019,51.505159,1
166.7873,"E1W1UN","E1W","1UN",-0.073709,51.507604,1
156.0979,"E1W1UP","E1W","1UP",-0.070019,51.505159,1
204.8189,"E1W1UQ","E1W","1UQ",-0.070597,51.505483,1
56.85126,"E1W1UR","E1W","1UR",-0.068631,51.504929,1
257.4035,"E1W1US","E1W","1US",-0.058075,51.519026,1
198.3842,"E1W1UT","E1W","1UT",-0.073718,51.507315,1
122.6013,"E1W1UU","E1W","1UU",-0.073732,51.508007,1
198.3842,"E1W1UW","E1W","1UW",-0.073718,51.507315,1
198.3842,"E1W1UX","E1W","1UX",-0.073718,51.507315,1
122.6013,"E1W1UY","E1W","1UY",-0.073732,51.508007,1
198.3842,"E1W1UZ","E1W","1UZ",-0.073718,51.507315,1
257.4035,"E1W1WA","E1W","1WA",-0.058075,51.519026,1
257.4035,"E1W1WB","E1W","1WB",-0.058075,51.519026,1
257.4035,"E1W1WD","E1W","1WD",-0.058075,51.519026,1
257.4035,"E1W1WE","E1W","1WE",-0.058075,51.519026,1
257.4035,"E1W1WF","E1W","1WF",-0.058075,51.519026,1
257.4035,"E1W1WG","E1W","1WG",-0.058075,51.519026,1
257.4035,"E1W1WH","E1W","1WH",-0.058075,51.519026,1
94.80601,"E1W1WJ","E1W","1WJ",-0.067806,51.505698,1
257.4035,"E1W1WL","E1W","1WL",-0.058075,51.519026,1
257.4035,"E1W1WN","E1W","1WN",-0.058075,51.519026,1
257.4035,"E1W1WP","E1W","1WP",-0.058075,51.519026,1
257.4035,"E1W1WQ","E1W","1WQ",-0.058075,51.519026,1
257.4035,"E1W1WR","E1W","1WR",-0.058075,51.519026,1
257.4035,"E1W1WS","E1W","1WS",-0.058075,51.519026,1
257.4035,"E1W1WT","E1W","1WT",-0.058075,51.519026,1
255.2503,"E1W1WU","E1W","1WU",-0.058133,51.519018,1
257.4035,"E1W1WW","E1W","1WW",-0.058075,51.519026,1
178.5172,"E1W1WX","E1W","1WX",-0.067387,51.508119,1
178.5172,"E1W1WY","E1W","1WY",-0.067387,51.508119,1
178.5172,"E1W1WZ","E1W","1WZ",-0.067387,51.508119,1
122.6013,"E1W1XA","E1W","1XA",-0.073732,51.508007,1
122.6013,"E1W1XB","E1W","1XB",-0.073732,51.508007,1
122.6013,"E1W1XD","E1W","1XD",-0.073732,51.508007,1
