"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
104.1676,"EH525AA","EH52","5AA",-3.47126,55.934474,1
86.55085,"EH525AB","EH52","5AB",-3.4704,55.934583,1
610.2734,"EH525AD","EH52","5AD",-3.450876,55.938175,1
59.81406,"EH525AE","EH52","5AE",-3.470268,55.934054,1
59.16911,"EH525AF","EH52","5AF",-3.469829,55.93481,1
80.47338,"EH525AG","EH52","5AG",-3.469347,55.934676,1
175.5292,"EH525AH","EH52","5AH",-3.479818,55.932206,1
515.8341,"EH525AJ","EH52","5AJ",-3.452702,55.933912,1
143.8551,"EH525AL","EH52","5AL",-3.460719,55.934689,1
186.4254,"EH525AN","EH52","5AN",-3.490981,55.92818,1
148.2411,"EH525AP","EH52","5AP",-3.460621,55.934636,1
1051.124,"EH525AQ","EH52","5AQ",-3.443543,55.938171,1
346.5532,"EH525AR","EH52","5AR",-3.456123,55.933791,1
248.4526,"EH525AS","EH52","5AS",-3.456264,55.935434,1
403.3612,"EH525AT","EH52","5AT",-3.455156,55.933632,1
711.7695,"EH525AU","EH52","5AU",-3.448672,55.936602,1
308.4373,"EH525AW","EH52","5AW",-3.460085,55.933169,1
572.7867,"EH525AX","EH52","5AX",-3.450937,55.936818,1
572.7867,"EH525AY","EH52","5AY",-3.450937,55.936818,1
626.8269,"EH525AZ","EH52","5AZ",-3.451026,55.938757,1
1047.227,"EH525BA","EH52","5BA",-3.443517,55.937902,1
270.7829,"EH525BB","EH52","5BB",-3.455882,55.935474,1
572.7867,"EH525BD","EH52","5BD",-3.450937,55.936818,1
810.4697,"EH525BE","EH52","5BE",-3.447075,55.936279,1
270.7829,"EH525BF","EH52","5BF",-3.455882,55.935474,1
572.7867,"EH525BG","EH52","5BG",-3.450937,55.936818,1
559.6012,"EH525BH","EH52","5BH",-3.451811,55.934067,1
59.77229,"EH525BJ","EH52","5BJ",-3.471103,55.935824,1
134.2965,"EH525BL","EH52","5BL",-3.471511,55.936457,1
130.7023,"EH525BN","EH52","5BN",-3.471278,55.936639,1
31.71751,"EH525BP","EH52","5BP",-3.469864,55.937752,1
854.8904,"EH525BQ","EH52","5BQ",-3.44649,55.935181,1
47.59213,"EH525BS","EH52","5BS",-3.469519,55.937101,1
36.6808,"EH525BT","EH52","5BT",-3.469047,55.935718,1
466.3972,"EH525BU","EH52","5BU",-3.454003,55.938749,1
100.3986,"EH525BW","EH52","5BW",-3.47097,55.937811,1
122.0213,"EH525BX","EH52","5BX",-3.509526,55.930084,1
42.92466,"EH525BY","EH52","5BY",-3.469899,55.937918,1
270.7829,"EH525BZ","EH52","5BZ",-3.455882,55.935474,1
217.8695,"EH525DA","EH52","5DA",-3.505498,55.929828,1
238.9166,"EH525DB","EH52","5DB",-3.503149,55.929937,1
279.9859,"EH525DD","EH52","5DD",-3.501232,55.930455,1
174.5925,"EH525DE","EH52","5DE",-3.499466,55.930719,1
206.4043,"EH525DF","EH52","5DF",-3.501992,55.929403,1
216.0635,"EH525DG","EH52","5DG",-3.499863,55.92898,1
111.6655,"EH525DH","EH52","5DH",-3.503455,55.928729,1
97.72691,"EH525DJ","EH52","5DJ",-3.506954,55.928165,1
74.40254,"EH525DL","EH52","5DL",-3.504874,55.928586,1
208.2892,"EH525DN","EH52","5DN",-3.507128,55.929349,1
85.3259,"EH525DP","EH52","5DP",-3.510493,55.92903,1
146.0083,"EH525DQ","EH52","5DQ",-3.501955,55.928856,1
112.1713,"EH525DR","EH52","5DR",-3.510572,55.928597,1
195.0694,"EH525DS","EH52","5DS",-3.512851,55.927999,1
211.5377,"EH525DT","EH52","5DT",-3.512911,55.927814,1
126.2439,"EH525DU","EH52","5DU",-3.511491,55.927526,1
246.883,"EH525DW","EH52","5DW",-3.506666,55.929822,1
177.42,"EH525DX","EH52","5DX",-3.512684,55.926523,1
102.9343,"EH525DY","EH52","5DY",-3.512324,55.928774,1
248.0963,"EH525DZ","EH52","5DZ",-3.506208,55.929972,1
37.36693,"EH525EA","EH52","5EA",-3.497257,55.930315,1
124.8135,"EH525EB","EH52","5EB",-3.498096,55.929639,1
318.7103,"EH525ED","EH52","5ED",-3.45815,55.933304,1
99.89433,"EH525EE","EH52","5EE",-3.469308,55.934497,1
90.44544,"EH525EF","EH52","5EF",-3.469194,55.934022,1
119.2701,"EH525EG","EH52","5EG",-3.468512,55.934183,1
6.687805,"EH525EH","EH52","5EH",-3.466286,55.934174,1
49.11077,"EH525EJ","EH52","5EJ",-3.465794,55.934692,1
49.25308,"EH525EL","EH52","5EL",-3.467525,55.935615,1
199.5198,"EH525EN","EH52","5EN",-3.459687,55.934167,1
75.0968,"EH525EP","EH52","5EP",-3.465528,55.936995,1
39.26517,"EH525EQ","EH52","5EQ",-3.467242,55.934037,1
166.5064,"EH525ER","EH52","5ER",-3.464295,55.936543,1
109.9405,"EH525ES","EH52","5ES",-3.465298,55.935974,1
116.5671,"EH525ET","EH52","5ET",-3.4653,55.935623,1
206.2699,"EH525EU","EH52","5EU",-3.463563,55.935824,1
49.20263,"EH525EW","EH52","5EW",-3.466705,55.936793,1
47.28946,"EH525EX","EH52","5EX",-3.466471,55.935344,1
166.16,"EH525EY","EH52","5EY",-3.463336,55.93659,1
144.5475,"EH525EZ","EH52","5EZ",-3.462596,55.936087,1
263.0406,"EH525FA","EH52","5FA",-3.459937,55.93358,1
272.9811,"EH525FB","EH52","5FB",-3.461233,55.933564,1
329.3808,"EH525FD","EH52","5FD",-3.461811,55.932336,1
297.2332,"EH525FE","EH52","5FE",-3.460855,55.933299,1
349.5271,"EH525FF","EH52","5FF",-3.460837,55.932823,1
53.26887,"EH525GA","EH52","5GA",-3.50327,55.927267,1
63.057,"EH525GB","EH52","5GB",-3.501323,55.927821,1
172.042,"EH525GY","EH52","5GY",-3.486832,55.928922,1
208.2134,"EH525GZ","EH52","5GZ",-3.486072,55.929992,1
179.2853,"EH525HA","EH52","5HA",-3.46306,55.935641,1
200.1262,"EH525HB","EH52","5HB",-3.463355,55.934972,1
153.3564,"EH525HD","EH52","5HD",-3.462194,55.935175,1
205.1783,"EH525HE","EH52","5HE",-3.462344,55.934567,1
170.1866,"EH525HF","EH52","5HF",-3.463692,55.934564,1
232.7462,"EH525HG","EH52","5HG",-3.462623,55.934235,1
145.711,"EH525HH","EH52","5HH",-3.464013,55.933733,1
190.2239,"EH525HJ","EH52","5HJ",-3.463852,55.932873,1
215.7163,"EH525HL","EH52","5HL",-3.464358,55.932274,1
38.03203,"EH525HN","EH52","5HN",-3.465929,55.933612,1
54.75263,"EH525HP","EH52","5HP",-3.466336,55.933364,1
103.5305,"EH525HQ","EH52","5HQ",-3.464701,55.934157,1
155.7074,"EH525HR","EH52","5HR",-3.467441,55.932525,1
135.8758,"EH525HS","EH52","5HS",-3.468328,55.932703,1
99.77668,"EH525HT","EH52","5HT",-3.465906,55.933001,1
115.1523,"EH525HU","EH52","5HU",-3.466972,55.932827,1
174.8483,"EH525HW","EH52","5HW",-3.465593,55.932349,1
97.397,"EH525HX","EH52","5HX",-3.464783,55.933787,1
311.8862,"EH525HY","EH52","5HY",-3.501992,55.930634,1
290.0984,"EH525HZ","EH52","5HZ",-3.502757,55.931034,1
184.0523,"EH525JA","EH52","5JA",-3.50038,55.931589,1
51.68718,"EH525JB","EH52","5JB",-3.491092,55.929814,1
153.1566,"EH525JD","EH52","5JD",-3.488827,55.931279,1
177.3071,"EH525JE","EH52","5JE",-3.489538,55.932304,1
119.658,"EH525JF","EH52","5JF",-3.489756,55.931708,1
88.35436,"EH525JG","EH52","5JG",-3.49,55.931409,1
132.6542,"EH525JH","EH52","5JH",-3.49136,55.932219,1
