"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
120.8636,"EX331AA","EX33","1AA",-4.16259,51.108653,1
93.4401,"EX331AB","EX33","1AB",-4.161681,51.10869,1
65.15381,"EX331AD","EX33","1AD",-4.162393,51.109262,1
118.6092,"EX331AE","EX33","1AE",-4.162697,51.108734,1
67.26159,"EX331AF","EX33","1AF",-4.162053,51.109007,1
198.2301,"EX331AG","EX33","1AG",-4.164297,51.109028,1
201.2294,"EX331AH","EX33","1AH",-4.164216,51.108823,1
188.071,"EX331AJ","EX33","1AJ",-4.164563,51.109842,1
282.8516,"EX331AL","EX33","1AL",-4.165927,51.109979,1
112.9638,"EX331AN","EX33","1AN",-4.163438,51.110223,1
148.5653,"EX331AP","EX33","1AP",-4.163549,51.111381,1
241.7425,"EX331AQ","EX33","1AQ",-4.164627,51.108517,1
225.9623,"EX331AR","EX33","1AR",-4.164914,51.111238,1
437.0188,"EX331AS","EX33","1AS",-4.167987,51.112171,1
396.1638,"EX331AT","EX33","1AT",-4.167501,51.110939,1
434.6214,"EX331AU","EX33","1AU",-4.168023,51.111109,1
100.2435,"EX331AW","EX33","1AW",-4.163275,51.110711,1
522.0089,"EX331AX","EX33","1AX",-4.169201,51.111869,1
373.4608,"EX331AY","EX33","1AY",-4.167225,51.109946,1
465.6045,"EX331AZ","EX33","1AZ",-4.168526,51.11056,1
117.0875,"EX331BA","EX33","1BA",-4.162872,51.111564,1
218.2612,"EX331BB","EX33","1BB",-4.163959,51.112803,1
177.6069,"EX331BD","EX33","1BD",-4.163117,51.113124,1
102.0832,"EX331BE","EX33","1BE",-4.162307,51.114461,1
441.2324,"EX331BG","EX33","1BG",-4.169753,51.114179,1
124.0633,"EX331BH","EX33","1BH",-4.178108,51.111992,1
96.26518,"EX331BJ","EX33","1BJ",-4.178778,51.112564,1
537.4791,"EX331BL","EX33","1BL",-4.171384,51.110273,1
450.4572,"EX331BN","EX33","1BN",-4.17158,51.111717,1
510.6945,"EX331BP","EX33","1BP",-4.170359,51.112792,1
512.8075,"EX331BQ","EX33","1BQ",-4.170862,51.111326,1
379.0162,"EX331BR","EX33","1BR",-4.172234,51.113171,1
471.5876,"EX331BS","EX33","1BS",-4.170017,51.113716,1
348.6677,"EX331BT","EX33","1BT",-4.173012,51.114218,1
339.8482,"EX331BU","EX33","1BU",-4.172816,51.112774,1
516.5665,"EX331BW","EX33","1BW",-4.17049,51.111926,1
274.2928,"EX331BX","EX33","1BX",-4.173904,51.113794,1
273.3587,"EX331BY","EX33","1BY",-4.173749,51.113179,1
244.107,"EX331BZ","EX33","1BZ",-4.174568,51.112048,1
323.8542,"EX331DA","EX33","1DA",-4.174696,51.110832,1
