"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
23.47596,"FK70AE","FK7","0AE",-3.916365,56.092995,1
81.65455,"FK70AG","FK7","0AG",-3.916918,56.093444,1
150.5427,"FK70AH","FK7","0AH",-3.918177,56.094002,1
234.3149,"FK70AN","FK7","0AN",-3.919812,56.093121,1
246.1997,"FK70AP","FK7","0AP",-3.919907,56.092454,1
145.999,"FK70AQ","FK7","0AQ",-3.91808,56.093543,1
185.2673,"FK70AR","FK7","0AR",-3.918417,56.091911,1
39.0144,"FK70AS","FK7","0AS",-3.916623,56.093009,1
76.56628,"FK70AX","FK7","0AX",-3.935075,56.102893,1
116.2799,"FK70AY","FK7","0AY",-3.933709,56.103535,1
111.4529,"FK70AZ","FK7","0AZ",-3.933945,56.103109,1
226.5595,"FK70BA","FK7","0BA",-3.931233,56.103674,1
131.8114,"FK70BB","FK7","0BB",-3.933548,56.103861,1
196.8942,"FK70BD","FK7","0BD",-3.93151,56.102985,1
94.98888,"FK70BE","FK7","0BE",-3.933073,56.102412,1
258.5751,"FK70BG","FK7","0BG",-3.929694,56.102672,1
373.8334,"FK70BH","FK7","0BH",-3.918968,56.115591,1
191.2673,"FK70BP","FK7","0BP",-3.93606,56.100211,1
227.5873,"FK70BQ","FK7","0BQ",-3.930271,56.103598,1
16.85531,"FK70BS","FK7","0BS",-3.933545,56.100913,1
116.2032,"FK70BT","FK7","0BT",-3.933728,56.099428,1
124.3298,"FK70BU","FK7","0BU",-3.934214,56.099824,1
162.1452,"FK70BX","FK7","0BX",-3.935865,56.100688,1
122.9703,"FK70BY","FK7","0BY",-3.934932,56.100352,1
66.45829,"FK70BZ","FK7","0BZ",-3.935197,56.101786,1
147.6084,"FK70DA","FK7","0DA",-3.937081,56.101318,1
28.56981,"FK70DB","FK7","0DB",-3.933776,56.101469,1
135.3835,"FK70DD","FK7","0DD",-3.935901,56.101083,1
94.10886,"FK70DE","FK7","0DE",-3.93383,56.10019,1
21.03114,"FK70DF","FK7","0DF",-3.932589,56.100129,1
78.72568,"FK70DG","FK7","0DG",-3.931575,56.099461,1
150.8491,"FK70DH","FK7","0DH",-3.931892,56.098738,1
130.1809,"FK70DJ","FK7","0DJ",-3.934417,56.099066,1
53.9802,"FK70DL","FK7","0DL",-3.935158,56.098453,1
42.58097,"FK70DN","FK7","0DN",-3.934269,56.098163,1
172.3913,"FK70DP","FK7","0DP",-3.931136,56.097761,1
207.2984,"FK70DQ","FK7","0DQ",-3.930052,56.098596,1
84.22571,"FK70DR","FK7","0DR",-3.932686,56.097361,1
90.02073,"FK70DS","FK7","0DS",-3.932527,56.097928,1
224.5158,"FK70DT","FK7","0DT",-3.930305,56.097855,1
63.21876,"FK70DW","FK7","0DW",-3.933343,56.098158,1
150.9053,"FK70DX","FK7","0DX",-3.936481,56.099297,1
373.8334,"FK70DZ","FK7","0DZ",-3.918968,56.115591,1
373.8334,"FK70EB","FK7","0EB",-3.918968,56.115591,1
143.7658,"FK70ED","FK7","0ED",-3.921503,56.093312,1
216.5635,"FK70EE","FK7","0EE",-3.920341,56.093213,1
183.4103,"FK70EF","FK7","0EF",-3.920711,56.093549,1
130.0816,"FK70EG","FK7","0EG",-3.92194,56.094348,1
98.06521,"FK70EH","FK7","0EH",-3.917835,56.094437,1
57.96215,"FK70EJ","FK7","0EJ",-3.92011,56.094718,1
21.89265,"FK70EL","FK7","0EL",-3.92043,56.095,1
100.6626,"FK70EN","FK7","0EN",-3.918932,56.094943,1
288.8376,"FK70EP","FK7","0EP",-3.925982,56.097257,1
139.6278,"FK70EQ","FK7","0EQ",-3.919721,56.094014,1
261.1975,"FK70ER","FK7","0ER",-3.92969,56.097145,1
248.0663,"FK70ES","FK7","0ES",-3.929216,56.096982,1
157.6022,"FK70ET","FK7","0ET",-3.930368,56.096218,1
147.7691,"FK70EU","FK7","0EU",-3.931018,56.096037,1
231.7014,"FK70EW","FK7","0EW",-3.925379,56.09644,1
194.3486,"FK70EX","FK7","0EX",-3.927622,56.096621,1
124.764,"FK70EY","FK7","0EY",-3.928489,56.095942,1
194.0857,"FK70EZ","FK7","0EZ",-3.928361,56.0966,1
107.8291,"FK70HA","FK7","0HA",-3.9315,56.095392,1
148.0527,"FK70HB","FK7","0HB",-3.929574,56.096105,1
119.406,"FK70HD","FK7","0HD",-3.931272,56.095665,1
132.2572,"FK70HE","FK7","0HE",-3.932221,56.096962,1
132.125,"FK70HF","FK7","0HF",-3.931976,56.097191,1
42.44021,"FK70HG","FK7","0HG",-3.933576,56.097354,1
78.40169,"FK70HJ","FK7","0HJ",-3.926749,56.095223,1
78.02051,"FK70HL","FK7","0HL",-3.928833,56.088999,1
89.46783,"FK70HN","FK7","0HN",-3.928332,56.088621,1
85.90825,"FK70HP","FK7","0HP",-3.922464,56.093243,1
47.1914,"FK70HQ","FK7","0HQ",-3.921576,56.096266,1
161.3196,"FK70HR","FK7","0HR",-3.921371,56.092919,1
96.73456,"FK70HS","FK7","0HS",-3.922684,56.092818,1
50.98701,"FK70HT","FK7","0HT",-3.923323,56.09305,1
23.17009,"FK70HU","FK7","0HU",-3.924666,56.093236,1
129.6291,"FK70HW","FK7","0HW",-3.921767,56.093656,1
104.6267,"FK70HX","FK7","0HX",-3.923027,56.092291,1
137.8408,"FK70HY","FK7","0HY",-3.924963,56.095002,1
47.05073,"FK70HZ","FK7","0HZ",-3.924753,56.094016,1
48.80853,"FK70JA","FK7","0JA",-3.924234,56.093789,1
32.52132,"FK70JB","FK7","0JB",-3.926145,56.092916,1
133.2197,"FK70JD","FK7","0JD",-3.927391,56.09232,1
109.4955,"FK70JE","FK7","0JE",-3.92733,56.092707,1
107.3369,"FK70JF","FK7","0JF",-3.928492,56.093111,1
