"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
159.8796,"G750AA","G75","0AA",-4.186783,55.757248,1
277.5634,"G750AB","G75","0AB",-4.186376,55.755395,1
84.34176,"G750AD","G75","0AD",-4.187693,55.757843,1
139.5883,"G750AE","G75","0AE",-4.190365,55.755468,1
387.6256,"G750AF","G75","0AF",-4.162406,55.755321,1
180.5956,"G750AG","G75","0AG",-4.190651,55.756586,1
42.05576,"G750AH","G75","0AH",-4.188606,55.757638,1
118.9642,"G750AJ","G75","0AJ",-4.190315,55.757141,1
127.0178,"G750AL","G75","0AL",-4.189196,55.756792,1
194.5971,"G750AN","G75","0AN",-4.189715,55.755812,1
581.6954,"G750AP","G75","0AP",-4.163553,55.73489,1
180.4351,"G750AQ","G75","0AQ",-4.19018,55.756442,1
196.4201,"G750AR","G75","0AR",-4.189288,55.75617,1
171.7618,"G750AS","G75","0AS",-4.188569,55.756408,1
119.6846,"G750AT","G75","0AT",-4.189609,55.754165,1
245.0023,"G750AU","G75","0AU",-4.187662,55.754734,1
210.6692,"G750AW","G75","0AW",-4.189013,55.756036,1
161.9129,"G750AX","G75","0AX",-4.18894,55.754505,1
186.679,"G750AY","G75","0AY",-4.187756,55.756413,1
248.1215,"G750AZ","G75","0AZ",-4.187912,55.75579,1
170.3471,"G750BA","G75","0BA",-4.189063,55.754988,1
88.44232,"G750BB","G75","0BB",-4.190442,55.754856,1
111.5648,"G750BD","G75","0BD",-4.189834,55.753959,1
329.1704,"G750BE","G75","0BE",-4.168039,55.754305,1
183.4154,"G750BF","G75","0BF",-4.182532,55.75243,1
157.0826,"G750BG","G75","0BG",-4.187867,55.753841,1
150.5772,"G750BH","G75","0BH",-4.184078,55.753333,1
286.5975,"G750BJ","G75","0BJ",-4.170884,55.748193,1
204.6236,"G750BL","G75","0BL",-4.182477,55.74494,1
140.2923,"G750BN","G75","0BN",-4.183964,55.746172,1
192.865,"G750BP","G75","0BP",-4.182193,55.74242,1
