"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
4358278.19535067,"GY90SA","GY9","0SA",0,99.999999,0
4358278.19535067,"GY90SB","GY9","0SB",0,99.999999,0
4358278.19535067,"GY90SD","GY9","0SD",0,99.999999,0
4358278.19535067,"GY90SE","GY9","0SE",0,99.999999,0
4358278.19535067,"GY90SF","GY9","0SF",0,99.999999,0
4358278.19535067,"GY90SG","GY9","0SG",0,99.999999,0
4358278.19535067,"GY93AA","GY9","3AA",0,99.999999,0
4358278.19535067,"GY93AB","GY9","3AB",0,99.999999,0
4358278.19535067,"GY93AD","GY9","3AD",0,99.999999,0
4358278.19535067,"GY93AE","GY9","3AE",0,99.999999,0
4358278.19535067,"GY93AF","GY9","3AF",0,99.999999,0
4358278.19535067,"GY93AG","GY9","3AG",0,99.999999,0
4358278.19535067,"GY93AH","GY9","3AH",0,99.999999,0
4358278.19535067,"GY93AJ","GY9","3AJ",0,99.999999,0
4358278.19535067,"GY93AL","GY9","3AL",0,99.999999,0
4358278.19535067,"GY93AN","GY9","3AN",0,99.999999,0
4358278.19535067,"GY93AP","GY9","3AP",0,99.999999,0
4358278.19535067,"GY93AQ","GY9","3AQ",0,99.999999,0
4358278.19535067,"GY93AR","GY9","3AR",0,99.999999,0
4358278.19535067,"GY93AS","GY9","3AS",0,99.999999,0
4358278.19535067,"GY93AT","GY9","3AT",0,99.999999,0
4358278.19535067,"GY93AU","GY9","3AU",0,99.999999,0
4358278.19535067,"GY93AW","GY9","3AW",0,99.999999,0
4358278.19535067,"GY93AX","GY9","3AX",0,99.999999,0
4358278.19535067,"GY93AY","GY9","3AY",0,99.999999,0
4358278.19535067,"GY93AZ","GY9","3AZ",0,99.999999,0
4358278.19535067,"GY93BA","GY9","3BA",0,99.999999,0
4358278.19535067,"GY93BB","GY9","3BB",0,99.999999,0
4358278.19535067,"GY93BD","GY9","3BD",0,99.999999,0
4358278.19535067,"GY93BE","GY9","3BE",0,99.999999,0
4358278.19535067,"GY93BF","GY9","3BF",0,99.999999,0
4358278.19535067,"GY93BG","GY9","3BG",0,99.999999,0
4358278.19535067,"GY93BH","GY9","3BH",0,99.999999,0
4358278.19535067,"GY93BJ","GY9","3BJ",0,99.999999,0
4358278.19535067,"GY93BL","GY9","3BL",0,99.999999,0
4358278.19535067,"GY93BN","GY9","3BN",0,99.999999,0
4358278.19535067,"GY93BP","GY9","3BP",0,99.999999,0
4358278.19535067,"GY93BQ","GY9","3BQ",0,99.999999,0
4358278.19535067,"GY93BR","GY9","3BR",0,99.999999,0
4358278.19535067,"GY93BS","GY9","3BS",0,99.999999,0
4358278.19535067,"GY93BT","GY9","3BT",0,99.999999,0
4358278.19535067,"GY93BU","GY9","3BU",0,99.999999,0
4358278.19535067,"GY93BW","GY9","3BW",0,99.999999,0
4358278.19535067,"GY93BX","GY9","3BX",0,99.999999,0
4358278.19535067,"GY93BY","GY9","3BY",0,99.999999,0
4358278.19535067,"GY93BZ","GY9","3BZ",0,99.999999,0
4358278.19535067,"GY93DA","GY9","3DA",0,99.999999,0
4358278.19535067,"GY93DB","GY9","3DB",0,99.999999,0
4358278.19535067,"GY93DD","GY9","3DD",0,99.999999,0
4358278.19535067,"GY93DE","GY9","3DE",0,99.999999,0
4358278.19535067,"GY93DF","GY9","3DF",0,99.999999,0
4358278.19535067,"GY93DG","GY9","3DG",0,99.999999,0
4358278.19535067,"GY93DH","GY9","3DH",0,99.999999,0
4358278.19535067,"GY93DJ","GY9","3DJ",0,99.999999,0
4358278.19535067,"GY93DL","GY9","3DL",0,99.999999,0
4358278.19535067,"GY93DN","GY9","3DN",0,99.999999,0
4358278.19535067,"GY93DP","GY9","3DP",0,99.999999,0
