"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
46.1865400083931,"IG110AA","IG11","0AA",0.078646,51.524785,1
104.341068797574,"IG110AB","IG11","0AB",0.078019,51.524357,1
104.544710193706,"IG110AD","IG11","0AD",0.077992,51.524356,1
227.668477662699,"IG110AE","IG11","0AE",0.109388,51.531169,1
1013.22656313212,"IG110AF","IG11","0AF",0.089254,51.51876,1
240.144253784186,"IG110AG","IG11","0AG",0.106421,51.531241,1
146.825542829718,"IG110AH","IG11","0AH",0.107998,51.528236,1
201.540409637734,"IG110AJ","IG11","0AJ",0.107787,51.531459,1
255.347398365709,"IG110AL","IG11","0AL",0.088173,51.534517,1
126.712824067982,"IG110AN","IG11","0AN",0.069922,51.523141,1
96.7636811706799,"IG110AP","IG11","0AP",0.108813,51.528086,1
351.680809537007,"IG110AQ","IG11","0AQ",0.103501,51.531412,1
130.534098998987,"IG110AR","IG11","0AR",0.087312,51.528615,1
231.056369724984,"IG118HW","IG11","8HW",0.079342,51.54006,1
75.5425153601061,"IG118HX","IG11","8HX",0.076782,51.540537,1
75.5425153601061,"IG118HY","IG11","8HY",0.076782,51.540537,1
75.5425153601061,"IG118HZ","IG11","8HZ",0.076782,51.540537,1
94.2331894351427,"IG118JA","IG11","8JA",0.075201,51.541322,1
215.318309793957,"IG118JB","IG11","8JB",0.077925,51.539024,1
95.644709340165,"IG118JD","IG11","8JD",0.075934,51.538691,1
86.2501799935798,"IG118JE","IG11","8JE",0.076346,51.53828,1
73.2847097897807,"IG118JF","IG11","8JF",0.075492,51.538168,1
24.7125563137209,"IG118JG","IG11","8JG",0.074969,51.539041,1
61.4877291578196,"IG118JH","IG11","8JH",0.073366,51.539626,1
104.229399670733,"IG118JJ","IG11","8JJ",0.072774,51.538962,1
81.866743479734,"IG118JL","IG11","8JL",0.073328,51.539097,1
47.4426364191266,"IG118JN","IG11","8JN",0.073448,51.538573,1
80.2459601951267,"IG118JP","IG11","8JP",0.073253,51.538073,1
38.6551805080557,"IG118JQ","IG11","8JQ",0.074904,51.539538,1
17.7838398760821,"IG118JR","IG11","8JR",0.074089,51.5384,1
39.0397123159612,"IG118JS","IG11","8JS",0.07407,51.538922,1
38.5590338409861,"IG118JT","IG11","8JT",0.074669,51.538461,1
265.450292433078,"IG118JU","IG11","8JU",0.079128,51.538841,1
87.3179815353963,"IG118JW","IG11","8JW",0.072871,51.538556,1
67.9041725895146,"IG118JX","IG11","8JX",0.071452,51.54225,1
105.219361890455,"IG118JY","IG11","8JY",0.069573,51.542463,1
151.997716138384,"IG118JZ","IG11","8JZ",0.070109,51.543155,1
107.324356106176,"IG118LA","IG11","8LA",0.074372,51.541119,1
116.142263931305,"IG118LB","IG11","8LB",0.071105,51.542859,1
165.747884494211,"IG118LD","IG11","8LD",0.072726,51.542659,1
141.697350447352,"IG118LE","IG11","8LE",0.073788,51.54193,1
57.7071526969143,"IG118LF","IG11","8LF",0.072406,51.540381,1
38.101682863108,"IG118LG","IG11","8LG",0.073089,51.540504,1
97.3515560583121,"IG118LH","IG11","8LH",0.070361,51.540138,1
89.8178182599691,"IG118LJ","IG11","8LJ",0.071511,51.540361,1
37.9165002002545,"IG118LL","IG11","8LL",0.071161,51.540906,1
51.11616610821,"IG118LN","IG11","8LN",0.070274,51.541399,1
51.5929208692514,"IG118LP","IG11","8LP",0.07026,51.541399,1
158.142215509967,"IG118LQ","IG11","8LQ",0.070667,51.539575,1
51.11616610821,"IG118LR","IG11","8LR",0.070274,51.541399,1
48.0594867286938,"IG118LS","IG11","8LS",0.071036,51.541349,1
48.0594867286938,"IG118LT","IG11","8LT",0.071036,51.541349,1
48.0594867286938,"IG118LU","IG11","8LU",0.071036,51.541349,1
51.11616610821,"IG118LW","IG11","8LW",0.070274,51.541399,1
48.0594867286938,"IG118LX","IG11","8LX",0.071036,51.541349,1
23.3629281440252,"IG118LY","IG11","8LY",0.07042,51.541747,1
66.1949397154185,"IG118LZ","IG11","8LZ",0.073158,51.541375,1
19.7270228983166,"IG118NA","IG11","8NA",0.07234,51.541155,1
56.2985906112524,"IG118NB","IG11","8NB",0.072181,51.541473,1
121.063807611076,"IG118ND","IG11","8ND",0.07254,51.54206,1
69.3383863986379,"IG118NE","IG11","8NE",0.073507,51.541126,1
255.347398365709,"IG118NF","IG11","8NF",0.088173,51.534517,1
28.6068960761579,"IG118NG","IG11","8NG",0.073578,51.540162,1
20.8510387524195,"IG118NH","IG11","8NH",0.072384,51.541164,1
255.347398365709,"IG118NJ","IG11","8NJ",0.088173,51.534517,1
341.757806310422,"IG118NL","IG11","8NL",0.080223,51.539145,1
141.462771593602,"IG118NN","IG11","8NN",0.078409,51.541731,1
245.809030792758,"IG118NP","IG11","8NP",0.07926,51.538263,1
141.462771593602,"IG118NQ","IG11","8NQ",0.078409,51.541731,1
308.836330370798,"IG118NR","IG11","8NR",0.079808,51.538892,1
141.462771593602,"IG118NS","IG11","8NS",0.078409,51.541731,1
245.809030792758,"IG118NT","IG11","8NT",0.07926,51.538263,1
141.462771593602,"IG118NU","IG11","8NU",0.078409,51.541731,1
203.698879153646,"IG118NW","IG11","8NW",0.078671,51.53993,1
