"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
50.3969245066112,"IP264AA","IP26","4AA",0.52345,52.48799,1
114.587195637084,"IP264AB","IP26","4AB",0.522311,52.488167,1
158.783462937745,"IP264AD","IP26","4AD",0.519938,52.487508,1
82.7566519022994,"IP264AE","IP26","4AE",0.520275,52.489406,1
179.950740558335,"IP264AF","IP26","4AF",0.521994,52.48624,1
269.635517786309,"IP264AG","IP26","4AG",0.526833,52.483547,1
113.187580967027,"IP264AH","IP26","4AH",0.525368,52.486501,1
66.0686328686688,"IP264AJ","IP26","4AJ",0.524275,52.486084,1
56.3558801601193,"IP264AL","IP26","4AL",0.525899,52.487686,1
109.468682885324,"IP264AN","IP26","4AN",0.528337,52.487669,1
229.694894312184,"IP264AP","IP26","4AP",0.530115,52.487595,1
20.2824168620398,"IP264AQ","IP26","4AQ",0.523505,52.487404,1
133.374869950875,"IP264AR","IP26","4AR",0.526366,52.485158,1
197.766697041908,"IP264AS","IP26","4AS",0.52722,52.484888,1
188.577222218526,"IP264AT","IP26","4AT",0.527264,52.485535,1
148.832800441256,"IP264AU","IP26","4AU",0.527079,52.486293,1
196.463210484858,"IP264AW","IP26","4AW",0.529538,52.487186,1
142.944178647357,"IP264AX","IP26","4AX",0.528101,52.48664,1
359.132021476158,"IP264AY","IP26","4AY",0.527056,52.48268,1
128.175717295543,"IP264AZ","IP26","4AZ",0.522079,52.486949,1
200.145996199855,"IP264BA","IP26","4BA",0.521532,52.485369,1
165.438160919842,"IP264BB","IP26","4BB",0.525081,52.484061,1
206.967441891516,"IP264BD","IP26","4BD",0.521472,52.484839,1
165.696645233904,"IP264BE","IP26","4BE",0.520779,52.484818,1
146.104372652779,"IP264BF","IP26","4BF",0.516386,52.484489,1
111.811381341121,"IP264BG","IP26","4BG",0.519744,52.485002,1
97.7292641215453,"IP264BH","IP26","4BH",0.518583,52.486088,1
177.728231872127,"IP264BJ","IP26","4BJ",0.517154,52.486731,1
335.371820941432,"IP264BL","IP26","4BL",0.514051,52.486949,1
79.0346375517309,"IP264BN","IP26","4BN",0.526886,52.48691,1
232.746310892369,"IP264BP","IP26","4BP",0.511606,52.486956,1
95.4257555783077,"IP264BQ","IP26","4BQ",0.519975,52.484413,1
172.678204195544,"IP264BS","IP26","4BS",0.51122,52.48637,1
179.661759605366,"IP264BT","IP26","4BT",0.511683,52.485722,1
290.709977268296,"IP264BU","IP26","4BU",0.512527,52.487089,1
235.24810270024,"IP264BW","IP26","4BW",0.512508,52.485714,1
322.72752719074,"IP264BX","IP26","4BX",0.513689,52.486282,1
313.356570166471,"IP264BY","IP26","4BY",0.513051,52.48697,1
61.6358333813946,"IP264BZ","IP26","4BZ",0.523887,52.486874,1
33.813957289272,"IP264DA","IP26","4DA",0.523803,52.48773,1
110.698794829073,"IP264DB","IP26","4DB",0.525509,52.488585,1
171.274414763901,"IP264DD","IP26","4DD",0.52867,52.488597,1
338.88047073167,"IP264DE","IP26","4DE",0.526806,52.490661,1
383.823752754965,"IP264DF","IP26","4DF",0.526829,52.491065,1
183.876960610606,"IP264DG","IP26","4DG",0.524787,52.489607,1
366.863221528718,"IP264DH","IP26","4DH",0.528977,52.490614,1
371.393265259732,"IP264DJ","IP26","4DJ",0.531692,52.489028,1
549.70838668694,"IP264DL","IP26","4DL",0.533547,52.490292,1
1092.53995156569,"IP264DN","IP26","4DN",0.541193,52.491962,0
838.524226586666,"IP264DP","IP26","4DP",0.536128,52.49252,1
168.115166824434,"IP264DQ","IP26","4DQ",0.523548,52.489453,1
2545.39479259381,"IP264DR","IP26","4DR",0.564022,52.497576,0
83.901889860027,"IP264DS","IP26","4DS",0.527419,52.488238,1
3082.77585869747,"IP264DT","IP26","4DT",0.583817,52.496802,0
1784.48137482416,"IP264DU","IP26","4DU",0.548678,52.50573,0
205.792008848243,"IP264DW","IP26","4DW",0.523256,52.490008,1
1775.68128890131,"IP264DX","IP26","4DX",0.536345,52.502946,0
268.080585735044,"IP264DY","IP26","4DY",0.530134,52.48639,1
65.1580925145429,"IP264DZ","IP26","4DZ",0.518207,52.484666,1
74.4580791422813,"IP264EA","IP26","4EA",0.517667,52.484237,1
216.260473538658,"IP264EB","IP26","4EB",0.515153,52.484569,1
884.261680084172,"IP264ED","IP26","4ED",0.495969,52.479769,0
92.8237603950119,"IP264EE","IP26","4EE",0.52419,52.488828,1
290.311637484487,"IP264EF","IP26","4EF",0.529607,52.485682,1
1007.14459226718,"IP264EG","IP26","4EG",0.494108,52.479557,0
379.236870767118,"IP264EH","IP26","4EH",0.503324,52.48599,1
935.594652098926,"IP264EJ","IP26","4EJ",0.49391,52.485298,0
2565.51741435989,"IP264EL","IP26","4EL",0.475299,52.496058,0
3265.85972635058,"IP264EN","IP26","4EN",0.466508,52.499415,0
4503.49052227484,"IP264EP","IP26","4EP",0.450812,52.508761,0
99.3763778517503,"IP264EQ","IP26","4EQ",0.507767,52.486003,1
3586.73559588811,"IP264ER","IP26","4ER",0.439039,52.512897,0
4032.3943059302,"IP264ES","IP26","4ES",0.449621,52.520304,0
1700.10284441602,"IP264ET","IP26","4ET",0.484088,52.489263,0
56.8170705982584,"IP264EU","IP26","4EU",0.517992,52.484248,1
3891.61347380601,"IP264EW","IP26","4EW",0.460013,52.503831,0
29.2544908869839,"IP264EX","IP26","4EX",0.507049,52.483743,0
490.885705726507,"IP264EY","IP26","4EY",0.53297,52.489854,1
629.061445475698,"IP264EZ","IP26","4EZ",0.534063,52.491082,1
798.646202737015,"IP264FA","IP26","4FA",0.532953,52.471232,0
45.1551282866343,"IP264FB","IP26","4FB",0.508379,52.485523,1
147.968289109688,"IP264HA","IP26","4HA",0.51611,52.485737,1
201.475424520628,"IP264HB","IP26","4HB",0.515209,52.485548,1
243.240747224589,"IP264HD","IP26","4HD",0.514554,52.485176,1
154.693500380824,"IP264HE","IP26","4HE",0.516031,52.484722,1
47.0647707068535,"IP264HF","IP26","4HF",0.517469,52.48515,1
28.8832534786693,"IP264HG","IP26","4HG",0.518138,52.484991,1
174.46095228551,"IP264HH","IP26","4HH",0.521241,52.483505,1
75.6911017077568,"IP264HJ","IP26","4HJ",0.519867,52.483813,1
113.137685226013,"IP264HL","IP26","4HL",0.508741,52.484365,1
52.5565978017242,"IP264HN","IP26","4HN",0.507394,52.483071,0
82.4698950744297,"IP264HP","IP26","4HP",0.509907,52.486084,1
66.7986828824263,"IP264HQ","IP26","4HQ",0.519119,52.485159,1
142.206208971421,"IP264HR","IP26","4HR",0.526654,52.488892,1
130.906005164856,"IP264HW","IP26","4HW",0.505876,52.484362,1
39.0257360439368,"IP264HX","IP26","4HX",0.52362,52.488023,1
70.3486992427493,"IP264HZ","IP26","4HZ",0.538257,52.463358,1
210.223300432007,"IP264JA","IP26","4JA",0.538395,52.460882,1
159.700801931187,"IP264JB","IP26","4JB",0.540056,52.463401,1
132.898246278743,"IP264JD","IP26","4JD",0.5399,52.462612,1
134.629249889669,"IP264JE","IP26","4JE",0.539425,52.463566,1
130.288177630772,"IP264JF","IP26","4JF",0.538456,52.463884,1
303.481684161112,"IP264JG","IP26","4JG",0.542424,52.462594,1
210.543287979839,"IP264JH","IP26","4JH",0.544258,52.46339,1
780.246180815594,"IP264JJ","IP26","4JJ",0.535933,52.455845,0
763.983194497977,"IP264JL","IP26","4JL",0.541505,52.455465,0
1240.40682845798,"IP264JN","IP26","4JN",0.505389,52.46672,0
2932.22086211962,"IP264JP","IP26","4JP",0.46477,52.479147,0
1093.22805047699,"IP264JQ","IP26","4JQ",0.525293,52.456657,0
3073.35270009112,"IP264JR","IP26","4JR",0.462712,52.478947,0
215.891520700103,"IP264JS","IP26","4JS",0.550566,52.456124,0
799.347517433043,"IP264JT","IP26","4JT",0.532279,52.470904,0
539.553655718692,"IP264JU","IP26","4JU",0.544487,52.45639,0
2057.05383631483,"IP264JW","IP26","4JW",0.491923,52.465782,0
67.830131599374,"IP264JX","IP26","4JX",0.547983,52.462879,1
93.8694442640365,"IP264JY","IP26","4JY",0.547259,52.464369,1
429.530340513122,"IP264JZ","IP26","4JZ",0.623936,52.448052,1
286.748445914217,"IP264LA","IP26","4LA",0.539254,52.465207,1
224.2105624472,"IP264LB","IP26","4LB",0.539611,52.464498,1
207.913671199432,"IP264LD","IP26","4LD",0.540568,52.463731,1
228.748216179129,"IP264LE","IP26","4LE",0.541326,52.462833,1
281.82507850835,"IP264LF","IP26","4LF",0.54179,52.463731,1
356.129966836702,"IP264LG","IP26","4LG",0.5409,52.465405,1
278.747741822499,"IP264LH","IP26","4LH",0.543413,52.464056,1
