"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
648.318641290987,"KY50AA","KY5","0AA",-3.284712,56.139552,0
871.913653506586,"KY50AB","KY5","0AB",-3.285195,56.142449,0
715.645067363747,"KY50AD","KY5","0AD",-3.291991,56.148353,0
712.784316110688,"KY50AE","KY5","0AE",-3.282472,56.14431,0
698.715037911568,"KY50AG","KY5","0AG",-3.233417,56.14286,0
350.761350909553,"KY50AH","KY5","0AH",-3.258334,56.133614,0
533.052673655239,"KY50AJ","KY5","0AJ",-3.269692,56.134531,0
739.119160182461,"KY50AL","KY5","0AL",-3.257704,56.130071,0
1454.70476607814,"KY50AN","KY5","0AN",-3.249666,56.12434,0
493.689347436216,"KY50AP","KY5","0AP",-3.247814,56.1347,0
402.224563011705,"KY50AQ","KY5","0AQ",-3.242576,56.1439,0
160.494201437558,"KY50AR","KY5","0AR",-3.269672,56.147598,1
1742.86044193627,"KY50AS","KY5","0AS",-3.254888,56.117218,0
219.755129479182,"KY50AT","KY5","0AT",-3.259827,56.141859,1
1429.26068075752,"KY50AU","KY5","0AU",-3.267555,56.124337,0
493.689347436216,"KY50AW","KY5","0AW",-3.247814,56.1347,0
1828.00683577203,"KY50AX","KY5","0AX",-3.274176,56.119273,0
1226.59543740658,"KY50AY","KY5","0AY",-3.280154,56.127361,0
869.915347378507,"KY50BE","KY5","0BE",-3.285503,56.142535,0
57.9310982722303,"KY50BH","KY5","0BH",-3.265512,56.147863,1
98.068629342837,"KY50BJ","KY5","0BJ",-3.264422,56.147497,1
55.7547536327668,"KY50BL","KY5","0BL",-3.263263,56.146999,1
24.354876093999,"KY50BN","KY5","0BN",-3.262738,56.146715,1
212.453132097929,"KY50BP","KY5","0BP",-3.260883,56.142656,1
20.8715912715729,"KY50BQ","KY5","0BQ",-3.264129,56.145443,1
199.199639194451,"KY50BS","KY5","0BS",-3.261089,56.142068,1
169.202429027714,"KY50BT","KY5","0BT",-3.261177,56.141798,1
139.055439010699,"KY50BU","KY5","0BU",-3.26021,56.139795,1
35.629217341584,"KY50BW","KY5","0BW",-3.261832,56.145592,1
135.069081594454,"KY50BX","KY5","0BX",-3.261208,56.1393,1
167.883501476999,"KY50BY","KY5","0BY",-3.259719,56.138075,1
113.348679859534,"KY50BZ","KY5","0BZ",-3.260746,56.137489,1
155.870342393485,"KY50DA","KY5","0DA",-3.261848,56.138224,1
