"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
3113.2036015078,"LD54AB","LD5","4AB",-3.627067,52.135189,0
273.538745357266,"LD54AD","LD5","4AD",-3.665236,52.116061,0
333.154438282158,"LD54AE","LD5","4AE",-3.64569,52.109619,0
935.837975857812,"LD54AF","LD5","4AF",-3.611995,52.103404,0
1167.87079809172,"LD54AG","LD5","4AG",-3.630253,52.114779,0
400.601943128267,"LD54AH","LD5","4AH",-3.634751,52.106517,1
600.444384692422,"LD54BA","LD5","4BA",-3.634712,52.109036,1
328.581598137011,"LD54RA","LD5","4RA",-3.639805,52.107624,1
348.255324607175,"LD54RB","LD5","4RB",-3.638179,52.107621,1
382.262898532217,"LD54RD","LD5","4RD",-3.63846,52.107994,1
359.671586227853,"LD54RE","LD5","4RE",-3.637687,52.107609,1
448.779825444728,"LD54RF","LD5","4RF",-3.636745,52.108215,1
481.09109506185,"LD54RG","LD5","4RG",-3.635305,52.107957,1
316.120419596371,"LD54RH","LD5","4RH",-3.637626,52.107151,1
472.132027558962,"LD54RJ","LD5","4RJ",-3.632961,52.106964,1
379.578107323384,"LD54RL","LD5","4RL",-3.635735,52.106953,1
314.057394763589,"LD54RN","LD5","4RN",-3.63579,52.106071,1
264.157194455283,"LD54RP","LD5","4RP",-3.631607,52.105059,0
450.647264992309,"LD54RQ","LD5","4RQ",-3.634573,52.107121,1
382.071722118405,"LD54RR","LD5","4RR",-3.621675,52.102184,0
162.478130666634,"LD54RS","LD5","4RS",-3.626905,52.105879,0
601.901407827379,"LD54RT","LD5","4RT",-3.633585,52.108457,1
405.019128025818,"LD54RU","LD5","4RU",-3.635628,52.107206,1
271.630432677155,"LD54RW","LD5","4RW",-3.636968,52.106333,1
690.776988724766,"LD54SA","LD5","4SA",-3.633744,52.109606,1
2082.46451826055,"LD54SB","LD5","4SB",-3.624052,52.123389,0
1176.32042776576,"LD54SD","LD5","4SD",-3.629951,52.114909,0
1228.06305974769,"LD54SE","LD5","4SE",-3.629285,52.115485,0
3035.65653091288,"LD54SF","LD5","4SF",-3.617128,52.131586,0
2685.09038622836,"LD54SG","LD5","4SG",-3.61649,52.136449,0
2235.86193999044,"LD54SH","LD5","4SH",-3.648259,52.14126,0
1431.86057587715,"LD54SL","LD5","4SL",-3.637399,52.12128,0
556.167048309072,"LD54SN","LD5","4SN",-3.641949,52.111659,0
261.040884817878,"LD54SP","LD5","4SP",-3.638889,52.106936,1
223.568441993244,"LD54SR","LD5","4SR",-3.63889,52.106585,1
252.895467443755,"LD54SS","LD5","4SS",-3.63956,52.106935,1
181.28873967359,"LD54ST","LD5","4ST",-3.639566,52.106288,1
229.662719416484,"LD54SU","LD5","4SU",-3.641457,52.106495,1
333.28546107656,"LD54SY","LD5","4SY",-3.650157,52.108001,0
160.088333237953,"LD54TA","LD5","4TA",-3.64227,52.103993,0
165.228856677661,"LD54TB","LD5","4TB",-3.638112,52.101686,0
1860.47262511634,"LD54TD","LD5","4TD",-3.642927,52.086595,0
2040.15026132837,"LD54TE","LD5","4TE",-3.66211,52.091721,0
132.67044075589,"LD54TH","LD5","4TH",-3.649582,52.109835,0
438.48582812005,"LD54TL","LD5","4TL",-3.65602,52.118835,0
1258.12403054672,"LD54TN","LD5","4TN",-3.669116,52.13872,0
1888.34205909304,"LD54TP","LD5","4TP",-3.668502,52.164011,0
4562.3067936786,"LD54TR","LD5","4TR",-3.704312,52.186256,0
1285.37017787373,"LD54TS","LD5","4TS",-3.636593,52.176192,0
1573.43591110173,"LD54TT","LD5","4TT",-3.603713,52.159839,0
1595.70312927368,"LD54TU","LD5","4TU",-3.605054,52.15894,0
503.052360425155,"LD54TW","LD5","4TW",-3.683023,52.152062,0
953.391244350044,"LD54TY","LD5","4TY",-3.592424,52.155281,0
420.318772878644,"LD54UA","LD5","4UA",-3.588803,52.15007,0
131.851278150205,"LD54UB","LD5","4UB",-3.581799,52.149993,0
729.567868564379,"LD54UD","LD5","4UD",-3.574137,52.152784,0
1561.12676901627,"LD54UE","LD5","4UE",-3.574538,52.162085,0
1247.63390518845,"LD54UF","LD5","4UF",-3.574601,52.139012,0
1991.04410254375,"LD54UG","LD5","4UG",-3.595851,52.132972,0
1193.3389406095,"LD54UH","LD5","4UH",-3.594635,52.141063,0
2402.27222519931,"LD54UL","LD5","4UL",-3.617113,52.143948,0
2298.44825332487,"LD54UN","LD5","4UN",-3.610039,52.136781,0
331.41159381712,"LD54UP","LD5","4UP",-3.5782,52.148234,0
388.733275615128,"LD54UR","LD5","4UR",-3.577194,52.148896,0
396.855100403414,"LD54UT","LD5","4UT",-3.577092,52.148716,0
261.910601174054,"LD54UU","LD5","4UU",-3.579104,52.149409,0
171.636074169749,"LD54UY","LD5","4UY",-3.580457,52.14941,0
37.9218655289775,"LD54WA","LD5","4WA",-3.402887,52.149209,1
37.9218655289775,"LD54WB","LD5","4WB",-3.402887,52.149209,1
1323.82740841476,"LD54WD","LD5","4WD",-3.632644,52.116275,0
37.9218655289775,"LD54WE","LD5","4WE",-3.402887,52.149209,1
53.967861779273,"LD54YA","LD5","4YA",-3.582496,52.149435,0
46.3307998531142,"LD54YB","LD5","4YB",-3.583051,52.148609,0
520.773678361126,"LD54YD","LD5","4YD",-3.575309,52.149567,0
629.339100250191,"LD54YE","LD5","4YE",-3.577299,52.153516,0
782.449066899474,"LD54YF","LD5","4YF",-3.584817,52.15595,0
1998.83202073589,"LD54YG","LD5","4YG",-3.589611,52.168393,0
