"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
225.337344890189,"LE130AA","LE13","0AA",-0.881698,52.752602,1
226.064223820732,"LE130AB","LE13","0AB",-0.882363,52.753867,1
106.777289269217,"LE130AD","LE13","0AD",-0.881689,52.755866,1
126.479431560884,"LE130AE","LE13","0AE",-0.882969,52.755069,1
63.4881963101276,"LE130AF","LE13","0AF",-0.891554,52.761579,1
282.750502844198,"LE130AG","LE13","0AG",-0.880117,52.753603,1
249.147922569209,"LE130AH","LE13","0AH",-0.878946,52.751875,1
332.76937792027,"LE130AJ","LE13","0AJ",-0.881292,52.750522,1
281.547054068468,"LE130AL","LE13","0AL",-0.881636,52.751002,1
126.74550460828,"LE130AN","LE13","0AN",-0.884702,52.755085,1
169.325187938509,"LE130AP","LE13","0AP",-0.882529,52.752574,1
283.666169666166,"LE130AQ","LE13","0AQ",-0.880148,52.752992,1
55.5289096899106,"LE130AR","LE13","0AR",-0.88238,52.75607,1
23.1711184353321,"LE130AS","LE13","0AS",-0.882849,52.756263,1
262.527928362311,"LE130AT","LE13","0AT",-0.879169,52.751859,1
198.254825176641,"LE130AU","LE13","0AU",-0.892187,52.751505,1
91.8617888656102,"LE130AW","LE13","0AW",-0.884253,52.751799,1
260.995795335957,"LE130AX","LE13","0AX",-0.893329,52.75264,1
300.722600893244,"LE130AY","LE13","0AY",-0.892523,52.75345,1
259.601091775389,"LE130AZ","LE13","0AZ",-0.877339,52.750997,1
200.62586033092,"LE130BA","LE13","0BA",-0.891459,52.750402,1
135.480889327016,"LE130BB","LE13","0BB",-0.89049,52.750653,1
155.351673171662,"LE130BD","LE13","0BD",-0.892913,52.750919,1
191.959147197309,"LE130BE","LE13","0BE",-0.887926,52.750081,1
81.5362594527147,"LE130BF","LE13","0BF",-0.892016,52.762087,1
211.198239723346,"LE130BG","LE13","0BG",-0.889058,52.759747,1
209.152384075456,"LE130BH","LE13","0BH",-0.889468,52.759391,1
190.887280016938,"LE130BJ","LE13","0BJ",-0.889543,52.75469,1
986.444473467109,"LE130BL","LE13","0BL",-0.892146,52.741418,0
123.325096446044,"LE130BN","LE13","0BN",-0.899052,52.761296,1
210.726479206774,"LE130BP","LE13","0BP",-0.88952,52.75967,1
216.641481301695,"LE130BQ","LE13","0BQ",-0.889438,52.753556,1
167.949399064075,"LE130BS","LE13","0BS",-0.891168,52.756611,1
290.220537604585,"LE130BT","LE13","0BT",-0.888011,52.758406,1
290.494281593172,"LE130BU","LE13","0BU",-0.892999,52.755136,1
294.493234522364,"LE130BW","LE13","0BW",-0.892762,52.748094,0
85.2627290447611,"LE130BX","LE13","0BX",-0.887801,52.75444,1
384.382301747254,"LE130BY","LE13","0BY",-0.874855,52.74967,1
112.111195835462,"LE130BZ","LE13","0BZ",-0.898849,52.761681,1
169.493265128708,"LE130DA","LE13","0DA",-0.895099,52.762655,1
400.113732871518,"LE130DB","LE13","0DB",-0.908398,52.756141,0
147.263588135437,"LE130DD","LE13","0DD",-0.894948,52.762427,1
202.177969974686,"LE130DE","LE13","0DE",-0.894253,52.763544,1
23.0447116318287,"LE130DF","LE13","0DF",-0.900416,52.761839,1
412.416383092564,"LE130DG","LE13","0DG",-0.908314,52.75241,0
148.898580921399,"LE130DH","LE13","0DH",-0.894918,52.760691,1
214.157808018932,"LE130DJ","LE13","0DJ",-0.888036,52.74983,1
292.62763684185,"LE130DL","LE13","0DL",-0.884851,52.749845,1
145.831588764254,"LE130DN","LE13","0DN",-0.887719,52.750681,1
235.830230094629,"LE130DP","LE13","0DP",-0.890221,52.754813,1
203.426273361156,"LE130DQ","LE13","0DQ",-0.896251,52.761297,1
241.380025809513,"LE130DR","LE13","0DR",-0.894537,52.755842,1
222.767303706896,"LE130DS","LE13","0DS",-0.891736,52.755852,1
257.193139260539,"LE130DT","LE13","0DT",-0.886161,52.750172,1
375.983242950479,"LE130DU","LE13","0DU",-0.893084,52.754094,1
198.377191423709,"LE130DW","LE13","0DW",-0.884948,52.750691,1
365.534296314554,"LE130DX","LE13","0DX",-0.892749,52.754459,1
246.66426477857,"LE130DY","LE13","0DY",-0.889911,52.755925,1
87.3639868775325,"LE130DZ","LE13","0DZ",-0.892551,52.763456,1
300.39357065049,"LE130EA","LE13","0EA",-0.891486,52.755167,1
259.500360065648,"LE130EB","LE13","0EB",-0.888836,52.756832,1
267.301827050959,"LE130ED","LE13","0ED",-0.888728,52.757586,1
150.339850830705,"LE130EE","LE13","0EE",-0.893085,52.756404,1
229.668578252717,"LE130EF","LE13","0EF",-0.896311,52.756003,1
273.877928512743,"LE130EG","LE13","0EG",-0.896635,52.756635,1
285.782479655615,"LE130EH","LE13","0EH",-0.897017,52.757376,1
