"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
935.760615434632,"LS90AA","LS9","0AA",-1.480363,53.778748,0
143.260715166141,"LS90AB","LS9","0AB",-1.514938,53.791368,1
193.958981859757,"LS90AD","LS9","0AD",-1.515738,53.791436,1
174.786448005076,"LS90AE","LS9","0AE",-1.51594,53.791042,1
269.198831853987,"LS90AF","LS9","0AF",-1.517657,53.790896,1
320.378017620977,"LS90AG","LS9","0AG",-1.519128,53.791019,1
119.264147061392,"LS90AH","LS9","0AH",-1.521151,53.789274,1
109.248368925465,"LS90AJ","LS9","0AJ",-1.521989,53.789053,1
190.337412006862,"LS90AL","LS9","0AL",-1.522467,53.789729,1
843.952410947157,"LS90AN","LS9","0AN",-1.492865,53.788699,0
179.785052253736,"LS90AP","LS9","0AP",-1.518631,53.789345,1
203.79243943339,"LS90AQ","LS9","0AQ",-1.520748,53.790018,1
1131.14569606078,"LS90AR","LS9","0AR",-1.492581,53.786081,0
615.253322212557,"LS90AS","LS9","0AS",-1.471273,53.772696,0
440.385791927366,"LS90AT","LS9","0AT",-1.51706,53.784692,1
267.805429730982,"LS90AU","LS9","0AU",-1.520302,53.790556,1
290.723399325786,"LS90AW","LS9","0AW",-1.518784,53.79055,1
224.828456963822,"LS90AX","LS9","0AX",-1.52182,53.790562,1
574.019974628689,"LS90AY","LS9","0AY",-1.509919,53.785391,1
244.91169185682,"LS90AZ","LS9","0AZ",-1.521579,53.79039,1
84.7583867845073,"LS90BA","LS9","0BA",-1.514907,53.789779,1
170.913668688583,"LS90BB","LS9","0BB",-1.515206,53.788855,1
247.973705974117,"LS90BD","LS9","0BD",-1.51682,53.788796,1
105.582448087918,"LS90BE","LS9","0BE",-1.518914,53.788456,1
192.817965763202,"LS90BG","LS9","0BG",-1.517637,53.788676,1
131.315161478362,"LS90BH","LS9","0BH",-1.515751,53.790277,1
133.686169789844,"LS90BJ","LS9","0BJ",-1.515697,53.789755,1
102.956991939516,"LS90BL","LS9","0BL",-1.515327,53.790221,1
225.584781113249,"LS90BN","LS9","0BN",-1.517196,53.790031,1
134.232467914725,"LS90BP","LS9","0BP",-1.5158,53.790017,1
129.628970379088,"LS90BQ","LS9","0BQ",-1.515471,53.789548,1
201.64120509437,"LS90BR","LS9","0BR",-1.516745,53.789697,1
225.278938637294,"LS90BS","LS9","0BS",-1.517065,53.789581,1
230.228012923142,"LS90BT","LS9","0BT",-1.517644,53.789386,1
227.855086738646,"LS90BU","LS9","0BU",-1.517494,53.789223,1
178.508249954453,"LS90BW","LS9","0BW",-1.516425,53.789803,1
175.493281693834,"LS90BX","LS9","0BX",-1.51788,53.788614,1
164.34698388296,"LS90BY","LS9","0BY",-1.518396,53.788991,1
157.742766359387,"LS90BZ","LS9","0BZ",-1.518514,53.788985,1
179.897675764909,"LS90DA","LS9","0DA",-1.51851,53.789281,1
168.64456406015,"LS90DB","LS9","0DB",-1.519165,53.789444,1
71.0633632359651,"LS90DD","LS9","0DD",-1.520398,53.788759,1
62.2156187804169,"LS90DE","LS9","0DE",-1.519688,53.788477,1
92.4934225472206,"LS90DF","LS9","0DF",-1.519654,53.788819,1
58.7717255858112,"LS90DG","LS9","0DG",-1.519569,53.788288,1
201.885461946617,"LS90DH","LS9","0DH",-1.516745,53.789688,1
76.8849652753723,"LS90DJ","LS9","0DJ",-1.52184,53.788764,1
171.044992898907,"LS90DL","LS9","0DL",-1.520312,53.789657,1
1005.94156184521,"LS90DN","LS9","0DN",-1.494742,53.78664,0
1004.28331402527,"LS90DP","LS9","0DP",-1.494745,53.786656,0
156.269263833458,"LS90DQ","LS9","0DQ",-1.522547,53.789343,1
1171.54186830603,"LS90DR","LS9","0DR",-1.494125,53.785152,0
376.521348437778,"LS90DX","LS9","0DX",-1.507928,53.788205,1
392.623224169961,"LS90EA","LS9","0EA",-1.483928,53.800804,1
217.493144645662,"LS90EB","LS9","0EB",-1.479263,53.801108,1
411.945002015462,"LS90ED","LS9","0ED",-1.482922,53.801123,1
337.69555276505,"LS90EE","LS9","0EE",-1.481871,53.801371,1
162.983819727978,"LS90EF","LS9","0EF",-1.478953,53.801601,1
260.338158467889,"LS90EG","LS9","0EG",-1.48061,53.801446,1
243.448594627066,"LS90EH","LS9","0EH",-1.479919,53.800832,1
162.017556253729,"LS90EJ","LS9","0EJ",-1.478283,53.800555,1
143.605574527242,"LS90EL","LS9","0EL",-1.478499,53.800322,1
259.363241578472,"LS90EN","LS9","0EN",-1.480835,53.800422,1
96.2276766797868,"LS90EQ","LS9","0EQ",-1.47831,53.802074,1
289.544594842856,"LS90ER","LS9","0ER",-1.483008,53.79911,1
359.091106988029,"LS90ES","LS9","0ES",-1.484053,53.799268,1
321.760463756381,"LS90ET","LS9","0ET",-1.483385,53.79931,1
365.38298549117,"LS90EU","LS9","0EU",-1.484719,53.799423,1
314.96855558043,"LS90EW","LS9","0EW",-1.482114,53.800131,1
170.609977431957,"LS90EX","LS9","0EX",-1.486636,53.797868,1
197.112137504762,"LS90EY","LS9","0EY",-1.490003,53.795689,1
153.841445535344,"LS90EZ","LS9","0EZ",-1.48926,53.795623,1
41.9386195629862,"LS90HA","LS9","0HA",-1.486832,53.796709,1
173.17804925845,"LS90HB","LS9","0HB",-1.485772,53.797801,1
37.1052775424109,"LS90HD","LS9","0HD",-1.487457,53.796577,1
841.284240942241,"LS90HE","LS9","0HE",-1.500492,53.787085,1
642.409884643567,"LS90HF","LS9","0HF",-1.508222,53.785114,1
758.518895287909,"LS90HG","LS9","0HG",-1.50621,53.784576,1
224.201126745399,"LS90HH","LS9","0HH",-1.492683,53.801255,1
310.035749212021,"LS90HJ","LS9","0HJ",-1.485768,53.800846,1
405.762908658384,"LS90HL","LS9","0HL",-1.484587,53.800286,1
225.229649071046,"LS90HN","LS9","0HN",-1.488309,53.799167,1
323.735256616816,"LS90HP","LS9","0HP",-1.486163,53.800571,1
363.997845629575,"LS90HR","LS9","0HR",-1.485508,53.799517,1
332.337218282996,"LS90HS","LS9","0HS",-1.48636,53.799314,1
331.134103626421,"LS90HT","LS9","0HT",-1.486834,53.80034,1
289.816390050462,"LS90HU","LS9","0HU",-1.487505,53.800074,1
212.934426708041,"LS90HW","LS9","0HW",-1.488517,53.799581,1
307.039958814091,"LS90HX","LS9","0HX",-1.48656,53.799099,1
202.741462599821,"LS90HY","LS9","0HY",-1.487878,53.798107,1
164.067286710623,"LS90HZ","LS9","0HZ",-1.488954,53.7973,1
243.406427372862,"LS90JA","LS9","0JA",-1.488283,53.798513,1
104.781670745656,"LS90JB","LS9","0JB",-1.491851,53.796315,1
135.886406201916,"LS90JD","LS9","0JD",-1.490012,53.798637,1
184.757361139283,"LS90JE","LS9","0JE",-1.490974,53.795684,1
78.6204027023046,"LS90JF","LS9","0JF",-1.492223,53.796606,1
178.081633385469,"LS90JG","LS9","0JG",-1.490849,53.795989,1
314.28762560764,"LS90JH","LS9","0JH",-1.482726,53.799765,1
121.298461262219,"LS90JJ","LS9","0JJ",-1.497508,53.795208,1
170.476916889965,"LS90JL","LS9","0JL",-1.498103,53.794932,1
493.58461578049,"LS90JN","LS9","0JN",-1.496079,53.79158,1
446.999411407894,"LS90JP","LS9","0JP",-1.497185,53.791774,1
189.981472450098,"LS90JQ","LS9","0JQ",-1.486846,53.798057,1
514.830166179083,"LS90JR","LS9","0JR",-1.497347,53.790884,1
573.188600649215,"LS90JS","LS9","0JS",-1.497751,53.790104,1
633.851695562888,"LS90JT","LS9","0JT",-1.496386,53.789973,1
749.751109948724,"LS90JU","LS9","0JU",-1.49512,53.78923,1
510.570855299512,"LS90JW","LS9","0JW",-1.496522,53.791357,1
504.633711964484,"LS90JX","LS9","0JX",-1.492537,53.792006,1
602.202175695077,"LS90JY","LS9","0JY",-1.492259,53.791142,1
553.930345705316,"LS90JZ","LS9","0JZ",-1.49484,53.791108,1
574.269622554977,"LS90LA","LS9","0LA",-1.494097,53.791015,1
516.146025346498,"LS90LB","LS9","0LB",-1.494653,53.791475,1
499.643030531053,"LS90LD","LS9","0LD",-1.494454,53.791654,1
405.101773707743,"LS90LE","LS9","0LE",-1.495598,53.792396,1
428.275185301566,"LS90LF","LS9","0LF",-1.494552,53.792302,1
457.776775038668,"LS90LG","LS9","0LG",-1.493703,53.79219,1
237.41383817012,"LS90LH","LS9","0LH",-1.491487,53.794707,1
58.0566050620874,"LS90LJ","LS9","0LJ",-1.497435,53.800062,1
95.4635281674305,"LS90LL","LS9","0LL",-1.49652,53.79906,1
111.762366946818,"LS90LN","LS9","0LN",-1.496664,53.798485,1
103.824790545325,"LS90LP","LS9","0LP",-1.497783,53.796288,1
473.577969950004,"LS90LQ","LS9","0LQ",-1.49334,53.792126,1
132.273243988545,"LS90LR","LS9","0LR",-1.497243,53.797059,1
100.951566874248,"LS90LS","LS9","0LS",-1.497788,53.795875,1
