"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
279.87775800099,"NR46AA","NR4","6AA",1.244203,52.602651,1
46.2022933517574,"NR46AB","NR4","6AB",1.283401,52.609484,1
271.199580948947,"NR46AD","NR4","6AD",1.264977,52.612853,1
164.435655480615,"NR46AE","NR4","6AE",1.263284,52.61174,1
215.059097691729,"NR46AF","NR4","6AF",1.265567,52.612244,1
156.864248332189,"NR46AG","NR4","6AG",1.265856,52.611552,1
162.467485322316,"NR46AH","NR4","6AH",1.26585,52.60612,1
89.5896652084826,"NR46AJ","NR4","6AJ",1.278577,52.599895,1
352.008795305058,"NR46AL","NR4","6AL",1.266752,52.613272,1
23.4507435897092,"NR46AN","NR4","6AN",1.267789,52.610141,1
189.936177117218,"NR46AP","NR4","6AP",1.2583,52.612264,1
286.904279473115,"NR46AQ","NR4","6AQ",1.266804,52.612578,1
269.016286060942,"NR46AR","NR4","6AR",1.262895,52.612668,1
322.278091192968,"NR46AS","NR4","6AS",1.257454,52.611028,1
123.101995690396,"NR46AT","NR4","6AT",1.288498,52.605547,1
114.526635622105,"NR46AU","NR4","6AU",1.245299,52.604822,1
102.373043606783,"NR46AW","NR4","6AW",1.268858,52.610795,1
172.190802474152,"NR46AX","NR4","6AX",1.283091,52.607712,1
123.629307966654,"NR46AY","NR4","6AY",1.266619,52.610695,1
87.2310406373538,"NR46AZ","NR4","6AZ",1.26389,52.611148,1
256.657945093351,"NR46BA","NR4","6BA",1.284201,52.611485,1
211.55685264512,"NR46BB","NR4","6BB",1.287394,52.610326,1
213.175087723954,"NR46BD","NR4","6BD",1.283029,52.611032,1
154.953685921939,"NR46BE","NR4","6BE",1.284905,52.610431,1
46.8800087693802,"NR46BF","NR4","6BF",1.280713,52.607526,1
186.324439598003,"NR46BG","NR4","6BG",1.286331,52.609951,1
78.9292163423698,"NR46BH","NR4","6BH",1.284551,52.609765,1
152.439399048831,"NR46BJ","NR4","6BJ",1.281361,52.608875,1
82.3515065808171,"NR46BL","NR4","6BL",1.282894,52.609624,1
108.40591788822,"NR46BN","NR4","6BN",1.285482,52.609181,1
103.574082663349,"NR46BP","NR4","6BP",1.284542,52.608346,1
250.749205541118,"NR46BQ","NR4","6BQ",1.287572,52.608963,1
