"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
3922.21739797781,"PA676DA","PA67","6DA",-6.239946,56.315197,0
3664.30727072563,"PA676DB","PA67","6DB",-6.23305,56.316926,0
3798.6053826486,"PA676DG","PA67","6DG",-6.233962,56.318289,0
3209.08114909682,"PA676DH","PA67","6DH",-6.227716,56.329096,0
3182.11996848959,"PA676DJ","PA67","6DJ",-6.220742,56.318309,0
2724.17802320014,"PA676DL","PA67","6DL",-6.214647,56.321152,0
1562.74733030804,"PA676DN","PA67","6DN",-6.20022,56.328738,0
3716.26360252365,"PA676DP","PA67","6DP",-6.236109,56.315175,0
3493.90217524666,"PA676DQ","PA67","6DQ",-6.229186,56.317247,0
4160.2960120597,"PA676DR","PA67","6DR",-6.251017,56.291936,0
2436.33536874164,"PA676DS","PA67","6DS",-6.223445,56.294437,0
2406.66151450209,"PA676DT","PA67","6DT",-6.220018,56.28905,0
5331.8232323002,"PA676DU","PA67","6DU",-6.265252,56.315019,0
1188.29904541609,"PA676DW","PA67","6DW",-6.189269,56.308308,0
4336.56542982423,"PA676DX","PA67","6DX",-6.292609,56.327041,0
