"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
97.612750505283,"PE191AA","PE19","1AA",-0.262344,52.233225,1
130.374720640662,"PE191AB","PE19","1AB",-0.270218,52.229942,0
129.714391641438,"PE191AD","PE19","1AD",-0.267619,52.228636,1
187.661630126837,"PE191AE","PE19","1AE",-0.269269,52.228741,0
93.243290738347,"PE191AF","PE19","1AF",-0.270792,52.230616,0
167.427848122418,"PE191AG","PE19","1AG",-0.267116,52.228966,1
183.820005249123,"PE191AH","PE19","1AH",-0.269509,52.229725,0
237.047884818276,"PE191AJ","PE19","1AJ",-0.26858,52.230111,1
160.924705337208,"PE191AL","PE19","1AL",-0.269797,52.229846,0
137.378333044632,"PE191AN","PE19","1AN",-0.270256,52.229718,0
82.0783328298977,"PE191AP","PE19","1AP",-0.271356,52.22968,0
202.765852296205,"PE191AQ","PE19","1AQ",-0.269903,52.22902,0
169.731225944466,"PE191AR","PE19","1AR",-0.249935,52.230381,1
116.925709696114,"PE191AS","PE19","1AS",-0.267024,52.228493,1
120.755992019528,"PE191AT","PE19","1AT",-0.270282,52.230195,0
178.532582046419,"PE191AU","PE19","1AU",-0.269722,52.231023,0
202.547759011565,"PE191AW","PE19","1AW",-0.26824,52.22923,1
353.372243416614,"PE191AX","PE19","1AX",-0.266838,52.23063,1
282.65947456058,"PE191AY","PE19","1AY",-0.265567,52.230557,1
263.482566505527,"PE191AZ","PE19","1AZ",-0.265578,52.23027,1
302.916340008629,"PE191BA","PE19","1BA",-0.267265,52.230196,1
221.98226364815,"PE191BB","PE19","1BB",-0.264841,52.230236,1
206.673513990793,"PE191BD","PE19","1BD",-0.265449,52.229081,1
309.354170127046,"PE191BE","PE19","1BE",-0.266323,52.230326,1
92.2594295821877,"PE191BF","PE19","1BF",-0.257632,52.231101,1
209.322948964573,"PE191BG","PE19","1BG",-0.265476,52.229144,1
180.811821896692,"PE191BH","PE19","1BH",-0.265684,52.228689,1
72.9204312661776,"PE191BJ","PE19","1BJ",-0.267668,52.228116,1
233.704492812027,"PE191BL","PE19","1BL",-0.265835,52.229329,1
131.735053523247,"PE191BN","PE19","1BN",-0.266888,52.228608,1
113.977978727524,"PE191BP","PE19","1BP",-0.267478,52.228499,1
201.655033707519,"PE191BQ","PE19","1BQ",-0.265276,52.229393,1
313.90206642114,"PE191BS","PE19","1BS",-0.267232,52.230294,1
169.990520415874,"PE191BT","PE19","1BT",-0.266192,52.228795,1
110.265749932055,"PE191BU","PE19","1BU",-0.268469,52.228244,1
116.30529664068,"PE191BW","PE19","1BW",-0.267756,52.228503,1
84.5032246926452,"PE191BX","PE19","1BX",-0.2679,52.228182,1
144.632213279141,"PE191BY","PE19","1BY",-0.264543,52.229023,1
255.179260210804,"PE191BZ","PE19","1BZ",-0.265599,52.230117,1
267.079538960538,"PE191DA","PE19","1DA",-0.264721,52.230842,1
84.5032246926452,"PE191DB","PE19","1DB",-0.2679,52.228182,1
123.5260277832,"PE191DE","PE19","1DE",-0.268958,52.22809,0
206.995297376548,"PE191DF","PE19","1DF",-0.269445,52.229324,0
279.737637703616,"PE191DG","PE19","1DG",-0.26783,52.229979,1
285.848768769973,"PE191DH","PE19","1DH",-0.266367,52.229958,1
247.167627450804,"PE191DJ","PE19","1DJ",-0.267909,52.229679,1
130.542829920317,"PE191DL","PE19","1DL",-0.27018,52.230544,0
299.973749017738,"PE191DN","PE19","1DN",-0.263797,52.231628,1
282.390891650334,"PE191DP","PE19","1DP",-0.265162,52.230803,1
216.764048184429,"PE191DQ","PE19","1DQ",-0.184009,52.340869,1
178.091574961725,"PE191DR","PE19","1DR",-0.269737,52.231032,0
248.160389199545,"PE191DS","PE19","1DS",-0.262628,52.231197,1
383.487053168478,"PE191DT","PE19","1DT",-0.266707,52.231374,1
300.136795603586,"PE191DU","PE19","1DU",-0.264849,52.232066,1
228.32297270781,"PE191DW","PE19","1DW",-0.264083,52.230679,1
83.4673255955062,"PE191DX","PE19","1DX",-0.262742,52.233528,1
39.2306174609003,"PE191DY","PE19","1DY",-0.261972,52.234488,1
170.532539968877,"PE191DZ","PE19","1DZ",-0.262072,52.232524,1
161.343968274613,"PE191EA","PE19","1EA",-0.260767,52.232348,1
101.299356945075,"PE191EB","PE19","1EB",-0.2622,52.235039,0
69.7686360826207,"PE191ED","PE19","1ED",-0.262677,52.234435,1
45.04626595806,"PE191EE","PE19","1EE",-0.262497,52.234172,1
118.142372469989,"PE191EF","PE19","1EF",-0.263497,52.233692,1
116.883494042938,"PE191EG","PE19","1EG",-0.263187,52.233382,1
182.937299452446,"PE191EH","PE19","1EH",-0.264626,52.234041,1
108.610045925746,"PE191EJ","PE19","1EJ",-0.263574,52.234736,1
71.366759944615,"PE191EL","PE19","1EL",-0.263529,52.235122,0
119.801597747706,"PE191EN","PE19","1EN",-0.264836,52.234674,1
105.944769952424,"PE191EP","PE19","1EP",-0.265977,52.235455,0
197.160157007962,"PE191EQ","PE19","1EQ",-0.264724,52.233773,1
178.785493653805,"PE191ER","PE19","1ER",-0.266345,52.234651,1
248.653436787503,"PE191ES","PE19","1ES",-0.266201,52.233822,1
352.031014045869,"PE191ET","PE19","1ET",-0.266621,52.232812,1
369.337616876476,"PE191EU","PE19","1EU",-0.267982,52.232481,1
63.9072613007098,"PE191EW","PE19","1EW",-0.264981,52.23544,0
373.245838794934,"PE191EX","PE19","1EX",-0.267877,52.23292,1
345.628841048538,"PE191EY","PE19","1EY",-0.26858,52.23329,1
318.394400155487,"PE191EZ","PE19","1EZ",-0.267959,52.233434,1
