"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
74.3846384582569,"PL189DB","PL18","9DB",-4.209694,50.520446,1
110.269244113641,"PL189DD","PL18","9DD",-4.209893,50.520766,1
170.863391000883,"PL189DE","PL18","9DE",-4.211218,50.520482,0
196.133849803508,"PL189DF","PL18","9DF",-4.210584,50.521402,0
246.386590745483,"PL189DG","PL18","9DG",-4.209883,50.522117,1
305.706923715479,"PL189DH","PL18","9DH",-4.209965,50.522655,1
290.626536816491,"PL189DJ","PL18","9DJ",-4.21077,50.522323,0
189.731256929144,"PL189DL","PL18","9DL",-4.210484,50.521377,0
153.707577487764,"PL189DN","PL18","9DN",-4.222403,50.515636,1
418.343405653162,"PL189DP","PL18","9DP",-4.220568,50.518001,1
315.462214273547,"PL189DQ","PL18","9DQ",-4.211776,50.522171,0
542.607193269903,"PL189DR","PL18","9DR",-4.218471,50.518725,1
294.885377952554,"PL189DS","PL18","9DS",-4.213698,50.522233,0
265.559756672106,"PL189DT","PL18","9DT",-4.218843,50.515821,1
272.605760469874,"PL189DU","PL18","9DU",-4.218301,50.5154,1
162.121740176479,"PL189DW","PL18","9DW",-4.223487,50.515274,1
499.611356269811,"PL189DX","PL18","9DX",-4.221621,50.518808,1
280.501245926403,"PL189DY","PL18","9DY",-4.220578,50.516724,1
414.166529371101,"PL189DZ","PL18","9DZ",-4.220708,50.51798,1
202.512230235946,"PL189EA","PL18","9EA",-4.221665,50.516136,1
308.811620843131,"PL189EB","PL18","9EB",-4.22464,50.516403,1
281.863680497901,"PL189ED","PL18","9ED",-4.218898,50.516081,1
176.41461585436,"PL189EE","PL18","9EE",-4.220916,50.515809,1
633.951132740926,"PL189EF","PL18","9EF",-4.246378,50.517281,0
215.925236478259,"PL189EG","PL18","9EG",-4.223475,50.515922,1
263.928198023616,"PL189EH","PL18","9EH",-4.224357,50.51602,1
254.677235995322,"PL189EJ","PL18","9EJ",-4.226175,50.515744,0
82.4673320549758,"PL189EL","PL18","9EL",-4.225523,50.514183,0
196.145496451327,"PL189EN","PL18","9EN",-4.225911,50.515228,0
26.7787300458684,"PL189EP","PL18","9EP",-4.22545,50.513528,0
410.036435812338,"PL189EQ","PL18","9EQ",-4.225987,50.517151,0
112.307620835435,"PL189ER","PL18","9ER",-4.2267,50.514304,0
345.227190760131,"PL189ES","PL18","9ES",-4.224507,50.516882,1
535.93502648638,"PL189ET","PL18","9ET",-4.22679,50.520724,0
424.091797448197,"PL189EU","PL18","9EU",-4.224795,50.517605,1
256.784948489582,"PL189EW","PL18","9EW",-4.224932,50.515705,1
302.135299229823,"PL189EX","PL18","9EX",-4.226054,50.516178,0
300.479272669739,"PL189EY","PL18","9EY",-4.228189,50.516866,0
173.920932030207,"PL189EZ","PL18","9EZ",-4.227258,50.514732,0
27.3374314058807,"PL189FA","PL18","9FA",-4.237313,50.516223,1
212.866705500452,"PL189FB","PL18","9FB",-4.2333,50.51512,1
26.5140426775212,"PL189FD","PL18","9FD",-4.237328,50.516223,1
30.9015363108627,"PL189FE","PL18","9FE",-4.222041,50.514528,1
170.23502851235,"PL189FF","PL18","9FF",-4.239808,50.516704,0
653.652503957435,"PL189FG","PL18","9FG",-4.246757,50.51695,0
81.6985893913345,"PL189FH","PL18","9FH",-4.220613,50.51441,0
133.580821590116,"PL189FJ","PL18","9FJ",-4.234519,50.515232,0
227.862101807136,"PL189FL","PL18","9FL",-4.229301,50.516762,0
249.147763252393,"PL189FQ","PL18","9FQ",-4.229496,50.51612,0
267.831706347538,"PL189FR","PL18","9FR",-4.229525,50.515831,0
227.862101807136,"PL189FS","PL18","9FS",-4.229301,50.516762,0
156.512900296842,"PL189FT","PL18","9FT",-4.234118,50.515123,1
237.282569737437,"PL189FU","PL18","9FU",-4.23366,50.513189,0
770.817558221417,"PL189GJ","PL18","9GJ",-4.211523,50.511931,0
555.639745388268,"PL189GZ","PL18","9GZ",-4.245313,50.515062,0
228.520620791764,"PL189HA","PL18","9HA",-4.232492,50.515389,1
204.895696302073,"PL189HB","PL18","9HB",-4.231773,50.515635,1
141.408692287178,"PL189HD","PL18","9HD",-4.23314,50.516276,1
174.334959340598,"PL189HE","PL18","9HE",-4.231142,50.516072,1
175.280380879914,"PL189HF","PL18","9HF",-4.235175,50.516345,1
67.2085966279656,"PL189HG","PL18","9HG",-4.236724,50.516279,1
