"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
126.006546309174,"RM52AA","RM5","2AA",0.162283,51.59708,1
183.914969290649,"RM52AB","RM5","2AB",0.162648,51.597765,1
107.713010577199,"RM52AD","RM5","2AD",0.161045,51.597729,1
324.420373030514,"RM52AE","RM5","2AE",0.159775,51.604128,1
325.477517056821,"RM52AF","RM5","2AF",0.159806,51.604182,1
324.420373030514,"RM52AG","RM5","2AG",0.159775,51.604128,1
135.160479040384,"RM52AH","RM5","2AH",0.161773,51.598195,1
84.4454933723553,"RM52AJ","RM5","2AJ",0.160154,51.597847,1
65.3304911721098,"RM52AL","RM5","2AL",0.159457,51.597464,1
153.6232863189,"RM52AN","RM5","2AN",0.170637,51.57025,1
24.3597223123091,"RM52AP","RM5","2AP",0.158961,51.597069,1
153.6232863189,"RM52AQ","RM5","2AQ",0.170637,51.57025,1
24.7464113733434,"RM52AR","RM5","2AR",0.157083,51.597337,1
40.6569092459456,"RM52AS","RM5","2AS",0.156585,51.596888,1
71.8538300124117,"RM52AT","RM5","2AT",0.157135,51.59784,1
85.7721335234181,"RM52AU","RM5","2AU",0.158953,51.598112,1
70.738668662288,"RM52AW","RM5","2AW",0.15843,51.596186,1
324.237209838884,"RM52AX","RM5","2AX",0.159775,51.604137,1
324.237209838884,"RM52AY","RM5","2AY",0.159775,51.604137,1
324.237209838884,"RM52AZ","RM5","2AZ",0.159775,51.604137,1
118.667618478397,"RM52BA","RM5","2BA",0.158216,51.598357,1
51.54937516609,"RM52BB","RM5","2BB",0.15659,51.598219,1
32.1919853250306,"RM52BD","RM5","2BD",0.153992,51.597943,1
63.8541800596704,"RM52BE","RM5","2BE",0.155202,51.59754,1
235.541147681489,"RM52BF","RM5","2BF",0.151378,51.598797,1
91.930066193536,"RM52BG","RM5","2BG",0.144331,51.593279,1
366.157505257449,"RM52BH","RM5","2BH",0.147452,51.595479,1
92.2963089979335,"RM52BJ","RM5","2BJ",0.153333,51.597403,1
406.218165602963,"RM52BL","RM5","2BL",0.149026,51.596442,1
422.208343527781,"RM52BP","RM5","2BP",0.148821,51.596374,1
153.6232863189,"RM52BQ","RM5","2BQ",0.170637,51.57025,1
434.730491421699,"RM52BS","RM5","2BS",0.147895,51.596031,1
422.421333699318,"RM52BT","RM5","2BT",0.147849,51.595921,1
153.6232863189,"RM52BU","RM5","2BU",0.170637,51.57025,1
258.565364936214,"RM52BW","RM5","2BW",0.151077,51.598886,1
231.047450744651,"RM52BX","RM5","2BX",0.145362,51.594627,1
231.047450744651,"RM52BY","RM5","2BY",0.145362,51.594627,1
153.6232863189,"RM52BZ","RM5","2BZ",0.170637,51.57025,1
191.328217752626,"RM52DA","RM5","2DA",0.155213,51.602075,1
452.260869109195,"RM52DB","RM5","2DB",0.14769,51.596268,1
199.51435781383,"RM52DD","RM5","2DD",0.144798,51.594352,1
33.4065770976781,"RM52DE","RM5","2DE",0.166159,51.609356,1
47.342466351911,"RM52DF","RM5","2DF",0.165844,51.609397,1
17.2051124997631,"RM52DG","RM5","2DG",0.165727,51.609669,1
253.235731090185,"RM52DH","RM5","2DH",0.150913,51.598485,1
151.878732587756,"RM52DJ","RM5","2DJ",0.152283,51.598127,1
153.6232863189,"RM52DL","RM5","2DL",0.170637,51.57025,1
441.241143146823,"RM52DP","RM5","2DP",0.140448,51.601587,0
438.902681769085,"RM52DQ","RM5","2DQ",0.148746,51.599637,1
433.9696642908,"RM52DR","RM5","2DR",0.14833,51.598772,1
