"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
227.413471728146,"S810AA","S81","0AA",-1.11707,53.311391,1
254.796064389586,"S810AB","S81","0AB",-1.117509,53.311934,1
358.041502038047,"S810AD","S81","0AD",-1.116519,53.312655,1
269.634192476121,"S810AE","S81","0AE",-1.116268,53.311727,1
320.58300735036,"S810AF","S81","0AF",-1.105224,53.315215,1
294.086146763801,"S810AG","S81","0AG",-1.115569,53.312126,1
343.737641916073,"S810AH","S81","0AH",-1.114477,53.312667,1
341.598470493951,"S810AJ","S81","0AJ",-1.113937,53.312636,1
283.746756359507,"S810AL","S81","0AL",-1.113529,53.312075,1
195.437321254554,"S810AN","S81","0AN",-1.112129,53.311552,1
75.3499127458105,"S810AP","S81","0AP",-1.110681,53.310427,1
242.843890287035,"S810AQ","S81","0AQ",-1.115172,53.31171,1
97.4569727900646,"S810AR","S81","0AR",-1.110088,53.30938,1
197.03196307583,"S810AS","S81","0AS",-1.108372,53.309628,1
222.586452026452,"S810AT","S81","0AT",-1.10845,53.310905,1
273.490372709713,"S810AU","S81","0AU",-1.107814,53.311161,1
215.770851138719,"S810AW","S81","0AW",-1.111523,53.3118,1
228.588713018227,"S810AX","S81","0AX",-1.108038,53.310497,1
118.158508189457,"S810AY","S81","0AY",-1.110047,53.310611,1
340.994777763842,"S810AZ","S81","0AZ",-1.109478,53.312728,1
497.982232769198,"S810BA","S81","0BA",-1.108648,53.315077,1
294.232037480805,"S810BB","S81","0BB",-1.110219,53.312428,1
197.386927679564,"S810BD","S81","0BD",-1.1099,53.317675,1
294.040170730159,"S810BE","S81","0BE",-1.111328,53.312508,1
532.883032934754,"S810BF","S81","0BF",-1.108285,53.31451,1
319.670356358432,"S810BG","S81","0BG",-1.112994,53.312557,1
365.282352621138,"S810BH","S81","0BH",-1.11545,53.3128,1
317.534558515399,"S810BJ","S81","0BJ",-1.11775,53.312646,1
221.953778273404,"S810BL","S81","0BL",-1.117948,53.311748,1
188.600401591431,"S810BN","S81","0BN",-1.118522,53.311582,1
172.863466885947,"S810BP","S81","0BP",-1.11579,53.310888,1
400.574982150033,"S810BQ","S81","0BQ",-1.116748,53.313187,1
123.67162005976,"S810BS","S81","0BS",-1.112673,53.310622,1
199.946872911738,"S810BT","S81","0BT",-1.114699,53.311365,1
139.455470753079,"S810BU","S81","0BU",-1.111914,53.311065,1
204.987456907096,"S810BW","S81","0BW",-1.115873,53.311194,1
233.165316460212,"S810BX","S81","0BX",-1.107478,53.318655,1
316.051562616802,"S810BY","S81","0BY",-1.106529,53.318091,1
264.017833120836,"S810BZ","S81","0BZ",-1.106872,53.318929,1
363.563450851948,"S810DA","S81","0DA",-1.103935,53.317927,1
175.763023813366,"S810DB","S81","0DB",-1.102359,53.316495,1
