"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
567.701464295501,"SK237QQ","SK23","7QQ",-1.981575,53.345558,0
274.173330813231,"SK237QR","SK23","7QR",-1.987642,53.350062,1
93.2059191874089,"SK237QS","SK23","7QS",-1.989475,53.348822,1
297.732572240225,"SK237QT","SK23","7QT",-1.908009,53.329381,1
142.870915184924,"SK237QU","SK23","7QU",-2.018962,53.31433,0
111.989477003641,"SK237QW","SK23","7QW",-1.988665,53.346647,1
122.12432580879,"SK237QX","SK23","7QX",-2.019412,53.314312,0
189.183849515315,"SK237QY","SK23","7QY",-2.018062,53.314422,0
333.475239814687,"SK237QZ","SK23","7QZ",-2.015646,53.314979,0
682.94408285701,"SK237RA","SK23","7RA",-2.014072,53.321119,0
407.303632279042,"SK237RB","SK23","7RB",-2.016653,53.319177,0
58.9480505894384,"SK237RD","SK23","7RD",-2.021065,53.31559,0
674.094305413158,"SK237RE","SK23","7RE",-2.028342,53.311157,0
1634.21379289394,"SK237RF","SK23","7RF",-2.01537,53.299654,0
903.192807548034,"SK237RG","SK23","7RG",-2.02193,53.307031,0
72.516286488705,"SK237RH","SK23","7RH",-1.970031,53.3369,0
36.2665987416018,"SK237RN","SK23","7RN",-2.020119,53.315077,0
241.701321897221,"SK237RR","SK23","7RR",-1.99053,53.33462,1
173.03210664609,"SK237RS","SK23","7RS",-1.991011,53.332921,1
196.313243520902,"SK237RT","SK23","7RT",-1.989464,53.334503,1
253.832530015159,"SK237RU","SK23","7RU",-1.992227,53.33276,1
304.211615551124,"SK237RX","SK23","7RX",-1.990965,53.335124,1
207.476761518977,"SK237RY","SK23","7RY",-1.991401,53.333389,1
281.38966126008,"SK237RZ","SK23","7RZ",-1.988023,53.330323,1
155.358271016759,"SK237SA","SK23","7SA",-1.991553,53.323645,1
132.578782754227,"SK237SB","SK23","7SB",-1.991103,53.323411,1
317.982452989449,"SK237SD","SK23","7SD",-1.973574,53.337575,0
408.906515418679,"SK237SE","SK23","7SE",-1.975045,53.33751,0
460.070852901158,"SK237SN","SK23","7SN",-1.988964,53.352175,1
348.826773351199,"SK237SP","SK23","7SP",-1.982362,53.332489,1
394.678831377179,"SK237SR","SK23","7SR",-1.983113,53.3305,1
420.457082932971,"SK237SW","SK23","7SW",-1.99051,53.352541,1
311.209729593397,"SK237TA","SK23","7TA",-1.970948,53.333815,0
176.656400050259,"SK237TB","SK23","7TB",-1.966774,53.332906,0
561.836447634017,"SK237TD","SK23","7TD",-1.983795,53.351651,0
200.71094589673,"SK237TE","SK23","7TE",-2.017642,53.31504,0
378.93576881161,"SK237TF","SK23","7TF",-1.983654,53.330368,1
378.406023282838,"SK237UA","SK23","7UA",-1.987056,53.350943,1
104.270212725349,"SK237UT","SK23","7UT",-1.984777,53.339482,0
297.732572240225,"SK237UU","SK23","7UU",-1.908009,53.329381,1
