"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
524.58609576409,"SL21AA","SL2","1AA",-0.614895,51.52676,1
484.464129793267,"SL21AB","SL2","1AB",-0.615118,51.527482,1
551.108691155793,"SL21AD","SL2","1AD",-0.614446,51.526818,1
513.520347107209,"SL21AE","SL2","1AE",-0.61467,51.527522,1
491.843079482994,"SL21AF","SL2","1AF",-0.614824,51.528144,1
451.762806008129,"SL21AG","SL2","1AG",-0.615379,51.528366,1
495.351926214183,"SL21AH","SL2","1AH",-0.614839,51.529538,1
467.082983647174,"SL21AJ","SL2","1AJ",-0.615343,51.529562,1
430.093296440162,"SL21AL","SL2","1AL",-0.615864,51.529487,1
495.88362617056,"SL21AN","SL2","1AN",-0.613009,51.529975,1
357.903927308719,"SL21AP","SL2","1AP",-0.61622,51.530606,1
499.362420436817,"SL21AQ","SL2","1AQ",-0.614701,51.52888,1
215.129325975341,"SL21AR","SL2","1AR",-0.61631,51.531911,1
217.488126088448,"SL21AS","SL2","1AS",-0.615833,51.53196,1
343.554757606696,"SL21AT","SL2","1AT",-0.615854,51.530791,1
375.782346745609,"SL21AU","SL2","1AU",-0.613525,51.531042,1
440.774311580202,"SL21AW","SL2","1AW",-0.613414,51.530402,1
402.333551334096,"SL21AX","SL2","1AX",-0.613519,51.530763,1
295.069242663065,"SL21AY","SL2","1AY",-0.613994,51.531722,1
334.014914902439,"SL21AZ","SL2","1AZ",-0.613584,51.531475,1
248.300555138148,"SL21BA","SL2","1BA",-0.614285,51.532112,1
237.776408984314,"SL21BB","SL2","1BB",-0.613914,51.532459,1
345.525429395248,"SL21BD","SL2","1BD",-0.612412,51.532081,1
463.978258884832,"SL21BE","SL2","1BE",-0.610959,51.531515,1
370.362064637894,"SL21BF","SL2","1BF",-0.611905,51.532156,1
255.654059881206,"SL21BG","SL2","1BG",-0.608913,51.526267,1
437.011298453733,"SL21BH","SL2","1BH",-0.611464,51.531494,1
454.442464719895,"SL21BJ","SL2","1BJ",-0.611139,51.530789,1
391.63896307129,"SL21BL","SL2","1BL",-0.616618,51.529829,1
463.519814033097,"SL21BN","SL2","1BN",-0.611682,51.53049,1
319.482969241151,"SL21BP","SL2","1BP",-0.584618,51.508271,1
433.174685957401,"SL21BQ","SL2","1BQ",-0.610662,51.530828,1
486.929173648006,"SL21BS","SL2","1BS",-0.616142,51.526047,1
520.497523096051,"SL21BT","SL2","1BT",-0.615476,51.526129,1
312.501773202532,"SL21BU","SL2","1BU",-0.617528,51.527861,1
437.255497959495,"SL21BW","SL2","1BW",-0.610045,51.531217,1
473.545543706031,"SL21BX","SL2","1BX",-0.615762,51.526681,1
268.711129664047,"SL21BY","SL2","1BY",-0.618384,51.529589,1
319.482969241151,"SL21BZ","SL2","1BZ",-0.584618,51.508271,1
433.302748361314,"SL21DA","SL2","1DA",-0.616797,51.526306,1
408.095176227715,"SL21DB","SL2","1DB",-0.617583,51.526064,1
349.506493894306,"SL21DD","SL2","1DD",-0.617555,51.526962,1
383.895463033047,"SL21DE","SL2","1DE",-0.616708,51.527348,1
221.362275136094,"SL21DF","SL2","1DF",-0.62264,51.526627,1
319.482969241151,"SL21DG","SL2","1DG",-0.584618,51.508271,1
233.92552173424,"SL21DH","SL2","1DH",-0.619365,51.527173,1
271.993501157239,"SL21DJ","SL2","1DJ",-0.617978,51.528721,1
184.341473392886,"SL21DL","SL2","1DL",-0.621983,51.526907,1
142.645431135719,"SL21DN","SL2","1DN",-0.6226,51.527357,1
453.480232563585,"SL21DP","SL2","1DP",-0.612748,51.528138,1
266.905824688791,"SL21DQ","SL2","1DQ",-0.618163,51.529157,1
444.868813712074,"SL21DR","SL2","1DR",-0.612612,51.527857,1
454.992826735114,"SL21DS","SL2","1DS",-0.612654,51.528865,1
464.523286099137,"SL21DT","SL2","1DT",-0.612865,51.528571,1
494.564330399318,"SL21DU","SL2","1DU",-0.612935,51.529579,1
187.945189547827,"SL21DW","SL2","1DW",-0.619744,51.527537,1
473.289769280177,"SL21DX","SL2","1DX",-0.612741,51.529333,1
395.627249940507,"SL21DY","SL2","1DY",-0.611004,51.530023,1
369.199680391448,"SL21DZ","SL2","1DZ",-0.610528,51.530036,1
319.274991896189,"SL21EA","SL2","1EA",-0.610359,51.529335,1
288.57262322275,"SL21EB","SL2","1EB",-0.610267,51.528657,1
346.073994207984,"SL21ED","SL2","1ED",-0.610825,51.529275,1
316.62137353492,"SL21EE","SL2","1EE",-0.610718,51.528527,1
302.683323898182,"SL21EF","SL2","1EF",-0.610462,51.527376,1
272.194819115553,"SL21EG","SL2","1EG",-0.610043,51.527494,1
393.192715064594,"SL21EH","SL2","1EH",-0.616879,51.526909,1
319.482969241151,"SL21EJ","SL2","1EJ",-0.584618,51.508271,1
349.506493894306,"SL21EL","SL2","1EL",-0.617555,51.526962,1
316.431508156585,"SL21EP","SL2","1EP",-0.619439,51.526166,1
305.32549986698,"SL21EQ","SL2","1EQ",-0.609961,51.526414,1
345.135789658542,"SL21ER","SL2","1ER",-0.61816,51.526511,1
323.658285750816,"SL21ES","SL2","1ES",-0.618563,51.526525,1
297.148558622942,"SL21ET","SL2","1ET",-0.620597,51.526018,1
311.377802585286,"SL21EU","SL2","1EU",-0.62118,51.5258,1
297.481208006783,"SL21EX","SL2","1EX",-0.622114,51.525892,1
344.467573024171,"SL21HA","SL2","1HA",-0.616952,51.528226,1
327.666553834108,"SL21HB","SL2","1HB",-0.617171,51.528711,1
351.535865569583,"SL21HD","SL2","1HD",-0.617796,51.530427,1
287.395373871652,"SL21HE","SL2","1HE",-0.618739,51.53024,1
252.588146431008,"SL21HF","SL2","1HF",-0.620304,51.530924,1
224.315491583455,"SL21HG","SL2","1HG",-0.620258,51.530564,1
201.571352108686,"SL21HH","SL2","1HH",-0.620028,51.530058,1
91.0417634595304,"SL21HJ","SL2","1HJ",-0.622266,51.529922,1
225.062869861499,"SL21HL","SL2","1HL",-0.620824,51.531371,1
225.128087307496,"SL21HN","SL2","1HN",-0.621562,51.53129,1
119.011624204619,"SL21HP","SL2","1HP",-0.622297,51.532252,1
139.443384828229,"SL21HQ","SL2","1HQ",-0.620885,51.529852,1
124.924453172522,"SL21HR","SL2","1HR",-0.62126,51.53223,1
187.847507956293,"SL21HS","SL2","1HS",-0.619806,51.532132,1
282.303580133132,"SL21HT","SL2","1HT",-0.618918,51.531474,1
223.691118482242,"SL21HU","SL2","1HU",-0.617927,51.531813,1
193.218639993134,"SL21HW","SL2","1HW",-0.622404,51.531587,1
154.444295305249,"SL21HX","SL2","1HX",-0.617233,51.532381,1
247.391702383483,"SL21HY","SL2","1HY",-0.616926,51.53155,1
383.481911123511,"SL21HZ","SL2","1HZ",-0.617122,51.530311,1
378.506886168213,"SL21JA","SL2","1JA",-0.616483,51.529036,1
419.253460924023,"SL21JB","SL2","1JB",-0.615905,51.52911,1
388.973190127825,"SL21JD","SL2","1JD",-0.616279,51.528542,1
357.593234738579,"SL21JE","SL2","1JE",-0.617446,51.530558,1
310.816349490006,"SL21JF","SL2","1JF",-0.617528,51.529204,1
515.79525564496,"SL21JG","SL2","1JG",-0.615503,51.526183,1
268.711129664047,"SL21JH","SL2","1JH",-0.618384,51.529589,1
357.593234738579,"SL21JJ","SL2","1JJ",-0.617446,51.530558,1
268.711129664047,"SL21JL","SL2","1JL",-0.618384,51.529589,1
319.482969241151,"SL21JN","SL2","1JN",-0.584618,51.508271,1
155.749293497731,"SL21JP","SL2","1JP",-0.599677,51.525635,1
312.501773202532,"SL21JQ","SL2","1JQ",-0.617528,51.527861,1
101.569728921785,"SL21JR","SL2","1JR",-0.602863,51.526123,1
131.630119795685,"SL21JS","SL2","1JS",-0.602897,51.526411,1
153.87108739732,"SL21JT","SL2","1JT",-0.599597,51.525913,1
117.333546257187,"SL21JU","SL2","1JU",-0.599028,51.526017,1
265.64432036343,"SL21JW","SL2","1JW",-0.618181,51.529155,1
91.6280222473772,"SL21JX","SL2","1JX",-0.598257,51.526823,1
112.223839507439,"SL21JY","SL2","1JY",-0.598779,51.526634,1
137.535563280927,"SL21JZ","SL2","1JZ",-0.598544,51.527225,1
160.036951751295,"SL21LA","SL2","1LA",-0.59932,51.526935,1
187.426531040548,"SL21LB","SL2","1LB",-0.599484,51.527243,1
230.933577664621,"SL21LD","SL2","1LD",-0.602222,51.527752,1
212.198235099579,"SL21LE","SL2","1LE",-0.602441,51.527541,1
199.229555354936,"SL21LF","SL2","1LF",-0.602631,51.5271,1
175.287121190996,"SL21LG","SL2","1LG",-0.602754,51.52685,1
218.021092858679,"SL21LH","SL2","1LH",-0.600715,51.527051,1
224.027802999792,"SL21LJ","SL2","1LJ",-0.6003,51.526974,1
166.508096580074,"SL21LL","SL2","1LL",-0.600434,51.526346,1
158.943199120062,"SL21LN","SL2","1LN",-0.599556,51.526317,1
198.052818520132,"SL21LP","SL2","1LP",-0.602798,51.528235,1
139.340546581499,"SL21LQ","SL2","1LQ",-0.600968,51.526316,1
243.661241402746,"SL21LR","SL2","1LR",-0.599946,51.527698,1
135.761614985071,"SL21LS","SL2","1LS",-0.605372,51.529408,1
214.474617441459,"SL21LT","SL2","1LT",-0.602655,51.528674,1
260.351914770094,"SL21LU","SL2","1LU",-0.599631,51.528099,1
154.887183720485,"SL21LW","SL2","1LW",-0.599447,51.526577,1
268.711129664047,"SL21LX","SL2","1LX",-0.618384,51.529589,1
