"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
38.8014152876752,"ST150AA","ST15","0AA",-2.149206,52.893329,1
135.879176105905,"ST150AB","ST15","0AB",-2.14967,52.894434,1
189.65438245497,"ST150AD","ST15","0AD",-2.150133,52.895072,1
200.062765434878,"ST150AE","ST15","0AE",-2.149258,52.895756,1
127.524833514225,"ST150AF","ST15","0AF",-2.149226,52.894893,1
87.5027224966213,"ST150AG","ST15","0AG",-2.148378,52.894894,1
75.9125998833339,"ST150AH","ST15","0AH",-2.148568,52.893815,1
100.150615079986,"ST150AJ","ST15","0AJ",-2.147842,52.890031,1
41.1495885878763,"ST150AL","ST15","0AL",-2.148987,52.890156,1
98.4787160739893,"ST150AN","ST15","0AN",-2.149297,52.889643,1
210.79323079923,"ST150AP","ST15","0AP",-2.150662,52.888877,1
36.1917549786362,"ST150AQ","ST15","0AQ",-2.147827,52.894544,1
180.547476086161,"ST150AR","ST15","0AR",-2.150782,52.889255,1
195.036765421314,"ST150AS","ST15","0AS",-2.15172,52.889766,1
37.2225025969884,"ST150AT","ST15","0AT",-2.148885,52.89083,1
361.280087630347,"ST150AU","ST15","0AU",-2.152144,52.887842,1
134.815945818776,"ST150AW","ST15","0AW",-2.150858,52.889938,1
381.489725908775,"ST150AX","ST15","0AX",-2.152843,52.88794,1
448.609896853966,"ST150AY","ST15","0AY",-2.154073,52.886904,1
416.546233415178,"ST150AZ","ST15","0AZ",-2.154104,52.887282,1
492.25933950108,"ST150BA","ST15","0BA",-2.152973,52.886762,1
82.2185891583757,"ST150BB","ST15","0BB",-2.138251,52.888551,1
31.8442507376486,"ST150BD","ST15","0BD",-2.137836,52.889118,1
473.57744130945,"ST150BE","ST15","0BE",-2.128904,52.87923,1
586.159079221945,"ST150BF","ST15","0BF",-2.182162,52.887116,0
151.998171030822,"ST150BG","ST15","0BG",-2.146685,52.890743,1
591.21377371847,"ST150BH","ST15","0BH",-2.131143,52.878345,1
73.2912464316583,"ST150BJ","ST15","0BJ",-2.12831,52.884148,0
439.637530556422,"ST150BL","ST15","0BL",-2.130659,52.879678,1
582.815890564962,"ST150BN","ST15","0BN",-2.12798,52.878278,1
482.892831843455,"ST150BP","ST15","0BP",-2.132145,52.875602,1
334.314773015926,"ST150BQ","ST15","0BQ",-2.141977,52.887486,1
945.775232022356,"ST150BS","ST15","0BS",-2.142175,52.875269,0
1001.95984173693,"ST150BT","ST15","0BT",-2.144189,52.873136,0
875.698294688883,"ST150BU","ST15","0BU",-2.152481,52.882232,0
532.393293609772,"ST150BW","ST15","0BW",-2.127563,52.878771,1
217.234639217747,"ST150BX","ST15","0BX",-2.160711,52.885655,0
321.501562497102,"ST150BY","ST15","0BY",-2.16498,52.890377,0
404.052071467478,"ST150BZ","ST15","0BZ",-2.179616,52.886524,0
56.9744826402096,"ST150DA","ST15","0DA",-2.138134,52.889288,1
199.070934453384,"ST150DB","ST15","0DB",-2.138896,52.8906,1
213.735382669218,"ST150DD","ST15","0DD",-2.139743,52.890347,1
242.933949869323,"ST150DE","ST15","0DE",-2.13967,52.890752,1
380.225323118825,"ST150DF","ST15","0DF",-2.141693,52.89154,1
344.370118592484,"ST150DG","ST15","0DG",-2.142487,52.888824,1
