"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
274.151231989544,"TA201AA","TA20","1AA",-2.956006,50.880704,1
214.449780035477,"TA201AB","TA20","1AB",-2.955973,50.880047,1
161.909749083517,"TA201AD","TA20","1AD",-2.962008,50.872849,1
98.0510328114623,"TA201AE","TA20","1AE",-2.959155,50.875129,1
232.499779466106,"TA201AF","TA20","1AF",-2.958482,50.876268,1
197.118601038333,"TA201AG","TA20","1AG",-2.957817,50.875716,1
189.637775369309,"TA201AH","TA20","1AH",-2.95898,50.876983,1
156.718949984312,"TA201AJ","TA20","1AJ",-2.960103,50.878377,1
205.729502143974,"TA201AL","TA20","1AL",-2.960502,50.877708,1
167.321697347412,"TA201AN","TA20","1AN",-2.95722,50.877097,1
102.961934065063,"TA201AP","TA20","1AP",-2.95649,50.878254,1
200.078969697136,"TA201AQ","TA20","1AQ",-2.957469,50.876762,1
51.5635637758268,"TA201AR","TA20","1AR",-2.957554,50.878128,1
103.165872316777,"TA201AS","TA20","1AS",-2.959352,50.878482,1
89.182853446046,"TA201AT","TA20","1AT",-2.957664,50.879332,1
81.5748684212968,"TA201AU","TA20","1AU",-2.957248,50.879156,1
155.807912066293,"TA201AW","TA20","1AW",-2.956418,50.87749,1
351.751982053552,"TA201AX","TA20","1AX",-2.954598,50.880931,1
340.401233341556,"TA201AY","TA20","1AY",-2.955169,50.881079,1
363.793109009886,"TA201AZ","TA20","1AZ",-2.956075,50.88198,1
333.779371648214,"TA201BA","TA20","1BA",-2.956389,50.882319,1
619.67887910011,"TA201BB","TA20","1BB",-2.951558,50.882431,1
468.384328521194,"TA201BD","TA20","1BD",-2.953965,50.881952,1
535.359215765081,"TA201BE","TA20","1BE",-2.953483,50.883395,1
314.157784087829,"TA201BF","TA20","1BF",-2.954111,50.880063,1
154.649735006628,"TA201BG","TA20","1BG",-2.963687,50.878437,1
180.393521732839,"TA201BH","TA20","1BH",-2.963027,50.878137,1
221.954317027968,"TA201BJ","TA20","1BJ",-2.96413,50.877894,1
72.4548821987527,"TA201BL","TA20","1BL",-2.962692,50.879138,1
71.4886534809721,"TA201BN","TA20","1BN",-2.963489,50.879194,1
191.935351181625,"TA201BP","TA20","1BP",-2.959454,50.879956,1
207.295100784464,"TA201BQ","TA20","1BQ",-2.961704,50.878085,1
190.298492512953,"TA201BS","TA20","1BS",-2.96053,50.879057,1
153.622703333258,"TA201BT","TA20","1BT",-2.960908,50.88016,1
98.8533490582721,"TA201BU","TA20","1BU",-2.961597,50.879812,1
114.922076334333,"TA201BW","TA20","1BW",-2.964428,50.879249,1
275.267768148459,"TA201BX","TA20","1BX",-2.968444,50.878227,1
176.775680968112,"TA201BY","TA20","1BY",-2.966121,50.879316,1
189.354494891225,"TA201BZ","TA20","1BZ",-2.966235,50.877967,1
356.834675825003,"TA201DA","TA20","1DA",-2.954283,50.880808,1
206.114968556724,"TA201DB","TA20","1DB",-2.969092,50.877286,1
242.13540687157,"TA201DD","TA20","1DD",-2.969539,50.877552,1
234.038333706109,"TA201DE","TA20","1DE",-2.965646,50.878358,1
29.9889862082182,"TA201DF","TA20","1DF",-2.962577,50.879777,1
149.875694803358,"TA201DG","TA20","1DG",-2.961675,50.880837,1
188.162561831306,"TA201DH","TA20","1DH",-2.960616,50.881196,1
324.175898550927,"TA201DJ","TA20","1DJ",-2.955481,50.881032,1
126.592934684292,"TA201DL","TA20","1DL",-2.961866,50.881843,1
132.335867347007,"TA201DN","TA20","1DN",-2.959079,50.877621,1
219.126226156102,"TA201DP","TA20","1DP",-2.959549,50.881142,1
231.711767748145,"TA201DQ","TA20","1DQ",-2.958533,50.881528,1
161.671277387512,"TA201DR","TA20","1DR",-2.95981,50.879341,1
310.393229264724,"TA201DS","TA20","1DS",-2.9684,50.879558,1
291.561720602081,"TA201DT","TA20","1DT",-2.967827,50.878637,1
304.329168713565,"TA201DU","TA20","1DU",-2.968065,50.879138,1
160.345042260734,"TA201DW","TA20","1DW",-2.965751,50.879274,1
292.931802056106,"TA201DX","TA20","1DX",-2.969746,50.879331,1
323.275777361911,"TA201DY","TA20","1DY",-2.970377,50.878903,1
425.003876158742,"TA201DZ","TA20","1DZ",-2.955067,50.882339,1
182.635439139204,"TA201EA","TA20","1EA",-2.958579,50.882382,1
381.69027751832,"TA201EB","TA20","1EB",-2.955654,50.883206,1
93.3239975404554,"TA201ED","TA20","1ED",-2.959793,50.882624,1
189.306351078111,"TA201EE","TA20","1EE",-2.958432,50.883229,1
322.572515024784,"TA201EF","TA20","1EF",-2.956473,50.882975,1
332.810937456389,"TA201EG","TA20","1EG",-2.953492,50.879672,1
199.869149083454,"TA201EH","TA20","1EH",-2.955537,50.877524,1
