"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
46.7670068883928,"TQ60AA","TQ6","0AA",-3.5731,50.348472,0
56.7491003927931,"TQ60AB","TQ6","0AB",-3.573272,50.34804,0
142.99941640273,"TQ60AD","TQ6","0AD",-3.571156,50.349182,0
82.5193133901081,"TQ60AE","TQ6","0AE",-3.571919,50.348875,0
79.5168625588036,"TQ60AG","TQ6","0AG",-3.571789,50.348778,0
150.545085477742,"TQ60AH","TQ6","0AH",-3.570814,50.349034,0
201.667691664933,"TQ60AJ","TQ6","0AJ",-3.570065,50.34935,0
191.540382497626,"TQ60AL","TQ6","0AL",-3.566104,50.35113,1
197.468588530103,"TQ60AN","TQ6","0AN",-3.56899,50.349985,0
158.74500277025,"TQ60AP","TQ6","0AP",-3.567766,50.350379,0
150.069710167945,"TQ60AQ","TQ6","0AQ",-3.571058,50.34921,0
215.611082645392,"TQ60AR","TQ6","0AR",-3.56965,50.349878,0
213.866926401763,"TQ60AS","TQ6","0AS",-3.569511,50.349934,0
225.493153137688,"TQ60AT","TQ6","0AT",-3.569236,50.350197,0
211.75958453875,"TQ60AU","TQ6","0AU",-3.568984,50.350228,0
175.474522905476,"TQ60AW","TQ6","0AW",-3.568392,50.3502,0
179.070874921636,"TQ60AX","TQ6","0AX",-3.566099,50.350977,1
266.98187477266,"TQ60AY","TQ6","0AY",-3.562611,50.353938,0
400.550354352985,"TQ60AZ","TQ6","0AZ",-3.56875,50.352515,0
185.645514654933,"TQ60BA","TQ6","0BA",-3.567719,50.350685,0
328.122954096092,"TQ60BB","TQ6","0BB",-3.563605,50.353385,0
206.403089448413,"TQ60BD","TQ6","0BD",-3.566001,50.351358,1
197.055557733201,"TQ60BE","TQ6","0BE",-3.568349,50.350517,0
201.485641514469,"TQ60BG","TQ6","0BG",-3.568514,50.350468,0
223.043947617126,"TQ60BH","TQ6","0BH",-3.569101,50.3503,0
170.466988669916,"TQ60BJ","TQ6","0BJ",-3.568567,50.349946,0
337.13294920728,"TQ60BL","TQ6","0BL",-3.568618,50.351923,0
241.282268376405,"TQ60BN","TQ6","0BN",-3.563321,50.354153,0
18.1472722977906,"TQ60BP","TQ6","0BP",-3.572652,50.348101,0
211.705794946616,"TQ60BQ","TQ6","0BQ",-3.568877,50.35033,0
151.846573394254,"TQ60BS","TQ6","0BS",-3.570968,50.347323,0
41.4017614423741,"TQ60BT","TQ6","0BT",-3.56725,50.347517,0
114.176043012919,"TQ60BU","TQ6","0BU",-3.56869,50.3473,0
461.15594902485,"TQ60BW","TQ6","0BW",-3.585645,50.34573,0
66.8032909420124,"TQ60BX","TQ6","0BX",-3.571639,50.348078,0
168.65288666974,"TQ60BY","TQ6","0BY",-3.570268,50.34869,0
156.540885143057,"TQ60BZ","TQ6","0BZ",-3.57054,50.34884,0
72.9111200189132,"TQ60DA","TQ6","0DA",-3.568621,50.348525,0
78.7648599268926,"TQ60DB","TQ6","0DB",-3.568283,50.349005,0
110.971721259482,"TQ60DD","TQ6","0DD",-3.568613,50.349207,0
135.275778779086,"TQ60DE","TQ6","0DE",-3.565089,50.350965,1
108.821804196127,"TQ60DF","TQ6","0DF",-3.563773,50.350793,1
103.322691193936,"TQ60DG","TQ6","0DG",-3.564282,50.350796,1
160.734580714197,"TQ60DH","TQ6","0DH",-3.563506,50.351228,1
137.233505647502,"TQ60DJ","TQ6","0DJ",-3.564275,50.351101,1
119.410686105838,"TQ60DL","TQ6","0DL",-3.567818,50.349848,0
130.53087483355,"TQ60DN","TQ6","0DN",-3.568096,50.349745,0
144.626251840883,"TQ60DP","TQ6","0DP",-3.568118,50.34997,0
142.098901347668,"TQ60DQ","TQ6","0DQ",-3.563446,50.351032,1
85.234216821609,"TQ60DR","TQ6","0DR",-3.563221,50.350242,1
135.968298092547,"TQ60DS","TQ6","0DS",-3.565682,50.350695,1
317.849890669682,"TQ60DT","TQ6","0DT",-3.563439,50.353468,0
319.675244115956,"TQ60DU","TQ6","0DU",-3.560568,50.348227,0
174.45332016697,"TQ60DW","TQ6","0DW",-3.568846,50.349799,0
686.348168030561,"TQ60DX","TQ6","0DX",-3.56043,50.343579,0
412.354648603377,"TQ60DY","TQ6","0DY",-3.559943,50.359595,0
712.057847059248,"TQ60DZ","TQ6","0DZ",-3.573523,50.361608,0
1225.47440131241,"TQ60EA","TQ6","0EA",-3.575851,50.366585,0
926.687358695252,"TQ60EB","TQ6","0EB",-3.59684,50.337985,0
1243.86684810256,"TQ60ED","TQ6","0ED",-3.551324,50.364747,0
1405.27580496451,"TQ60EE","TQ6","0EE",-3.544229,50.360156,0
1864.5518110068,"TQ60EF","TQ6","0EF",-3.531756,50.362634,0
1621.33644286478,"TQ60EG","TQ6","0EG",-3.540593,50.3538,0
1369.18598580705,"TQ60EH","TQ6","0EH",-3.546108,50.345705,0
1027.10643288061,"TQ60EJ","TQ6","0EJ",-3.548756,50.357559,0
1612.48837244841,"TQ60EL","TQ6","0EL",-3.573487,50.371644,0
106.426456788093,"TQ60EN","TQ6","0EN",-3.601414,50.383288,1
1159.13335614796,"TQ60EP","TQ6","0EP",-3.57397,50.365837,0
2010.74086181537,"TQ60EQ","TQ6","0EQ",-3.536197,50.347392,0
44.3470291377966,"TQ60ER","TQ6","0ER",-3.603884,50.383964,1
31.8613387252128,"TQ60ES","TQ6","0ES",-3.60118,50.38252,1
70.1227608333143,"TQ60ET","TQ6","0ET",-3.602416,50.383822,1
49.4301833799646,"TQ60EU","TQ6","0EU",-3.600722,50.382785,1
235.055037022892,"TQ60EW","TQ6","0EW",-3.603284,50.325576,0
261.581444697761,"TQ60EX","TQ6","0EX",-3.597154,50.382105,1
275.808653567199,"TQ60EY","TQ6","0EY",-3.596121,50.382335,1
249.151744350346,"TQ60EZ","TQ6","0EZ",-3.59602,50.382678,1
44.8287205581126,"TQ60FA","TQ6","0FA",-3.642933,50.346798,0
373.294620863245,"TQ60FD","TQ6","0FD",-3.581298,50.357463,0
127.373207015453,"TQ60FE","TQ6","0FE",-3.587141,50.354775,1
217.861556371385,"TQ60FG","TQ6","0FG",-3.585835,50.354811,0
231.681465305385,"TQ60FH","TQ6","0FH",-3.585617,50.355012,0
279.201770329845,"TQ60FJ","TQ6","0FJ",-3.585966,50.357471,0
427.162730148119,"TQ60HA","TQ6","0HA",-3.595099,50.381137,1
127.607421148949,"TQ60HB","TQ6","0HB",-3.597859,50.383294,1
205.927163921439,"TQ60HD","TQ6","0HD",-3.598709,50.381076,1
614.67610467891,"TQ60HE","TQ6","0HE",-3.593586,50.379303,0
467.27159376659,"TQ60HJ","TQ6","0HJ",-3.583032,50.357601,0
511.674398727079,"TQ60HL","TQ6","0HL",-3.600434,50.355843,0
599.874080448622,"TQ60HN","TQ6","0HN",-3.598552,50.358414,0
1114.7273827861,"TQ60HP","TQ6","0HP",-3.609026,50.373793,0
97.6438483703121,"TQ60HR","TQ6","0HR",-3.602995,50.383367,1
105.338807360776,"TQ60HS","TQ6","0HS",-3.601832,50.385173,1
118.173059956606,"TQ60HT","TQ6","0HT",-3.605103,50.383821,1
66.7011329389992,"TQ60HU","TQ6","0HU",-3.604597,50.38426,1
1759.40750396159,"TQ60HW","TQ6","0HW",-3.61755,50.360915,0
120.482494867497,"TQ60HX","TQ6","0HX",-3.605249,50.383963,1
80.5062375172204,"TQ60HY","TQ6","0HY",-3.604563,50.384812,1
809.964266385077,"TQ60HZ","TQ6","0HZ",-3.615043,50.383675,0
948.091251762939,"TQ60JA","TQ6","0JA",-3.626761,50.38165,0
1723.17150351217,"TQ60JB","TQ6","0JB",-3.622612,50.374656,0
1863.55502591106,"TQ60JD","TQ6","0JD",-3.613288,50.367591,0
2061.12275944387,"TQ60JE","TQ6","0JE",-3.636893,50.367072,0
1747.91204644029,"TQ60JF","TQ6","0JF",-3.608876,50.366764,0
1232.12272407644,"TQ60JG","TQ6","0JG",-3.599056,50.371322,0
613.00375912168,"TQ60JH","TQ6","0JH",-3.594686,50.389442,0
133.893205059726,"TQ60JJ","TQ6","0JJ",-3.593909,50.351579,1
33.1543338711667,"TQ60JL","TQ6","0JL",-3.601142,50.346812,1
547.075963868494,"TQ60JN","TQ6","0JN",-3.56838,50.343005,0
1342.91197963014,"TQ60JP","TQ6","0JP",-3.579469,50.331567,0
606.151760843744,"TQ60JQ","TQ6","0JQ",-3.606165,50.378089,0
892.829474139389,"TQ60JR","TQ6","0JR",-3.585632,50.330566,0
1024.05619246548,"TQ60JS","TQ6","0JS",-3.586241,50.339579,0
1155.93879351498,"TQ60JT","TQ6","0JT",-3.580706,50.337945,0
1019.29768655018,"TQ60JU","TQ6","0JU",-3.575226,50.339243,0
1271.10764229004,"TQ60JW","TQ6","0JW",-3.568319,50.336467,0
1215.80307895374,"TQ60JX","TQ6","0JX",-3.648274,50.316087,0
672.731743992831,"TQ60JZ","TQ6","0JZ",-3.586903,50.343824,0
100.429134809896,"TQ60LA","TQ6","0LA",-3.598409,50.34651,0
455.873839489908,"TQ60LB","TQ6","0LB",-3.607524,50.345159,1
1025.93757123506,"TQ60LD","TQ6","0LD",-3.613878,50.341896,0
770.220622009346,"TQ60LE","TQ6","0LE",-3.602041,50.336772,0
926.687358695252,"TQ60LF","TQ6","0LF",-3.59684,50.337985,0
693.414874221939,"TQ60LG","TQ6","0LG",-3.615595,50.330253,0
1286.64518078952,"TQ60LH","TQ6","0LH",-3.625069,50.32995,0
1529.73746500536,"TQ60LJ","TQ6","0LJ",-3.629291,50.326167,0
1234.82834546292,"TQ60LL","TQ6","0LL",-3.643297,50.320825,0
1376.88006840126,"TQ60LN","TQ6","0LN",-3.651029,50.31531,0
1761.2632372086,"TQ60LP","TQ6","0LP",-3.645699,50.325559,0
