"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
292.019505146687,"WC1B3AA","WC1B","3AA",-0.12897,51.518137,1
223.13849692413,"WC1B3AB","WC1B","3AB",-0.129242,51.517494,1
265.676795970974,"WC1B3AD","WC1B","3AD",-0.128908,51.517902,1
265.23848806568,"WC1B3AE","WC1B","3AE",-0.129298,51.517872,1
292.019505146687,"WC1B3AF","WC1B","3AF",-0.12897,51.518137,1
257.915906371178,"WC1B3AG","WC1B","3AG",-0.129634,51.517761,1
299.588204743948,"WC1B3AH","WC1B","3AH",-0.130476,51.517972,1
249.780482574539,"WC1B3AJ","WC1B","3AJ",-0.129699,51.517674,1
261.536812501019,"WC1B3AL","WC1B","3AL",-0.130682,51.517517,1
307.62836075128,"WC1B3AN","WC1B","3AN",-0.130809,51.51795,1
250.96159660515,"WC1B3AP","WC1B","3AP",-0.130307,51.517538,1
159.15805720542,"WC1B3AQ","WC1B","3AQ",-0.123769,51.516327,1
380.964166724039,"WC1B3AR","WC1B","3AR",-0.131655,51.518405,1
298.332728112196,"WC1B3AS","WC1B","3AS",-0.129822,51.518106,1
382.679959122936,"WC1B3AT","WC1B","3AT",-0.13116,51.518597,1
285.40830628885,"WC1B3AU","WC1B","3AU",-0.130968,51.517658,1
250.96159660515,"WC1B3AW","WC1B","3AW",-0.130307,51.517538,1
313.012194631501,"WC1B3AX","WC1B","3AX",-0.129324,51.518304,1
159.15805720542,"WC1B3AY","WC1B","3AY",-0.123769,51.516327,1
372.008634250516,"WC1B3AZ","WC1B","3AZ",-0.131516,51.518627,1
181.416630358183,"WC1B3BA","WC1B","3BA",-0.125826,51.518186,1
271.801511231887,"WC1B3BB","WC1B","3BB",-0.130634,51.517642,1
149.668663058003,"WC1B3BD","WC1B","3BD",-0.125376,51.518268,1
126.091295774914,"WC1B3BE","WC1B","3BE",-0.125125,51.518426,1
102.419207907682,"WC1B3BF","WC1B","3BF",-0.124832,51.518538,1
102.419207907682,"WC1B3BG","WC1B","3BG",-0.124832,51.518538,1
159.15805720542,"WC1B3BH","WC1B","3BH",-0.123769,51.516327,1
102.419207907682,"WC1B3BJ","WC1B","3BJ",-0.124832,51.518538,1
99.2025405819751,"WC1B3BL","WC1B","3BL",-0.124832,51.518612,1
62.9054811807648,"WC1B3BN","WC1B","3BN",-0.124374,51.518792,1
48.7318657692576,"WC1B3BP","WC1B","3BP",-0.124196,51.518915,1
202.308026569981,"WC1B3BQ","WC1B","3BQ",-0.129845,51.517189,1
190.680185034499,"WC1B3BS","WC1B","3BS",-0.130245,51.516934,1
117.568498808654,"WC1B3BU","WC1B","3BU",-0.124884,51.518323,1
117.568498808654,"WC1B3BW","WC1B","3BW",-0.124884,51.518323,1
117.568498808654,"WC1B3BZ","WC1B","3BZ",-0.124884,51.518323,1
49.0620661534701,"WC1B3DA","WC1B","3DA",-0.124285,51.519222,1
204.173559339967,"WC1B3DD","WC1B","3DD",-0.1265,51.51897,1
204.173559339967,"WC1B3DE","WC1B","3DE",-0.1265,51.51897,1
87.9461589695885,"WC1B3DF","WC1B","3DF",-0.124847,51.519222,1
168.627415852906,"WC1B3DG","WC1B","3DG",-0.126873,51.519362,1
292.599994654875,"WC1B3DH","WC1B","3DH",-0.127765,51.518369,1
117.568498808654,"WC1B3DJ","WC1B","3DJ",-0.124884,51.518323,1
319.529179272275,"WC1B3DN","WC1B","3DN",-0.129872,51.518295,1
325.460016826605,"WC1B3DP","WC1B","3DP",-0.12927,51.518573,1
261.536812501019,"WC1B3DQ","WC1B","3DQ",-0.130682,51.517517,1
333.025159556748,"WC1B3DR","WC1B","3DR",-0.129358,51.51853,1
349.427799224775,"WC1B3DS","WC1B","3DS",-0.130645,51.518415,1
349.427799224775,"WC1B3DT","WC1B","3DT",-0.130645,51.518415,1
261.536812501019,"WC1B3DU","WC1B","3DU",-0.130682,51.517517,1
359.565516958889,"WC1B3DW","WC1B","3DW",-0.132086,51.518438,1
349.427799224775,"WC1B3DX","WC1B","3DX",-0.130645,51.518415,1
224.944533522117,"WC1B3DY","WC1B","3DY",-0.112042,51.524565,1
321.696860759548,"WC1B3DZ","WC1B","3DZ",-0.129205,51.518392,1
349.427799224775,"WC1B3EA","WC1B","3EA",-0.130645,51.518415,1
292.019505146687,"WC1B3EB","WC1B","3EB",-0.12897,51.518137,1
374.278680219354,"WC1B3ED","WC1B","3ED",-0.13131,51.518723,1
382.020930163409,"WC1B3EE","WC1B","3EE",-0.13124,51.518668,1
383.286759686932,"WC1B3EF","WC1B","3EF",-0.131186,51.518595,1
315.155631404184,"WC1B3EG","WC1B","3EG",-0.13063,51.518082,1
339.083782744585,"WC1B3EH","WC1B","3EH",-0.130927,51.518231,1
330.463817411621,"WC1B3EJ","WC1B","3EJ",-0.13077,51.518193,1
322.867490027492,"WC1B3EL","WC1B","3EL",-0.130642,51.518155,1
374.278680219354,"WC1B3EN","WC1B","3EN",-0.13131,51.518723,1
359.565516958889,"WC1B3EQ","WC1B","3EQ",-0.132086,51.518438,1
330.822244641044,"WC1B3ES","WC1B","3ES",-0.130697,51.518218,1
422.26856203956,"WC1B3ET","WC1B","3ET",-0.134244,51.517133,1
154.756664503115,"WC1B3EU","WC1B","3EU",-0.128128,51.520048,1
374.278680219354,"WC1B3EW","WC1B","3EW",-0.13131,51.518723,1
321.696860759548,"WC1B3EX","WC1B","3EX",-0.129205,51.518392,1
261.536812501019,"WC1B3EY","WC1B","3EY",-0.130682,51.517517,1
326.978435666696,"WC1B3EZ","WC1B","3EZ",-0.132123,51.51754,1
257.575069805812,"WC1B3GH","WC1B","3GH",-0.13026,51.517618,1
359.785174881067,"WC1B3HA","WC1B","3HA",-0.131805,51.518605,1
337.751694274966,"WC1B3HB","WC1B","3HB",-0.131631,51.518989,1
332.476444668897,"WC1B3HD","WC1B","3HD",-0.131939,51.518868,1
339.343291164014,"WC1B3HE","WC1B","3HE",-0.131498,51.519058,1
294.886576201062,"WC1B3HF","WC1B","3HF",-0.128479,51.518165,1
359.565516958889,"WC1B3HG","WC1B","3HG",-0.132086,51.518438,1
353.957225645735,"WC1B3HH","WC1B","3HH",-0.130945,51.519286,1
339.265639119464,"WC1B3HJ","WC1B","3HJ",-0.130647,51.519432,1
346.913487241253,"WC1B3HL","WC1B","3HL",-0.130735,51.519388,1
347.825205858497,"WC1B3HN","WC1B","3HN",-0.131146,51.519206,1
342.025008105712,"WC1B3HP","WC1B","3HP",-0.131351,51.519128,1
290.241956754059,"WC1B3HR","WC1B","3HR",-0.132049,51.519337,1
290.241956754059,"WC1B3HT","WC1B","3HT",-0.132049,51.519337,1
286.31147525906,"WC1B3HU","WC1B","3HU",-0.130994,51.517657,1
345.153515732364,"WC1B3HW","WC1B","3HW",-0.131249,51.519162,1
313.383337792081,"WC1B3HX","WC1B","3HX",-0.130078,51.5182,1
299.416911906308,"WC1B3HY","WC1B","3HY",-0.128947,51.518712,1
292.277368821316,"WC1B3HZ","WC1B","3HZ",-0.12883,51.518737,1
305.372296960828,"WC1B3JA","WC1B","3JA",-0.130236,51.519614,1
343.801592632611,"WC1B3JD","WC1B","3JD",-0.130609,51.519314,1
343.801592632611,"WC1B3JF","WC1B","3JF",-0.130609,51.519314,1
287.493005710269,"WC1B3JG","WC1B","3JG",-0.130016,51.5197,1
251.982737084247,"WC1B3JH","WC1B","3JH",-0.127387,51.517725,1
52.5793464484316,"WC1B3JJ","WC1B","3JJ",-0.124242,51.518853,1
232.838489053111,"WC1B3JL","WC1B","3JL",-0.126484,51.517971,1
330.450876060341,"WC1B3JN","WC1B","3JN",-0.13053,51.519475,1
233.467620089731,"WC1B3JP","WC1B","3JP",-0.129412,51.517568,1
251.963701213928,"WC1B3JQ","WC1B","3JQ",-0.128325,51.517778,1
174.15944008745,"WC1B3JR","WC1B","3JR",-0.129667,51.516961,1
363.480847938886,"WC1B3JS","WC1B","3JS",-0.131512,51.518735,1
372.435232162679,"WC1B3JT","WC1B","3JT",-0.131073,51.518521,1
366.255320882311,"WC1B3JU","WC1B","3JU",-0.131047,51.518467,1
339.083782744585,"WC1B3JW","WC1B","3JW",-0.130927,51.518231,1
211.075553138109,"WC1B3JX","WC1B","3JX",-0.126361,51.517448,1
224.944533522117,"WC1B3JY","WC1B","3JY",-0.112042,51.524565,1
236.443908466242,"WC1B3LA","WC1B","3LA",-0.129005,51.517634,1
278.192830937199,"WC1B3LB","WC1B","3LB",-0.128096,51.518015,1
232.847910578357,"WC1B3LD","WC1B","3LD",-0.129484,51.517552,1
251.817827622099,"WC1B3LE","WC1B","3LE",-0.128351,51.517776,1
295.940155699392,"WC1B3LF","WC1B","3LF",-0.128464,51.518174,1
295.940155699392,"WC1B3LG","WC1B","3LG",-0.128464,51.518174,1
245.872399472303,"WC1B3LH","WC1B","3LH",-0.128612,51.517727,1
231.558340224483,"WC1B3LJ","WC1B","3LJ",-0.12921,51.517574,1
295.940155699392,"WC1B3LL","WC1B","3LL",-0.128464,51.518174,1
196.15080991491,"WC1B3LN","WC1B","3LN",-0.128472,51.517275,1
126.571723127384,"WC1B3LP","WC1B","3LP",-0.129279,51.516595,1
196.15080991491,"WC1B3LQ","WC1B","3LQ",-0.128472,51.517275,1
185.206806291811,"WC1B3LR","WC1B","3LR",-0.129053,51.517167,1
196.15080991491,"WC1B3LS","WC1B","3LS",-0.128472,51.517275,1
211.075553138109,"WC1B3LT","WC1B","3LT",-0.126361,51.517448,1
159.15805720542,"WC1B3LU","WC1B","3LU",-0.123769,51.516327,1
223.230839062506,"WC1B3LW","WC1B","3LW",-0.112017,51.524567,1
326.978435666696,"WC1B3LX","WC1B","3LX",-0.132123,51.51754,1
223.13849692413,"WC1B3LY","WC1B","3LY",-0.129242,51.517494,1
233.135560635567,"WC1B3NA","WC1B","3NA",-0.129325,51.517576,1
232.498004146719,"WC1B3NB","WC1B","3NB",-0.129184,51.517585,1
210.459038524609,"WC1B3ND","WC1B","3ND",-0.130427,51.517072,1
291.025436686071,"WC1B3NE","WC1B","3NE",-0.128971,51.518128,1
261.536812501019,"WC1B3NF","WC1B","3NF",-0.130682,51.517517,1
196.15080991491,"WC1B3NG","WC1B","3NG",-0.128472,51.517275,1
200.082311234462,"WC1B3NH","WC1B","3NH",-0.129689,51.517206,1
422.26856203956,"WC1B3NJ","WC1B","3NJ",-0.134244,51.517133,1
186.092361906646,"WC1B3NL","WC1B","3NL",-0.130719,51.516618,1
185.206806291811,"WC1B3NN","WC1B","3NN",-0.129053,51.517167,1
221.44335024674,"WC1B3NP","WC1B","3NP",-0.129928,51.517354,1
229.650977854233,"WC1B3NQ","WC1B","3NQ",-0.130403,51.517287,1
291.025436686071,"WC1B3NR","WC1B","3NR",-0.128971,51.518128,1
186.092361906646,"WC1B3NS","WC1B","3NS",-0.130719,51.516618,1
291.025436686071,"WC1B3NU","WC1B","3NU",-0.128971,51.518128,1
291.025436686071,"WC1B3NW","WC1B","3NW",-0.128971,51.518128,1
229.650977854233,"WC1B3NX","WC1B","3NX",-0.130403,51.517287,1
295.940155699392,"WC1B3NY","WC1B","3NY",-0.128464,51.518174,1
260.256939384474,"WC1B3NZ","WC1B","3NZ",-0.126981,51.517799,1
221.977341720101,"WC1B3PA","WC1B","3PA",-0.126365,51.518041,1
215.895190989548,"WC1B3PB","WC1B","3PB",-0.126282,51.51806,1
239.722515867725,"WC1B3PD","WC1B","3PD",-0.126544,51.517909,1
259.619447031488,"WC1B3PE","WC1B","3PE",-0.12682,51.517851,1
291.025436686071,"WC1B3PF","WC1B","3PF",-0.128971,51.518128,1
219.240926853338,"WC1B3PG","WC1B","3PG",-0.127801,51.517471,1
260.430945534345,"WC1B3PH","WC1B","3PH",-0.126908,51.517816,1
219.240926853338,"WC1B3PJ","WC1B","3PJ",-0.127801,51.517471,1
258.760657464126,"WC1B3PL","WC1B","3PL",-0.126806,51.517851,1
292.019505146687,"WC1B3PN","WC1B","3PN",-0.12897,51.518137,1
249.25134754175,"WC1B3PP","WC1B","3PP",-0.127188,51.517668,1
159.15805720542,"WC1B3PQ","WC1B","3PQ",-0.123769,51.516327,1
224.944533522117,"WC1B3PR","WC1B","3PR",-0.112042,51.524565,1
281.423080075573,"WC1B3PS","WC1B","3PS",-0.127494,51.518008,1
295.940155699392,"WC1B3PT","WC1B","3PT",-0.128464,51.518174,1
295.940155699392,"WC1B3PU","WC1B","3PU",-0.128464,51.518174,1
295.940155699392,"WC1B3PW","WC1B","3PW",-0.128464,51.518174,1
217.027747863926,"WC1B3PX","WC1B","3PX",-0.128738,51.517468,1
422.26856203956,"WC1B3PY","WC1B","3PY",-0.134244,51.517133,1
422.26856203956,"WC1B3PZ","WC1B","3PZ",-0.134244,51.517133,1
240.548945779874,"WC1B3QA","WC1B","3QA",-0.127191,51.517587,1
255.493834726484,"WC1B3QB","WC1B","3QB",-0.127289,51.517743,1
211.953816877979,"WC1B3QD","WC1B","3QD",-0.127617,51.517387,1
185.101211566334,"WC1B3QE","WC1B","3QE",-0.127398,51.517105,1
295.940155699392,"WC1B3QG","WC1B","3QG",-0.128464,51.518174,1
219.240926853338,"WC1B3QH","WC1B","3QH",-0.127801,51.517471,1
302.126108991208,"WC1B3QJ","WC1B","3QJ",-0.127728,51.518216,1
289.821403564848,"WC1B3QL","WC1B","3QL",-0.127992,51.518454,1
282.028215835556,"WC1B3QN","WC1B","3QN",-0.128131,51.518573,1
292.019505146687,"WC1B3QP","WC1B","3QP",-0.12897,51.518137,1
47.7261173988844,"WC1B3QQ","WC1B","3QQ",-0.126947,51.520721,1
321.696860759548,"WC1B3QR","WC1B","3QR",-0.129205,51.518392,1
275.76468233887,"WC1B3QS","WC1B","3QS",-0.128242,51.518674,1
270.927143431289,"WC1B3QT","WC1B","3QT",-0.128354,51.518766,1
260.156458907273,"WC1B3QU","WC1B","3QU",-0.128547,51.518966,1
422.26856203956,"WC1B3QW","WC1B","3QW",-0.134244,51.517133,1
321.696860759548,"WC1B3QX","WC1B","3QX",-0.129205,51.518392,1
321.696860759548,"WC1B3QY","WC1B","3QY",-0.129205,51.518392,1
321.696860759548,"WC1B3QZ","WC1B","3QZ",-0.129205,51.518392,1
244.304546406914,"WC1B3RA","WC1B","3RA",-0.129063,51.51948,1
256.296049044141,"WC1B3RB","WC1B","3RB",-0.128644,51.519058,1
249.568407268044,"WC1B3RD","WC1B","3RD",-0.128838,51.51925,1
247.44140599478,"WC1B3RE","WC1B","3RE",-0.129256,51.519598,1
244.601782254522,"WC1B3RF","WC1B","3RF",-0.129475,51.51989,1
343.801592632611,"WC1B3RH","WC1B","3RH",-0.130609,51.519314,1
281.868356060829,"WC1B3RJ","WC1B","3RJ",-0.127289,51.518011,1
263.248929772773,"WC1B3RN","WC1B","3RN",-0.129168,51.519291,1
223.13849692413,"WC1B3RP","WC1B","3RP",-0.129242,51.517494,1
223.13849692413,"WC1B3RR","WC1B","3RR",-0.129242,51.517494,1
223.13849692413,"WC1B3RS","WC1B","3RS",-0.129242,51.517494,1
223.13849692413,"WC1B3RT","WC1B","3RT",-0.129242,51.517494,1
223.13849692413,"WC1B3RU","WC1B","3RU",-0.129242,51.517494,1
422.26856203956,"WC1B3RW","WC1B","3RW",-0.134244,51.517133,1
235.423517653326,"WC1B3RY","WC1B","3RY",-0.129107,51.517618,1
422.26856203956,"WC1B3RZ","WC1B","3RZ",-0.134244,51.517133,1
321.696860759548,"WC1B3SA","WC1B","3SA",-0.129205,51.518392,1
223.13849692413,"WC1B3SH","WC1B","3SH",-0.129242,51.517494,1
316.827200437439,"WC1B3SL","WC1B","3SL",-0.129975,51.518252,1
295.940155699392,"WC1B3SN","WC1B","3SN",-0.128464,51.518174,1
196.262279645057,"WC1B3SR","WC1B","3SR",-0.126879,51.517206,1
295.940155699392,"WC1B3SS","WC1B","3SS",-0.128464,51.518174,1
197.775327445081,"WC1B3ST","WC1B","3ST",-0.126904,51.517214,1
422.26856203956,"WC1B3SU","WC1B","3SU",-0.134244,51.517133,1
159.15805720542,"WC1B3SW","WC1B","3SW",-0.123769,51.516327,1
321.696860759548,"WC1B3TA","WC1B","3TA",-0.129205,51.518392,1
291.025436686071,"WC1B3TB","WC1B","3TB",-0.128971,51.518128,1
185.206806291811,"WC1B3TD","WC1B","3TD",-0.129053,51.517167,1
247.775059750563,"WC1B3TR","WC1B","3TR",-0.129201,51.519543,1
126.571723127384,"WC1B3TS","WC1B","3TS",-0.129279,51.516595,1
196.15080991491,"WC1B3UB","WC1B","3UB",-0.128472,51.517275,1
196.15080991491,"WC1B3WA","WC1B","3WA",-0.128472,51.517275,1
224.944533522117,"WC1B3WB","WC1B","3WB",-0.112042,51.524565,1
159.15805720542,"WC1B3WD","WC1B","3WD",-0.123769,51.516327,1
224.944533522117,"WC1B3WE","WC1B","3WE",-0.112042,51.524565,1
196.15080991491,"WC1B3WJ","WC1B","3WJ",-0.128472,51.517275,1
196.15080991491,"WC1B3WN","WC1B","3WN",-0.128472,51.517275,1
196.15080991491,"WC1B3WT","WC1B","3WT",-0.128472,51.517275,1
224.944533522117,"WC1B3WU","WC1B","3WU",-0.112042,51.524565,1
159.15805720542,"WC1B3WW","WC1B","3WW",-0.123769,51.516327,1
159.15805720542,"WC1B3WX","WC1B","3WX",-0.123769,51.516327,1
159.15805720542,"WC1B3WY","WC1B","3WY",-0.123769,51.516327,1
224.944533522117,"WC1B3WZ","WC1B","3WZ",-0.112042,51.524565,1
159.15805720542,"WC1B3XA","WC1B","3XA",-0.123769,51.516327,1
422.26856203956,"WC1B3XB","WC1B","3XB",-0.134244,51.517133,1
224.944533522117,"WC1B3XD","WC1B","3XD",-0.112042,51.524565,1
422.26856203956,"WC1B3XE","WC1B","3XE",-0.134244,51.517133,1
422.26856203956,"WC1B3XF","WC1B","3XF",-0.134244,51.517133,1
295.940155699392,"WC1B3XG","WC1B","3XG",-0.128464,51.518174,1
422.26856203956,"WC1B3XH","WC1B","3XH",-0.134244,51.517133,1
159.15805720542,"WC1B3XJ","WC1B","3XJ",-0.123769,51.516327,1
422.26856203956,"WC1B3XL","WC1B","3XL",-0.134244,51.517133,1
159.15805720542,"WC1B3XN","WC1B","3XN",-0.123769,51.516327,1
422.26856203956,"WC1B3XP","WC1B","3XP",-0.134244,51.517133,1
295.940155699392,"WC1B3XQ","WC1B","3XQ",-0.128464,51.518174,1
422.26856203956,"WC1B3XR","WC1B","3XR",-0.134244,51.517133,1
422.26856203956,"WC1B3XS","WC1B","3XS",-0.134244,51.517133,1
159.15805720542,"WC1B3XT","WC1B","3XT",-0.123769,51.516327,1
422.26856203956,"WC1B3XY","WC1B","3XY",-0.134244,51.517133,1
422.26856203956,"WC1B3XZ","WC1B","3XZ",-0.134244,51.517133,1
159.15805720542,"WC1B3YB","WC1B","3YB",-0.123769,51.516327,1
422.26856203956,"WC1B3YQ","WC1B","3YQ",-0.134244,51.517133,1
124.763480604324,"WC1B4AA","WC1B","4AA",-0.120199,51.517988,1
124.763480604324,"WC1B4AB","WC1B","4AB",-0.120199,51.517988,1
34.1262980704733,"WC1B4AD","WC1B","4AD",-0.122152,51.519206,1
99.3154687574682,"WC1B4AE","WC1B","4AE",-0.120291,51.518279,1
77.9707548528637,"WC1B4AF","WC1B","4AF",-0.1205,51.518712,1
86.5455549069201,"WC1B4AG","WC1B","4AG",-0.123912,51.520934,1
77.9707548528637,"WC1B4AP","WC1B","4AP",-0.1205,51.518712,1
178.050671151808,"WC1B4AQ","WC1B","4AQ",-0.120599,51.517356,1
95.6721281455848,"WC1B4AR","WC1B","4AR",-0.121397,51.519688,1
47.4160690550766,"WC1B4AT","WC1B","4AT",-0.121966,51.519176,1
112.9926061241,"WC1B4AW","WC1B","4AW",-0.120562,51.518254,1
47.4160690550766,"WC1B4AX","WC1B","4AX",-0.121966,51.519176,1
96.6600055724336,"WC1B4BA","WC1B","4BA",-0.121774,51.519982,1
97.8980292167564,"WC1B4BB","WC1B","4BB",-0.121749,51.519984,1
121.317005876483,"WC1B4BD","WC1B","4BD",-0.121849,51.520271,1
75.8559019539258,"WC1B4BG","WC1B","4BG",-0.123369,51.520098,1
120.891344403611,"WC1B4BH","WC1B","4BH",-0.121863,51.520271,1
119.660931002456,"WC1B4BJ","WC1B","4BJ",-0.122561,51.52048,1
113.758109240948,"WC1B4BL","WC1B","4BL",-0.122477,51.520407,1
113.758109240948,"WC1B4BN","WC1B","4BN",-0.122477,51.520407,1
120.641446362913,"WC1B4BP","WC1B","4BP",-0.12256,51.520489,1
75.8559019539258,"WC1B4BQ","WC1B","4BQ",-0.123369,51.520098,1
120.641446362913,"WC1B4BS","WC1B","4BS",-0.12256,51.520489,1
178.050671151808,"WC1B4BT","WC1B","4BT",-0.120599,51.517356,1
47.4160690550766,"WC1B4BY","WC1B","4BY",-0.121966,51.519176,1
35.7964871473617,"WC1B4DA","WC1B","4DA",-0.122126,51.519208,1
35.0566048175039,"WC1B4DB","WC1B","4DB",-0.122138,51.519206,1
35.0566048175039,"WC1B4DF","WC1B","4DF",-0.122138,51.519206,1
35.0566048175039,"WC1B4DH","WC1B","4DH",-0.122138,51.519206,1
35.0566048175039,"WC1B4DJ","WC1B","4DJ",-0.122138,51.519206,1
4.00732800806673,"WC1B4DN","WC1B","4DN",-0.123406,51.519199,1
4.00732800806673,"WC1B4DP","WC1B","4DP",-0.123406,51.519199,1
4.00732800806673,"WC1B4DQ","WC1B","4DQ",-0.123406,51.519199,1
34.1262980704733,"WC1B4DR","WC1B","4DR",-0.122152,51.519206,1
4.00732800806673,"WC1B4DS","WC1B","4DS",-0.123406,51.519199,1
4.00732800806673,"WC1B4DT","WC1B","4DT",-0.123406,51.519199,1
35.0566048175039,"WC1B4DW","WC1B","4DW",-0.122138,51.519206,1
4.00732800806673,"WC1B4DX","WC1B","4DX",-0.123406,51.519199,1
35.0566048175039,"WC1B4DZ","WC1B","4DZ",-0.122138,51.519206,1
35.7964871473617,"WC1B4EA","WC1B","4EA",-0.122126,51.519208,1
4.00732800806673,"WC1B4EB","WC1B","4EB",-0.123406,51.519199,1
35.0566048175039,"WC1B4ED","WC1B","4ED",-0.122138,51.519206,1
224.944533522117,"WC1B4EE","WC1B","4EE",-0.112042,51.524565,1
4.00732800806673,"WC1B4EF","WC1B","4EF",-0.123406,51.519199,1
4.00732800806673,"WC1B4EJ","WC1B","4EJ",-0.123406,51.519199,1
4.00732800806673,"WC1B4EL","WC1B","4EL",-0.123406,51.519199,1
4.00732800806673,"WC1B4EP","WC1B","4EP",-0.123406,51.519199,1
75.8559019539258,"WC1B4ER","WC1B","4ER",-0.123369,51.520098,1
75.8559019539258,"WC1B4ES","WC1B","4ES",-0.123369,51.520098,1
90.987380481533,"WC1B4ET","WC1B","4ET",-0.122916,51.520261,1
35.0566048175039,"WC1B4EW","WC1B","4EW",-0.122138,51.519206,1
75.8559019539258,"WC1B4EY","WC1B","4EY",-0.123369,51.520098,1
98.9170752398373,"WC1B4HA","WC1B","4HA",-0.123071,51.520336,1
125.808142434631,"WC1B4HB","WC1B","4HB",-0.123475,51.520693,1
125.808142434631,"WC1B4HD","WC1B","4HD",-0.123475,51.520693,1
86.5455549069201,"WC1B4HH","WC1B","4HH",-0.123912,51.520934,1
42.7383820958149,"WC1B4HJ","WC1B","4HJ",-0.124244,51.521272,1
86.5455549069201,"WC1B4HL","WC1B","4HL",-0.123912,51.520934,1
