"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
236.013852198582,"WD61GZ","WD6","1GZ",-0.271587,51.656333,1
266.068958104883,"WD61HA","WD6","1HA",-0.270808,51.655521,1
196.084188752803,"WD61HB","WD6","1HB",-0.272542,51.653281,1
223.067514589883,"WD61HD","WD6","1HD",-0.271431,51.655503,1
187.668396960676,"WD61HE","WD6","1HE",-0.273207,51.65365,1
214.304915234657,"WD61HF","WD6","1HF",-0.272294,51.654086,1
182.450323462161,"WD61HG","WD6","1HG",-0.271128,51.652828,1
168.107453099047,"WD61HH","WD6","1HH",-0.265745,51.655617,1
165.30527794021,"WD61HJ","WD6","1HJ",-0.270773,51.652661,1
378.405415185805,"WD61HL","WD6","1HL",-0.268181,51.654287,1
262.910968404174,"WD61HN","WD6","1HN",-0.266199,51.654329,1
75.5179090025921,"WD61HP","WD6","1HP",-0.263183,51.657198,1
354.09871599112,"WD61HQ","WD6","1HQ",-0.269127,51.65413,1
32.1905485807375,"WD61HR","WD6","1HR",-0.263024,51.655694,1
161.041892720403,"WD61HS","WD6","1HS",-0.264028,51.658541,1
70.6283472058482,"WD61HT","WD6","1HT",-0.26372,51.657143,1
15.404835010382,"WD61HU","WD6","1HU",-0.263534,51.65598,1
201.069309028279,"WD61HW","WD6","1HW",-0.263506,51.658709,1
299.987389449092,"WD61HX","WD6","1HX",-0.279043,51.655283,1
299.987389449092,"WD61HY","WD6","1HY",-0.279043,51.655283,1
116.845705570218,"WD61HZ","WD6","1HZ",-0.260761,51.660417,1
299.987389449092,"WD61JA","WD6","1JA",-0.279043,51.655283,1
38.2451672662487,"WD61JB","WD6","1JB",-0.266447,51.658442,1
346.276877848297,"WD61JD","WD6","1JD",-0.256542,51.658835,1
119.195742410478,"WD61JE","WD6","1JE",-0.265602,51.659109,1
127.706704530081,"WD61JF","WD6","1JF",-0.274757,51.658529,1
166.435818831231,"WD61JG","WD6","1JG",-0.26878,51.657663,1
432.407456222546,"WD61JH","WD6","1JH",-0.254074,51.659104,1
31.2528537632506,"WD61JJ","WD6","1JJ",-0.265808,51.658127,1
122.864160473337,"WD61JL","WD6","1JL",-0.265711,51.659169,1
108.320335444662,"WD61JN","WD6","1JN",-0.267973,51.658231,1
108.863707294235,"WD61JP","WD6","1JP",-0.266994,51.658985,1
276.768024327688,"WD61JQ","WD6","1JQ",-0.26496,51.662273,1
119.714669872444,"WD61JR","WD6","1JR",-0.266201,51.659194,1
336.624628094305,"WD61JS","WD6","1JS",-0.25749,51.65902,1
106.460950435654,"WD61JT","WD6","1JT",-0.267411,51.659688,1
113.600731019905,"WD61JU","WD6","1JU",-0.267593,51.659475,1
124.977564441891,"WD61JW","WD6","1JW",-0.268113,51.657595,1
136.008105914278,"WD61JX","WD6","1JX",-0.26689,51.659708,1
250.591718231954,"WD61JY","WD6","1JY",-0.264978,51.660286,1
223.781136616204,"WD61JZ","WD6","1JZ",-0.26373,51.660668,1
172.440747245125,"WD61LA","WD6","1LA",-0.254775,51.655545,1
195.950734196446,"WD61LB","WD6","1LB",-0.264744,51.659608,1
159.258134159545,"WD61LD","WD6","1LD",-0.254944,51.655776,1
390.17597159872,"WD61LE","WD6","1LE",-0.255512,51.659683,1
118.724955046529,"WD61LF","WD6","1LF",-0.255536,51.655673,1
207.456298779337,"WD61LG","WD6","1LG",-0.261662,51.658048,1
140.613238803111,"WD61LH","WD6","1LH",-0.255845,51.656667,1
163.971765392061,"WD61LJ","WD6","1LJ",-0.271022,51.658645,1
203.647242942748,"WD61LL","WD6","1LL",-0.254442,51.656313,1
45.936857076552,"WD61LN","WD6","1LN",-0.260448,51.65651,1
241.803583836714,"WD61LP","WD6","1LP",-0.257459,51.657923,1
179.048620697819,"WD61LQ","WD6","1LQ",-0.254698,51.656038,1
299.987389449092,"WD61LR","WD6","1LR",-0.279043,51.655283,1
390.17597159872,"WD61LS","WD6","1LS",-0.255512,51.659683,1
264.516727807359,"WD61LT","WD6","1LT",-0.2584,51.658022,1
299.987389449092,"WD61LU","WD6","1LU",-0.279043,51.655283,1
95.813684033818,"WD61LW","WD6","1LW",-0.259622,51.656561,1
205.95047214166,"WD61LX","WD6","1LX",-0.255846,51.657386,1
166.222636665713,"WD61LY","WD6","1LY",-0.271037,51.658627,1
50.4832458686469,"WD61LZ","WD6","1LZ",-0.256934,51.656161,1
292.731552406365,"WD61NA","WD6","1NA",-0.25792,51.658352,1
299.987389449092,"WD61NB","WD6","1NB",-0.279043,51.655283,1
189.918192877057,"WD61ND","WD6","1ND",-0.261119,51.659775,1
299.987389449092,"WD61NE","WD6","1NE",-0.279043,51.655283,1
185.465383341286,"WD61NF","WD6","1NF",-0.260742,51.659797,1
99.270563259658,"WD61NG","WD6","1NG",-0.260914,51.655303,1
299.987389449092,"WD61NH","WD6","1NH",-0.279043,51.655283,1
208.095586507294,"WD61NJ","WD6","1NJ",-0.272049,51.658264,1
142.424550581052,"WD61NL","WD6","1NL",-0.27305,51.659313,1
117.367474130616,"WD61NN","WD6","1NN",-0.273862,51.660395,1
174.297364071342,"WD61NP","WD6","1NP",-0.274812,51.66049,1
98.312678379322,"WD61NQ","WD6","1NQ",-0.266556,51.658983,1
118.474988692513,"WD61NR","WD6","1NR",-0.275448,51.660877,1
118.474988692513,"WD61NS","WD6","1NS",-0.275448,51.660877,1
118.474988692513,"WD61NT","WD6","1NT",-0.275448,51.660877,1
171.425203720641,"WD61NU","WD6","1NU",-0.275892,51.660245,1
137.382749330679,"WD61NW","WD6","1NW",-0.274316,51.660626,1
193.816974922775,"WD61NX","WD6","1NX",-0.27632,51.660008,1
177.006829465982,"WD61NY","WD6","1NY",-0.277007,51.660198,1
153.891580263673,"WD61NZ","WD6","1NZ",-0.276883,51.660394,1
120.631994345,"WD61PA","WD6","1PA",-0.276569,51.660668,1
86.6888666939793,"WD61PB","WD6","1PB",-0.27637,51.660971,1
61.8602410153916,"WD61PD","WD6","1PD",-0.276056,51.661245,1
55.7123868373949,"WD61PE","WD6","1PE",-0.275758,51.661475,1
25.1996392066711,"WD61PF","WD6","1PF",-0.275942,51.661954,1
48.6773767231158,"WD61PG","WD6","1PG",-0.276703,51.661345,1
126.357356784247,"WD61PH","WD6","1PH",-0.278125,51.660458,1
69.6078707841564,"WD61PJ","WD6","1PJ",-0.279301,51.661086,1
47.624138175098,"WD61PL","WD6","1PL",-0.278023,51.661342,1
84.6410784594949,"WD61PN","WD6","1PN",-0.278284,51.66082,1
86.0521951082516,"WD61PP","WD6","1PP",-0.273257,51.660314,1
144.174132895773,"WD61PQ","WD6","1PQ",-0.279186,51.660302,1
68.6899505369915,"WD61PR","WD6","1PR",-0.272179,51.659777,1
124.654116015979,"WD61PS","WD6","1PS",-0.272433,51.659299,1
159.250336046411,"WD61PT","WD6","1PT",-0.272095,51.658939,1
101.768212939996,"WD61PU","WD6","1PU",-0.272191,51.659471,1
145.794083359149,"WD61PW","WD6","1PW",-0.27448,51.661249,1
96.0854062751494,"WD61PX","WD6","1PX",-0.259666,51.660716,1
299.987389449092,"WD61PY","WD6","1PY",-0.279043,51.655283,1
299.987389449092,"WD61PZ","WD6","1PZ",-0.279043,51.655283,1
30.3803076279539,"WD61QA","WD6","1QA",-0.260765,51.651272,1
269.092735077795,"WD61QB","WD6","1QB",-0.261018,51.658614,1
117.373463176129,"WD61QD","WD6","1QD",-0.262074,51.655203,1
119.250548297878,"WD61QE","WD6","1QE",-0.262605,51.654933,1
83.5880293862251,"WD61QF","WD6","1QF",-0.261813,51.655716,1
116.337170002364,"WD61QG","WD6","1QG",-0.261237,51.655173,1
67.3364867294883,"WD61QH","WD6","1QH",-0.260613,51.655613,1
130.197024292086,"WD61QJ","WD6","1QJ",-0.260272,51.655087,1
80.1591742022755,"WD61QL","WD6","1QL",-0.258807,51.654813,1
110.445401517152,"WD61QN","WD6","1QN",-0.256259,51.654155,1
172.254569504904,"WD61QP","WD6","1QP",-0.2602,51.654699,1
227.491963037739,"WD61QQ","WD6","1QQ",-0.26181,51.65832,1
227.52429976326,"WD61QR","WD6","1QR",-0.260562,51.653544,1
119.112610865481,"WD61QS","WD6","1QS",-0.260618,51.652071,1
67.4149459695499,"WD61QT","WD6","1QT",-0.26068,51.651604,1
40.0315316107381,"WD61QU","WD6","1QU",-0.261343,51.651263,1
57.0344443734479,"WD61QW","WD6","1QW",-0.258517,51.654458,1
90.9336730522189,"WD61QX","WD6","1QX",-0.261313,51.651797,1
262.650116770899,"WD61QY","WD6","1QY",-0.261236,51.65368,1
150.133707702207,"WD61QZ","WD6","1QZ",-0.261277,51.654868,1
192.070150942049,"WD61RA","WD6","1RA",-0.272005,51.656744,1
267.762269972125,"WD61RB","WD6","1RB",-0.261916,51.653663,1
112.678861263036,"WD61RD","WD6","1RD",-0.262062,51.651741,1
234.619411378535,"WD61RE","WD6","1RE",-0.262539,51.652872,1
196.432004355676,"WD61RF","WD6","1RF",-0.262357,51.654245,1
175.454474353904,"WD61RG","WD6","1RG",-0.26312,51.654329,1
183.361547070179,"WD61RH","WD6","1RH",-0.263154,51.65191,1
292.551682573147,"WD61RJ","WD6","1RJ",-0.263661,51.653024,1
160.138593072822,"WD61RL","WD6","1RL",-0.263635,51.654471,1
208.73828985226,"WD61RN","WD6","1RN",-0.259508,51.659657,1
101.406482494456,"WD61RP","WD6","1RP",-0.259801,51.656815,1
265.414772173615,"WD61RQ","WD6","1RQ",-0.263187,51.652945,1
64.2789268290171,"WD61RR","WD6","1RR",-0.259978,51.656341,1
33.1995987582801,"WD61RS","WD6","1RS",-0.260724,51.656478,1
285.965221824585,"WD61RT","WD6","1RT",-0.278679,51.654612,1
269.956609619214,"WD61RU","WD6","1RU",-0.253457,51.656344,1
299.987389449092,"WD61RW","WD6","1RW",-0.279043,51.655283,1
355.986893384549,"WD61RX","WD6","1RX",-0.253879,51.658175,1
390.17597159872,"WD61RY","WD6","1RY",-0.255512,51.659683,1
299.987389449092,"WD61RZ","WD6","1RZ",-0.279043,51.655283,1
299.842730606937,"WD61SA","WD6","1SA",-0.257988,51.659207,1
347.221476043537,"WD61SB","WD6","1SB",-0.256441,51.658834,1
392.497682896042,"WD61SD","WD6","1SD",-0.255413,51.659749,1
285.067171362531,"WD61SE","WD6","1SE",-0.255031,51.657914,1
243.99375885041,"WD61SF","WD6","1SF",-0.259021,51.65943,1
218.69911994625,"WD61SG","WD6","1SG",-0.257666,51.660453,1
153.076628785996,"WD61SH","WD6","1SH",-0.257955,51.657058,1
248.554747435654,"WD61SJ","WD6","1SJ",-0.256476,51.657935,1
283.037254952737,"WD61SL","WD6","1SL",-0.278938,51.653492,1
247.897299258014,"WD61SN","WD6","1SN",-0.256879,51.660998,1
137.139849362658,"WD61SP","WD6","1SP",-0.269952,51.652199,1
153.076628785996,"WD61SQ","WD6","1SQ",-0.257955,51.657058,1
123.605784067499,"WD61SR","WD6","1SR",-0.269689,51.651881,1
302.367265465965,"WD61SS","WD6","1SS",-0.268462,51.653364,1
263.105826828693,"WD61ST","WD6","1ST",-0.268,51.652575,1
224.041791529417,"WD61SU","WD6","1SU",-0.268275,51.652193,1
143.65733019122,"WD61SW","WD6","1SW",-0.265248,51.655367,1
314.806425219533,"WD61SX","WD6","1SX",-0.267411,51.652863,1
160.197237037495,"WD61SY","WD6","1SY",-0.268822,51.651499,1
261.911372461022,"WD61SZ","WD6","1SZ",-0.267345,51.651577,1
390.17597159872,"WD61TA","WD6","1TA",-0.255512,51.659683,1
98.9088998168112,"WD61TB","WD6","1TB",-0.273332,51.655684,1
162.764968250425,"WD61TD","WD6","1TD",-0.270998,51.658649,1
