"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
167.834043504973,"WF31AA","WF3","1AA",-1.567379,53.723798,1
224.529524589368,"WF31AB","WF3","1AB",-1.566926,53.724842,1
134.658231065814,"WF31AD","WF3","1AD",-1.583777,53.726546,1
28.6130306152178,"WF31AE","WF3","1AE",-1.569662,53.723989,1
182.721265693018,"WF31AF","WF3","1AF",-1.577179,53.724006,1
234.394486712553,"WF31AG","WF3","1AG",-1.572452,53.72541,1
185.112185387416,"WF31AH","WF3","1AH",-1.58319,53.727695,1
277.037520394239,"WF31AJ","WF3","1AJ",-1.576503,53.724948,1
205.470864267394,"WF31AL","WF3","1AL",-1.577148,53.725606,1
330.828788100607,"WF31AN","WF3","1AN",-1.574392,53.725399,1
314.964737572237,"WF31AP","WF3","1AP",-1.574395,53.725111,1
227.183560572896,"WF31AQ","WF3","1AQ",-1.582745,53.728214,1
209.947482701077,"WF31AR","WF3","1AR",-1.577792,53.724844,1
73.3175533108558,"WF31AS","WF3","1AS",-1.578915,53.726179,1
149.657159945959,"WF31AT","WF3","1AT",-1.577949,53.725798,1
85.4459805068756,"WF31AU","WF3","1AU",-1.580074,53.727322,1
293.305399115891,"WF31AW","WF3","1AW",-1.574477,53.724437,1
124.799623171172,"WF31AX","WF3","1AX",-1.579938,53.725445,1
108.38087757183,"WF31AY","WF3","1AY",-1.581674,53.724597,1
164.337652259496,"WF31AZ","WF3","1AZ",-1.58283,53.724215,1
110.819828362829,"WF31BA","WF3","1BA",-1.580907,53.724055,1
113.564516765465,"WF31BB","WF3","1BB",-1.581649,53.722602,1
167.6643023097,"WF31BD","WF3","1BD",-1.578868,53.721846,1
168.063671877654,"WF31BE","WF3","1BE",-1.567901,53.722868,1
460.537497078413,"WF31BF","WF3","1BF",-1.581599,53.730664,1
90.6500401834831,"WF31BG","WF3","1BG",-1.580817,53.722419,1
105.134890729319,"WF31BH","WF3","1BH",-1.581737,53.722917,1
126.784640374428,"WF31BJ","WF3","1BJ",-1.581988,53.723547,1
287.896362494364,"WF31BL","WF3","1BL",-1.584806,53.723673,1
195.958896241036,"WF31BN","WF3","1BN",-1.584236,53.724534,1
202.443984933119,"WF31BP","WF3","1BP",-1.583154,53.723926,1
224.194828130968,"WF31BQ","WF3","1BQ",-1.582943,53.721959,1
64.5262283417324,"WF31BT","WF3","1BT",-1.579861,53.722596,1
874.804759816628,"WF31BU","WF3","1BU",-1.576249,53.735425,1
166.154873755058,"WF31BW","WF3","1BW",-1.584189,53.725044,1
591.745004900908,"WF31BZ","WF3","1BZ",-1.570295,53.731846,1
171.173092263581,"WF31DA","WF3","1DA",-1.582634,53.722623,1
140.78374927752,"WF31DB","WF3","1DB",-1.582933,53.724485,1
166.884504739296,"WF31DD","WF3","1DD",-1.582392,53.724105,1
205.040244196551,"WF31DE","WF3","1DE",-1.581644,53.721514,1
531.380002412972,"WF31DF","WF3","1DF",-1.581205,53.718403,1
682.596327554389,"WF31DG","WF3","1DG",-1.581281,53.71692,1
367.157312026779,"WF31DH","WF3","1DH",-1.583458,53.720469,1
292.630475124722,"WF31DJ","WF3","1DJ",-1.582801,53.721015,1
439.393116454064,"WF31DL","WF3","1DL",-1.582861,53.719523,1
654.739058584979,"WF31DN","WF3","1DN",-1.582974,53.716079,1
845.788157976728,"WF31DP","WF3","1DP",-1.582996,53.713547,1
347.887156329515,"WF31DQ","WF3","1DQ",-1.581991,53.720203,1
800.581052865139,"WF31DR","WF3","1DR",-1.575897,53.737266,1
772.129187134254,"WF31DS","WF3","1DS",-1.580789,53.716047,1
736.045289438467,"WF31DT","WF3","1DT",-1.580952,53.716416,1
764.646423112527,"WF31DU","WF3","1DU",-1.57959,53.716276,1
798.183560575486,"WF31DW","WF3","1DW",-1.581588,53.715016,1
879.505357883073,"WF31DX","WF3","1DX",-1.579585,53.715242,1
695.557809005336,"WF31DY","WF3","1DY",-1.576383,53.717307,1
721.225307499718,"WF31DZ","WF3","1DZ",-1.575534,53.717268,1
661.090611727973,"WF31EA","WF3","1EA",-1.575011,53.71804,1
369.613711300019,"WF31EB","WF3","1EB",-1.570229,53.720467,1
165.5625013993,"WF31ED","WF3","1ED",-1.567501,53.723397,1
329.032816302187,"WF31EE","WF3","1EE",-1.5676,53.721168,1
541.559964204753,"WF31EF","WF3","1EF",-1.569638,53.718919,1
702.136677415465,"WF31EG","WF3","1EG",-1.570592,53.717484,1
965.51612886973,"WF31EH","WF3","1EH",-1.571889,53.715179,1
866.185071530537,"WF31EJ","WF3","1EJ",-1.571319,53.71604,1
869.685689449364,"WF31EL","WF3","1EL",-1.575805,53.735944,1
1078.45291347542,"WF31EN","WF3","1EN",-1.572262,53.714183,1
695.728521392995,"WF31EP","WF3","1EP",-1.573437,53.717854,1
715.155071258853,"WF31EQ","WF3","1EQ",-1.570275,53.717358,1
281.631384887401,"WF31ER","WF3","1ER",-1.569523,53.721265,1
768.409148562606,"WF31ES","WF3","1ES",-1.573051,53.717107,1
644.718964083453,"WF31ET","WF3","1ET",-1.573992,53.718467,1
825.46929990714,"WF31EU","WF3","1EU",-1.575408,53.716279,1
715.888457866286,"WF31EW","WF3","1EW",-1.572456,53.717509,1
887.371584140279,"WF31EX","WF3","1EX",-1.57508,53.715757,1
798.56714209266,"WF31EY","WF3","1EY",-1.572993,53.716819,1
750.28582734178,"WF31EZ","WF3","1EZ",-1.571748,53.71712,1
487.615334401521,"WF31FA","WF3","1FA",-1.556992,53.726971,1
980.835940223933,"WF31FB","WF3","1FB",-1.573812,53.734753,1
754.238300965171,"WF31FE","WF3","1FE",-1.57871,53.716417,1
196.821937388954,"WF31FF","WF3","1FF",-1.568087,53.722392,1
164.039074151411,"WF31FG","WF3","1FG",-1.568388,53.722627,1
217.296901309953,"WF31FH","WF3","1FH",-1.568956,53.721919,1
291.961958674417,"WF31FJ","WF3","1FJ",-1.564845,53.723746,1
347.764024257263,"WF31FL","WF3","1FL",-1.564764,53.723124,1
175.405250769353,"WF31FN","WF3","1FN",-1.582426,53.724031,1
359.263640073186,"WF31FP","WF3","1FP",-1.58432,53.719418,1
368.90239737911,"WF31GN","WF3","1GN",-1.569527,53.729866,1
1255.05865558501,"WF31HA","WF3","1HA",-1.571446,53.712535,1
822.226754368845,"WF31HB","WF3","1HB",-1.578534,53.715814,1
925.581366896548,"WF31HD","WF3","1HD",-1.577133,53.715018,1
1076.9650775544,"WF31HE","WF3","1HE",-1.574248,53.714118,1
957.867918883148,"WF31HF","WF3","1HF",-1.575132,53.715065,1
909.506061002048,"WF31HG","WF3","1HG",-1.573518,53.715868,1
55.0422670208786,"WF31HH","WF3","1HH",-1.587905,53.732178,1
1002.53692492424,"WF31HJ","WF3","1HJ",-1.573846,53.714943,1
1028.99440217072,"WF31HL","WF3","1HL",-1.573985,53.714647,1
734.813857746059,"WF31HN","WF3","1HN",-1.579345,53.716554,1
