"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
278.706966494555,"YO421AA","YO42","1AA",-0.800513,53.952524,0
760.345643770178,"YO421AD","YO42","1AD",-0.795661,53.920441,0
805.958329497083,"YO421AE","YO42","1AE",-0.795518,53.922255,1
126.724876737842,"YO421AF","YO42","1AF",-0.766861,53.926341,0
121.701472445045,"YO421AG","YO42","1AG",-0.767597,53.92616,0
137.462624243327,"YO421AH","YO42","1AH",-0.768196,53.925977,0
152.181621743892,"YO421AJ","YO42","1AJ",-0.765999,53.926638,0
89.8828517079237,"YO421AL","YO42","1AL",-0.766844,53.926898,0
82.0189320452743,"YO421AN","YO42","1AN",-0.76754,53.926555,0
962.864110272945,"YO421AP","YO42","1AP",-0.801628,53.925318,1
1791.88401954174,"YO421AQ","YO42","1AQ",-0.732931,53.984125,0
1005.561480687,"YO421DN","YO42","1DN",-0.801108,53.925627,1
403.813813074217,"YO421NN","YO42","1NN",-0.782153,53.919711,0
991.688360673427,"YO421NP","YO42","1NP",-0.803092,53.925782,1
857.392784784239,"YO421NR","YO42","1NR",-0.800219,53.924001,1
459.51681965722,"YO421NS","YO42","1NS",-0.815074,53.926673,0
902.27753973934,"YO421NT","YO42","1NT",-0.775035,53.909526,0
1656.90719571862,"YO421NU","YO42","1NU",-0.780299,53.891873,0
108.633006491101,"YO421NW","YO42","1NW",-0.784347,53.917045,0
891.928006662469,"YO421PA","YO42","1PA",-0.786318,53.943581,0
1093.64827836999,"YO421PB","YO42","1PB",-0.798447,53.944872,0
570.357053180124,"YO421PD","YO42","1PD",-0.809823,53.950144,0
667.785686165236,"YO421PE","YO42","1PE",-0.8137,53.95181,0
1286.71686774065,"YO421PF","YO42","1PF",-0.825413,53.947906,0
1461.3163134069,"YO421PG","YO42","1PG",-0.840372,53.941445,0
115.291688023853,"YO421PH","YO42","1PH",-0.799168,53.95873,0
95.1741610128519,"YO421PJ","YO42","1PJ",-0.800403,53.958733,0
211.012365427193,"YO421PL","YO42","1PL",-0.798175,53.959367,0
685.607163882349,"YO421PN","YO42","1PN",-0.787347,53.962197,0
1101.64892664932,"YO421PP","YO42","1PP",-0.776631,53.948696,0
332.243631587427,"YO421PQ","YO42","1PQ",-0.808269,53.952259,0
178.260177574586,"YO421PR","YO42","1PR",-0.798802,53.959265,0
1114.52391231279,"YO421PS","YO42","1PS",-0.799556,53.94446,0
798.88080558872,"YO421PW","YO42","1PW",-0.782241,53.960105,0
1165.95210732101,"YO421QA","YO42","1QA",-0.693464,53.922374,0
1328.68409075517,"YO421QE","YO42","1QE",-0.702118,53.901849,0
253.984049517359,"YO421QN","YO42","1QN",-0.779911,53.986651,0
112.680598575182,"YO421QT","YO42","1QT",-0.70981,53.920457,0
187.300576725835,"YO421QU","YO42","1QU",-0.709319,53.921063,0
259.241768327562,"YO421QX","YO42","1QX",-0.709774,53.92184,0
462.517085880767,"YO421QY","YO42","1QY",-0.706241,53.922827,0
927.826999289787,"YO421QZ","YO42","1QZ",-0.682699,53.932962,0
1295.79896170834,"YO421RD","YO42","1RD",-0.702133,53.908464,0
186.658701448755,"YO421RG","YO42","1RG",-0.752279,53.901778,1
227.952240378198,"YO421RH","YO42","1RH",-0.754479,53.902034,1
322.816153606035,"YO421RJ","YO42","1RJ",-0.753135,53.900627,1
335.366690610207,"YO421RL","YO42","1RL",-0.753321,53.900539,1
567.947399982511,"YO421RN","YO42","1RN",-0.75305,53.898379,1
491.924193289454,"YO421RP","YO42","1RP",-0.757389,53.900392,1
84.198911129783,"YO421RR","YO42","1RR",-0.752463,53.90275,1
54.5302567195591,"YO421RS","YO42","1RS",-0.72903,53.907538,0
236.404553492049,"YO421RT","YO42","1RT",-0.786323,53.984873,1
338.317498594274,"YO421RU","YO42","1RU",-0.787649,53.984365,1
525.285803910836,"YO421RW","YO42","1RW",-0.757551,53.900062,1
347.214898546768,"YO421RX","YO42","1RX",-0.788139,53.984604,1
642.95112070885,"YO421RY","YO42","1RY",-0.773424,53.992544,0
264.933579430808,"YO421RZ","YO42","1RZ",-0.787808,53.98656,1
301.044549057111,"YO421SA","YO42","1SA",-0.788091,53.987309,1
1223.4741388422,"YO421SB","YO42","1SB",-0.811627,53.977037,0
1147.13436164012,"YO421SD","YO42","1SD",-0.801687,53.968165,0
355.676385737921,"YO421SE","YO42","1SE",-0.786768,53.983709,1
1293.32890059868,"YO421SF","YO42","1SF",-0.784025,53.974747,0
301.740479342712,"YO421SG","YO42","1SG",-0.786646,53.984256,1
314.084022539379,"YO421SH","YO42","1SH",-0.754267,53.900971,1
137.836239025353,"YO421SJ","YO42","1SJ",-0.785795,53.986037,1
912.769302261757,"YO421SL","YO42","1SL",-0.750117,53.955838,0
1289.03885968837,"YO421SN","YO42","1SN",-0.723934,53.933389,0
92.0310744557499,"YO421SP","YO42","1SP",-0.782995,53.987069,1
427.721485409711,"YO421SQ","YO42","1SQ",-0.788071,53.98348,1
48.0076635936751,"YO421SR","YO42","1SR",-0.783065,53.986252,1
123.428445025575,"YO421SS","YO42","1SS",-0.782536,53.985536,1
41.405574633775,"YO421ST","YO42","1ST",-0.783129,53.98769,1
66.0871215488184,"YO421SU","YO42","1SU",-0.781025,53.989781,0
165.042774441616,"YO421SW","YO42","1SW",-0.783791,53.984893,1
1105.71298831914,"YO421SX","YO42","1SX",-0.76543,53.986207,0
1540.7927625545,"YO421SY","YO42","1SY",-0.751021,54.003423,0
757.227150238796,"YO421SZ","YO42","1SZ",-0.737286,54.004205,0
