"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
45291,"AB140XJ","S01006512","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,765.2516,1,1357,9.98076923076923,"600-900m",1794.38819807692,3892.76862307736,1,3892.34615384615,1908.2793192627,"AB14 0XJ","AB14","0XJ","AB140XJ"
73995,"AB140XL","S01006507","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,691.8591,2,40277,19.775,"600-900m",664.841694210526,1357.41539999999,1.52631578947368,21841.2105263158,1908.2793192627,"AB14 0XL","AB14","0XL","AB140XL"
85509,"AB140SH","S01006510","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,525.9325,2,40277,16.0975609756098,"300-600m",566.506362,12626.2866749961,2,40277,1908.2793192627,"AB14 0SH","AB14","0SH","AB140SH"
87104,"AB140QD","S01006510","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,574.41187,2,40277,16.0975609756098,"300-600m",566.506362,12626.2866749961,2,40277,804.947817546702,"AB14 0QD","AB14","0QD","AB140QD"
134326,"AB140XD","S01006507","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,636.24207,1,1357,19.775,"600-900m",664.841694210526,1357.41539999999,1.52631578947368,21841.2105263158,1908.2793192627,"AB14 0XD","AB14","0XD","AB140XD"
158359,"AB140NA","S01006508","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,190.09735,1,1357,20.1333333333333,"Less than or equal to 300m",195.489222,1357.41539999999,1,1357,1908.2793192627,"AB14 0NA","AB14","0NA","AB140NA"
181661,"AB140SN","S01006510","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,620.5836,2,40277,16.0975609756098,"600-900m",566.506362,12626.2866749961,2,40277,1908.2793192627,"AB14 0SN","AB14","0SN","AB140SN"
183682,"AB140WB","S01006508","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,175.72707,1,1357,20.1333333333333,"Less than or equal to 300m",195.489222,1357.41539999999,1,1357,1908.2793192627,"AB14 0WB","AB14","0WB","AB140WB"
184729,"AB140LS","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,314.98572,1,1357,15.4545454545455,"300-600m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0LS","AB14","0LS","AB140LS"
200717,"AB140SB","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,403.49597,2,40277,15.4545454545455,"300-600m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0SB","AB14","0SB","AB140SB"
207763,"AB140LB","S01006507","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,515.9322,1,1357,19.775,"300-600m",664.841694210526,1357.41539999999,1.52631578947368,21841.2105263158,1908.2793192627,"AB14 0LB","AB14","0LB","AB140LB"
212947,"AB140TS","S01006509","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,485.86932,2,40277,25,"300-600m",455.797242727273,1357.41539999999,1.90909090909091,36738.8181818182,1908.2793192627,"AB14 0TS","AB14","0TS","AB140TS"
215078,"AB140XA","S01006508","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,365.6036,1,1357,20.1333333333333,"300-600m",195.489222,1357.41539999999,1,1357,1908.2793192627,"AB14 0XA","AB14","0XA","AB140XA"
230496,"AB140LQ","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,233.5487,1,1357,15.4545454545455,"Less than or equal to 300m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0LQ","AB14","0LQ","AB140LQ"
261339,"AB140LE","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,335.1716,1,1357,15.4545454545455,"300-600m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0LE","AB14","0LE","AB140LE"
273412,"AB140ST","S01006511","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,498.6883,2,40277,19.6315789473684,"300-600m",340.23575,38920.319649987,1.53333333333333,39643.7333333333,804.947817546702,"AB14 0ST","AB14","0ST","AB140ST"
273933,"AB140QR","S01006511","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,270.4533,1,38920,19.6315789473684,"Less than or equal to 300m",340.23575,38920.319649987,1.53333333333333,39643.7333333333,804.947817546702,"AB14 0QR","AB14","0QR","AB140QR"
275940,"AB140UF","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,116.70904,1,1357,15.4545454545455,"Less than or equal to 300m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0UF","AB14","0UF","AB140UF"
312517,"AB140SE","S01006507","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,604.54443,2,40277,19.775,"600-900m",664.841694210526,1357.41539999999,1.52631578947368,21841.2105263158,1908.2793192627,"AB14 0SE","AB14","0SE","AB140SE"
319564,"AB140SA","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,430.35916,2,40277,15.4545454545455,"300-600m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0SA","AB14","0SA","AB140SA"
323656,"AB140SS","S01006511","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,404.47498,2,40277,19.6315789473684,"300-600m",340.23575,38920.319649987,1.53333333333333,39643.7333333333,804.947817546702,"AB14 0SS","AB14","0SS","AB140SS"
357620,"AB140QP","S01006511","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,280.34442,1,38920,19.6315789473684,"Less than or equal to 300m",340.23575,38920.319649987,1.53333333333333,39643.7333333333,804.947817546702,"AB14 0QP","AB14","0QP","AB140QP"
412592,"AB140NP","S01006512","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,850.8278,1,1357,9.98076923076923,"600-900m",1794.38819807692,3892.76862307736,1,3892.34615384615,1908.2793192627,"AB14 0NP","AB14","0NP","AB140NP"
412593,"AB140QU","S01006514","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,286.5397,2,54844,22.1730769230769,"Less than or equal to 300m",371.03544952381,36880.0811904676,1.85714285714286,62157.2857142857,804.947817546702,"AB14 0QU","AB14","0QU","AB140QU"
417039,"AB140QX","S01006514","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,190.1289,1,38920,22.1730769230769,"Less than or equal to 300m",371.03544952381,36880.0811904676,1.85714285714286,62157.2857142857,804.947817546702,"AB14 0QX","AB14","0QX","AB140QX"
445485,"AB140TP","S01006509","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,514.9796,2,40277,25,"300-600m",455.797242727273,1357.41539999999,1.90909090909091,36738.8181818182,1908.2793192627,"AB14 0TP","AB14","0TP","AB140TP"
459106,"AB140SG","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,357.47586,2,40277,15.4545454545455,"300-600m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0SG","AB14","0SG","AB140SG"
461795,"AB140LD","S01006507","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,584.40826,1,1357,19.775,"300-600m",664.841694210526,1357.41539999999,1.52631578947368,21841.2105263158,1908.2793192627,"AB14 0LD","AB14","0LD","AB140LD"
486436,"AB140SQ","S01006510","9E89108F-01AA-2C71-E053-A03BA40A7146","Playing Field",38920.319649987,556.3245,2,40277,16.0975609756098,"300-600m",566.506362,12626.2866749961,2,40277,804.947817546702,"AB14 0SQ","AB14","0SQ","AB140SQ"
505971,"AB140XR","S01006507","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,764.4554,1,1357,19.775,"600-900m",664.841694210526,1357.41539999999,1.52631578947368,21841.2105263158,1908.2793192627,"AB14 0XR","AB14","0XR","AB140XR"
532940,"AB140SX","S01006510","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,588.7274,2,40277,16.0975609756098,"300-600m",566.506362,12626.2866749961,2,40277,1908.2793192627,"AB14 0SX","AB14","0SX","AB140SX"
547893,"AB140WD","S01006506","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,226.71568,1,1357,15.4545454545455,"Less than or equal to 300m",330.9984125,1357.41539999999,1.33333333333333,14330.3333333333,1908.2793192627,"AB14 0WD","AB14","0WD","AB140WD"
553595,"AB140UP","S01006508","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,196.02296,1,1357,20.1333333333333,"Less than or equal to 300m",195.489222,1357.41539999999,1,1357,1908.2793192627,"AB14 0UP","AB14","0UP","AB140UP"
562762,"AB140LX","S01006508","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,27.58623,1,1357,20.1333333333333,"Less than or equal to 300m",195.489222,1357.41539999999,1,1357,1908.2793192627,"AB14 0LX","AB14","0LX","AB140LX"
588596,"AB140TR","S01006509","9E891046-FED4-2C71-E053-A03BA40A7146","Public Park Or Garden",1357.41539999999,552.1531,2,40277,25,"300-600m",455.797242727273,1357.41539999999,1.90909090909091,36738.8181818182,1908.2793192627,"AB14 0TR","AB14","0TR","AB140TR"
