"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"AB544AA",-2.745897,57.431211,3681.6453959298,15056.8527,"81B3336A-9EEF-33F1-E053-A03BA40A2BEA","F689E0CC-9745-420B-842E-E31A88EB3F7F","AB54","4AA",57.44997165,-2.796590362
"AB544AB",-2.914531,57.316421,8022.40641901751,643.078100002707,"81B3334A-4315-33F1-E053-A03BA40A2BEA","2A3D7090-2766-4F47-A73A-7DCD66BA62ED","AB54","4AB",57.2466397,-2.880628477
"AB544AD",-2.78088,57.439356,1508.98405412308,15056.8527,"81B3336A-9EEF-33F1-E053-A03BA40A2BEA","F689E0CC-9745-420B-842E-E31A88EB3F7F","AB54","4AD",57.44997165,-2.796590362
"AB544EA",-2.797972,57.451678,206.95927202773,15056.8527,"81B3336A-9EEF-33F1-E053-A03BA40A2BEA","F689E0CC-9745-420B-842E-E31A88EB3F7F","AB54","4EA",57.44997165,-2.796590362
"AB544EB",-2.79617,57.451582,180.819145449936,15056.8527,"81B3336A-9EEF-33F1-E053-A03BA40A2BEA","F689E0CC-9745-420B-842E-E31A88EB3F7F","AB54","4EB",57.44997165,-2.796590362
"AB544ED",-2.795356,57.451695,205.363343415974,15056.8527,"81B3336A-9EEF-33F1-E053-A03BA40A2BEA","F689E0CC-9745-420B-842E-E31A88EB3F7F","AB54","4ED",57.44997165,-2.796590362
"AB544EG",-2.836129,57.331655,9824.17194919437,643.078100002707,"81B3334A-4315-33F1-E053-A03BA40A2BEA","2A3D7090-2766-4F47-A73A-7DCD66BA62ED","AB54","4EG",57.2466397,-2.880628477
"AB544EH",-3.039694,57.371379,9930.5508148446,6761.56995000162,"81B332FC-B6DE-33F1-E053-A03BA40A2BEA","7242803D-C364-4B27-929A-608B7046BF49","AB54","4EH",57.44421961,-3.135623374
"AB544EJ",-3.030049,57.362516,11069.4871382539,6761.56995000162,"81B332FC-B6DE-33F1-E053-A03BA40A2BEA","7242803D-C364-4B27-929A-608B7046BF49","AB54","4EJ",57.44421961,-3.135623374
"AB544EL",-3.03193,57.360219,11217.3792941301,6761.56995000162,"81B332FC-B6DE-33F1-E053-A03BA40A2BEA","7242803D-C364-4B27-929A-608B7046BF49","AB54","4EL",57.44421961,-3.135623374
"AB544EN",-3.051609,57.363632,10277.4412289107,6761.56995000162,"81B332FC-B6DE-33F1-E053-A03BA40A2BEA","7242803D-C364-4B27-929A-608B7046BF49","AB54","4EN",57.44421961,-3.135623374
