"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"B160AA",-1.933366,52.481595,402.061259708259,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AA",52.48473177,-1.936319318
"B160AB",-1.930338,52.481551,537.726416405579,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AB",52.48473177,-1.936319318
"B160AD",-1.931354,52.481588,485.032047168672,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AD",52.48473177,-1.936319318
"B160AE",-1.932224,52.480905,507.912609570009,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AE",52.48473177,-1.936319318
"B160AG",-1.93387,52.482893,263.275610361045,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AG",52.48473177,-1.936319318
"B160AH",-1.931925,52.483647,321.082093918287,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AH",52.48473177,-1.936319318
"B160AJ",-1.930233,52.473343,114.754801559056,37920.6769000017,"81B3332F-0C1F-33F1-E053-A03BA40A2BEA","8EAC29F3-0F86-4536-A4FF-0542E5F061F6","B16","0AJ",52.47391646,-1.928824402
"B160AL",-1.931761,52.485148,312.11411397239,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AL",52.48473177,-1.936319318
"B160AN",-1.932868,52.483216,288.145701675855,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AN",52.48473177,-1.936319318
"B160AP",-1.933371,52.48158,403.341372396201,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AP",52.48473177,-1.936319318
"B160AR",-1.933059,52.483584,255.009794260596,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AR",52.48473177,-1.936319318
"B160AS",-1.930233,52.473343,114.754801559056,37920.6769000017,"81B3332F-0C1F-33F1-E053-A03BA40A2BEA","8EAC29F3-0F86-4536-A4FF-0542E5F061F6","B16","0AS",52.47391646,-1.928824402
"B160AT",-1.932355,52.482047,401.482557441972,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AT",52.48473177,-1.936319318
"B160AW",-1.931865,52.48424,306.541300897249,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AW",52.48473177,-1.936319318
"B160AX",-1.931865,52.484725,301.623716064458,154081.081200015,"81B332FD-299F-33F1-E053-A03BA40A2BEA","4671AA8A-0A0E-4E46-A261-0031796D8036","B16","0AX",52.48473177,-1.936319318
