"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
143,"B691NR","E01010077","9E891090-9D6F-2C71-E053-A03BA40A7146","Public Park Or Garden",290871.189850013,263.16724,4,456222,50.40625,"Less than or equal to 300m",306.17639375,281809.936350013,3.53125,414671.5625,7924.07617230888,"B69 1NR","B69","1NR","B691NR"
144,"B694RR","E01010002","9E89109A-1BCD-2C71-E053-A03BA40A7146","Public Park Or Garden",17103.3005000017,478.46106,4,343934,64.8823529411765,"300-600m",411.177852352941,47456.556372061,3.97058823529412,352737.588235294,3765.81238391957,"B69 4RR","B69","4RR","B694RR"
6230,"B692RA","E01010018","9E89109A-04E4-2C71-E053-A03BA40A7146","Playing Field",8750.32225000097,484.62048,3,300532,26.9139784946237,"300-600m",412.794630817204,131845.494703769,3.65591397849462,383253.376344086,1301.50951199338,"B69 2RA","B69","2RA","B692RA"
11314,"B691HP","E01010080","9E89109A-0E24-2C71-E053-A03BA40A7146","Playing Field",155690.320650006,192.60841,4,456222,77.12,"Less than or equal to 300m",151.1240824,171912.024954007,4,456222,8884.98422525283,"B69 1HP","B69","1HP","B691HP"
11315,"B691PS","E01010078","9E891090-9D6F-2C71-E053-A03BA40A7146","Public Park Or Garden",290871.189850013,282.6818,2,691391,37.5161290322581,"Less than or equal to 300m",438.945284193549,150518.254598392,3.35483870967742,490969.64516129,7924.07617230888,"B69 1PS","B69","1PS","B691PS"
11316,"B692JW","E01009934","9E89109A-0E24-2C71-E053-A03BA40A7146","Playing Field",155690.320650006,259.75372,4,456222,40.5945945945946,"Less than or equal to 300m",151.252823864865,155690.320650006,2.7027027027027,374001.756756757,8884.98422525283,"B69 2JW","B69","2JW","B692JW"
11317,"B694RU","E01010006","9E89109A-1BCD-2C71-E053-A03BA40A7146","Public Park Or Garden",17103.3005000017,593.0615,5,436251,51.84375,"300-600m",359.8387815625,88383.7866015602,4.3125,283489.3125,3765.81238391957,"B69 4RU","B69","4RU","B694RU"
15764,"B691EA","E01009934","9E89109A-0E24-2C71-E053-A03BA40A7146","Playing Field",155690.320650006,64.03124,4,456222,40.5945945945946,"Less than or equal to 300m",151.252823864865,155690.320650006,2.7027027027027,374001.756756757,8884.98422525283,"B69 1EA","B69","1EA","B691EA"
15765,"B691XG","E01010078","9E891099-DF73-2C71-E053-A03BA40A7146","Playing Field",18937.3777999969,391.56735,5,836130,37.5161290322581,"300-600m",438.945284193549,150518.254598392,3.35483870967742,490969.64516129,7628.84272921799,"B69 1XG","B69","1XG","B691XG"
15766,"B692JF","E01010082","9E891090-9D53-2C71-E053-A03BA40A7146","Public Park Or Garden",112257.011000009,318.31116,4,417583,79.1612903225806,"300-600m",280.874335548387,76016.355643553,3.19354838709677,291713.548387097,8871.41978904212,"B69 2JF","B69","2JF","B692JF"
