"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
233,"BA99AH","E01029227","9E891079-6C6E-2C71-E053-A03BA40A7146","Playing Field",37162.0185499973,341.5626,3,70590,34.6885245901639,"300-600m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,2700.32472982409,"BA9 9AH","BA9","9AH","BA99AH"
234,"BA99HP","E01029229","9E891079-71D4-2C71-E053-A03BA40A7146","Playing Field",5585.05740000016,186.2901,3,46574,22.5647058823529,"Less than or equal to 300m",258.513519564706,21930.778465881,3.08235294117647,54800.4352941176,1873.3530542347,"BA9 9HP","BA9","9HP","BA99HP"
235,"BA99JT","E01029229","9E891079-71D4-2C71-E053-A03BA40A7146","Playing Field",5585.05740000016,445.02808,3,46574,22.5647058823529,"300-600m",258.513519564706,21930.778465881,3.08235294117647,54800.4352941176,1873.3530542347,"BA9 9JT","BA9","9JT","BA99JT"
6296,"BA99RX","E01029227","9E891079-6C6E-2C71-E053-A03BA40A7146","Playing Field",37162.0185499973,367.40848,2,65005,34.6885245901639,"300-600m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,2700.32472982409,"BA9 9RX","BA9","9RX","BA99RX"
15827,"BA98BE","E01029227","9E891079-6C6E-2C71-E053-A03BA40A7146","Playing Field",37162.0185499973,614.20844,3,70590,34.6885245901639,"600-900m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,2700.32472982409,"BA9 8BE","BA9","8BE","BA98BE"
25679,"BA99RY","E01029229","9E891079-71D4-2C71-E053-A03BA40A7146","Playing Field",5585.05740000016,239.00836,3,46574,22.5647058823529,"Less than or equal to 300m",258.513519564706,21930.778465881,3.08235294117647,54800.4352941176,1873.3530542347,"BA9 9RY","BA9","9RY","BA99RY"
28207,"BA99JR","E01029227","9E891079-6C6E-2C71-E053-A03BA40A7146","Playing Field",37162.0185499973,551.1533,3,46574,34.6885245901639,"300-600m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,2700.32472982409,"BA9 9JR","BA9","9JR","BA99JR"
44080,"BA99FL","E01029227","9E891079-71D4-2C71-E053-A03BA40A7146","Playing Field",5585.05740000016,431.56113,3,46574,34.6885245901639,"300-600m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,1873.3530542347,"BA9 9FL","BA9","9FL","BA99FL"
61886,"BA99AZ","E01029227","9E891079-6C6E-2C71-E053-A03BA40A7146","Playing Field",37162.0185499973,438.09818,4,74418,34.6885245901639,"300-600m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,2700.32472982409,"BA9 9AZ","BA9","9AZ","BA99AZ"
61887,"BA99SP","E01029227","9E89103A-F493-2C71-E053-A03BA40A7146","Playing Field",27843.7286500008,173.14156,2,65005,34.6885245901639,"Less than or equal to 300m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,589.704918032787,"BA9 9SP","BA9","9SP","BA99SP"
65623,"BA99JZ","E01029227","9E891079-71D4-2C71-E053-A03BA40A7146","Playing Field",5585.05740000016,410.05975,3,46574,34.6885245901639,"300-600m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,1873.3530542347,"BA9 9JZ","BA9","9JZ","BA99JZ"
82522,"BA99LY","E01029227","9E891079-74B2-2C71-E053-A03BA40A7146","Playing Field",3827.27184999987,430.1186,3,46574,34.6885245901639,"300-600m",393.177352065574,29819.7737090151,2.54098360655738,60751.1967213115,955.309344948487,"BA9 9LY","BA9","9LY","BA99LY"
85561,"BA99JU","E01029229","9E891079-71D4-2C71-E053-A03BA40A7146","Playing Field",5585.05740000016,424.16977,3,46574,22.5647058823529,"300-600m",258.513519564706,21930.778465881,3.08235294117647,54800.4352941176,1873.3530542347,"BA9 9JU","BA9","9JU","BA99JU"
