"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
295,"BD108AT","E01010652","9E89108B-117E-2C71-E053-A03BA40A7146","Playing Field",31909.4272000034,350.05142,6,132141,29.0576923076923,"300-600m",236.721474038462,20052.4011374987,4.19230769230769,94919.3461538462,4391.43108673862,"BD10 8AT","BD10","8AT","BD108AT"
296,"BD108DG","E01010653","9E89108B-0B67-2C71-E053-A03BA40A7146","Playing Field",30075.8105999974,351.3659,6,132141,27.9857142857143,"300-600m",312.743561714286,24008.1619778574,5.87142857142857,130532.685714286,3645.92937378932,"BD10 8DG","BD10","8DG","BD108DG"
297,"BD109JQ","E01010688","9E89108A-3735-2C71-E053-A03BA40A7146","Playing Field",15313.2472000004,289.16605,5,104541,31.2727272727273,"Less than or equal to 300m",159.344858060606,24945.7828469686,5.43939393939394,104997.878787879,4278.85428125795,"BD10 9JQ","BD10","9JQ","BD109JQ"
6346,"BD100JP","E01010649","9E89108B-117E-2C71-E053-A03BA40A7146","Playing Field",31909.4272000034,337.14835,4,86752,47.7241379310345,"300-600m",370.005847241379,30092.6065827614,4.20689655172414,93201.6551724138,4391.43108673862,"BD10 0JP","BD10","0JP","BD100JP"
6347,"BD108JP","E01010686","9E891087-DE17-2C71-E053-A03BA40A7146","Playing Field",18469.9863499971,589.1154,5,70196,41.875,"300-600m",479.630336,12949.2526762485,4.625,65312.075,1921.23988095238,"BD10 8JP","BD10","8JP","BD108JP"
6348,"BD108QE","E01010681","9E891087-DE17-2C71-E053-A03BA40A7146","Playing Field",18469.9863499971,249.72986,5,85861,41,"Less than or equal to 300m",262.706088125,14490.8982218734,5.65625,99731.09375,1921.23988095238,"BD10 8QE","BD10","8QE","BD108QE"
6349,"BD109PD","E01010690","9E891087-E244-2C71-E053-A03BA40A7146","Playing Field",30317.0149999986,260.94635,6,115937,40.3958333333333,"Less than or equal to 300m",247.795977458333,17819.6092718746,5.91666666666667,109847.375,3096.69342115182,"BD10 9PD","BD10","9PD","BD109PD"
11427,"BD100PY","E01010683","9E891088-3409-2C71-E053-A03BA40A7146","Playing Field",34875.2777999957,431.02783,4,109944,25.4328358208955,"300-600m",284.798344119403,31151.0331499965,4.28358208955224,109023.23880597,1445.91170812604,"BD10 0PY","BD10","0PY","BD100PY"
11428,"BD109LG","E01010680","9E89108A-3735-2C71-E053-A03BA40A7146","Playing Field",15313.2472000004,229.80426,6,115937,26.4264705882353,"Less than or equal to 300m",212.675542352941,16398.7298029414,5.79411764705882,128267.220588235,4278.85428125795,"BD10 9LG","BD10","9LG","BD109LG"
11429,"BD109LY","E01010680","9E89108A-3735-2C71-E053-A03BA40A7146","Playing Field",15313.2472000004,293.9813,6,139416,26.4264705882353,"Less than or equal to 300m",212.675542352941,16398.7298029414,5.79411764705882,128267.220588235,4278.85428125795,"BD10 9LY","BD10","9LY","BD109LY"
11430,"BD109QU","E01010680","9E89108A-3735-2C71-E053-A03BA40A7146","Playing Field",15313.2472000004,366.6415,6,139416,26.4264705882353,"300-600m",212.675542352941,16398.7298029414,5.79411764705882,128267.220588235,4278.85428125795,"BD10 9QU","BD10","9QU","BD109QU"
19678,"BD100UG","E01010689","9E891088-3409-2C71-E053-A03BA40A7146","Playing Field",34875.2777999957,271.95035,4,96631,30.2222222222222,"Less than or equal to 300m",278.761427407407,31342.4506518489,5.01851851851852,126683.740740741,1445.91170812604,"BD10 0UG","BD10","0UG","BD100UG"
19679,"BD108AF","E01010688","9E891087-DC16-2C71-E053-A03BA40A7146","Playing Field",10365.4320999987,236.03813,6,98023,31.2727272727273,"Less than or equal to 300m",159.344858060606,24945.7828469686,5.43939393939394,104997.878787879,1428.85892857143,"BD10 8AF","BD10","8AF","BD108AF"
19680,"BD109JJ","E01010690","9E89108A-3735-2C71-E053-A03BA40A7146","Playing Field",15313.2472000004,64.77654,7,139429,40.3958333333333,"Less than or equal to 300m",247.795977458333,17819.6092718746,5.91666666666667,109847.375,4278.85428125795,"BD10 9JJ","BD10","9JJ","BD109JJ"
22900,"BD100TA","E01010685","9E891087-E244-2C71-E053-A03BA40A7146","Playing Field",30317.0149999986,208.39626,6,121502,25.4242424242424,"Less than or equal to 300m",239.8692515,22967.5952862485,5.375,95670.325,3096.69342115182,"BD10 0TA","BD10","0TA","BD100TA"
22901,"BD109HB","E01010682","9E89108B-0B67-2C71-E053-A03BA40A7146","Playing Field",30075.8105999974,133.30417,5,117794,39.75,"Less than or equal to 300m",159.527792375,30167.4914299977,5.925,145090,3645.92937378932,"BD10 9HB","BD10","9HB","BD109HB"
25707,"BD108RF","E01010690","9E891087-DE17-2C71-E053-A03BA40A7146","Playing Field",18469.9863499971,268.881,5,85861,40.3958333333333,"Less than or equal to 300m",247.795977458333,17819.6092718746,5.91666666666667,109847.375,1921.23988095238,"BD10 8RF","BD10","8RF","BD108RF"
25708,"BD109DL","E01010680","9E89108A-3735-2C71-E053-A03BA40A7146","Playing Field",15313.2472000004,65.30697,7,139429,26.4264705882353,"Less than or equal to 300m",212.675542352941,16398.7298029414,5.79411764705882,128267.220588235,4278.85428125795,"BD10 9DL","BD10","9DL","BD109DL"
28238,"BD100UR","E01010683","9E891088-3409-2C71-E053-A03BA40A7146","Playing Field",34875.2777999957,89.62701,3,79627,25.4328358208955,"Less than or equal to 300m",284.798344119403,31151.0331499965,4.28358208955224,109023.23880597,1445.91170812604,"BD10 0UR","BD10","0UR","BD100UR"
30435,"BD100RJ","E01010685","9E891087-D63A-2C71-E053-A03BA40A7146","Playing Field",12161.9784999983,203.6664,5,79980,25.4242424242424,"Less than or equal to 300m",239.8692515,22967.5952862485,5.375,95670.325,2592.23863636364,"BD10 0RJ","BD10","0RJ","BD100RJ"
30436,"BD108HQ","E01010653","9E89108A-3735-2C71-E053-A03BA40A7146","Playing Field",15313.2472000004,378.84692,6,126533,27.9857142857143,"300-600m",312.743561714286,24008.1619778574,5.87142857142857,130532.685714286,4278.85428125795,"BD10 8HQ","BD10","8HQ","BD108HQ"
35352,"BD108LG","E01010687","9E891087-DC16-2C71-E053-A03BA40A7146","Playing Field",10365.4320999987,291.21985,5,79980,49.2571428571429,"Less than or equal to 300m",290.827311742857,15276.9441728552,4.82857142857143,75833.5428571429,1428.85892857143,"BD10 8LG","BD10","8LG","BD108LG"
46636,"BD100QU","E01010682","9E89108B-0B67-2C71-E053-A03BA40A7146","Playing Field",30075.8105999974,44.64303,6,143854,39.75,"Less than or equal to 300m",159.527792375,30167.4914299977,5.925,145090,3645.92937378932,"BD10 0QU","BD10","0QU","BD100QU"
46637,"BD108AL","E01010653","9E89108A-453D-2C71-E053-A03BA40A7146","Playing Field",23491.6496499995,140,6,132141,27.9857142857143,"Less than or equal to 300m",312.743561714286,24008.1619778574,5.87142857142857,130532.685714286,3832.63858148536,"BD10 8AL","BD10","8AL","BD108AL"
46638,"BD108PL","E01010681","9E891087-DE17-2C71-E053-A03BA40A7146","Playing Field",18469.9863499971,220.79176,6,105974,41,"Less than or equal to 300m",262.706088125,14490.8982218734,5.65625,99731.09375,1921.23988095238,"BD10 8PL","BD10","8PL","BD108PL"
46639,"BD109RE","E01010688","9E891087-E244-2C71-E053-A03BA40A7146","Playing Field",30317.0149999986,176.13914,5,104541,31.2727272727273,"Less than or equal to 300m",159.344858060606,24945.7828469686,5.43939393939394,104997.878787879,3096.69342115182,"BD10 9RE","BD10","9RE","BD109RE"
52556,"BD100JB","E01010654","9E89108B-117E-2C71-E053-A03BA40A7146","Playing Field",31909.4272000034,87.005745,4,102481,40.325,"Less than or equal to 300m",221.00726185,23299.1770725025,3.65,96349.825,4391.43108673862,"BD10 0JB","BD10","0JB","BD100JB"
52557,"BD100PU","E01010683","9E891088-3409-2C71-E053-A03BA40A7146","Playing Field",34875.2777999957,13.601471,4,106025,25.4328358208955,"Less than or equal to 300m",284.798344119403,31151.0331499965,4.28358208955224,109023.23880597,1445.91170812604,"BD10 0PU","BD10","0PU","BD100PU"
61923,"BD100RU","E01010684","9E891087-D63A-2C71-E053-A03BA40A7146","Playing Field",12161.9784999983,104.62313,5,79980,37.95,"Less than or equal to 300m",211.2456197125,13618.1728699984,4.975,78768.05,2592.23863636364,"BD10 0RU","BD10","0RU","BD100RU"
61924,"BD100RX","E01010684","9E891087-D63A-2C71-E053-A03BA40A7146","Playing Field",12161.9784999983,68.44706,5,79980,37.95,"Less than or equal to 300m",211.2456197125,13618.1728699984,4.975,78768.05,2592.23863636364,"BD10 0RX","BD10","0RX","BD100RX"
61925,"BD108SY","E01010690","9E89108A-2B92-2C71-E053-A03BA40A7146","Playing Field",11396.0518999994,313.07666,6,103130,40.3958333333333,"300-600m",247.795977458333,17819.6092718746,5.91666666666667,109847.375,3147.196054249,"BD10 8SY","BD10","8SY","BD108SY"
61926,"BD109AG","E01010685","9E891087-E244-2C71-E053-A03BA40A7146","Playing Field",30317.0149999986,196.15555,6,95293,25.4242424242424,"Less than or equal to 300m",239.8692515,22967.5952862485,5.375,95670.325,3096.69342115182,"BD10 9AG","BD10","9AG","BD109AG"
