"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"BD111AA",-1.659502,53.75593,1680.907,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1AA",53.74239,-1.670865
"BD111AB",-1.663946,53.75786,1529.988,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AB",53.7577,-1.687218
"BD111AD",-1.667326,53.75811,1308.488,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AD",53.7577,-1.687218
"BD111AE",-1.668427,53.75888,1242.235,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AE",53.7577,-1.687218
"BD111AG",-1.663302,53.75684,1575.124,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AG",53.7577,-1.687218
"BD111AH",-1.66949,53.75871,1170.841,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AH",53.7577,-1.687218
"BD111AJ",-1.670246,53.75903,1125.449,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AJ",53.7577,-1.687218
"BD111AL",-1.66436,53.75725,1503.512,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AL",53.7577,-1.687218
"BD111AP",-1.6653,53.75731,1441.546,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AP",53.7577,-1.687218
"BD111AQ",-1.668582,53.75847,1228.071,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AQ",53.7577,-1.687218
"BD111AR",-1.665849,53.75694,1407.338,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AR",53.7577,-1.687218
"BD111AS",-1.663632,53.75727,1551.288,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AS",53.7577,-1.687218
"BD111AT",-1.667551,53.7546,1338.133,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AT",53.7577,-1.687218
"BD111AU",-1.663594,53.75633,1560.494,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AU",53.7577,-1.687218
"BD111AW",-1.667093,53.7569,1326.022,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AW",53.7577,-1.687218
"BD111AX",-1.66634,53.75619,1382.696,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AX",53.7577,-1.687218
"BD111AY",-1.666606,53.75564,1374.352,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AY",53.7577,-1.687218
"BD111AZ",-1.66826,53.75509,1279.544,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1AZ",53.7577,-1.687218
"BD111BA",-1.668292,53.75491,1282.426,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1BA",53.7577,-1.687218
"BD111BB",-1.667168,53.75513,1348.784,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1BB",53.7577,-1.687218
"BD111BD",-1.672594,53.75357,1065.469,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1BD",53.7577,-1.687218
"BD111BE",-1.668722,53.75416,1278.023,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1BE",53.7577,-1.687218
"BD111BG",-1.670307,53.75326,1208.859,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BG",53.74239,-1.670865
"BD111BH",-1.671944,53.75333,1115.305,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","2BF0321B-C945-49EC-970D-9786E8599105","BD11","1BH",53.7577,-1.687218
"BD111BJ",-1.671195,53.75217,1087.874,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BJ",53.74239,-1.670865
"BD111BL",-1.667496,53.75194,1084.388,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BL",53.74239,-1.670865
"BD111BN",-1.673238,53.75267,1070.519,75501,"81B332FC-B45A-33F1-E053-A03BA40A2BEA","FA6930FF-D8FC-48C1-AB53-C160EA474B32","BD11","1BN",53.75707,-1.687727
"BD111BP",-1.667377,53.75172,1062.549,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BP",53.74239,-1.670865
"BD111BQ",-1.669845,53.7522,1093.272,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BQ",53.74239,-1.670865
"BD111BS",-1.667306,53.75295,1197.472,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BS",53.74239,-1.670865
"BD111BT",-1.668739,53.75198,1075.097,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BT",53.74239,-1.670865
"BD111BU",-1.666325,53.7524,1152.447,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BU",53.74239,-1.670865
"BD111BW",-1.668774,53.75146,1017.26,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BW",53.74239,-1.670865
"BD111BX",-1.667107,53.75324,1231.344,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BX",53.74239,-1.670865
"BD111BY",-1.668346,53.75381,1280.437,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1BY",53.74239,-1.670865
"BD111DA",-1.666824,53.75251,1156.18,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DA",53.74239,-1.670865
"BD111DB",-1.667852,53.753,1196.131,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DB",53.74239,-1.670865
"BD111DD",-1.667109,53.75299,1203.988,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DD",53.74239,-1.670865
"BD111DE",-1.655295,53.75299,1561.159,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DE",53.74239,-1.670865
"BD111DF",-1.671802,53.75203,1073.638,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DF",53.74239,-1.670865
"BD111DG",-1.67079,53.75159,1022.619,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DG",53.74239,-1.670865
"BD111DH",-1.653181,53.75374,1715.922,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DH",53.74239,-1.670865
"BD111DJ",-1.655456,53.75361,1607.227,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DJ",53.74239,-1.670865
"BD111DL",-1.653761,53.75374,1690.229,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DL",53.74239,-1.670865
"BD111DN",-1.652653,53.75156,1572.916,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DN",53.74239,-1.670865
"BD111DP",-1.652167,53.75157,1597.948,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DP",53.74239,-1.670865
"BD111DQ",-1.669505,53.75104,965.376,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DQ",53.74239,-1.670865
"BD111DR",-1.651161,53.75223,1695.917,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DR",53.74239,-1.670865
"BD111DS",-1.650975,53.75086,1578.663,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","FADE2D98-1339-418D-A483-C2321F196625","BD11","1DS",53.73864,-1.663195
"BD111DT",-1.651319,53.75145,1624.867,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","FADE2D98-1339-418D-A483-C2321F196625","BD11","1DT",53.73864,-1.663195
"BD111DU",-1.651616,53.7504,1513.505,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","FADE2D98-1339-418D-A483-C2321F196625","BD11","1DU",53.73864,-1.663195
"BD111DW",-1.654746,53.75334,1614.128,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DW",53.74239,-1.670865
"BD111DX",-1.651752,53.75228,1669.854,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","C419AC10-A15F-4B0F-82C3-D838A724D65A","BD11","1DX",53.74239,-1.670865
"BD111DY",-1.650458,53.75098,1607.99,461993,"81B33349-C742-33F1-E053-A03BA40A2BEA","FADE2D98-1339-418D-A483-C2321F196625","BD11","1DY",53.73864,-1.663195
