"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"BH241AA",-1.791152,50.84613,224.3118,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1AA",50.84424,-1.792242
"BH241AB",-1.791558,50.84589,190.11,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1AB",50.84424,-1.792242
"BH241AD",-1.792948,50.84624,150.1497,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1AD",50.8451,-1.794092
"BH241AE",-1.793558,50.8464,149.7655,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1AE",50.8451,-1.794092
"BH241AF",-1.791819,50.84624,203.7164,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1AF",50.8451,-1.794092
"BH241AG",-1.792933,50.84643,168.7891,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1AG",50.8451,-1.794092
"BH241AH",-1.792745,50.84563,111.4103,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1AH",50.8451,-1.794092
"BH241AJ",-1.793866,50.84585,85.54851,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1AJ",50.8451,-1.794092
"BH241AL",-1.79403,50.84725,208.0341,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","532785FB-21D2-446E-AD72-A618C94B1F05","BH24","1AL",50.84555,-1.795258
"BH241AN",-1.794453,50.84652,121.4394,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","532785FB-21D2-446E-AD72-A618C94B1F05","BH24","1AN",50.84555,-1.795258
"BH241AP",-1.796019,50.84719,93.94095,5021.301,"81B33354-938F-33F1-E053-A03BA40A2BEA","6D119798-5075-4630-ADF9-A621F3C0AC7E","BH24","1AP",50.84651,-1.796821
"BH241AQ",-1.79345,50.84673,182.6042,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","532785FB-21D2-446E-AD72-A618C94B1F05","BH24","1AQ",50.84555,-1.795258
"BH241AR",-1.794688,50.84637,98.93133,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","532785FB-21D2-446E-AD72-A618C94B1F05","BH24","1AR",50.84555,-1.795258
"BH241AS",-1.789067,50.85169,261.9042,6323.19,"81B3334F-FD30-33F1-E053-A03BA40A2BEA","94977A0D-591C-4B3F-92D8-2C3800CFB541","BH24","1AS",50.84938,-1.789819
"BH241AT",-1.79327,50.84735,161.5009,1916.889,"81B3347D-F5BC-33F1-E053-A03BA40A2BEA","D9997903-D07F-4B31-A724-83603CB214D3","BH24","1AT",50.84815,-1.791349
"BH241AU",-1.787074,50.85425,574.3659,6323.19,"81B3334F-FD30-33F1-E053-A03BA40A2BEA","94977A0D-591C-4B3F-92D8-2C3800CFB541","BH24","1AU",50.84938,-1.789819
"BH241AW",-1.794408,50.84699,170.2227,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","532785FB-21D2-446E-AD72-A618C94B1F05","BH24","1AW",50.84555,-1.795258
"BH241AX",-1.785584,50.85533,648.8279,54731.6,"81B33354-8D8B-33F1-E053-A03BA40A2BEA","70330EB5-FD06-4981-934D-D3A94DFFCE6E","BH24","1AX",50.85995,-1.779921
"BH241AY",-1.793045,50.8468,191.4195,1916.889,"81B3347D-F5BC-33F1-E053-A03BA40A2BEA","D9997903-D07F-4B31-A724-83603CB214D3","BH24","1AY",50.84815,-1.791349
"BH241AZ",-1.791152,50.84613,224.3118,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1AZ",50.84424,-1.792242
"BH241BA",-1.791792,50.84579,174.9236,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1BA",50.84424,-1.792242
"BH241BB",-1.792117,50.84625,189.2119,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BB",50.8451,-1.794092
"BH241BD",-1.792374,50.84593,152.1971,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BD",50.8451,-1.794092
"BH241BE",-1.79253,50.84612,158.072,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BE",50.8451,-1.794092
"BH241BG",-1.791819,50.84624,203.7164,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BG",50.8451,-1.794092
"BH241BH",-1.792264,50.84505,90.10993,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1BH",50.84424,-1.792242
"BH241BJ",-1.793993,50.84614,110.2462,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","532785FB-21D2-446E-AD72-A618C94B1F05","BH24","1BJ",50.84555,-1.795258
"BH241BL",-1.786742,50.86009,479.0178,54731.6,"81B33354-8D8B-33F1-E053-A03BA40A2BEA","70330EB5-FD06-4981-934D-D3A94DFFCE6E","BH24","1BL",50.85995,-1.779921
"BH241BN",-1.791156,50.84524,134.5735,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1BN",50.84424,-1.792242
"BH241BP",-1.787315,50.8527,408.8828,6323.19,"81B3334F-FD30-33F1-E053-A03BA40A2BEA","94977A0D-591C-4B3F-92D8-2C3800CFB541","BH24","1BP",50.84938,-1.789819
"BH241BQ",-1.793039,50.8465,172.53,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BQ",50.8451,-1.794092
"BH241BS",-1.795523,50.84702,107.5136,5021.301,"81B33354-938F-33F1-E053-A03BA40A2BEA","6D119798-5075-4630-ADF9-A621F3C0AC7E","BH24","1BS",50.84651,-1.796821
"BH241BT",-1.793403,50.84618,129.359,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BT",50.8451,-1.794092
"BH241BU",-1.793073,50.84536,77.13931,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BU",50.8451,-1.794092
"BH241BW",-1.790913,50.84555,173.105,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1BW",50.84424,-1.792242
"BH241BX",-1.793268,50.84612,127.8092,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1BX",50.8451,-1.794092
"BH241BY",-1.788386,50.85147,253.2376,6323.19,"81B3334F-FD30-33F1-E053-A03BA40A2BEA","94977A0D-591C-4B3F-92D8-2C3800CFB541","BH24","1BY",50.84938,-1.789819
"BH241BZ",-1.791436,50.84617,220.2245,1916.889,"81B3347D-F5BC-33F1-E053-A03BA40A2BEA","D9997903-D07F-4B31-A724-83603CB214D3","BH24","1BZ",50.84815,-1.791349
"BH241DA",-1.791111,50.84583,193.8389,32022.23,"81B332FC-B391-33F1-E053-A03BA40A2BEA","03E541A7-C883-4839-B688-4DAB5DAC7AAB","BH24","1DA",50.84424,-1.792242
"BH241DB",-1.786742,50.86009,479.0178,54731.6,"81B33354-8D8B-33F1-E053-A03BA40A2BEA","70330EB5-FD06-4981-934D-D3A94DFFCE6E","BH24","1DB",50.85995,-1.779921
"BH241DD",-1.79277,50.8464,172.0567,4529.233,"81B3334F-FD3A-33F1-E053-A03BA40A2BEA","5F77DFFA-E5AA-43F2-AAF0-55C2AA37E25A","BH24","1DD",50.8451,-1.794092
