"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
11501,"BH49HP","E01033286","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,101.8332,6,184149,44.037037037037,"Less than or equal to 300m",133.060119037037,73231.3025500027,5.59259259259259,195921.666666667,5578.12651991532,"BH4 9HP","BH4","9HP","BH49HP"
15934,"BH49AN","E01015369","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,383.71994,5,143478,60.2857142857143,"300-600m",300.375797714286,4468.97285178551,3.82142857142857,129603.964285714,5578.12651991532,"BH4 9AN","BH4","9AN","BH49AN"
15935,"BH49NG","E01015344","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,341.31656,5,182227,30.7413793103448,"300-600m",433.668583344827,57703.6945241388,3.60344827586207,147048.172413793,5578.12651991532,"BH4 9NG","BH4","9NG","BH49NG"
22952,"BH48DG","E01015368","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,548.7777,4,116385,44.925,"300-600m",608.029364,29506.1781074983,4.225,143457.425,5578.12651991532,"BH4 8DG","BH4","8DG","BH48DG"
28297,"BH49AS","E01015371","9E89109B-15E6-2C71-E053-A03BA40A7146","Public Park Or Garden",2913.03865000006,349.56686,5,193576,43.0810810810811,"300-600m",263.482117189189,17715.3043243248,4.35135135135135,137134.162162162,2260.91439009071,"BH4 9AS","BH4","9AS","BH49AS"
43266,"BH49LA","E01033288","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,135.95955,4,105158,47.3478260869565,"Less than or equal to 300m",117.843862217391,73231.3025500027,4.47826086956522,125374.130434783,5578.12651991532,"BH4 9LA","BH4","9LA","BH49LA"
46721,"BH48EU","E01015369","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,97.6934,4,166484,60.2857142857143,"Less than or equal to 300m",300.375797714286,4468.97285178551,3.82142857142857,129603.964285714,5008.38044409361,"BH4 8EU","BH4","8EU","BH48EU"
57636,"BH48BH","E01015372","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,403.44763,5,143478,52.6153846153846,"300-600m",353.255084871795,62412.9615423091,5.15384615384615,164984.051282051,5008.38044409361,"BH4 8BH","BH4","8BH","BH48BH"
61994,"BH49NQ","E01015344","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,578.99915,4,179314,30.7413793103448,"300-600m",433.668583344827,57703.6945241388,3.60344827586207,147048.172413793,5578.12651991532,"BH4 9NQ","BH4","9NQ","BH49NQ"
65709,"BH49JG","E01015372","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,240.35182,5,143478,52.6153846153846,"Less than or equal to 300m",353.255084871795,62412.9615423091,5.15384615384615,164984.051282051,5578.12651991532,"BH4 9JG","BH4","9JG","BH49JG"
71759,"BH49HR","E01033288","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,38.013157,4,105158,47.3478260869565,"Less than or equal to 300m",117.843862217391,73231.3025500027,4.47826086956522,125374.130434783,5578.12651991532,"BH4 9HR","BH4","9HR","BH49HR"
74149,"BH49DT","E01015372","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,298.99164,5,143478,52.6153846153846,"Less than or equal to 300m",353.255084871795,62412.9615423091,5.15384615384615,164984.051282051,5578.12651991532,"BH4 9DT","BH4","9DT","BH49DT"
104105,"BH49HU","E01033288","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,123.081276,4,105158,47.3478260869565,"Less than or equal to 300m",117.843862217391,73231.3025500027,4.47826086956522,125374.130434783,5578.12651991532,"BH4 9HU","BH4","9HU","BH49HU"
108576,"BH48JA","E01015370","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,737.527,2,90340,45.5526315789474,"600-900m",699.340559736842,22408.0551184213,2.52631578947368,96665.1315789474,5008.38044409361,"BH4 8JA","BH4","8JA","BH48JA"
108577,"BH49EL","E01015372","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,429.00116,4,116385,52.6153846153846,"300-600m",353.255084871795,62412.9615423091,5.15384615384615,164984.051282051,5578.12651991532,"BH4 9EL","BH4","9EL","BH49EL"
112332,"BH49EH","E01015371","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,275.94385,5,143478,43.0810810810811,"Less than or equal to 300m",263.482117189189,17715.3043243248,4.35135135135135,137134.162162162,5578.12651991532,"BH4 9EH","BH4","9EH","BH49EH"
115531,"BH48EZ","E01015369","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,151.78932,4,166484,60.2857142857143,"Less than or equal to 300m",300.375797714286,4468.97285178551,3.82142857142857,129603.964285714,5008.38044409361,"BH4 8EZ","BH4","8EZ","BH48EZ"
122925,"BH48JE","E01015370","9E8910C9-29F3-2C71-E053-A03BA40A7146","Public Park Or Garden",88417.9686000022,855.60736,3,121058,45.5526315789474,"600-900m",699.340559736842,22408.0551184213,2.52631578947368,96665.1315789474,3442.64131920711,"BH4 8JE","BH4","8JE","BH48JE"
127911,"BH49LD","E01015344","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,313.35922,3,103236,30.7413793103448,"300-600m",433.668583344827,57703.6945241388,3.60344827586207,147048.172413793,5578.12651991532,"BH4 9LD","BH4","9LD","BH49LD"
129187,"BH48HP","E01015370","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,468.1677,2,90340,45.5526315789474,"300-600m",699.340559736842,22408.0551184213,2.52631578947368,96665.1315789474,5008.38044409361,"BH4 8HP","BH4","8HP","BH48HP"
154810,"BH48BU","E01015368","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,559.1082,4,116385,44.925,"300-600m",608.029364,29506.1781074983,4.225,143457.425,5008.38044409361,"BH4 8BU","BH4","8BU","BH48BU"
154811,"BH49BL","E01033286","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,223.66046,5,143478,44.037037037037,"Less than or equal to 300m",133.060119037037,73231.3025500027,5.59259259259259,195921.666666667,5578.12651991532,"BH4 9BL","BH4","9BL","BH49BL"
154812,"BH49JS","E01033288","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,193.87625,6,184149,47.3478260869565,"Less than or equal to 300m",117.843862217391,73231.3025500027,4.47826086956522,125374.130434783,5578.12651991532,"BH4 9JS","BH4","9JS","BH49JS"
175406,"BH48JS","E01015370","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,725.15515,3,121058,45.5526315789474,"600-900m",699.340559736842,22408.0551184213,2.52631578947368,96665.1315789474,5008.38044409361,"BH4 8JS","BH4","8JS","BH48JS"
181157,"BH48AF","E01015368","9E89109B-1AC2-2C71-E053-A03BA40A7146","Public Park Or Garden",1922.21989999969,911.7966,1,1922,44.925,"900-1800m",608.029364,29506.1781074983,4.225,143457.425,5008.38044409361,"BH4 8AF","BH4","8AF","BH48AF"
204751,"BH49HG","E01015371","9E89109B-15E6-2C71-E053-A03BA40A7146","Public Park Or Garden",2913.03865000006,113.14592,4,105158,43.0810810810811,"Less than or equal to 300m",263.482117189189,17715.3043243248,4.35135135135135,137134.162162162,2260.91439009071,"BH4 9HG","BH4","9HG","BH49HG"
221381,"BH49HA","E01015371","9E89109B-15E6-2C71-E053-A03BA40A7146","Public Park Or Garden",2913.03865000006,211.92923,4,105158,43.0810810810811,"Less than or equal to 300m",263.482117189189,17715.3043243248,4.35135135135135,137134.162162162,2260.91439009071,"BH4 9HA","BH4","9HA","BH49HA"
221382,"BH49LU","E01015344","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,123.567795,5,182227,30.7413793103448,"Less than or equal to 300m",433.668583344827,57703.6945241388,3.60344827586207,147048.172413793,5578.12651991532,"BH4 9LU","BH4","9LU","BH49LU"
222510,"BH49HY","E01033286","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,228.5804,5,143478,44.037037037037,"Less than or equal to 300m",133.060119037037,73231.3025500027,5.59259259259259,195921.666666667,5578.12651991532,"BH4 9HY","BH4","9HY","BH49HY"
231743,"BH49LY","E01015344","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,169.67322,5,182227,30.7413793103448,"Less than or equal to 300m",433.668583344827,57703.6945241388,3.60344827586207,147048.172413793,5578.12651991532,"BH4 9LY","BH4","9LY","BH49LY"
242695,"BH49AH","E01033288","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,89.84431,4,105158,47.3478260869565,"Less than or equal to 300m",117.843862217391,73231.3025500027,4.47826086956522,125374.130434783,5578.12651991532,"BH4 9AH","BH4","9AH","BH49AH"
259299,"BH49NF","E01015344","9E8910C9-29B7-2C71-E053-A03BA40A7146","Public Park Or Garden",73231.3025500026,284.54877,5,182227,30.7413793103448,"Less than or equal to 300m",433.668583344827,57703.6945241388,3.60344827586207,147048.172413793,5578.12651991532,"BH4 9NF","BH4","9NF","BH49NF"
