"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"BL11AA",-2.432887,53.57955,320.0609,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1AA",53.58005,-2.437663
"BL11AB",-2.427768,53.57812,641.3063,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1AB",53.57613,-2.418651
"BL11AD",-2.432823,53.57923,332.2028,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1AD",53.58005,-2.437663
"BL11AE",-2.432887,53.57955,320.0609,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1AE",53.58005,-2.437663
"BL11AG",-2.432887,53.57955,320.0609,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1AG",53.58005,-2.437663
"BL11AH",-2.432979,53.57969,311.8032,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1AH",53.58005,-2.437663
"BL11AP",-2.425089,53.57757,454.2921,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1AP",53.57613,-2.418651
"BL11AQ",-2.42674,53.57802,574.0786,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1AQ",53.57613,-2.418651
"BL11AR",-2.430419,53.57747,540.0608,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","FB506EAB-8D33-40B7-9833-768656550D57","BL1","1AR",53.57925,-2.438033
"BL11AS",-2.42674,53.57802,574.0786,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1AS",53.57613,-2.418651
"BL11AT",-2.42749,53.57753,604.151,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1AT",53.57613,-2.418651
"BL11AU",-2.425374,53.57912,554.8408,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1AU",53.57613,-2.418651
"BL11BA",-2.427371,53.57773,602.7087,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1BA",53.57613,-2.418651
"BL11BB",-2.433861,53.57901,276.3281,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BB",53.58005,-2.437663
"BL11BD",-2.431692,53.57957,397.7092,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BD",53.58005,-2.437663
"BL11BE",-2.43192,53.57951,383.7887,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BE",53.58005,-2.437663
"BL11BF",-2.43192,53.57951,383.7887,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BF",53.58005,-2.437663
"BL11BG",-2.429055,53.57999,568.3181,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BG",53.58005,-2.437663
"BL11BH",-2.429326,53.57986,550.7737,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BH",53.58005,-2.437663
"BL11BJ",-2.43192,53.57951,383.7887,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BJ",53.58005,-2.437663
"BL11BL",-2.428737,53.57992,589.4485,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BL",53.58005,-2.437663
"BL11BN",-2.427954,53.58012,641.0155,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BN",53.58005,-2.437663
"BL11BP",-2.427438,53.57992,675.1727,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BP",53.58005,-2.437663
"BL11BQ",-2.429779,53.58007,520.4905,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BQ",53.58005,-2.437663
"BL11BR",-2.427438,53.57992,675.1727,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BR",53.58005,-2.437663
"BL11BS",-2.427061,53.57995,699.4828,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1BS",53.57613,-2.418651
"BL11BT",-2.426879,53.57987,684.4676,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1BT",53.57613,-2.418651
"BL11BU",-2.42962,53.57908,541.7695,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BU",53.58005,-2.437663
"BL11BW",-2.428242,53.58021,622.2095,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BW",53.58005,-2.437663
"BL11BX",-2.427371,53.57773,602.7087,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1BX",53.57613,-2.418651
"BL11BY",-2.430419,53.57747,540.0608,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","FB506EAB-8D33-40B7-9833-768656550D57","BL1","1BY",53.57925,-2.438033
"BL11BZ",-2.428895,53.57913,587.8237,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1BZ",53.58005,-2.437663
"BL11DA",-2.429161,53.57872,580.368,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1DA",53.58005,-2.437663
"BL11DB",-2.428895,53.57913,587.8237,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1DB",53.58005,-2.437663
"BL11DD",-2.428095,53.57934,636.6072,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1DD",53.58005,-2.437663
"BL11DE",-2.42544,53.58849,825.666,24941.37,"81B33392-3C71-33F1-E053-A03BA40A2BEA","9F9E78D4-9C57-43DF-9DA1-EE9B0A396F3C","BL1","1DE",53.5872,-2.437761
"BL11DF",-2.427583,53.57925,671.3562,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1DF",53.58005,-2.437663
"BL11DG",-2.427189,53.57915,656.4194,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1DG",53.57613,-2.418651
"BL11DJ",-2.425861,53.57774,508.5731,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1DJ",53.57613,-2.418651
"BL11DL",-2.428899,53.57952,581.5122,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1DL",53.58005,-2.437663
"BL11DN",-2.42809,53.57867,650.2326,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1DN",53.58005,-2.437663
"BL11DP",-2.427117,53.57805,598.3283,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1DP",53.57613,-2.418651
"BL11DQ",-2.42738,53.57863,639.9897,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1DQ",53.57613,-2.418651
"BL11DR",-2.426287,53.57825,556.9126,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1DR",53.57613,-2.418651
"BL11DS",-2.426398,53.57856,578.7167,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1DS",53.57613,-2.418651
"BL11DT",-2.429684,53.57949,530.3528,198635.5,"81B33319-50F1-33F1-E053-A03BA40A2BEA","7CEF20C3-6F4E-444F-B125-68C770E5324F","BL1","1DT",53.58005,-2.437663
"BL11DU",-2.426257,53.5781,548.1745,2582.094,"81B33319-79ED-33F1-E053-A03BA40A2BEA","BB199ECA-F1F9-46EF-B921-76BDD0B093F8","BL1","1DU",53.57613,-2.418651
