"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
514,"BN59RY","E01031641","9E891041-CBAD-2C71-E053-A03BA40A7146","Public Park Or Garden",180096.371900001,98.61542,2,188723,21.6197183098592,"Less than or equal to 300m",303.509986873239,122275.707243663,1.94366197183099,183547.464788732,3169.39770073432,"BN5 9RY","BN5","9RY","BN59RY"
11599,"BN59EH","E01031641","9E891062-63D9-2C71-E053-A03BA40A7146","Playing Field",8627.62165000096,105.67876,2,188723,21.6197183098592,"Less than or equal to 300m",303.509986873239,122275.707243663,1.94366197183099,183547.464788732,1662.09796557121,"BN5 9EH","BN5","9EH","BN59EH"
11600,"BN59TA","E01031618","9E891085-0386-2C71-E053-A03BA40A7146","Playing Field",37267.6309000008,16.124516,2,48581,26.1153846153846,"Less than or equal to 300m",375.610109805556,21385.0239486116,1.27777777777778,34983.1666666667,26.1153846153846,"BN5 9TA","BN5","9TA","BN59TA"
30498,"BN59YE","E01031618","9E891062-64FE-2C71-E053-A03BA40A7146","Playing Field",18610.4370500011,213.90184,1,18610,26.1153846153846,"Less than or equal to 300m",375.610109805556,21385.0239486116,1.27777777777778,34983.1666666667,622.273564463706,"BN5 9YE","BN5","9YE","BN59YE"
36701,"BN59LA","E01031642","9E891041-CBAD-2C71-E053-A03BA40A7146","Public Park Or Garden",180096.371900001,721.33905,2,188723,27,"600-900m",702.940929166667,72928.4029937509,1.79166666666667,165492.083333333,3169.39770073432,"BN5 9LA","BN5","9LA","BN59LA"
43696,"BN59HB","E01031641","9E891062-63D9-2C71-E053-A03BA40A7146","Playing Field",8627.62165000096,206.81392,2,188723,21.6197183098592,"Less than or equal to 300m",303.509986873239,122275.707243663,1.94366197183099,183547.464788732,1662.09796557121,"BN5 9HB","BN5","9HB","BN59HB"
46834,"BN59DQ","E01031641","9E891041-CBAD-2C71-E053-A03BA40A7146","Public Park Or Garden",180096.371900001,160.63934,2,188723,21.6197183098592,"Less than or equal to 300m",303.509986873239,122275.707243663,1.94366197183099,183547.464788732,3169.39770073432,"BN5 9DQ","BN5","9DQ","BN59DQ"
57705,"BN59HN","E01031641","9E891041-CBAD-2C71-E053-A03BA40A7146","Public Park Or Garden",180096.371900001,345.74268,2,188723,21.6197183098592,"300-600m",303.509986873239,122275.707243663,1.94366197183099,183547.464788732,3169.39770073432,"BN5 9HN","BN5","9HN","BN59HN"
57706,"BN59PY","E01031643","9E891041-CBAD-2C71-E053-A03BA40A7146","Public Park Or Garden",180096.371900001,689.85364,2,188723,44.3555555555555,"600-900m",889.488399555555,149613.038522223,1.46666666666667,172690.666666667,3169.39770073432,"BN5 9PY","BN5","9PY","BN59PY"
92974,"BN59SL","E01031641","9E891041-CBAD-2C71-E053-A03BA40A7146","Public Park Or Garden",180096.371900001,957.9797,1,180096,21.6197183098592,"900-1800m",303.509986873239,122275.707243663,1.94366197183099,183547.464788732,3169.39770073432,"BN5 9SL","BN5","9SL","BN59SL"
