"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"BN90AA",0.056514,50.79276,789.1919,33338.94,"81B33342-412E-33F1-E053-A03BA40A2BEA","F5F64F97-005E-4579-9F18-123C85B2170E","BN9","0AA",50.7994,0.06050404
"BN90AB",0.052047,50.79833,559.5639,33338.94,"81B33342-412E-33F1-E053-A03BA40A2BEA","748756BD-BB10-46A4-9D6E-65F5121C5F54","BN9","0AB",50.8,0.05955969
"BN90AD",0.056727,50.79534,522.8675,33338.94,"81B33342-412E-33F1-E053-A03BA40A2BEA","F5F64F97-005E-4579-9F18-123C85B2170E","BN9","0AD",50.7994,0.06050404
"BN90AE",0.044303,50.79224,431.2644,5452.525,"81B3347D-4140-33F1-E053-A03BA40A2BEA","51AC72DB-159C-4D30-AEC1-3FAED778A837","BN9","0AE",50.79429,0.03909033
"BN90AF",0.044303,50.79224,431.2644,5452.525,"81B3347D-4140-33F1-E053-A03BA40A2BEA","51AC72DB-159C-4D30-AEC1-3FAED778A837","BN9","0AF",50.79429,0.03909033
"BN90AG",0.059491,50.79821,150.3735,33338.94,"81B33342-412E-33F1-E053-A03BA40A2BEA","F5F64F97-005E-4579-9F18-123C85B2170E","BN9","0AG",50.7994,0.06050404
"BN90AH",0.05461,50.79496,644.2326,33338.94,"81B33342-412E-33F1-E053-A03BA40A2BEA","F5F64F97-005E-4579-9F18-123C85B2170E","BN9","0AH",50.7994,0.06050404
"BN90AJ",0.05461,50.79496,644.2326,33338.94,"81B33342-412E-33F1-E053-A03BA40A2BEA","F5F64F97-005E-4579-9F18-123C85B2170E","BN9","0AJ",50.7994,0.06050404
"BN90AL",0.056468,50.79463,601.1129,33338.94,"81B33342-412E-33F1-E053-A03BA40A2BEA","F5F64F97-005E-4579-9F18-123C85B2170E","BN9","0AL",50.7994,0.06050404
"BN90AN",0.04745,50.79382,492.0794,10210.71,"81B33479-0C38-33F1-E053-A03BA40A2BEA","5D2F4643-B695-43D0-8B6F-F1D7A879D833","BN9","0AN",50.79716,0.0428681
