"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
541,"BR67DF","E01000752","9E89103D-8835-2C71-E053-A03BA40A7146","Playing Field",5803.95349999771,238.47221,7,1041431,33.1730769230769,"Less than or equal to 300m",196.500918692308,120112.59981923,6.13461538461538,1031099,1591.91948496905,"BR6 7DF","BR6","7DF","BR67DF"
542,"BR69LT","E01000682","9E89103E-409D-2C71-E053-A03BA40A7146","Public Park Or Garden",43370.2320500021,174.49641,6,1044387,49.2121212121212,"Less than or equal to 300m",194.935758363636,26418.987245457,6.48484848484848,1049336.33333333,2060.66331514014,"BR6 9LT","BR6","9LT","BR69LT"
6541,"BR67FJ","E01000751","9E8910D9-5B3D-2C71-E053-A03BA40A7146","Playing Field",48179.6357000054,320.45593,7,1054122,42.3958333333333,"300-600m",363.140583,47015.2644197949,5.41666666666667,640156.75,2265.10333538588,"BR6 7FJ","BR6","7FJ","BR67FJ"
6542,"BR69JY","E01000683","9E8911C1-2B64-2C71-E053-A03BA40A7146","Public Park Or Garden",890.403650001098,381.21515,7,1052806,50.030303030303,"300-600m",263.226458,12949.4867833352,6.63636363636364,663311,1998.38311688312,"BR6 9JY","BR6","9JY","BR69JY"
11633,"BR68PD","E01000757","9E89103E-425C-2C71-E053-A03BA40A7146","Public Park Or Garden",30455.1636000013,138.2353,6,134545,48.09375,"Less than or equal to 300m",209.19538515625,29671.4737000013,4.96875,139989.5625,2580.90581896552,"BR6 8PD","BR6","8PD","BR68PD"
16012,"BR60AS","E01000790","9E8910D9-6A62-2C71-E053-A03BA40A7146","Public Park Or Garden",3513.06649999959,522.45575,5,168435,36.578125,"300-600m",534.55686234375,18890.4613742186,4.484375,136323.296875,2797.44531978099,"BR6 0AS","BR6","0AS","BR60AS"
16013,"BR66JF","E01000686","9E89103E-409D-2C71-E053-A03BA40A7146","Public Park Or Garden",43370.2320500021,236.59671,8,1055162,46.2424242424242,"Less than or equal to 300m",144.792556393939,100186.066189395,6.15151515151515,1035060.60606061,2060.66331514014,"BR6 6JF","BR6","6JF","BR66JF"
16014,"BR68HA","E01000756","9E8910D9-5B3D-2C71-E053-A03BA40A7146","Playing Field",48179.6357000054,110.440025,4,122535,39.1190476190476,"Less than or equal to 300m",234.756274833333,25409.8578428611,5.04761904761905,176428.452380952,2265.10333538588,"BR6 8HA","BR6","8HA","BR68HA"
16015,"BR68NS","E01000751","9E89103E-425F-2C71-E053-A03BA40A7146","Public Park Or Garden",27799.8800000046,431.66885,5,192727,42.3958333333333,"300-600m",363.140583,47015.2644197949,5.41666666666667,640156.75,852.145028957529,"BR6 8NS","BR6","8NS","BR68NS"
19830,"BR66PA","E01000686","9E891037-E2C2-2C71-E053-A03BA40A7146","Public Park Or Garden",906886.058349981,139.78555,4,1035662,46.2424242424242,"Less than or equal to 300m",144.792556393939,100186.066189395,6.15151515151515,1035060.60606061,1356.45085067372,"BR6 6PA","BR6","6PA","BR66PA"
23024,"BR69HT","E01000794","9E8911C1-2B64-2C71-E053-A03BA40A7146","Public Park Or Garden",890.403650001098,249.70383,7,239344,57.2142857142857,"Less than or equal to 300m",364.489760928571,6238.20878928776,4.89285714285714,145193.714285714,1998.38311688312,"BR6 9HT","BR6","9HT","BR69HT"
25835,"BR66DD","E01000687","9E89103E-409D-2C71-E053-A03BA40A7146","Public Park Or Garden",43370.2320500021,48.83646,5,1025490,39.0731707317073,"Less than or equal to 300m",208.299007731707,262496.359303656,4.65853658536585,1037987.41463415,2060.66331514014,"BR6 6DD","BR6","6DD","BR66DD"
25836,"BR69BF","E01000795","9E8910DA-4013-2C71-E053-A03BA40A7146","Public Park Or Garden",109965.238700006,175.4537,4,121630,63.6818181818182,"Less than or equal to 300m",204.303541454545,52647.2351204575,4.54545454545455,158069.272727273,4514.60240220799,"BR6 9BF","BR6","9BF","BR69BF"
25837,"BR69RW","E01000758","9E89103E-425C-2C71-E053-A03BA40A7146","Public Park Or Garden",30455.1636000013,178.21616,4,73515,52,"Less than or equal to 300m",331.02856,16934.1638206907,4.27586206896552,80917.6551724138,2580.90581896552,"BR6 9RW","BR6","9RW","BR69RW"
28348,"BR60TW","E01000790","9E8910DA-3FE8-2C71-E053-A03BA40A7146","Public Park Or Garden",52064.4922500001,300.54117,6,251669,36.578125,"300-600m",534.55686234375,18890.4613742186,4.484375,136323.296875,4065.58548444039,"BR6 0TW","BR6","0TW","BR60TW"
28349,"BR68DY","E01000753","9E89103E-425C-2C71-E053-A03BA40A7146","Public Park Or Garden",30455.1636000013,190.20515,6,137795,48.05,"Less than or equal to 300m",492.67957975,36870.9232850028,4.65,133024.375,2580.90581896552,"BR6 8DY","BR6","8DY","BR68DY"
28350,"BR69XT","E01000684","9E8911C1-2B64-2C71-E053-A03BA40A7146","Public Park Or Garden",890.403650001098,107.07474,6,129379,54.35,"Less than or equal to 300m",185.4260343,22952.594600002,6.7,630413.275,1998.38311688312,"BR6 9XT","BR6","9XT","BR69XT"
30505,"BR66HZ","E01000686","9E8910DA-4012-2C71-E053-A03BA40A7146","Playing Field",59234.457250004,271.6413,7,1032879,46.2424242424242,"Less than or equal to 300m",144.792556393939,100186.066189395,6.15151515151515,1035060.60606061,3453.23781252389,"BR6 6HZ","BR6","6HZ","BR66HZ"
