"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"BS105AA",-2.594832,51.49135,293.9363,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AA",51.48908,-2.592656
"BS105AB",-2.593532,51.49128,251.702,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AB",51.48908,-2.592656
"BS105AD",-2.592707,51.49097,209.7414,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AD",51.48908,-2.592656
"BS105AE",-2.591204,51.49167,304.6261,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AE",51.48908,-2.592656
"BS105AF",-2.588158,51.49225,207.4673,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","8BD29113-1926-43C8-B3BC-B0A3D47330D9","BS10","5AF",51.49205,-2.585178
"BS105AG",-2.58893,51.4918,253.5487,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","789D3E4F-4BE6-45AB-84AE-CF411ED4EE25","BS10","5AG",51.48988,-2.586962
"BS105AH",-2.588436,51.49255,232.3218,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","8BD29113-1926-43C8-B3BC-B0A3D47330D9","BS10","5AH",51.49205,-2.585178
"BS105AJ",-2.589128,51.49265,281.3947,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","8BD29113-1926-43C8-B3BC-B0A3D47330D9","BS10","5AJ",51.49205,-2.585178
"BS105AL",-2.58843,51.49325,261.3394,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","8BD29113-1926-43C8-B3BC-B0A3D47330D9","BS10","5AL",51.49205,-2.585178
"BS105AN",-2.58715,51.49113,139.5033,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","789D3E4F-4BE6-45AB-84AE-CF411ED4EE25","BS10","5AN",51.48988,-2.586962
"BS105AP",-2.589173,51.49055,161.1964,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","C5F6D61E-C841-4EAC-9B9C-706E848F4FB4","BS10","5AP",51.48924,-2.58818
"BS105AQ",-2.588946,51.49305,283.2464,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","8BD29113-1926-43C8-B3BC-B0A3D47330D9","BS10","5AQ",51.49205,-2.585178
"BS105AR",-2.589696,51.48976,119.6802,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","C5F6D61E-C841-4EAC-9B9C-706E848F4FB4","BS10","5AR",51.48924,-2.58818
"BS105AS",-2.592967,51.48987,90.21925,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AS",51.48908,-2.592656
"BS105AT",-2.59209,51.48998,107.4854,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AT",51.48908,-2.592656
"BS105AU",-2.591709,51.49059,179.7452,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AU",51.48908,-2.592656
"BS105AW",-2.587526,51.4913,162.446,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","789D3E4F-4BE6-45AB-84AE-CF411ED4EE25","BS10","5AW",51.48988,-2.586962
"BS105AX",-2.590777,51.49093,243.5058,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5AX",51.48908,-2.592656
"BS105AY",-2.58917,51.49144,230.7069,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","789D3E4F-4BE6-45AB-84AE-CF411ED4EE25","BS10","5AY",51.48988,-2.586962
"BS105AZ",-2.588762,51.49108,182.2493,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","789D3E4F-4BE6-45AB-84AE-CF411ED4EE25","BS10","5AZ",51.48988,-2.586962
"BS105BA",-2.591605,51.49257,395.0566,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BA",51.48908,-2.592656
"BS105BB",-2.591263,51.49291,431.8821,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","8BD29113-1926-43C8-B3BC-B0A3D47330D9","BS10","5BB",51.49205,-2.585178
"BS105BD",-2.593968,51.49378,529.7868,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BD",51.48908,-2.592656
"BS105BE",-2.587942,51.49003,59.42286,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","18042999-B2FC-45A4-9648-36A34094F76D","BS10","5BE",51.48975,-2.587208
"BS105BF",-2.596773,51.49786,316.0409,26069.03,"81B33329-BCE8-33F1-E053-A03BA40A2BEA","5CC10CC2-B098-4D36-8E84-8F60D3F76863","BS10","5BF",51.50019,-2.599387
"BS105BG",-2.588718,51.48989,81.13323,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","C5F6D61E-C841-4EAC-9B9C-706E848F4FB4","BS10","5BG",51.48924,-2.58818
"BS105BH",-2.599808,51.49317,500.9013,135557.7,"81B33329-F2A6-33F1-E053-A03BA40A2BEA","A5CF4494-95A5-46DE-A0A1-BA4BBC5C5222","BS10","5BH",51.49432,-2.606802
"BS105BJ",-2.598225,51.49433,496.6649,135557.7,"81B33329-F2A6-33F1-E053-A03BA40A2BEA","F85BDDF3-35F9-4970-8CC6-FD8CE0EFF022","BS10","5BJ",51.49807,-2.602137
"BS105BL",-2.598147,51.4939,540.2159,135557.7,"81B33329-F2A6-33F1-E053-A03BA40A2BEA","F85BDDF3-35F9-4970-8CC6-FD8CE0EFF022","BS10","5BL",51.49807,-2.602137
"BS105BN",-2.597303,51.49326,564.7139,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BN",51.48908,-2.592656
"BS105BP",-2.596892,51.49266,494.6045,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BP",51.48908,-2.592656
"BS105BQ",-2.594815,51.49133,291.7099,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BQ",51.48908,-2.592656
"BS105BS",-2.596413,51.49345,550.8494,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BS",51.48908,-2.592656
"BS105BT",-2.595563,51.49454,601.2153,135557.7,"81B33329-F2A6-33F1-E053-A03BA40A2BEA","F85BDDF3-35F9-4970-8CC6-FD8CE0EFF022","BS10","5BT",51.49807,-2.602137
"BS105BU",-2.59495,51.49509,597.8465,135557.7,"81B33329-F2A6-33F1-E053-A03BA40A2BEA","F85BDDF3-35F9-4970-8CC6-FD8CE0EFF022","BS10","5BU",51.49807,-2.602137
"BS105BW",-2.597894,51.49326,589.5096,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BW",51.48908,-2.592656
"BS105BX",-2.594768,51.49214,369.7182,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BX",51.48908,-2.592656
"BS105BY",-2.594831,51.49254,412.9337,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BY",51.48908,-2.592656
"BS105BZ",-2.593853,51.49269,409.5444,145683.9,"81B332FC-B464-33F1-E053-A03BA40A2BEA","FD5D3BEF-8A2C-4000-84E3-5D30315F0FC9","BS10","5BZ",51.48908,-2.592656
