"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
625,"BS351TQ","E01014985","9E89106B-B259-2C71-E053-A03BA40A7146","Playing Field",24330.6510499999,585.76447,2,57615,22.3692307692308,"300-600m",701.496076615384,24881.6757115384,1.92307692307692,55054.6153846154,7890.70968658573,"BS35 1TQ","BS35","1TQ","BS351TQ"
6633,"BS355RF","E01014861","9E89106B-F8CD-2C71-E053-A03BA40A7146","Playing Field",21992.6047999956,78.10249,1,21992,13.3037974683544,"Less than or equal to 300m",576.135319681818,22685.1836878792,1.59090909090909,66139.1818181818,305.98803946975,"BS35 5RF","BS35","5RF","BS355RF"
11706,"BS351UN","E01014985","9E89106B-B259-2C71-E053-A03BA40A7146","Playing Field",24330.6510499999,617.59937,2,57615,22.3692307692308,"600-900m",701.496076615384,24881.6757115384,1.92307692307692,55054.6153846154,7890.70968658573,"BS35 1UN","BS35","1UN","BS351UN"
11707,"BS359TJ","E01014986","9E89106B-B1BE-2C71-E053-A03BA40A7146","Playing Field",33284.8018,123.42204,3,129740,12.5190839694657,"Less than or equal to 300m",223.350800885496,31440.1782114504,2.79389312977099,114874.541984733,2635.33409016767,"BS35 9TJ","BS35","9TJ","BS359TJ"
19871,"BS352EF","E01014991","9E89106B-B259-2C71-E053-A03BA40A7146","Playing Field",24330.6510499999,380.21704,3,129740,15.5034013605442,"300-600m",345.670274904762,48548.3862091849,2.84353741496599,123622.034013605,7890.70968658573,"BS35 2EF","BS35","2EF","BS352EF"
19872,"BS359TQ","E01014986","9E89106B-B1BE-2C71-E053-A03BA40A7146","Playing Field",33284.8018,123.42204,3,129740,12.5190839694657,"Less than or equal to 300m",223.350800885496,31440.1782114504,2.79389312977099,114874.541984733,2635.33409016767,"BS35 9TQ","BS35","9TQ","BS359TQ"
23067,"BS351TE","E01014985","9E89106B-B259-2C71-E053-A03BA40A7146","Playing Field",24330.6510499999,629.8198,2,57615,22.3692307692308,"600-900m",701.496076615384,24881.6757115384,1.92307692307692,55054.6153846154,7890.70968658573,"BS35 1TE","BS35","1TE","BS351TE"
28381,"BS352BQ","E01014991","9E89106B-B290-2C71-E053-A03BA40A7146","Playing Field",72124.9151000025,115.212845,3,129740,15.5034013605442,"Less than or equal to 300m",345.670274904762,48548.3862091849,2.84353741496599,123622.034013605,1200.31235394921,"BS35 2BQ","BS35","2BQ","BS352BQ"
36720,"BS351DE","E01014986","9E89106B-B1BE-2C71-E053-A03BA40A7146","Playing Field",33284.8018,119.92081,3,129740,12.5190839694657,"Less than or equal to 300m",223.350800885496,31440.1782114504,2.79389312977099,114874.541984733,2635.33409016767,"BS35 1DE","BS35","1DE","BS351DE"
41726,"BS351JS","E01014985","9E89106B-B259-2C71-E053-A03BA40A7146","Playing Field",24330.6510499999,613.1688,2,57615,22.3692307692308,"600-900m",701.496076615384,24881.6757115384,1.92307692307692,55054.6153846154,7890.70968658573,"BS35 1JS","BS35","1JS","BS351JS"
44470,"BS351SQ","E01014987","9E89106B-B1BE-2C71-E053-A03BA40A7146","Playing Field",33284.8018,742.6473,2,57615,16.4111111111111,"600-900m",624.410508433333,33085.8206722222,2.06666666666667,69857.9555555556,2635.33409016767,"BS35 1SQ","BS35","1SQ","BS351SQ"
44806,"BS354PF","E01014954","9E89106B-E56E-2C71-E053-A03BA40A7146","Playing Field",20257.9126500041,514.8398,1,20257,36.1818181818182,"300-600m",259.732080681818,20257.9126500041,1,20257,2307.08661417323,"BS35 4PF","BS35","4PF","BS354PF"
45316,"BS352FR","E01014993","9E89106B-B259-2C71-E053-A03BA40A7146","Playing Field",24330.6510499999,885.95996,2,96455,18.9012345679012,"600-900m",1089.01577338983,22890.2455042374,1.06779661016949,27779.6949152542,7890.70968658573,"BS35 2FR","BS35","2FR","BS352FR"
57796,"BS351ET","E01014987","9E89106B-B1BE-2C71-E053-A03BA40A7146","Playing Field",33284.8018,186.52614,3,129740,16.4111111111111,"Less than or equal to 300m",624.410508433333,33085.8206722222,2.06666666666667,69857.9555555556,2635.33409016767,"BS35 1ET","BS35","1ET","BS351ET"
57797,"BS352BW","E01014991","9E89106B-B290-2C71-E053-A03BA40A7146","Playing Field",72124.9151000025,297.43066,3,129740,15.5034013605442,"Less than or equal to 300m",345.670274904762,48548.3862091849,2.84353741496599,123622.034013605,1200.31235394921,"BS35 2BW","BS35","2BW","BS352BW"
