"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"BT536AA",-6.517928,55.07108,65530.62,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AA",55.62954,-6.186853
"BT536AB",0,100,4426811,5345.822,"81B33382-211A-33F1-E053-A03BA40A2BEA","4B980B61-B3F3-4AD1-B4E6-E15C5E7C3D8E","BT53","6AB",60.18629,-1.439075
"BT536AD",-6.517633,55.07058,65577.19,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AD",55.62954,-6.186853
"BT536AE",-6.528438,55.08031,64775.88,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AE",55.62954,-6.186853
"BT536AF",-6.528942,55.08066,64750,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AF",55.62954,-6.186853
"BT536AG",-6.517706,55.07072,65563.37,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AG",55.62954,-6.186853
"BT536AH",-6.516941,55.07066,65554.71,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AH",55.62954,-6.186853
"BT536AJ",-6.517515,55.07122,65506.79,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AJ",55.62954,-6.186853
"BT536AL",-6.516164,55.06924,65688.84,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AL",55.62954,-6.186853
"BT536AN",-6.516437,55.06906,65712.99,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AN",55.62954,-6.186853
"BT536AP",-6.515979,55.06915,65694.84,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AP",55.62954,-6.186853
"BT536AQ",-6.517923,55.07121,65516.39,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AQ",55.62954,-6.186853
"BT536AR",-6.516594,55.06861,65764.27,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AR",55.62954,-6.186853
"BT536AS",-6.52885,55.06952,65918.08,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AS",55.62954,-6.186853
"BT536AT",-6.52885,55.06952,65918.08,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AT",55.62954,-6.186853
"BT536AU",-6.528236,55.06704,66165.99,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AU",55.62954,-6.186853
"BT536AW",-6.515758,55.06962,65640.49,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AW",55.62954,-6.186853
"BT536AX",-6.528236,55.06704,66165.99,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AX",55.62954,-6.186853
"BT536AY",-6.518516,55.06997,65659.23,2251.825,"81B33305-1749-33F1-E053-A03BA40A2BEA","93B493E0-E4C1-4E2A-8524-810E6F1811A8","BT53","6AY",55.62954,-6.186853
