"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
25906,"CA270EF","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,302.18536,4,82806,26.5396825396825,"300-600m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0EF","CA27","0EF","CA270EF"
35440,"CA270ED","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,216.33539,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0ED","CA27","0ED","CA270ED"
46995,"CA270HD","E01019300","9E8910B9-6851-2C71-E053-A03BA40A7146","Playing Field",41573.596800003,141.59802,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,318.47619047619,"CA27 0HD","CA27","0HD","CA270HD"
52908,"CA270AS","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,848.267,3,81032,26.5396825396825,"600-900m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0AS","CA27","0AS","CA270AS"
52909,"CA270HB","E01019300","9E8910B9-6851-2C71-E053-A03BA40A7146","Playing Field",41573.596800003,123.43824,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,318.47619047619,"CA27 0HB","CA27","0HB","CA270HB"
81359,"CA270AL","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,584.9453,3,81032,26.5396825396825,"300-600m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0AL","CA27","0AL","CA270AL"
99160,"CA270EE","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,238.43028,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0EE","CA27","0EE","CA270EE"
150676,"CA270BS","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,78.72102,3,81032,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0BS","CA27","0BS","CA270BS"
172791,"CA270BX","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,178.66449,3,81032,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0BX","CA27","0BX","CA270BX"
177579,"CA270AQ","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,579.99744,3,81032,26.5396825396825,"300-600m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0AQ","CA27","0AQ","CA270AQ"
191832,"CA270EJ","E01019300","9E8910B9-6851-2C71-E053-A03BA40A7146","Playing Field",41573.596800003,31.38471,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,318.47619047619,"CA27 0EJ","CA27","0EJ","CA270EJ"
259423,"CA270BZ","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,285.04913,2,39458,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0BZ","CA27","0BZ","CA270BZ"
303308,"CA270EA","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,135.36986,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0EA","CA27","0EA","CA270EA"
311269,"CA270ET","E01019300","9E8910B9-683E-2C71-E053-A03BA40A7146","Public Park Or Garden",1774.73514999963,319.88904,3,60339,26.5396825396825,"300-600m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,79.6190476190476,"CA27 0ET","CA27","0ET","CA270ET"
330546,"CA270DH","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,64.03124,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0DH","CA27","0DH","CA270DH"
349788,"CA270AY","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,816.57947,3,81032,26.5396825396825,"600-900m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0AY","CA27","0AY","CA270AY"
367752,"CA270BJ","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,141.85204,3,81032,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0BJ","CA27","0BJ","CA270BJ"
377277,"CA270EG","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,175.02571,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0EG","CA27","0EG","CA270EG"
437216,"CA270ES","E01019300","9E8910B9-6851-2C71-E053-A03BA40A7146","Playing Field",41573.596800003,26.832815,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,318.47619047619,"CA27 0ES","CA27","0ES","CA270ES"
456133,"CA270AD","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,424.8588,4,82806,26.5396825396825,"300-600m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0AD","CA27","0AD","CA270AD"
506034,"CA270BN","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,81.27115,3,81032,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0BN","CA27","0BN","CA270BN"
510737,"CA270DN","E01019300","9E8911BE-0CDE-2C71-E053-A03BA40A7146","Playing Field",16990.7404999934,90.35486,4,82806,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,504.253968253968,"CA27 0DN","CA27","0DN","CA270DN"
521834,"CA270DU","E01019300","9E891036-742C-2C71-E053-A03BA40A7146","Playing Field",22467.6858500016,237.69728,3,81032,26.5396825396825,"Less than or equal to 300m",360.026247285714,23351.8358633918,3.46428571428571,77828.3035714286,557.333333333333,"CA27 0DU","CA27","0DU","CA270DU"
